sw4074A-ms98-a-0002,0.078125,0.657250,Dave,B,o,u-1-1
sw4074A-ms98-a-0027,82.032000,82.511500,people,I,sd,u-27-2
sw4074A-ms98-a-0027,82.511500,82.733750,uh,I,sd,u-27-2
sw4074A-ms98-a-0027,83.009375,83.540375,uh,I,sd,u-27-2
sw4074A-ms98-a-0027,83.540375,83.836375,drop,I,sd,u-27-2
sw4074A-ms98-a-0027,83.836375,84.036375,off,I,sd,u-27-2
sw4074A-ms98-a-0027,84.036375,84.624000,abandoned,I,sd,u-27-2
sw4074A-ms98-a-0027,84.778500,85.346375,abandoned,I,sd,u-27-2
sw4074A-ms98-a-0027,85.346375,85.706375,pets,I,sd,u-27-2
sw4074A-ms98-a-0027,85.706375,85.816375,at,I,sd,u-27-2
sw4074A-ms98-a-0027,85.816375,85.926375,her,I,sd,u-27-2
sw4074A-ms98-a-0027,85.926375,86.329500,house,I,sd,u-27-2
sw4074A-ms98-a-0028,87.207375,87.360500,and,B,sd,u-29-1
sw4074A-ms98-a-0028,87.360500,87.591000,she,I,sd,u-29-1
sw4074A-ms98-a-0028,87.591000,87.827375,used,I,sd,u-29-1
sw4074A-ms98-a-0028,87.827375,87.937375,to,I,sd,u-29-1
sw4074A-ms98-a-0028,87.937375,88.097375,work,I,sd,u-29-1
sw4074A-ms98-a-0028,88.097375,88.247375,for,I,sd,u-29-1
sw4074A-ms98-a-0028,88.247375,88.287375,a,I,sd,u-29-1
sw4074A-ms98-a-0028,88.287375,88.577375,veterin[arian]-,I,sd,u-29-1
sw4074A-ms98-a-0028,88.577375,89.587375,veterinarian,I,sd,u-29-1
sw4074A-ms98-a-0028,89.587375,89.767375,so,B,sd,u-29-2
sw4074A-ms98-a-0028,89.767375,90.147375,she,I,sd,u-29-2
sw4074A-ms98-a-0028,90.147375,90.387375,would,I,sd,u-29-2
sw4074A-ms98-a-0028,90.387375,90.847375,spay,I,sd,u-29-2
sw4074A-ms98-a-0028,90.847375,91.194000,uh,I,sd,u-29-2
sw4074A-ms98-a-0028,91.353250,91.597375,neuter,I,sd,u-29-2
sw4074A-ms98-a-0028,91.597375,91.847375,them,I,sd,u-29-2
sw4074A-ms98-a-0029,92.536375,92.696375,give,B,+,u-31-1
sw4074A-ms98-a-0029,92.696375,92.756375,them_1,I,+,u-31-1
sw4074A-ms98-a-0029,92.756375,92.866375,all,I,+,u-31-1
sw4074A-ms98-a-0029,92.866375,92.966375,their,I,+,u-31-1
sw4074A-ms98-a-0029,92.966375,93.416375,shots,I,+,u-31-1
sw4074A-ms98-a-0029,93.416375,93.804625,and,B,sd,u-31-2
sw4074A-ms98-a-0029,94.324500,94.446375,we,I,sd,u-31-2
sw4074A-ms98-a-0029,94.446375,94.666375,saw,I,sd,u-31-2
sw4074A-ms98-a-0029,94.666375,94.766375,an,I,sd,u-31-2
sw4074A-ms98-a-0029,94.766375,95.136375,ad,I,sd,u-31-2
sw4074A-ms98-a-0029,95.136375,95.396375,saying,I,sd,u-31-2
sw4074A-ms98-a-0029,95.396375,95.506375,it,I,sd,u-31-2
sw4074A-ms98-a-0029,95.506375,95.626375,was,I,sd,u-31-2
sw4074A-ms98-a-0029,95.626375,95.976375,free,I,sd,u-31-2
sw4074A-ms98-a-0029,95.976375,96.126375,so,B,sd,u-31-3
sw4074A-ms98-a-0029,96.126375,96.266375,we,I,sd,u-31-3
sw4074A-ms98-a-0029,96.266375,96.436375,went,I,sd,u-31-3
sw4074A-ms98-a-0029,96.436375,96.626375,down,I,sd,u-31-3
sw4074A-ms98-a-0029,96.626375,96.816375,there,I,sd,u-31-3
sw4074A-ms98-a-0029,96.816375,97.016375,and,I,sd,u-31-3
sw4074A-ms98-a-0029,97.516375,97.766375,picked,I,sd,u-31-3
sw4074A-ms98-a-0029,97.766375,97.846375,it,I,sd,u-31-3
sw4074A-ms98-a-0029,97.846375,98.211375,up,I,sd,u-31-3
sw4074A-ms98-a-0029,98.542875,98.706375,and,B,sd,u-31-4
sw4074A-ms98-a-0029,98.706375,98.826375,it's,I,sd,u-31-4
sw4074A-ms98-a-0029,98.826375,99.036375,been,I,sd,u-31-4
sw4074A-ms98-a-0029,99.036375,99.126375,an,I,sd,u-31-4
sw4074A-ms98-a-0029,99.126375,99.596375,excellent,I,sd,u-31-4
sw4074A-ms98-a-0029,99.596375,100.038500,dog,I,sd,u-31-4
sw4074A-ms98-a-0029,100.639375,100.748875,but,B,sd,u-31-5
sw4074A-ms98-a-0029,100.748875,100.906125,this,I,sd,u-31-5
sw4074A-ms98-a-0029,100.906125,100.985250,is,I,sd,u-31-5
sw4074A-ms98-a-0029,100.985250,101.066375,my,I,sd,u-31-5
sw4074A-ms98-a-0029,101.066375,101.386375,first,I,sd,u-31-5
sw4074A-ms98-a-0029,101.386375,101.616375,dog,I,sd,u-31-5
sw4074A-ms98-a-0029,101.616375,101.876375,i've,I,sd,u-31-5
sw4074A-ms98-a-0029,101.876375,102.066375,i've,I,sd,u-31-5
sw4074A-ms98-a-0029,102.066375,102.542750,had,I,sd,u-31-5
sw4074A-ms98-a-0030,103.774750,104.520375,and,B,sd,u-31-6
sw4074A-ms98-a-0030,104.671125,104.776125,we,I,sd,u-31-6
sw4074A-ms98-a-0030,104.776125,104.986125,got,I,sd,u-31-6
sw4074A-ms98-a-0030,104.986125,105.076125,it,I,sd,u-31-6
sw4074A-ms98-a-0030,105.076125,105.582500,because,I,sd,u-31-6
sw4074A-ms98-a-0030,105.936500,106.076125,well,I,sd,u-31-6
sw4074A-ms98-a-0030,106.076125,106.186125,my,I,sd,u-31-6
sw4074A-ms98-a-0030,106.186125,106.496125,wife,I,sd,u-31-6
sw4074A-ms98-a-0030,106.496125,107.226125,stays,I,sd,u-31-6
sw4074A-ms98-a-0030,107.226125,107.446125,here,I,sd,u-31-6
sw4074A-ms98-a-0030,107.446125,107.526250,at,I,sd,u-31-6
sw4074A-ms98-a-0030,107.526250,107.854000,home,I,sd,u-31-6
sw4074A-ms98-a-0030,108.076125,108.516125,alone,I,sd,u-31-6
sw4074A-ms98-a-0030,108.516125,108.696125,while,B,+,u-33-1
sw4074A-ms98-a-0030,108.696125,108.736125,i,I,+,u-33-1
sw4074A-ms98-a-0030,108.736125,108.866125,go,I,+,u-33-1
sw4074A-ms98-a-0030,108.866125,108.963000,to,I,+,u-33-1
sw4074A-ms98-a-0030,108.963000,109.228500,work,I,+,u-33-1
sw4074A-ms98-a-0030,109.228500,109.596750,so,B,sd,u-33-2
sw4074A-ms98-a-0030,110.387000,110.616125,that's,I,sd,u-33-2
sw4074A-ms98-a-0030,110.616125,110.906125,mostly,I,sd,u-33-2
sw4074A-ms98-a-0030,110.906125,111.066125,why,I,sd,u-33-2
sw4074A-ms98-a-0030,111.066125,111.222125,we,I,sd,u-33-2
sw4074A-ms98-a-0030,111.222125,111.387000,got,I,sd,u-33-2
sw4074A-ms98-a-0030,111.387000,111.820375,it,I,sd,u-33-2
sw4074A-ms98-a-0030,112.426875,112.566125,to,I,sd,u-33-2
sw4074A-ms98-a-0030,112.566125,112.826125,keep,I,sd,u-33-2
sw4074A-ms98-a-0030,112.826125,112.946125,her,I,sd,u-33-2
sw4074A-ms98-a-0030,112.946125,113.356125,company,I,sd,u-33-2
sw4074A-ms98-a-0030,113.356125,113.516125,while,I,sd,u-33-2
sw4074A-ms98-a-0030,113.516125,113.636125,i'm,I,sd,u-33-2
sw4074A-ms98-a-0030,113.796125,114.056125,away,I,sd,u-33-2
sw4074A-ms98-a-0030,114.056125,114.146125,at,I,sd,u-33-2
sw4074A-ms98-a-0030,114.146125,114.572250,work,I,sd,u-33-2
sw4074A-ms98-a-0032,118.209750,118.609750,um,B,ny,u-35-1
sw4074A-ms98-a-0032,118.609750,118.809750,yeah,I,ny,u-35-1
sw4074A-ms98-a-0032,118.809750,119.009750,right,B,sd^e,u-35-2
sw4074A-ms98-a-0032,119.009750,119.209750,now,I,sd^e,u-35-2
sw4074A-ms98-a-0032,119.209750,119.409750,it,I,sd^e,u-35-2
sw4074A-ms98-a-0032,119.409750,119.519750,it,I,sd^e,u-35-2
sw4074A-ms98-a-0032,119.519750,119.950625,is,I,sd^e,u-35-2
sw4074A-ms98-a-0032,120.413875,120.709750,it's,B,sd,u-37-1
sw4074A-ms98-a-0032,120.709750,120.929750,kind,I,sd,u-37-1
sw4074A-ms98-a-0032,120.929750,121.059750,of,I,sd,u-37-1
sw4074A-ms98-a-0032,121.059750,121.239750,good,I,sd,u-37-1
sw4074A-ms98-a-0032,121.239750,121.829750,training,I,sd,u-37-1
sw4074A-ms98-a-0032,121.829750,121.869750,i,B,sd,u-37-2
sw4074A-ms98-a-0032,121.869750,122.069750,mean,I,sd,u-37-2
sw4074A-ms98-a-0032,122.069750,122.199750,we've,I,sd,u-37-2
sw4074A-ms98-a-0032,122.199750,122.349750,been,I,sd,u-37-2
sw4074A-ms98-a-0032,122.349750,122.699750,trying,I,sd,u-37-2
sw4074A-ms98-a-0032,122.699750,122.829750,for,I,sd,u-37-2
sw4074A-ms98-a-0032,122.829750,123.199750,kids,I,sd,u-37-2
sw4074A-ms98-a-0032,123.199750,123.414250,but,B,sd,u-37-3
sw4074A-ms98-a-0032,123.915125,124.109750,right,B,+,u-39-1
sw4074A-ms98-a-0032,124.109750,124.279750,now,I,+,u-39-1
sw4074A-ms98-a-0032,124.279750,124.389750,we,I,+,u-39-1
sw4074A-ms98-a-0032,124.389750,124.649750,haven't,I,+,u-39-1
sw4074A-ms98-a-0032,124.649750,124.819750,had,I,+,u-39-1
sw4074A-ms98-a-0032,124.819750,125.129750,any,I,+,u-39-1
sw4074A-ms98-a-0032,125.129750,125.359750,but,B,sd,u-39-2
sw4074A-ms98-a-0033,126.218875,126.328875,it's,I,sd,u-39-2
sw4074A-ms98-a-0033,126.328875,126.558875,pretty,I,sd,u-39-2
sw4074A-ms98-a-0033,126.558875,126.688875,good,I,sd,u-39-2
sw4074A-ms98-a-0033,126.688875,127.068875,training,I,sd,u-39-2
sw4074A-ms98-a-0033,127.068875,127.178875,i,I,sd,u-39-2
sw4074A-ms98-a-0033,127.178875,127.846125,think,I,sd,u-39-2
sw4074A-ms98-a-0033,128.471875,128.603625,i,I,sd,u-39-2
sw4074A-ms98-a-0033,128.603625,128.808875,mean,I,sd,u-39-2
sw4074A-ms98-a-0033,128.808875,128.943875,it,I,sd,u-39-2
sw4074A-ms98-a-0033,129.177500,129.348875,it,I,sd,u-39-2
sw4074A-ms98-a-0033,129.348875,129.648875,keeps,I,sd,u-39-2
sw4074A-ms98-a-0033,129.648875,129.808875,us,I,sd,u-39-2
sw4074A-ms98-a-0033,129.808875,129.918875,on,I,sd,u-39-2
sw4074A-ms98-a-0033,129.918875,130.008875,our,I,sd,u-39-2
sw4074A-ms98-a-0033,130.008875,130.508875,toes,I,sd,u-39-2
sw4074A-ms98-a-0033,130.508875,131.190750,[laughter],O,,
sw4074A-ms98-a-0035,133.617750,133.857750,uh,B,sd,u-41-1
sw4074A-ms98-a-0035,133.857750,134.027750,my,I,sd,u-41-1
sw4074A-ms98-a-0035,134.027750,134.407750,brother,I,sd,u-41-1
sw4074A-ms98-a-0035,134.407750,134.847750,has,I,sd,u-41-1
sw4074A-ms98-a-0035,134.847750,135.206500,um,B,sd,u-41-2
sw4074A-ms98-a-0035,135.522875,135.667750,we,I,sd,u-41-2
sw4074A-ms98-a-0035,135.667750,135.867750,didn't,I,sd,u-41-2
sw4074A-ms98-a-0035,135.867750,136.047750,do,I,sd,u-41-2
sw4074A-ms98-a-0035,136.047750,136.077750,a,I,sd,u-41-2
sw4074A-ms98-a-0035,136.077750,136.307750,lot,I,sd,u-41-2
sw4074A-ms98-a-0035,136.307750,136.537750,with,I,sd,u-41-2
sw4074A-ms98-a-0035,136.537750,136.787125,them_1,O,,
sw4074A-ms98-a-0035,137.386000,137.747750,um,B,sd,u-41-3
sw4074A-ms98-a-0035,137.747750,137.817750,i,I,sd,u-41-3
sw4074A-ms98-a-0035,137.817750,138.047750,never,I,sd,u-41-3
sw4074A-ms98-a-0035,138.047750,138.297750,felt,I,sd,u-41-3
sw4074A-ms98-a-0035,138.297750,138.427750,it,I,sd,u-41-3
sw4074A-ms98-a-0035,138.427750,138.607750,like,I,sd,u-41-3
sw4074A-ms98-a-0035,138.607750,138.677750,it,I,sd,u-41-3
sw4074A-ms98-a-0035,138.677750,138.975750,was,I,sd,u-41-3
sw4074A-ms98-a-0035,139.149000,139.527750,mine,I,sd,u-41-3
sw4074A-ms98-a-0035,139.527750,139.627750,or,I,sd,u-41-3
sw4074A-ms98-a-0035,139.627750,139.967750,anything,I,sd,u-41-3
sw4074A-ms98-a-0035,139.967750,140.027750,you,B,sd,u-41-4
sw4074A-ms98-a-0035,140.027750,140.397750,couldn't,I,sd,u-41-4
sw4074A-ms98-a-0035,140.397750,140.517750,do,I,sd,u-41-4
sw4074A-ms98-a-0035,140.517750,140.927250,anything,I,sd,u-41-4
sw4074A-ms98-a-0036,141.763500,142.130125,but,B,sd,u-43-1
sw4074A-ms98-a-0036,143.046625,143.204500,i,I,sd,u-43-1
sw4074A-ms98-a-0036,143.204500,143.451375,mean,I,sd,u-43-1
sw4074A-ms98-a-0036,143.632125,143.887500,it's,I,sd,u-43-1
sw4074A-ms98-a-0036,143.887500,143.970250,a,I,sd,u-43-1
sw4074A-ms98-a-0036,143.970250,144.108000,bit,I,sd,u-43-1
sw4074A-ms98-a-0036,144.108000,144.318000,more,I,sd,u-43-1
sw4074A-ms98-a-0036,144.318000,145.365750,responsibility,I,sd,u-43-1
sw4074A-ms98-a-0037,146.484250,146.714250,when,I,sd,u-43-1
sw4074A-ms98-a-0037,146.714250,146.894250,it's,I,sd,u-43-1
sw4074A-ms98-a-0037,146.894250,147.194250,yours,I,sd,u-43-1
sw4074A-ms98-a-0037,147.194250,147.294250,and,I,sd,u-43-1
sw4074A-ms98-a-0037,147.294250,147.444250,not,I,sd,u-43-1
sw4074A-ms98-a-0037,147.444250,147.534250,your,I,sd,u-43-1
sw4074A-ms98-a-0037,147.534250,148.147625,brother's,I,sd,u-43-1
sw4074A-ms98-a-0037,148.147625,148.928000,[laughter],O,,
sw4074A-ms98-a-0039,151.358750,151.628750,but,B,%,u-45-1
sw4074A-ms98-a-0041,163.042500,163.482500,um-hum,B,b,u-47-1
sw4074A-ms98-a-0043,168.276375,168.466375,that's,B,sd,u-49-1
sw4074A-ms98-a-0043,168.466375,168.556375,what,I,sd,u-49-1
sw4074A-ms98-a-0043,168.556375,168.696375,we,I,sd,u-49-1
sw4074A-ms98-a-0043,168.696375,168.966375,found,I,sd,u-49-1
sw4074A-ms98-a-0043,168.966375,169.136375,ours,B,sd,u-49-2
sw4074A-ms98-a-0043,169.136375,169.256375,is,I,sd,u-49-2
sw4074A-ms98-a-0043,169.256375,169.436375,uh,I,sd,u-49-2
sw4074A-ms98-a-0043,169.436375,169.646375,like,I,sd,u-49-2
sw4074A-ms98-a-0043,169.646375,169.946125,a,I,sd,u-49-2
sw4074A-ms98-a-0043,170.266375,171.193625,Cockapoo,I,sd,u-49-2
sw4074A-ms98-a-0043,171.633750,171.701625,i,B,sd,u-51-1
sw4074A-ms98-a-0043,171.701625,171.826375,think,I,sd,u-51-1
sw4074A-ms98-a-0043,171.826375,171.996375,it's,I,sd,u-51-1
sw4074A-ms98-a-0043,171.996375,172.216375,half,I,sd,u-51-1
sw4074A-ms98-a-0043,172.216375,172.546375,Cocker,I,sd,u-51-1
sw4074A-ms98-a-0043,172.546375,173.016375,Spaniel,I,sd,u-51-1
sw4074A-ms98-a-0043,173.016375,173.116375,and,I,sd,u-51-1
sw4074A-ms98-a-0043,173.116375,173.246375,half,I,sd,u-51-1
sw4074A-ms98-a-0043,173.246375,173.705625,Poodle,I,sd,u-51-1
sw4074A-ms98-a-0043,174.334625,174.626375,but,B,sd,u-53-1
sw4074A-ms98-a-0043,174.806375,175.036375,it's,I,sd,u-53-1
sw4074A-ms98-a-0043,175.036375,175.166375,a,I,sd,u-53-1
sw4074A-ms98-a-0043,175.166375,175.446375,really,I,sd,u-53-1
sw4074A-ms98-a-0043,175.446375,175.636375,good,I,sd,u-53-1
sw4074A-ms98-a-0043,175.636375,176.222375,dog,I,sd,u-53-1
sw4074A-ms98-a-0044,177.081875,177.147750,i,B,h,u-55-1
sw4074A-ms98-a-0044,177.147750,177.209875,don't,I,h,u-55-1
sw4074A-ms98-a-0044,177.209875,177.295250,know,I,h,u-55-1
sw4074A-ms98-a-0044,177.295250,177.408500,they,B,sv,u-55-2
sw4074A-ms98-a-0044,177.408500,177.678500,seem,I,sv,u-55-2
sw4074A-ms98-a-0044,177.678500,177.788500,to,I,sv,u-55-2
sw4074A-ms98-a-0044,177.788500,178.131750,be,I,sv,u-55-2
sw4074A-ms98-a-0044,178.610125,178.798500,i,I,sv,u-55-2
sw4074A-ms98-a-0044,178.798500,179.089875,mean,I,sv,u-55-2
sw4074A-ms98-a-0044,179.270625,179.668500,listen,I,sv,u-55-2
sw4074A-ms98-a-0044,179.668500,179.948500,better,I,sv,u-55-2
sw4074A-ms98-a-0044,179.948500,180.018500,or,I,sv,u-55-2
sw4074A-ms98-a-0044,180.018500,180.615375,something,I,sv,u-55-2
sw4074A-ms98-a-0044,181.278375,181.388500,is,B,qy,u-57-1
sw4074A-ms98-a-0044,181.388500,181.498500,your,I,qy,u-57-1
sw4074A-ms98-a-0044,181.498500,181.778500,cat,I,qy,u-57-1
sw4074A-ms98-a-0044,181.778500,181.828500,a,I,qy,u-57-1
sw4074A-ms98-a-0044,181.828500,182.558500,purebred,I,qy,u-57-1
sw4074A-ms98-a-0046,187.185250,188.611750,[laughter],O,,
sw4074A-ms98-a-0048,192.839750,193.358500,uh-huh,B,b,u-61-1
sw4074A-ms98-a-0050,199.892125,200.042125,would,B,qy,u-63-1
sw4074A-ms98-a-0050,200.042125,200.122125,you,I,qy,u-63-1
sw4074A-ms98-a-0050,200.122125,200.292125,ever,I,qy,u-63-1
sw4074A-ms98-a-0050,200.292125,200.476250,want,I,qy,u-63-1
sw4074A-ms98-a-0050,200.476250,200.570500,a,I,qy,u-63-1
sw4074A-ms98-a-0050,200.570500,201.071125,dog,I,qy,u-63-1
sw4074A-ms98-a-0050,201.071125,201.199125,in,I,qy,u-63-1
sw4074A-ms98-a-0050,201.199125,201.255500,the,I,qy,u-63-1
sw4074A-ms98-a-0050,201.255500,201.709625,family,I,qy,u-63-1
sw4074A-ms98-a-0052,214.423500,214.933500,um-hum,B,b,u-65-1
sw4074A-ms98-a-0054,221.105875,221.325875,oh,B,b,u-67-1
sw4074A-ms98-a-0054,221.325875,221.724625,yeah,I,b,u-67-1
sw4074A-ms98-a-0056,233.304375,233.974375,um-hum,B,b,u-69-1
sw4074A-ms98-a-0058,249.621125,249.949875,oh,B,b,u-71-1
sw4074A-ms98-a-0058,249.949875,250.311375,yeah,I,b,u-71-1
sw4074A-ms98-a-0060,260.520250,261.000250,um-hum,B,b,u-73-1
sw4074A-ms98-a-0062,270.421125,270.851125,um-hum,B,b,u-75-1
sw4074A-ms98-a-0064,287.929625,288.398625,um-hum,B,b,u-77-1
sw4074A-ms98-a-0066,292.763375,293.399625,wow,B,ba,u-79-1
sw4074A-ms98-a-0068,297.592625,297.710375,they,O,,
sw4074A-ms98-a-0068,297.710375,297.911875,just,B,sd,u-81-1
sw4074A-ms98-a-0068,297.911875,298.032625,need,I,sd,u-81-1
sw4074A-ms98-a-0068,298.032625,298.082625,a,I,sd,u-81-1
sw4074A-ms98-a-0068,298.082625,298.252625,lot,I,sd,u-81-1
sw4074A-ms98-a-0068,298.252625,298.332625,of,I,sd,u-81-1
sw4074A-ms98-a-0068,298.332625,298.626000,ti[me]-,O,,
