sw3152B-ms98-a-0003,16.623000,16.993000,well,B,%,u-2-1
sw3152B-ms98-a-0023,106.970625,107.374625,yeah,O,,
sw3152B-ms98-a-0024,108.276750,108.537875,yeah,B,ny,u-20-1
sw3152B-ms98-a-0024,108.537875,108.837875,sure,B,na,u-22-1
sw3152B-ms98-a-0024,108.837875,109.357875,did,I,na,u-22-1
sw3152B-ms98-a-0025,110.903500,111.459125,yeah,B,ny,u-24-1
sw3152B-ms98-a-0025,111.655000,111.776250,we,B,sd,u-24-2
sw3152B-ms98-a-0025,111.776250,111.866250,all,I,sd,u-24-2
sw3152B-ms98-a-0025,111.866250,112.016250,went,I,sd,u-24-2
sw3152B-ms98-a-0025,112.016250,112.126250,to,I,sd,u-24-2
sw3152B-ms98-a-0025,112.126250,112.316250,high,I,sd,u-24-2
sw3152B-ms98-a-0025,112.316250,112.666250,school,I,sd,u-24-2
sw3152B-ms98-a-0025,112.666250,113.236250,together,I,sd,u-24-2
sw3152B-ms98-a-0025,113.236250,113.478500,and,B,sd,u-24-3
sw3152B-ms98-a-0025,113.677125,113.796500,we're,I,sd,u-24-3
sw3152B-ms98-a-0025,113.796500,114.046250,still,I,sd,u-24-3
sw3152B-ms98-a-0025,114.046250,114.136250,in,I,sd,u-24-3
sw3152B-ms98-a-0025,114.136250,114.626250,contact,I,sd,u-24-3
sw3152B-ms98-a-0025,114.626250,114.756250,with,I,sd,u-24-3
sw3152B-ms98-a-0025,114.756250,114.936250,each,I,sd,u-24-3
sw3152B-ms98-a-0025,114.936250,115.268500,other,I,sd,u-24-3
sw3152B-ms98-a-0025,115.456750,115.556250,we,B,sd,u-26-1
sw3152B-ms98-a-0025,115.556250,115.739000,all,I,sd,u-26-1
sw3152B-ms98-a-0025,115.931125,116.056250,go,I,sd,u-26-1
sw3152B-ms98-a-0025,116.056250,116.306250,back,I,sd,u-26-1
sw3152B-ms98-a-0025,116.306250,116.476250,to,I,sd,u-26-1
sw3152B-ms98-a-0025,116.476250,116.856250,parents',I,sd,u-26-1
sw3152B-ms98-a-0025,116.856250,117.256250,houses,I,sd,u-26-1
sw3152B-ms98-a-0025,117.256250,117.376250,on,I,sd,u-26-1
sw3152B-ms98-a-0025,117.376250,117.436250,the,I,sd,u-26-1
sw3152B-ms98-a-0025,117.436250,117.866250,weekends,I,sd,u-26-1
sw3152B-ms98-a-0025,117.866250,117.996250,and,I,sd,u-26-1
sw3152B-ms98-a-0025,117.996250,118.156250,what,I,sd,u-26-1
sw3152B-ms98-a-0025,118.156250,118.496250,not,I,sd,u-26-1
sw3152B-ms98-a-0025,118.496250,118.773750,so,B,%,u-26-2
sw3152B-ms98-a-0027,124.922125,125.080625,oh,B,bh,u-28-1
sw3152B-ms98-a-0027,125.080625,125.526625,really,I,bh,u-28-1
sw3152B-ms98-a-0029,128.341750,128.476250,it,B,qy^g,u-30-1
sw3152B-ms98-a-0029,128.476250,128.606250,is,I,qy^g,u-30-1
sw3152B-ms98-a-0029,128.606250,128.736250,a,I,qy^g,u-30-1
sw3152B-ms98-a-0029,128.736250,129.246250,small,I,qy^g,u-30-1
sw3152B-ms98-a-0029,129.246250,129.646250,world,I,qy^g,u-30-1
sw3152B-ms98-a-0029,129.646250,129.866250,isn't,I,qy^g,u-30-1
sw3152B-ms98-a-0029,129.866250,130.102375,it,I,qy^g,u-30-1
sw3152B-ms98-a-0031,133.219875,133.454875,yeah,B,b,u-32-1
sw3152B-ms98-a-0031,133.454875,133.627625,he,O,,
sw3152B-ms98-a-0031,133.854750,133.912500,a,B,sv,u-32-2
sw3152B-ms98-a-0031,133.912500,134.063500,pretty,I,sv,u-32-2
sw3152B-ms98-a-0031,134.063500,134.473500,nice,I,sv,u-32-2
sw3152B-ms98-a-0031,134.473500,135.259375,guy,I,sv,u-32-2
sw3152B-ms98-a-0032,136.328375,136.578375,yeah,B,aa,u-34-1
sw3152B-ms98-a-0032,136.578375,137.022875,[laughter],O,,
sw3152B-ms98-a-0032,137.022875,137.108000,well,B,sd,u-34-2
sw3152B-ms98-a-0032,137.108000,137.178000,i,I,sd,u-34-2
sw3152B-ms98-a-0032,137.178000,137.368000,never,I,sd,u-34-2
sw3152B-ms98-a-0032,137.368000,137.398000,i,I,sd,u-34-2
sw3152B-ms98-a-0032,137.398000,137.548000,had,I,sd,u-34-2
sw3152B-ms98-a-0032,137.548000,137.618000,to,I,sd,u-34-2
sw3152B-ms98-a-0032,137.618000,137.858000,work,I,sd,u-34-2
sw3152B-ms98-a-0032,137.858000,138.108000,for,I,sd,u-34-2
sw3152B-ms98-a-0032,138.108000,138.248000,him,I,sd,u-34-2
sw3152B-ms98-a-0032,138.248000,138.398000,and,B,sd,u-34-3
sw3152B-ms98-a-0032,138.398000,138.638000,i,I,sd,u-34-3
sw3152B-ms98-a-0032,138.766125,138.968000,never,I,sd,u-34-3
sw3152B-ms98-a-0032,138.968000,139.218000,would,I,sd,u-34-3
sw3152B-ms98-a-0032,139.218000,139.388000,want,I,sd,u-34-3
sw3152B-ms98-a-0032,139.388000,139.448000,to,I,sd,u-34-3
sw3152B-ms98-a-0032,139.448000,139.688000,work,I,sd,u-34-3
sw3152B-ms98-a-0032,139.688000,139.968000,for,I,sd,u-34-3
sw3152B-ms98-a-0032,139.968000,140.108000,him,I,sd,u-34-3
sw3152B-ms98-a-0032,140.108000,141.247750,[laughter-so],O,,
sw3152B-ms98-a-0034,144.888750,145.417125,yeah,O,,
sw3152B-ms98-a-0036,148.948500,149.469750,yeah,B,aa,u-36-1
sw3152B-ms98-a-0036,149.469750,149.599750,he,B,sd,u-36-2
sw3152B-ms98-a-0036,149.599750,149.859750,sure,I,sd,u-36-2
sw3152B-ms98-a-0036,149.859750,149.989750,is,I,sd,u-36-2
sw3152B-ms98-a-0036,149.989750,150.089750,he,B,sd,u-36-3
sw3152B-ms98-a-0036,150.089750,150.279750,just,I,sd,u-36-3
sw3152B-ms98-a-0036,150.279750,150.599750,became,I,sd,u-36-3
sw3152B-ms98-a-0036,150.599750,150.659750,a,I,sd,u-36-3
sw3152B-ms98-a-0036,150.659750,151.543250,grandfather,I,sd,u-36-3
sw3152B-ms98-a-0038,154.722250,154.862500,uh,B,aa,u-38-1
sw3152B-ms98-a-0038,154.862500,155.524875,uh-huh,I,aa,u-38-1
sw3152B-ms98-a-0038,155.946750,156.172250,yeah,B,aa,u-38-2
sw3152B-ms98-a-0038,156.172250,156.282250,they,B,sd,u-38-3
sw3152B-ms98-a-0038,156.282250,156.512250,just,I,sd,u-38-3
sw3152B-ms98-a-0038,156.512250,156.632250,had,I,sd,u-38-3
sw3152B-ms98-a-0038,156.632250,156.692250,the,I,sd,u-38-3
sw3152B-ms98-a-0038,156.692250,157.002250,baby's,I,sd,u-38-3
sw3152B-ms98-a-0038,157.002250,157.712250,christening,I,sd,u-38-3
sw3152B-ms98-a-0038,157.712250,158.092625,so,B,%,u-38-4
sw3152B-ms98-a-0039,159.314625,159.516625,it,B,sd,u-40-1
sw3152B-ms98-a-0039,159.516625,159.676625,was,I,sd,u-40-1
sw3152B-ms98-a-0039,159.676625,159.976625,really,I,sd,u-40-1
sw3152B-ms98-a-0039,159.976625,160.569375,nice,I,sd,u-40-1
sw3152B-ms98-a-0039,160.572375,160.825500,so,I,sd,u-40-1
sw3152B-ms98-a-0040,161.948250,162.163500,he's,B,sd,u-42-1
sw3152B-ms98-a-0040,162.163500,162.193500,a,I,sd,u-42-1
sw3152B-ms98-a-0040,162.193500,162.373500,little,I,sd,u-42-1
sw3152B-ms98-a-0040,162.373500,163.005125,boy,I,sd,u-42-1
sw3152B-ms98-a-0042,165.185250,165.305250,i,B,sd,u-44-1
sw3152B-ms98-a-0042,165.305250,165.625250,can't,I,sd,u-44-1
sw3152B-ms98-a-0042,165.625250,165.775250,it,B,%,u-44-2
sw3152B-ms98-a-0042,165.775250,165.995250,it's,I,%,u-44-2
sw3152B-ms98-a-0042,165.995250,166.156625,a,I,%,u-44-2
sw3152B-ms98-a-0043,167.716625,168.026625,oh,B,fe,u-44-3
sw3152B-ms98-a-0043,168.026625,168.458125,gosh,I,fe,u-44-3
sw3152B-ms98-a-0043,168.759500,168.836625,it's,B,sd,u-44-4
sw3152B-ms98-a-0043,168.836625,169.006625,like,I,sd,u-44-4
sw3152B-ms98-a-0043,169.006625,169.716625,Elijah,I,sd,u-44-4
sw3152B-ms98-a-0043,169.716625,169.846625,or,I,sd,u-44-4
sw3152B-ms98-a-0043,169.846625,170.246625,something,I,sd,u-44-4
sw3152B-ms98-a-0043,170.246625,170.446625,like,I,sd,u-44-4
sw3152B-ms98-a-0043,170.446625,170.804500,that,I,sd,u-44-4
sw3152B-ms98-a-0044,172.033375,172.135375,i,B,sd,u-46-1
sw3152B-ms98-a-0044,172.135375,172.353375,keep,I,sd,u-46-1
sw3152B-ms98-a-0044,172.353375,172.913375,forgetting,I,sd,u-46-1
sw3152B-ms98-a-0044,172.913375,173.092500,what,I,sd,u-46-1
sw3152B-ms98-a-0044,173.235625,173.529625,what,I,sd,u-46-1
sw3152B-ms98-a-0044,173.830875,174.033375,she,I,sd,u-46-1
sw3152B-ms98-a-0044,174.033375,174.423375,named,I,sd,u-46-1
sw3152B-ms98-a-0044,174.423375,174.625500,him,I,sd,u-46-1
sw3152B-ms98-a-0045,176.075250,176.299375,his,B,sd,u-48-1
sw3152B-ms98-a-0045,176.299375,176.539375,middle,I,sd,u-48-1
sw3152B-ms98-a-0045,176.539375,176.886375,name,I,sd,u-48-1
sw3152B-ms98-a-0045,176.886375,177.059375,is,I,sd,u-48-1
sw3152B-ms98-a-0045,177.059375,177.729375,Chris,I,sd,u-48-1
sw3152B-ms98-a-0045,177.729375,177.809375,or,I,sd,u-48-1
sw3152B-ms98-a-0045,177.809375,178.444625,Christopher,I,sd,u-48-1
sw3152B-ms98-a-0045,178.666875,178.972000,for,I,sd,u-48-1
sw3152B-ms98-a-0045,179.333500,179.468625,for,B,+,u-50-1
sw3152B-ms98-a-0045,179.468625,179.589125,her,I,+,u-50-1
sw3152B-ms98-a-0045,179.589125,179.959375,daddy,I,+,u-50-1
sw3152B-ms98-a-0045,179.959375,180.109375,but,B,sd^r,u-50-2
sw3152B-ms98-a-0045,180.109375,180.139375,i,I,sd^r,u-50-2
sw3152B-ms98-a-0045,180.139375,181.189375,think,I,sd^r,u-50-2
sw3152B-ms98-a-0045,181.189375,181.349375,it's,I,sd^r,u-50-2
sw3152B-ms98-a-0045,181.349375,182.146125,Elijah,I,sd^r,u-50-2
sw3152B-ms98-a-0046,183.113375,183.149375,it,B,sd,u-52-1
sw3152B-ms98-a-0046,183.149375,183.464500,starts,I,sd,u-52-1
sw3152B-ms98-a-0046,183.464500,183.614500,with,I,sd,u-52-1
sw3152B-ms98-a-0046,183.614500,183.714500,an,I,sd,u-52-1
sw3152B-ms98-a-0046,183.714500,184.154500,E,I,sd,u-52-1
sw3152B-ms98-a-0047,185.114000,185.188625,i,B,h,u-54-1
sw3152B-ms98-a-0047,185.188625,185.397875,can't,I,h,u-54-1
sw3152B-ms98-a-0047,185.397875,185.849500,remember,I,h,u-54-1
sw3152B-ms98-a-0048,185.979375,186.414625,[laughter],O,,
sw3152B-ms98-a-0050,190.416750,190.956000,yes,B,ny,u-56-1
sw3152B-ms98-a-0050,191.539875,192.085875,yeah,B,b,u-58-1
sw3152B-ms98-a-0050,192.326875,192.506750,we've,B,sd,u-58-2
sw3152B-ms98-a-0050,192.506750,192.846750,heard,I,sd,u-58-2
sw3152B-ms98-a-0050,192.846750,193.226750,them,I,sd,u-58-2
sw3152B-ms98-a-0050,193.226750,193.463625,and,I,sd,u-58-2
sw3152B-ms98-a-0050,193.998500,194.395750,liked,I,sd,u-58-2
sw3152B-ms98-a-0050,194.572750,194.916750,liked,I,sd,u-58-2
sw3152B-ms98-a-0050,194.916750,195.026750,it,I,sd,u-58-2
sw3152B-ms98-a-0050,195.026750,195.216750,real,I,sd,u-58-2
sw3152B-ms98-a-0050,195.216750,195.676250,well,I,sd,u-58-2
sw3152B-ms98-a-0050,196.218625,196.326750,of,I,sd,u-58-2
sw3152B-ms98-a-0050,196.326750,196.846750,course,I,sd,u-58-2
sw3152B-ms98-a-0050,196.846750,197.156750,[laughter],O,,
sw3152B-ms98-a-0052,201.038750,201.588250,um,B,sd,u-60-1
sw3152B-ms98-a-0053,203.981000,204.361000,actually,I,sd,u-60-1
sw3152B-ms98-a-0053,204.361000,204.481000,one,I,sd,u-60-1
sw3152B-ms98-a-0053,204.481000,204.541000,of,I,sd,u-60-1
sw3152B-ms98-a-0053,204.541000,204.651000,my,I,sd,u-60-1
sw3152B-ms98-a-0053,204.651000,205.151000,favorite,I,sd,u-60-1
sw3152B-ms98-a-0053,205.151000,205.691000,instruments,I,sd,u-60-1
sw3152B-ms98-a-0053,205.691000,205.801000,is,I,sd,u-60-1
sw3152B-ms98-a-0053,205.801000,205.861000,a,I,sd,u-60-1
sw3152B-ms98-a-0053,205.861000,206.741000,harpsichord,I,sd,u-60-1
sw3152B-ms98-a-0054,207.558750,207.678750,i,B,sd,u-62-1
sw3152B-ms98-a-0054,207.678750,208.018750,really,I,sd,u-62-1
sw3152B-ms98-a-0054,208.018750,208.318750,like,I,sd,u-62-1
sw3152B-ms98-a-0054,208.318750,208.498750,those,I,sd,u-62-1
sw3152B-ms98-a-0054,208.498750,208.608750,in,B,sd,u-62-2
sw3152B-ms98-a-0054,208.608750,208.898750,fact,I,sd,u-62-2
sw3152B-ms98-a-0054,208.898750,209.006000,i,I,sd,u-62-2
sw3152B-ms98-a-0054,209.006000,209.335750,had,I,sd,u-62-2
sw3152B-ms98-a-0054,209.868250,209.977500,a,I,sd,u-62-2
sw3152B-ms98-a-0054,209.977500,210.548750,harpsichord,I,sd,u-62-2
sw3152B-ms98-a-0054,210.548750,210.968750,played,I,sd,u-62-2
sw3152B-ms98-a-0054,210.968750,211.088750,at,I,sd,u-62-2
sw3152B-ms98-a-0054,211.088750,211.318500,my,I,sd,u-62-2
sw3152B-ms98-a-0054,211.318500,211.828750,wedding,I,sd,u-62-2
sw3152B-ms98-a-0055,212.669875,213.186875,yeah,B,ny,u-64-1
sw3152B-ms98-a-0056,213.843250,214.093250,which,B,sd,u-66-1
sw3152B-ms98-a-0056,214.093250,214.283250,was,I,sd,u-66-1
sw3152B-ms98-a-0056,214.283250,214.473250,real,I,sd,u-66-1
sw3152B-ms98-a-0056,214.473250,214.873250,nice,I,sd,u-66-1
sw3152B-ms98-a-0056,214.873250,214.923250,i,B,sd,u-66-2
sw3152B-ms98-a-0056,214.923250,215.093250,got,I,sd,u-66-2
sw3152B-ms98-a-0056,215.093250,215.410500,married,I,sd,u-66-2
sw3152B-ms98-a-0056,215.696750,216.012375,uh,I,sd,u-66-2
sw3152B-ms98-a-0056,216.215750,216.353250,during,I,sd,u-66-2
sw3152B-ms98-a-0056,216.353250,216.413250,the,I,sd,u-66-2
sw3152B-ms98-a-0056,216.413250,216.913250,Christmas,I,sd,u-66-2
sw3152B-ms98-a-0056,216.913250,217.273250,season,I,sd,u-66-2
sw3152B-ms98-a-0056,217.273250,217.510750,and,B,sd,u-66-3
sw3152B-ms98-a-0056,217.510750,217.819875,w[e]-,I,sd,u-66-3
sw3152B-ms98-a-0056,217.819875,217.959250,we,I,sd,u-66-3
sw3152B-ms98-a-0056,217.959250,218.431375,played,I,sd,u-66-3
sw3152B-ms98-a-0056,218.431375,218.802000,uh,I,sd,u-66-3
sw3152B-ms98-a-0056,219.254000,219.443250,old,I,sd,u-66-3
sw3152B-ms98-a-0056,219.443250,219.833250,fashioned,I,sd,u-66-3
sw3152B-ms98-a-0056,219.833250,220.273250,Christmas,I,sd,u-66-3
sw3152B-ms98-a-0056,220.273250,220.768000,carols,I,sd,u-66-3
sw3152B-ms98-a-0056,221.193625,221.713250,instead,I,sd,u-66-3
sw3152B-ms98-a-0056,221.713250,221.870250,of,I,sd,u-66-3
sw3152B-ms98-a-0056,222.375000,222.833250,normal,I,sd,u-66-3
sw3152B-ms98-a-0056,222.833250,223.163250,wedding,I,sd,u-66-3
sw3152B-ms98-a-0056,223.163250,223.743250,marches,I,sd,u-66-3
sw3152B-ms98-a-0056,223.743250,223.943250,and,I,sd,u-66-3
sw3152B-ms98-a-0056,223.943250,224.093250,what,I,sd,u-66-3
sw3152B-ms98-a-0056,224.093250,224.437000,not,I,sd,u-66-3
sw3152B-ms98-a-0056,224.809875,224.943250,and,B,sd,u-66-4
sw3152B-ms98-a-0056,224.943250,225.013250,it,I,sd,u-66-4
sw3152B-ms98-a-0056,225.013250,225.173250,was,I,sd,u-66-4
sw3152B-ms98-a-0056,225.173250,225.343250,real,I,sd,u-66-4
sw3152B-ms98-a-0056,225.343250,225.713250,nice,I,sd,u-66-4
sw3152B-ms98-a-0056,225.713250,225.803250,i,B,sd,u-66-5
sw3152B-ms98-a-0056,225.803250,226.083250,liked,I,sd,u-66-5
sw3152B-ms98-a-0056,226.083250,226.253250,that,I,sd,u-66-5
sw3152B-ms98-a-0056,226.253250,226.340625,a,I,sd,u-66-5
sw3152B-ms98-a-0056,226.340625,226.648750,lot,I,sd,u-66-5
sw3152B-ms98-a-0057,227.447125,227.537750,i,B,sd,u-68-1
sw3152B-ms98-a-0057,227.537750,227.763375,liked,I,sd,u-68-1
sw3152B-ms98-a-0057,227.763375,227.833375,the,I,sd,u-68-1
sw3152B-ms98-a-0057,227.833375,228.303375,sound,I,sd,u-68-1
sw3152B-ms98-a-0057,228.303375,228.363375,of,I,sd,u-68-1
sw3152B-ms98-a-0057,228.363375,228.453375,the,I,sd,u-68-1
sw3152B-ms98-a-0057,228.453375,229.220125,harpsichord,I,sd,u-68-1
sw3152B-ms98-a-0059,231.793375,231.925500,no,B,nn,u-70-1
sw3152B-ms98-a-0059,231.925500,232.255500,somebody,B,sd^e,u-70-2
sw3152B-ms98-a-0059,232.255500,232.565500,played,I,sd^e,u-70-2
sw3152B-ms98-a-0059,232.565500,232.682500,it,I,sd^e,u-70-2
sw3152B-ms98-a-0061,236.605375,236.835375,no,B,nn,u-72-1
sw3152B-ms98-a-0061,236.835375,237.025375,no,B,nn^r,u-72-2
sw3152B-ms98-a-0061,237.025375,237.185375,no,B,nn^r,u-72-3
sw3152B-ms98-a-0061,237.185375,237.335375,no,B,nn^r,u-72-4
sw3152B-ms98-a-0061,237.335375,237.645375,no,B,nn^r,u-72-5
