sw4327A-ms98-a-0001,0.062250,0.258000,right,B,o,u-1-1
sw4327A-ms98-a-0003,20.696125,20.896125,whether,I,sd,u-1-9
sw4327A-ms98-a-0003,20.896125,21.036125,you're,I,sd,u-1-9
sw4327A-ms98-a-0003,21.036125,21.386125,guilty,I,sd,u-1-9
sw4327A-ms98-a-0003,21.386125,21.466125,or,I,sd,u-1-9
sw4327A-ms98-a-0003,21.466125,21.670375,not,I,sd,u-1-9
sw4327A-ms98-a-0005,27.890000,28.632875,[laughter],O,,
sw4327A-ms98-a-0007,47.900625,48.254625,uh-huh,B,b,u-5-1
sw4327A-ms98-a-0009,57.071000,57.611375,wow,B,ba,u-7-1
sw4327A-ms98-a-0011,67.226250,67.459750,well,B,h,u-9-1
sw4327A-ms98-a-0011,67.459750,67.549750,you,I,h,u-9-1
sw4327A-ms98-a-0011,67.549750,67.669750,know,I,h,u-9-1
sw4327A-ms98-a-0011,67.669750,67.899750,it's,I,h,u-9-1
sw4327A-ms98-a-0011,67.899750,68.109750,it's,I,h,u-9-1
sw4327A-ms98-a-0011,68.109750,68.249750,one,I,h,u-9-1
sw4327A-ms98-a-0011,68.249750,68.339750,of,I,h,u-9-1
sw4327A-ms98-a-0011,68.339750,68.569750,those,I,h,u-9-1
sw4327A-ms98-a-0011,68.569750,68.839750,things,I,h,u-9-1
sw4327A-ms98-a-0011,68.839750,68.879750,i,B,sd,u-9-2
sw4327A-ms98-a-0011,68.879750,69.189750,mean,I,sd,u-9-2
sw4327A-ms98-a-0011,69.189750,69.404250,uh,I,sd,u-9-2
sw4327A-ms98-a-0011,69.878750,70.378250,uh,I,sd,u-9-2
sw4327A-ms98-a-0011,71.380125,71.579750,i,I,sd,u-9-2
sw4327A-ms98-a-0011,71.579750,71.749750,would,I,sd,u-9-2
sw4327A-ms98-a-0011,71.749750,71.869750,have,I,sd,u-9-2
sw4327A-ms98-a-0011,71.869750,72.039750,to,I,sd,u-9-2
sw4327A-ms98-a-0011,72.039750,72.209750,look,I,sd,u-9-2
sw4327A-ms98-a-0011,72.209750,72.488875,at,I,sd,u-9-2
sw4327A-ms98-a-0011,72.488875,72.719750,that,O,,
sw4327A-ms98-a-0011,72.719750,72.889750,if,B,sv,u-9-3
sw4327A-ms98-a-0011,72.889750,73.019750,they,I,sv,u-9-3
sw4327A-ms98-a-0011,73.019750,73.219750,did,I,sv,u-9-3
sw4327A-ms98-a-0011,73.219750,73.319750,it,I,sv,u-9-3
sw4327A-ms98-a-0011,73.319750,73.777500,with,I,sv,u-9-3
sw4327A-ms98-a-0011,74.178875,74.783250,the,I,sv,u-9-3
sw4327A-ms98-a-0011,75.088125,75.607625,uh,I,sv,u-9-3
sw4327A-ms98-a-0012,76.167750,76.432625,just,I,sv,u-9-3
sw4327A-ms98-a-0012,76.432625,76.512625,the,I,sv,u-9-3
sw4327A-ms98-a-0012,76.512625,77.353250,judges,I,sv,u-9-3
sw4327A-ms98-a-0012,77.891875,78.062500,the,I,sv,u-9-3
sw4327A-ms98-a-0012,78.062500,78.544500,police,I,sv,u-9-3
sw4327A-ms98-a-0012,78.544500,78.752625,have,I,sv,u-9-3
sw4327A-ms98-a-0012,78.752625,78.872625,to,I,sv,u-9-3
sw4327A-ms98-a-0012,78.872625,78.962625,do,I,sv,u-9-3
sw4327A-ms98-a-0012,78.962625,79.131875,a,I,sv,u-9-3
sw4327A-ms98-a-0012,79.131875,79.324000,lot,I,sv,u-9-3
sw4327A-ms98-a-0012,79.324000,79.592625,better,I,sv,u-9-3
sw4327A-ms98-a-0012,79.592625,80.123750,job,I,sv,u-9-3
sw4327A-ms98-a-0012,80.511625,80.963000,of,I,sv,u-9-3
sw4327A-ms98-a-0012,81.226625,81.562625,making,I,sv,u-9-3
sw4327A-ms98-a-0012,81.562625,82.022625,sure,I,sv,u-9-3
sw4327A-ms98-a-0012,82.022625,82.212625,that,I,sv,u-9-3
sw4327A-ms98-a-0012,82.212625,82.442625,their,I,sv,u-9-3
sw4327A-ms98-a-0012,82.442625,82.962625,evidence,I,sv,u-9-3
sw4327A-ms98-a-0012,82.962625,83.293375,is,I,sv,u-9-3
sw4327A-ms98-a-0012,83.359875,84.032375,airtight,I,sv,u-9-3
sw4327A-ms98-a-0013,84.542875,84.888000,because,B,sd,u-9-4
sw4327A-ms98-a-0013,84.888000,84.948000,the,I,sd,u-9-4
sw4327A-ms98-a-0013,84.948000,85.567000,judges,I,sd,u-9-4
sw4327A-ms98-a-0013,85.740250,86.028000,sitting,I,sd,u-9-4
sw4327A-ms98-a-0013,86.028000,86.098000,in,I,sd,u-9-4
sw4327A-ms98-a-0013,86.098000,86.258000,that,I,sd,u-9-4
sw4327A-ms98-a-0013,86.258000,86.398000,kind,I,sd,u-9-4
sw4327A-ms98-a-0013,86.398000,86.458000,of,I,sd,u-9-4
sw4327A-ms98-a-0013,86.458000,86.728000,stuff,I,sd,u-9-4
sw4327A-ms98-a-0013,86.898000,87.208000,day,I,sd,u-9-4
sw4327A-ms98-a-0013,87.208000,87.468000,after,I,sd,u-9-4
sw4327A-ms98-a-0013,87.468000,87.818000,day,I,sd,u-9-4
sw4327A-ms98-a-0013,87.818000,87.958000,they,I,sd,u-9-4
sw4327A-ms98-a-0013,87.958000,88.258000,know,I,sd,u-9-4
sw4327A-ms98-a-0013,88.258000,88.388000,all,I,sd,u-9-4
sw4327A-ms98-a-0013,88.388000,88.448000,the,I,sd,u-9-4
sw4327A-ms98-a-0013,88.448000,89.108000,procedures,I,sd,u-9-4
sw4327A-ms98-a-0013,89.108000,89.238000,they,B,sd,u-9-5
sw4327A-ms98-a-0013,89.238000,89.448000,know,I,sd,u-9-5
sw4327A-ms98-a-0013,89.448000,89.728000,what's,I,sd,u-9-5
sw4327A-ms98-a-0013,89.728000,89.978000,good,I,sd,u-9-5
sw4327A-ms98-a-0013,89.978000,90.098000,and,I,sd,u-9-5
sw4327A-ms98-a-0013,90.098000,90.218000,what,I,sd,u-9-5
sw4327A-ms98-a-0013,90.218000,90.597750,isn't,I,sd,u-9-5
sw4327A-ms98-a-0013,91.027125,91.188000,they'd,B,sd(^q),u-9-6
sw4327A-ms98-a-0013,91.188000,91.318000,be,I,sd(^q),u-9-6
sw4327A-ms98-a-0013,91.318000,91.468000,able,I,sd(^q),u-9-6
sw4327A-ms98-a-0013,91.468000,91.528000,to,I,sd(^q),u-9-6
sw4327A-ms98-a-0013,91.528000,91.818000,say,I,sd(^q),u-9-6
sw4327A-ms98-a-0013,91.818000,91.928000,i'm,I,sd(^q),u-9-6
sw4327A-ms98-a-0013,91.928000,92.348000,sorry,I,sd(^q),u-9-6
sw4327A-ms98-a-0013,92.348000,92.498000,you,B,^q,u-9-7
sw4327A-ms98-a-0013,92.498000,92.845750,can't,I,^q,u-9-7
sw4327A-ms98-a-0014,93.464375,93.824375,use,I,^q,u-9-7
sw4327A-ms98-a-0014,93.824375,94.134375,this,I,^q,u-9-7
sw4327A-ms98-a-0014,94.134375,94.584375,as,I,^q,u-9-7
sw4327A-ms98-a-0014,94.584375,95.264375,uh,I,^q,u-9-7
sw4327A-ms98-a-0014,95.264375,95.848500,evidence,I,^q,u-9-7
sw4327A-ms98-a-0014,96.036750,96.114375,you,I,^q,u-9-7
sw4327A-ms98-a-0014,96.114375,96.234375,know,I,^q,u-9-7
sw4327A-ms98-a-0014,96.234375,96.554375,because,I,^q,u-9-7
sw4327A-ms98-a-0014,96.554375,96.624375,it,I,^q,u-9-7
sw4327A-ms98-a-0014,96.624375,96.842500,was,I,^q,u-9-7
sw4327A-ms98-a-0014,96.842500,97.094375,either,I,^q,u-9-7
sw4327A-ms98-a-0014,97.094375,97.624375,illegally,I,^q,u-9-7
sw4327A-ms98-a-0014,97.624375,98.304375,obtained,I,^q,u-9-7
sw4327A-ms98-a-0014,98.304375,98.484375,or,I,^q,u-9-7
sw4327A-ms98-a-0014,98.484375,98.930375,whatever,I,^q,u-9-7
sw4327A-ms98-a-0014,99.359750,99.574375,and,B,sd,u-9-8
sw4327A-ms98-a-0014,99.884375,99.964375,you,I,sd,u-9-8
sw4327A-ms98-a-0014,99.964375,100.034375,know,I,sd,u-9-8
sw4327A-ms98-a-0014,100.034375,100.134375,you,I,sd,u-9-8
sw4327A-ms98-a-0014,100.134375,100.394375,wouldn't,I,sd,u-9-8
sw4327A-ms98-a-0014,100.394375,100.634375,have,I,sd,u-9-8
sw4327A-ms98-a-0014,100.634375,100.974375,this,I,sd,u-9-8
sw4327A-ms98-a-0014,100.974375,101.239000,uh,I,sd,u-9-8
sw4327A-ms98-a-0015,101.804375,102.024375,uh,I,sd,u-9-8
sw4327A-ms98-a-0015,102.024375,102.704375,theatrics,I,sd,u-9-8
sw4327A-ms98-a-0015,102.704375,102.794375,where,I,sd,u-9-8
sw4327A-ms98-a-0015,102.794375,102.874375,the,I,sd,u-9-8
sw4327A-ms98-a-0015,102.874375,103.194375,lawyer,I,sd,u-9-8
sw4327A-ms98-a-0015,103.194375,103.524375,jumps,I,sd,u-9-8
sw4327A-ms98-a-0015,103.524375,103.744375,up,I,sd,u-9-8
sw4327A-ms98-a-0015,103.744375,103.940750,and,I,sd,u-9-8
sw4327A-ms98-a-0015,104.264625,104.684375,presents,I,sd,u-9-8
sw4327A-ms98-a-0015,104.684375,104.804375,it,I,sd,u-9-8
sw4327A-ms98-a-0015,104.804375,104.914375,to,I,sd,u-9-8
sw4327A-ms98-a-0015,104.914375,105.060875,the,I,sd,u-9-8
sw4327A-ms98-a-0015,105.286875,105.404375,to,I,sd,u-9-8
sw4327A-ms98-a-0015,105.404375,105.494375,the,I,sd,u-9-8
sw4327A-ms98-a-0015,105.494375,105.924375,jury,I,sd,u-9-8
sw4327A-ms98-a-0015,105.924375,106.114375,and,B,sd(^q),u-9-9
sw4327A-ms98-a-0015,106.114375,106.244375,then,I,sd(^q),u-9-9
sw4327A-ms98-a-0015,106.244375,106.314375,the,I,sd(^q),u-9-9
sw4327A-ms98-a-0015,106.314375,106.614375,judge,I,sd(^q),u-9-9
sw4327A-ms98-a-0015,106.614375,106.814375,says,I,sd(^q),u-9-9
sw4327A-ms98-a-0015,106.814375,106.944375,oh,I,sd(^q),u-9-9
sw4327A-ms98-a-0015,106.944375,107.290125,no,I,sd(^q),u-9-9
sw4327A-ms98-a-0015,107.663000,107.914375,d[isregard]-,O,,
sw4327A-ms98-a-0015,107.914375,108.464375,disregard,B,^q,u-9-10
sw4327A-ms98-a-0015,108.464375,108.704375,that,I,^q,u-9-10
sw4327A-ms98-a-0015,108.704375,108.834375,come,B,o,u-9-11
sw4327A-ms98-a-0015,108.834375,109.045500,on,I,o,u-9-11
sw4327A-ms98-a-0015,109.433375,109.654375,any,B,sv,u-9-12
sw4327A-ms98-a-0015,109.654375,110.064375,jury's,I,sv,u-9-12
sw4327A-ms98-a-0015,110.064375,110.264375,not,I,sv,u-9-12
sw4327A-ms98-a-0015,110.264375,110.384375,going,I,sv,u-9-12
sw4327A-ms98-a-0015,110.384375,110.444375,to,I,sv,u-9-12
sw4327A-ms98-a-0015,110.444375,111.004375,disregard,I,sv,u-9-12
sw4327A-ms98-a-0015,111.004375,111.134375,the,I,sv,u-9-12
sw4327A-ms98-a-0015,111.134375,111.514375,evidence,I,sv,u-9-12
sw4327A-ms98-a-0015,111.514375,111.604375,you,I,sv,u-9-12
sw4327A-ms98-a-0015,111.604375,111.871000,know,I,sv,u-9-12
sw4327A-ms98-a-0015,111.871000,112.515000,[laughter],O,,
sw4327A-ms98-a-0017,116.894125,117.124125,that,B,sd,u-11-1
sw4327A-ms98-a-0017,117.124125,117.264125,may,I,sd,u-11-1
sw4327A-ms98-a-0017,117.264125,117.544125,very,I,sd,u-11-1
sw4327A-ms98-a-0017,117.544125,117.754125,well,I,sd,u-11-1
sw4327A-ms98-a-0017,117.754125,118.117875,be,I,sd,u-11-1
sw4327A-ms98-a-0019,120.660000,120.805375,uh,B,%,u-13-1
sw4327A-ms98-a-0019,120.805375,121.162625,that's,O,,
sw4327A-ms98-a-0019,121.162625,121.301625,a,O,,
sw4327A-ms98-a-0021,154.241500,154.580125,yeah,B,b,u-15-1
sw4327A-ms98-a-0023,157.121625,157.361625,that's,B,aa,u-17-1
sw4327A-ms98-a-0023,157.361625,157.813125,true,I,aa,u-17-1
sw4327A-ms98-a-0023,158.050375,158.141625,you,B,%,u-17-2
sw4327A-ms98-a-0023,158.141625,158.241625,do,O,,
sw4327A-ms98-a-0023,158.241625,158.410000,have,O,,
sw4327A-ms98-a-0023,158.410000,158.494375,a,O,,
sw4327A-ms98-a-0025,160.524125,160.799750,well,B,qo,u-19-1
sw4327A-ms98-a-0025,161.263125,161.549875,how,B,+,u-21-1
sw4327A-ms98-a-0025,161.549875,161.709875,would,I,+,u-21-1
sw4327A-ms98-a-0025,161.709875,161.819875,you,I,+,u-21-1
sw4327A-ms98-a-0025,161.819875,161.939875,go,I,+,u-21-1
sw4327A-ms98-a-0025,161.939875,162.189875,about,I,+,u-21-1
sw4327A-ms98-a-0025,162.189875,162.609875,changing,I,+,u-21-1
sw4327A-ms98-a-0025,162.609875,162.715250,it,I,+,u-21-1
sw4327A-ms98-a-0027,167.038500,168.780750,[laughter],O,,
sw4327A-ms98-a-0027,168.780750,168.950750,leave,B,^2,u-25-1
sw4327A-ms98-a-0027,168.950750,169.020750,the,I,^2,u-25-1
sw4327A-ms98-a-0027,169.020750,169.462625,details,I,^2,u-25-1
sw4327A-ms98-a-0027,169.462625,169.600750,up,I,^2,u-25-1
sw4327A-ms98-a-0027,169.600750,169.700750,to,I,^2,u-25-1
sw4327A-ms98-a-0027,169.700750,170.020750,somebody,I,^2,u-25-1
sw4327A-ms98-a-0027,170.020750,170.260750,else,I,^2,u-25-1
sw4327A-ms98-a-0027,170.260750,170.657250,huh,I,^2,u-25-1
sw4327A-ms98-a-0029,184.817125,185.096625,yeah,B,b,u-27-1
sw4327A-ms98-a-0031,189.684375,190.051250,well,B,sv,u-29-1
sw4327A-ms98-a-0031,190.051250,190.201250,you,I,sv,u-29-1
sw4327A-ms98-a-0031,190.201250,190.516625,know,I,sv,u-29-1
sw4327A-ms98-a-0031,190.656000,190.971250,uh,I,sv,u-29-1
sw4327A-ms98-a-0031,190.971250,191.481250,talking,I,sv,u-29-1
sw4327A-ms98-a-0031,191.481250,191.741250,about,I,sv,u-29-1
sw4327A-ms98-a-0031,191.741250,191.821250,the,I,sv,u-29-1
sw4327A-ms98-a-0031,191.821250,192.661625,lawyers,I,sv,u-29-1
sw4327A-ms98-a-0032,193.582625,193.672000,you,I,sv,u-29-1
sw4327A-ms98-a-0032,193.672000,193.782000,know,I,sv,u-29-1
sw4327A-ms98-a-0032,193.782000,193.992000,what,I,sv,u-29-1
sw4327A-ms98-a-0032,193.992000,194.342000,might,I,sv,u-29-1
sw4327A-ms98-a-0032,194.342000,194.652000,very,I,sv,u-29-1
sw4327A-ms98-a-0032,194.652000,194.942000,well,I,sv,u-29-1
sw4327A-ms98-a-0032,194.942000,195.484750,do,I,sv,u-29-1
sw4327A-ms98-a-0032,195.718250,196.993000,uh,I,sv,u-29-1
sw4327A-ms98-a-0032,197.269000,197.622000,cause,I,sv,u-29-1
sw4327A-ms98-a-0032,197.622000,197.781375,a,I,sv,u-29-1
sw4327A-ms98-a-0032,197.781375,198.255125,uh,I,sv,u-29-1
sw4327A-ms98-a-0032,198.255125,198.371500,a,I,sv,u-29-1
sw4327A-ms98-a-0032,198.371500,198.712000,drop,I,sv,u-29-1
sw4327A-ms98-a-0032,198.712000,198.792000,in,I,sv,u-29-1
sw4327A-ms98-a-0032,198.792000,198.862000,the,I,sv,u-29-1
sw4327A-ms98-a-0032,198.862000,199.215000,number,I,sv,u-29-1
sw4327A-ms98-a-0032,199.215000,199.294125,of,I,sv,u-29-1
sw4327A-ms98-a-0032,199.294125,199.842000,lawyers,I,sv,u-29-1
sw4327A-ms98-a-0032,199.842000,200.002000,and,I,sv,u-29-1
sw4327A-ms98-a-0032,200.002000,200.212000,things,I,sv,u-29-1
sw4327A-ms98-a-0032,200.212000,200.372000,like,I,sv,u-29-1
sw4327A-ms98-a-0032,200.372000,200.585000,that,I,sv,u-29-1
sw4327A-ms98-a-0032,201.103250,201.444375,is,I,sv,u-29-1
sw4327A-ms98-a-0032,201.444375,202.009000,to,I,sv,u-29-1
sw4327A-ms98-a-0033,202.634375,203.094375,set,I,sv,u-29-1
sw4327A-ms98-a-0033,203.094375,203.164375,the,I,sv,u-29-1
sw4327A-ms98-a-0033,203.164375,203.864375,fees,I,sv,u-29-1
sw4327A-ms98-a-0033,203.864375,204.392500,for,I,sv,u-29-1
sw4327A-ms98-a-0033,204.705125,205.194375,cases,I,sv,u-29-1
sw4327A-ms98-a-0033,205.194375,205.284375,it's,B,sv,u-29-2
sw4327A-ms98-a-0033,205.284375,205.404375,kind,I,sv,u-29-2
sw4327A-ms98-a-0033,205.404375,205.464375,of,I,sv,u-29-2
sw4327A-ms98-a-0033,205.464375,205.765500,like,I,sv,u-29-2
sw4327A-ms98-a-0033,206.063000,206.170875,do,I,sv,u-29-2
sw4327A-ms98-a-0033,206.170875,206.384250,it,I,sv,u-29-2
sw4327A-ms98-a-0033,206.384250,206.514250,do,I,sv,u-29-2
sw4327A-ms98-a-0033,206.514250,206.594375,it,I,sv,u-29-2
sw4327A-ms98-a-0033,206.594375,206.734375,in,I,sv,u-29-2
sw4327A-ms98-a-0033,206.734375,206.794375,the,I,sv,u-29-2
sw4327A-ms98-a-0033,206.794375,207.214375,similar,I,sv,u-29-2
sw4327A-ms98-a-0033,207.214375,207.424375,vein,I,sv,u-29-2
sw4327A-ms98-a-0033,207.424375,207.604375,similar,I,sv,u-29-2
sw4327A-ms98-a-0033,207.604375,207.864375,like,I,sv,u-29-2
sw4327A-ms98-a-0033,207.864375,208.084375,uh,I,sv,u-29-2
sw4327A-ms98-a-0033,208.084375,208.644375,VCR,I,sv,u-29-2
sw4327A-ms98-a-0033,208.644375,208.724375,or,I,sv,u-29-2
sw4327A-ms98-a-0033,208.724375,209.234375,television,I,sv,u-29-2
sw4327A-ms98-a-0033,209.234375,209.737375,repair,I,sv,u-29-2
sw4327A-ms98-a-0033,210.241250,210.331625,if,B,sd(^q),u-29-3
sw4327A-ms98-a-0033,210.331625,210.484375,you,I,sd(^q),u-29-3
sw4327A-ms98-a-0033,210.484375,210.734375,take,I,sd(^q),u-29-3
sw4327A-ms98-a-0033,210.734375,210.824375,your,I,sd(^q),u-29-3
sw4327A-ms98-a-0033,210.824375,211.384375,TV,I,sd(^q),u-29-3
sw4327A-ms98-a-0033,211.384375,211.684375,in,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,211.909625,211.995625,a,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,211.995625,212.199750,lot,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,212.199750,212.259750,of,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,212.259750,212.439750,these,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,212.439750,212.819750,TV,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,212.819750,213.209750,repair,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,213.209750,213.659750,places,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,213.659750,213.759750,will,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,213.759750,213.998750,say,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,214.214375,214.368750,well,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,214.368750,214.569750,i'll,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,214.569750,214.899750,repair,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,214.899750,215.069750,your,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,215.069750,215.589750,TV,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,215.589750,216.001125,for,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,216.227125,216.299750,a,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,216.299750,216.539750,hundred,I,sd(^q),u-29-3
sw4327A-ms98-a-0034,216.539750,217.019125,dollars,I,sd(^q),u-29-3
sw4327A-ms98-a-0035,217.941625,218.181625,and,B,sd,u-29-4
sw4327A-ms98-a-0035,218.181625,218.321625,if,I,sd,u-29-4
sw4327A-ms98-a-0035,218.321625,218.451625,he,I,sd,u-29-4
sw4327A-ms98-a-0035,218.451625,218.701625,gets,I,sd,u-29-4
sw4327A-ms98-a-0035,218.701625,218.831625,in,I,sd,u-29-4
sw4327A-ms98-a-0035,218.831625,219.191625,there,I,sd,u-29-4
sw4327A-ms98-a-0035,219.191625,219.351625,and,I,sd,u-29-4
sw4327A-ms98-a-0035,219.351625,219.792250,starts,I,sd,u-29-4
sw4327A-ms98-a-0035,219.792250,220.091625,rooting,I,sd,u-29-4
sw4327A-ms98-a-0035,220.091625,220.321625,around,I,sd,u-29-4
sw4327A-ms98-a-0035,220.321625,220.411625,and,I,sd,u-29-4
sw4327A-ms98-a-0035,220.411625,220.711625,finds,I,sd,u-29-4
sw4327A-ms98-a-0035,220.711625,220.961625,something,I,sd,u-29-4
sw4327A-ms98-a-0035,220.961625,221.031625,in,I,sd,u-29-4
sw4327A-ms98-a-0035,221.031625,221.181625,there,I,sd,u-29-4
sw4327A-ms98-a-0035,221.181625,221.361625,that's,I,sd,u-29-4
sw4327A-ms98-a-0035,221.361625,221.811625,really,I,sd,u-29-4
sw4327A-ms98-a-0035,221.811625,222.526500,tremendously,I,sd,u-29-4
sw4327A-ms98-a-0035,222.526500,222.961625,wrong,I,sd,u-29-4
sw4327A-ms98-a-0035,222.961625,223.181625,with,I,sd,u-29-4
sw4327A-ms98-a-0035,223.181625,223.285625,it,I,sd,u-29-4
sw4327A-ms98-a-0036,223.924875,224.007750,then,I,sd,u-29-4
sw4327A-ms98-a-0036,224.007750,224.157750,he,I,sd,u-29-4
sw4327A-ms98-a-0036,224.157750,224.507750,eats,I,sd,u-29-4
sw4327A-ms98-a-0036,224.507750,224.607750,it,I,sd,u-29-4
sw4327A-ms98-a-0036,224.827750,225.008250,he,B,sd,u-29-5
sw4327A-ms98-a-0036,225.076000,225.307750,he,I,sd,u-29-5
