sw2006A-ms98-a-0002,16.453250,17.050500,right,B,aa,u-2-1
sw2006A-ms98-a-0005,45.085125,45.595125,ground,I,sd,u-6-2
sw2006A-ms98-a-0005,45.595125,45.715125,you,I,sd,u-6-2
sw2006A-ms98-a-0005,45.715125,45.835125,know,I,sd,u-6-2
sw2006A-ms98-a-0005,45.835125,45.925125,we're,I,sd,u-6-2
sw2006A-ms98-a-0005,45.925125,46.325125,coming,I,sd,u-6-2
sw2006A-ms98-a-0005,46.325125,46.465125,up,I,sd,u-6-2
sw2006A-ms98-a-0005,46.465125,46.655125,with,I,sd,u-6-2
sw2006A-ms98-a-0005,46.655125,46.825125,a,I,sd,u-6-2
sw2006A-ms98-a-0006,47.331625,47.401625,a,I,sd,u-6-2
sw2006A-ms98-a-0006,47.401625,47.581625,new,I,sd,u-6-2
sw2006A-ms98-a-0006,47.581625,48.091625,solution,I,sd,u-6-2
sw2006A-ms98-a-0006,48.091625,48.191625,we,B,sd,u-6-3
sw2006A-ms98-a-0006,48.191625,48.461625,have,I,sd,u-6-3
sw2006A-ms98-a-0006,48.531625,48.788625,been,I,sd,u-6-3
sw2006A-ms98-a-0006,48.927875,49.311625,finding,I,sd,u-6-3
sw2006A-ms98-a-0006,49.311625,49.371625,a,I,sd,u-6-3
sw2006A-ms98-a-0006,49.371625,49.571625,lot,I,sd,u-6-3
sw2006A-ms98-a-0006,49.571625,49.661625,of,I,sd,u-6-3
sw2006A-ms98-a-0006,49.661625,50.181625,toxic,I,sd,u-6-3
sw2006A-ms98-a-0006,50.181625,50.641625,places,I,sd,u-6-3
sw2006A-ms98-a-0006,50.641625,50.811625,to,I,sd,u-6-3
sw2006A-ms98-a-0006,50.811625,51.231625,dump,I,sd,u-6-3
sw2006A-ms98-a-0006,51.231625,51.371625,and,B,sd,u-6-4
sw2006A-ms98-a-0006,51.371625,51.461625,we,I,sd,u-6-4
sw2006A-ms98-a-0006,51.461625,51.691625,just,I,sd,u-6-4
sw2006A-ms98-a-0006,51.691625,52.331625,transport,I,sd,u-6-4
sw2006A-ms98-a-0006,52.331625,52.431625,to,I,sd,u-6-4
sw2006A-ms98-a-0006,52.431625,52.611625,these,I,sd,u-6-4
sw2006A-ms98-a-0006,52.611625,53.081625,places,I,sd,u-6-4
sw2006A-ms98-a-0006,53.081625,53.331625,but,B,sd,u-6-5
sw2006A-ms98-a-0006,53.561625,53.861625,after,I,sd,u-6-5
sw2006A-ms98-a-0006,53.861625,54.151625,while,I,sd,u-6-5
sw2006A-ms98-a-0006,54.151625,54.261625,it,I,sd,u-6-5
sw2006A-ms98-a-0006,54.261625,54.571625,always,I,sd,u-6-5
sw2006A-ms98-a-0006,54.571625,54.991375,seems,I,sd,u-6-5
sw2006A-ms98-a-0006,54.991375,55.265500,that,I,sd,u-6-5
sw2006A-ms98-a-0006,55.265500,55.551750,the,I,sd,u-6-5
sw2006A-ms98-a-0006,55.551750,55.919500,um,I,sd,u-6-5
sw2006A-ms98-a-0006,56.288625,56.541625,oh,I,sd,u-6-5
sw2006A-ms98-a-0006,56.541625,56.661625,the,I,sd,u-6-5
sw2006A-ms98-a-0006,56.661625,57.071625,site,I,sd,u-6-5
sw2006A-ms98-a-0006,57.071625,57.451625,starts,I,sd,u-6-5
sw2006A-ms98-a-0006,57.451625,57.601625,to,I,sd,u-6-5
sw2006A-ms98-a-0006,57.601625,57.961625,leak,I,sd,u-6-5
sw2006A-ms98-a-0006,57.961625,58.071625,and,B,sd,u-6-6
sw2006A-ms98-a-0006,58.071625,58.211625,then,I,sd,u-6-6
sw2006A-ms98-a-0006,58.211625,58.351625,you,I,sd,u-6-6
sw2006A-ms98-a-0006,58.351625,58.581625,have,I,sd,u-6-6
sw2006A-ms98-a-0006,58.581625,58.701625,to,I,sd,u-6-6
sw2006A-ms98-a-0006,58.701625,59.031625,clean,I,sd,u-6-6
sw2006A-ms98-a-0006,59.031625,59.151625,it,I,sd,u-6-6
sw2006A-ms98-a-0006,59.151625,59.371625,up,I,sd,u-6-6
sw2006A-ms98-a-0006,59.371625,59.501625,and,I,sd,u-6-6
sw2006A-ms98-a-0006,59.501625,59.931625,such,I,sd,u-6-6
sw2006A-ms98-a-0007,60.529750,60.729750,but,B,sd,u-6-7
sw2006A-ms98-a-0007,60.799750,60.899750,the,I,sd,u-6-7
sw2006A-ms98-a-0007,60.899750,61.470375,new,I,sd,u-6-7
sw2006A-ms98-a-0007,61.564500,62.059750,idea,I,sd,u-6-7
sw2006A-ms98-a-0007,62.059750,62.229750,is,I,sd,u-6-7
sw2006A-ms98-a-0007,62.229750,62.359750,to,I,sd,u-6-7
sw2006A-ms98-a-0007,62.359750,62.629750,take,I,sd,u-6-7
sw2006A-ms98-a-0007,62.629750,63.089750,everything,I,sd,u-6-7
sw2006A-ms98-a-0007,63.089750,63.229750,up,I,sd,u-6-7
sw2006A-ms98-a-0007,63.229750,63.339750,to,I,sd,u-6-7
sw2006A-ms98-a-0007,63.339750,64.009000,Sherman,I,sd,u-6-7
sw2006A-ms98-a-0007,64.125750,64.239750,and,B,sd,u-6-8
sw2006A-ms98-a-0007,64.239750,64.349750,we're,I,sd,u-6-8
sw2006A-ms98-a-0007,64.349750,64.579750,gonna,I,sd,u-6-8
sw2006A-ms98-a-0007,64.579750,64.829750,have,I,sd,u-6-8
sw2006A-ms98-a-0007,64.829750,65.079750,that,I,sd,u-6-8
sw2006A-ms98-a-0007,65.079750,65.169750,you,I,sd,u-6-8
sw2006A-ms98-a-0007,65.169750,65.319750,know,I,sd,u-6-8
sw2006A-ms98-a-0007,65.319750,66.159750,incineration,I,sd,u-6-8
sw2006A-ms98-a-0007,66.159750,66.519750,place,I,sd,u-6-8
sw2006A-ms98-a-0007,66.519750,66.689750,up,I,sd,u-6-8
sw2006A-ms98-a-0007,66.689750,66.919750,there,I,sd,u-6-8
sw2006A-ms98-a-0007,66.919750,67.059750,and,I,sd,u-6-8
sw2006A-ms98-a-0007,67.059750,67.279750,dump,B,+,u-8-1
sw2006A-ms98-a-0007,67.279750,67.659750,everything,I,+,u-8-1
sw2006A-ms98-a-0007,67.659750,67.859750,there,I,+,u-8-1
sw2006A-ms98-a-0007,67.859750,67.959750,and,B,sd,u-8-2
sw2006A-ms98-a-0007,67.959750,68.819750,supposedly,I,sd,u-8-2
sw2006A-ms98-a-0007,69.249750,69.499750,that,I,sd,u-8-2
sw2006A-ms98-a-0007,69.499750,70.453875,facility,I,sd,u-8-2
sw2006A-ms98-a-0007,70.717000,70.889750,will,I,sd,u-8-2
sw2006A-ms98-a-0007,70.889750,71.269750,not,I,sd,u-8-2
sw2006A-ms98-a-0007,71.269750,71.905125,generate,I,sd,u-8-2
sw2006A-ms98-a-0007,72.006750,72.199750,air,I,sd,u-8-2
sw2006A-ms98-a-0007,72.199750,73.033875,pollutants,I,sd,u-8-2
sw2006A-ms98-a-0008,73.313125,73.553125,from,I,sd,u-8-2
sw2006A-ms98-a-0008,73.553125,73.703125,what,I,sd,u-8-2
sw2006A-ms98-a-0008,73.703125,73.843125,i've,I,sd,u-8-2
sw2006A-ms98-a-0008,73.843125,74.353125,heard,I,sd,u-8-2
sw2006A-ms98-a-0008,74.353125,74.553125,that,I,sd,u-8-2
sw2006A-ms98-a-0008,74.553125,74.973125,everything,I,sd,u-8-2
sw2006A-ms98-a-0008,74.973125,75.153125,would,I,sd,u-8-2
sw2006A-ms98-a-0008,75.153125,75.303125,be,I,sd,u-8-2
sw2006A-ms98-a-0008,75.303125,75.583125,in,I,sd,u-8-2
sw2006A-ms98-a-0008,75.583125,75.703125,in,I,sd,u-8-2
sw2006A-ms98-a-0008,75.703125,75.833125,you,I,sd,u-8-2
sw2006A-ms98-a-0008,75.833125,76.003125,know,I,sd,u-8-2
sw2006A-ms98-a-0008,76.003125,76.063125,a,I,sd,u-8-2
sw2006A-ms98-a-0008,76.063125,76.653125,confined,I,sd,u-8-2
sw2006A-ms98-a-0008,76.653125,76.903125,kind,I,sd,u-8-2
sw2006A-ms98-a-0008,76.903125,77.103125,of,I,sd,u-8-2
sw2006A-ms98-a-0008,77.103125,77.879250,incinerator,I,sd,u-8-2
sw2006A-ms98-a-0008,78.259625,78.363125,and,I,sd,u-8-2
sw2006A-ms98-a-0008,78.363125,78.543125,just,I,sd,u-8-2
sw2006A-ms98-a-0008,78.543125,78.823125,burn,I,sd,u-8-2
sw2006A-ms98-a-0008,78.823125,78.933125,it,I,sd,u-8-2
sw2006A-ms98-a-0008,78.933125,79.193125,all,I,sd,u-8-2
sw2006A-ms98-a-0008,79.193125,79.403125,up,I,sd,u-8-2
sw2006A-ms98-a-0008,79.403125,79.493125,and,B,sd,u-8-3
sw2006A-ms98-a-0008,79.493125,79.603125,that,I,sd,u-8-3
sw2006A-ms98-a-0008,79.603125,79.713125,we,I,sd,u-8-3
sw2006A-ms98-a-0008,79.713125,80.003125,won't,I,sd,u-8-3
sw2006A-ms98-a-0008,80.003125,80.113125,be,I,sd,u-8-3
sw2006A-ms98-a-0008,80.113125,80.613125,polluting,I,sd,u-8-3
sw2006A-ms98-a-0008,80.613125,80.723125,the,I,sd,u-8-3
sw2006A-ms98-a-0008,80.723125,81.023125,air,I,sd,u-8-3
sw2006A-ms98-a-0008,81.023125,81.113125,i'm,B,sd,u-8-4
sw2006A-ms98-a-0008,81.113125,81.333125,sure,I,sd,u-8-4
sw2006A-ms98-a-0008,81.333125,81.453125,we,I,sd,u-8-4
sw2006A-ms98-a-0008,81.453125,81.623125,have,I,sd,u-8-4
sw2006A-ms98-a-0008,81.623125,81.773125,to,I,sd,u-8-4
sw2006A-ms98-a-0008,81.773125,82.110375,have,I,sd,u-8-4
sw2006A-ms98-a-0009,82.822875,83.042875,uh,I,sd,u-8-4
sw2006A-ms98-a-0009,83.042875,83.912875,permits,I,sd,u-8-4
sw2006A-ms98-a-0009,83.912875,84.072875,you,I,sd,u-8-4
sw2006A-ms98-a-0009,84.072875,84.222875,know,I,sd,u-8-4
sw2006A-ms98-a-0009,84.222875,84.412875,for,I,sd,u-8-4
sw2006A-ms98-a-0009,84.412875,84.652875,that,I,sd,u-8-4
sw2006A-ms98-a-0009,84.652875,85.162875,place,I,sd,u-8-4
sw2006A-ms98-a-0009,85.162875,85.312875,and,I,sd,u-8-4
sw2006A-ms98-a-0009,85.312875,85.448625,that,I,sd,u-8-4
sw2006A-ms98-a-0009,85.448625,85.900625,there's,I,sd,u-8-4
sw2006A-ms98-a-0009,85.900625,86.082875,you,I,sd,u-8-4
sw2006A-ms98-a-0009,86.082875,86.252875,know,I,sd,u-8-4
sw2006A-ms98-a-0009,86.252875,86.662875,limits,I,sd,u-8-4
sw2006A-ms98-a-0009,86.662875,86.762875,as,I,sd,u-8-4
sw2006A-ms98-a-0009,86.762875,86.912875,to,I,sd,u-8-4
sw2006A-ms98-a-0009,86.912875,87.082875,what,I,sd,u-8-4
sw2006A-ms98-a-0009,87.082875,87.202875,we,I,sd,u-8-4
sw2006A-ms98-a-0009,87.202875,87.567750,can,I,sd,u-8-4
sw2006A-ms98-a-0009,87.982000,88.292875,uh,I,sd,u-8-4
sw2006A-ms98-a-0009,88.292875,88.542875,let,I,sd,u-8-4
sw2006A-ms98-a-0009,88.722875,88.952875,you,I,sd,u-8-4
sw2006A-ms98-a-0009,88.952875,89.032875,know,I,sd,u-8-4
sw2006A-ms98-a-0009,89.032875,89.220250,go,I,sd,u-8-4
sw2006A-ms98-a-0009,89.220250,89.468875,into,I,sd,u-8-4
sw2006A-ms98-a-0009,89.468875,89.612875,the,I,sd,u-8-4
sw2006A-ms98-a-0009,89.612875,90.012875,air,I,sd,u-8-4
sw2006A-ms98-a-0011,96.803750,96.924375,oh,B,bk,u-10-1
sw2006A-ms98-a-0011,96.924375,97.284375,okay,I,bk,u-10-1
sw2006A-ms98-a-0013,102.399875,102.762375,oh,B,b,u-12-1
sw2006A-ms98-a-0013,102.762375,103.533875,[laughter],O,,
sw2006A-ms98-a-0015,113.234500,113.579500,uh-huh,B,b,u-14-1
sw2006A-ms98-a-0017,125.480750,125.971500,um-hum,B,b,u-16-1
sw2006A-ms98-a-0019,134.005500,134.442125,uh-huh,B,b,u-18-1
sw2006A-ms98-a-0021,137.710875,138.242375,okay_1,O,,
sw2006A-ms98-a-0023,159.562125,159.971000,um-hum,B,b,u-22-1
sw2006A-ms98-a-0025,183.506250,184.065625,hm,B,%,u-24-1
sw2006A-ms98-a-0027,190.344500,190.698875,hm,B,%,u-26-1
sw2006A-ms98-a-0029,195.613250,195.723250,now,B,qy,u-28-1
sw2006A-ms98-a-0029,195.723250,195.823250,is,I,qy,u-28-1
sw2006A-ms98-a-0029,195.823250,196.013250,that,I,qy,u-28-1
sw2006A-ms98-a-0029,196.013250,196.320250,place,I,qy,u-28-1
sw2006A-ms98-a-0029,196.320250,196.535000,built,I,qy,u-28-1
sw2006A-ms98-a-0029,196.535000,196.635750,or,B,qrr,u-28-2
sw2006A-ms98-a-0029,196.635750,196.743250,you're,I,qrr,u-28-2
sw2006A-ms98-a-0029,196.743250,196.983250,still,I,qrr,u-28-2
sw2006A-ms98-a-0029,196.983250,197.113250,in,I,qrr,u-28-2
sw2006A-ms98-a-0029,197.113250,197.173250,the,I,qrr,u-28-2
sw2006A-ms98-a-0029,197.173250,197.663250,makings,I,qrr,u-28-2
sw2006A-ms98-a-0029,197.663250,197.833250,of,I,qrr,u-28-2
sw2006A-ms98-a-0029,197.833250,198.083250,it,I,qrr,u-28-2
sw2006A-ms98-a-0031,210.015500,210.373250,hm,B,b,u-30-1
sw2006A-ms98-a-0033,217.845750,218.269875,um-hum,B,b,u-32-1
sw2006A-ms98-a-0035,222.720000,223.256250,um-hum,B,b,u-34-1
sw2006A-ms98-a-0037,239.251625,239.692500,right,B,b,u-36-1
sw2006A-ms98-a-0039,262.886000,264.860875,[laughter],O,,
sw2006A-ms98-a-0041,266.942375,267.132375,well,B,sd,u-40-1
sw2006A-ms98-a-0041,267.132375,267.251500,i,I,sd,u-40-1
sw2006A-ms98-a-0041,267.251500,267.455250,know,I,sd,u-40-1
sw2006A-ms98-a-0041,267.455250,267.712375,from,I,sd,u-40-1
sw2006A-ms98-a-0041,267.712375,267.912375,some,I,sd,u-40-1
sw2006A-ms98-a-0041,267.912375,268.022375,of,I,sd,u-40-1
sw2006A-ms98-a-0041,268.022375,268.122375,the,I,sd,u-40-1
sw2006A-ms98-a-0041,268.122375,268.612375,sites,I,sd,u-40-1
sw2006A-ms98-a-0041,268.612375,268.702375,that,I,sd,u-40-1
sw2006A-ms98-a-0041,268.702375,268.872375,we've,I,sd,u-40-1
sw2006A-ms98-a-0041,268.872375,269.232375,had,I,sd,u-40-1
sw2006A-ms98-a-0041,269.232375,269.472375,done,I,sd,u-40-1
sw2006A-ms98-a-0041,269.472375,269.762375,quite,I,sd,u-40-1
sw2006A-ms98-a-0041,269.762375,269.822375,a,I,sd,u-40-1
sw2006A-ms98-a-0041,269.822375,270.152375,list,I,sd,u-40-1
sw2006A-ms98-a-0041,270.152375,270.282375,of,I,sd,u-40-1
sw2006A-ms98-a-0041,270.282375,270.762375,sites,I,sd,u-40-1
sw2006A-ms98-a-0041,270.762375,270.852375,that,I,sd,u-40-1
sw2006A-ms98-a-0041,270.852375,271.012375,have,I,sd,u-40-1
sw2006A-ms98-a-0041,271.012375,271.332375,gone,I,sd,u-40-1
sw2006A-ms98-a-0041,271.332375,271.662375,bad,I,sd,u-40-1
sw2006A-ms98-a-0041,271.662375,271.822375,and,B,sd,u-40-2
sw2006A-ms98-a-0041,271.822375,271.882375,you,I,sd,u-40-2
sw2006A-ms98-a-0041,271.882375,272.032375,have,I,sd,u-40-2
sw2006A-ms98-a-0041,272.032375,272.142375,to,I,sd,u-40-2
sw2006A-ms98-a-0041,272.142375,272.462375,clean,I,sd,u-40-2
sw2006A-ms98-a-0041,272.462375,272.712375,up,I,sd,u-40-2
sw2006A-ms98-a-0041,272.712375,272.922375,and,B,sd,u-40-3
sw2006A-ms98-a-0042,273.310875,273.480875,you,I,sd,u-40-3
sw2006A-ms98-a-0042,273.480875,273.610875,know,I,sd,u-40-3
sw2006A-ms98-a-0042,273.610875,273.710875,the,I,sd,u-40-3
sw2006A-ms98-a-0042,273.710875,274.010875,law,I,sd,u-40-3
sw2006A-ms98-a-0042,274.010875,274.290875,now,I,sd,u-40-3
sw2006A-ms98-a-0042,274.290875,274.510875,is,I,sd,u-40-3
sw2006A-ms98-a-0042,274.510875,274.590875,a,I,sd,u-40-3
sw2006A-ms98-a-0042,274.590875,274.950875,super,I,sd,u-40-3
sw2006A-ms98-a-0042,274.950875,275.220875,fund,I,sd,u-40-3
sw2006A-ms98-a-0042,275.220875,275.370875,and,B,sd,u-40-4
sw2006A-ms98-a-0042,275.370875,275.860875,anybody,I,sd,u-40-4
sw2006A-ms98-a-0042,275.860875,276.050875,who's,I,sd,u-40-4
sw2006A-ms98-a-0042,276.050875,276.710875,contributed,I,sd,u-40-4
sw2006A-ms98-a-0042,276.710875,277.210875,toxic,I,sd,u-40-4
sw2006A-ms98-a-0042,277.210875,277.590875,waste,I,sd,u-40-4
sw2006A-ms98-a-0042,277.590875,277.650875,no,I,sd,u-40-4
sw2006A-ms98-a-0042,277.650875,277.980875,matter,I,sd,u-40-4
sw2006A-ms98-a-0042,277.980875,278.140875,if,I,sd,u-40-4
sw2006A-ms98-a-0042,278.140875,278.250875,you,I,sd,u-40-4
sw2006A-ms98-a-0042,278.250875,278.400875,were,I,sd,u-40-4
sw2006A-ms98-a-0042,278.400875,278.912375,somebody,I,sd,u-40-4
sw2006A-ms98-a-0042,278.912375,279.040375,that,I,sd,u-40-4
sw2006A-ms98-a-0042,279.040375,279.660875,eventually,I,sd,u-40-4
sw2006A-ms98-a-0042,279.660875,279.780875,you,I,sd,u-40-4
sw2006A-ms98-a-0042,279.780875,280.020125,know,I,sd,u-40-4
sw2006A-ms98-a-0042,280.091625,280.280875,uh,I,sd,u-40-4
sw2006A-ms98-a-0042,280.280875,280.770875,damaged,I,sd,u-40-4
sw2006A-ms98-a-0042,280.770875,280.830875,the,I,sd,u-40-4
sw2006A-ms98-a-0042,280.830875,281.240875,ground,I,sd,u-40-4
sw2006A-ms98-a-0042,281.240875,281.340875,or,I,sd,u-40-4
sw2006A-ms98-a-0042,281.340875,281.774250,not,I,sd,u-40-4
sw2006A-ms98-a-0043,282.118750,282.281875,uh,B,sd,u-40-5
sw2006A-ms98-a-0043,282.281875,282.747875,everybody,I,sd,u-40-5
sw2006A-ms98-a-0043,282.747875,282.968750,has,I,sd,u-40-5
sw2006A-ms98-a-0043,282.968750,283.078750,to,I,sd,u-40-5
sw2006A-ms98-a-0043,283.078750,283.658750,contribute,I,sd,u-40-5
sw2006A-ms98-a-0043,283.658750,283.818750,and,B,sd,u-40-6
sw2006A-ms98-a-0043,283.818750,284.008750,it's,I,sd,u-40-6
sw2006A-ms98-a-0043,284.008750,284.168750,been,I,sd,u-40-6
sw2006A-ms98-a-0043,284.168750,284.238750,a,I,sd,u-40-6
sw2006A-ms98-a-0043,284.238750,284.438750,lot,I,sd,u-40-6
sw2006A-ms98-a-0043,284.438750,284.578750,of,I,sd,u-40-6
sw2006A-ms98-a-0043,284.578750,284.838750,big,I,sd,u-40-6
sw2006A-ms98-a-0043,284.838750,285.318750,bucks,I,sd,u-40-6
sw2006A-ms98-a-0043,285.318750,285.438750,when,I,sd,u-40-6
sw2006A-ms98-a-0043,285.438750,285.698750,we've,I,sd,u-40-6
sw2006A-ms98-a-0043,285.698750,285.966375,uh,I,sd,u-40-6
sw2006A-ms98-a-0043,286.271500,286.538750,gotten,I,sd,u-40-6
sw2006A-ms98-a-0043,286.538750,286.878750,pulled,I,sd,u-40-6
sw2006A-ms98-a-0043,286.878750,287.228750,into,I,sd,u-40-6
sw2006A-ms98-a-0043,287.228750,287.558750,these,I,sd,u-40-6
sw2006A-ms98-a-0043,287.558750,287.708750,uh,I,sd,u-40-6
sw2006A-ms98-a-0043,287.708750,288.068750,super,I,sd,u-40-6
sw2006A-ms98-a-0043,288.068750,288.398750,fund,I,sd,u-40-6
sw2006A-ms98-a-0043,288.398750,288.688750,deals,I,sd,u-40-6
sw2006A-ms98-a-0043,288.688750,288.798750,to,I,sd,u-40-6
sw2006A-ms98-a-0043,288.798750,289.108750,clean,I,sd,u-40-6
sw2006A-ms98-a-0043,289.108750,289.228750,it,I,sd,u-40-6
sw2006A-ms98-a-0043,289.228750,289.568750,up,I,sd,u-40-6
sw2006A-ms98-a-0043,289.568750,289.858750,that's,I,sd,u-40-6
sw2006A-ms98-a-0043,289.858750,290.038750,you,I,sd,u-40-6
sw2006A-ms98-a-0043,290.038750,290.188750,know,I,sd,u-40-6
sw2006A-ms98-a-0043,290.188750,290.558750,mega,I,sd,u-40-6
sw2006A-ms98-a-0043,290.558750,290.858750,bucks,I,sd,u-40-6
sw2006A-ms98-a-0043,290.858750,291.218750,to,I,sd,u-40-6
sw2006A-ms98-a-0043,291.218750,291.338750,uh,I,sd,u-40-6
sw2006A-ms98-a-0044,291.850875,292.000875,you,I,sd,u-40-6
sw2006A-ms98-a-0044,292.000875,292.169500,know,I,sd,u-40-6
sw2006A-ms98-a-0044,292.517500,292.780875,take,I,sd,u-40-6
sw2006A-ms98-a-0044,292.780875,293.265500,everything,I,sd,u-40-6
sw2006A-ms98-a-0044,293.265500,293.661000,out,I,sd,u-40-6
sw2006A-ms98-a-0044,293.661000,294.040875,and,I,sd,u-40-6
sw2006A-ms98-a-0044,294.040875,294.470875,redo,I,sd,u-40-6
sw2006A-ms98-a-0044,294.470875,294.660875,it,I,sd,u-40-6
sw2006A-ms98-a-0044,294.660875,294.840875,and,I,sd,u-40-6
sw2006A-ms98-a-0044,294.840875,294.940875,you,I,sd,u-40-6
sw2006A-ms98-a-0044,294.940875,295.070875,know,I,sd,u-40-6
sw2006A-ms98-a-0044,295.070875,295.340875,fill,I,sd,u-40-6
sw2006A-ms98-a-0044,295.340875,295.500875,in,I,sd,u-40-6
sw2006A-ms98-a-0044,295.500875,295.730875,some,I,sd,u-40-6
sw2006A-ms98-a-0044,295.730875,296.009250,other,I,sd,u-40-6
sw2006A-ms98-a-0044,296.009250,296.657125,area,I,sd,u-40-6
sw2006A-ms98-a-0044,296.657125,296.889375,and,B,sd,u-40-7
sw2006A-ms98-a-0044,297.247125,297.800875,um,I,sd,u-40-7
sw2006A-ms98-a-0045,298.394000,298.804000,certainly,I,sd,u-40-7
sw2006A-ms98-a-0045,298.804000,298.874000,it,I,sd,u-40-7
sw2006A-ms98-a-0045,298.874000,299.034000,would,I,sd,u-40-7
sw2006A-ms98-a-0045,299.034000,299.334000,seem,I,sd,u-40-7
sw2006A-ms98-a-0045,299.334000,299.454000,to,I,sd,u-40-7
sw2006A-ms98-a-0045,299.454000,299.684000,have,I,sd,u-40-7
sw2006A-ms98-a-0045,299.684000,299.784000,a,I,sd,u-40-7
sw2006A-ms98-a-0045,299.784000,300.044000,better,I,sd,u-40-7
sw2006A-ms98-a-0045,300.044000,300.584000,solution,I,sd,u-40-7
sw2006A-ms98-a-0045,300.584000,300.774000,like,I,sd,u-40-7
