sw3776B-ms98-a-0003,4.475625,4.715250,oh,B,bh,u-2-1
sw3776B-ms98-a-0014,55.748500,55.908500,tell,I,ad,u-24-1
sw3776B-ms98-a-0014,55.908500,55.988500,me,I,ad,u-24-1
sw3776B-ms98-a-0014,55.988500,56.028500,a,I,ad,u-24-1
sw3776B-ms98-a-0014,56.028500,56.208500,little,I,ad,u-24-1
sw3776B-ms98-a-0014,56.208500,56.368500,bit,I,ad,u-24-1
sw3776B-ms98-a-0014,56.368500,56.498500,more,I,ad,u-24-1
sw3776B-ms98-a-0014,56.498500,56.738500,about,I,ad,u-24-1
sw3776B-ms98-a-0014,56.738500,56.918500,it,I,ad,u-24-1
sw3776B-ms98-a-0014,56.918500,57.201500,because_1,I,ad,u-24-1
sw3776B-ms98-a-0014,57.337125,57.438500,i,I,ad,u-24-1
sw3776B-ms98-a-0014,57.438500,57.588500,don't,I,ad,u-24-1
sw3776B-ms98-a-0014,57.588500,57.728500,think,I,ad,u-24-1
sw3776B-ms98-a-0014,57.728500,57.808500,we,I,ad,u-24-1
sw3776B-ms98-a-0014,57.808500,57.978500,did,I,ad,u-24-1
sw3776B-ms98-a-0014,57.978500,58.078500,that,I,ad,u-24-1
sw3776B-ms98-a-0014,58.078500,58.168500,in,I,ad,u-24-1
sw3776B-ms98-a-0014,58.168500,58.796000,Utah,I,ad,u-24-1
sw3776B-ms98-a-0016,76.746250,77.076250,uh-huh,B,b,u-26-1
sw3776B-ms98-a-0016,77.636250,77.906250,uh-huh,B,b,u-28-1
sw3776B-ms98-a-0018,92.139000,92.497375,uh-huh,B,aa,u-30-1
sw3776B-ms98-a-0020,122.283750,122.714125,uh-huh,O,,
sw3776B-ms98-a-0020,122.996375,123.273750,yeah,B,aa,u-30-2
sw3776B-ms98-a-0021,123.666250,123.990375,true,O,,
sw3776B-ms98-a-0021,124.597375,124.930750,[vocalized-noise],O,,
sw3776B-ms98-a-0023,174.064000,174.539125,um-hum,B,b,u-32-1
sw3776B-ms98-a-0023,174.821625,175.318000,um-hum,O,,
sw3776B-ms98-a-0025,200.773875,201.063875,yeah,B,aa,u-34-1
sw3776B-ms98-a-0025,201.063875,201.183875,i,B,ba,u-34-2
sw3776B-ms98-a-0025,201.183875,201.393875,see,I,ba,u-34-2
sw3776B-ms98-a-0025,201.393875,201.483875,what,I,ba,u-34-2
sw3776B-ms98-a-0025,201.483875,201.593875,you're,I,ba,u-34-2
sw3776B-ms98-a-0025,201.593875,202.083875,saying,I,ba,u-34-2
sw3776B-ms98-a-0025,202.293875,202.573875,yeah,B,aa^r,u-34-3
sw3776B-ms98-a-0025,202.573875,202.763875,i,B,aa,u-34-4
sw3776B-ms98-a-0025,202.763875,203.133875,totally,I,aa,u-34-4
sw3776B-ms98-a-0025,203.133875,203.603875,agree,I,aa,u-34-4
sw3776B-ms98-a-0027,221.169125,221.389125,oh,B,b,u-36-1
sw3776B-ms98-a-0027,221.389125,221.799125,yeah,I,b,u-36-1
sw3776B-ms98-a-0028,223.055375,223.395375,uh-huh,B,b,u-38-1
sw3776B-ms98-a-0030,243.417000,243.637000,well,B,^h,u-40-1
sw3776B-ms98-a-0030,243.637000,243.844500,i've,I,^h,u-40-1
sw3776B-ms98-a-0030,244.025375,244.137000,i,I,^h,u-40-1
sw3776B-ms98-a-0030,244.137000,244.407000,haven't,I,^h,u-40-1
sw3776B-ms98-a-0030,244.407000,244.577000,taught,I,^h,u-40-1
sw3776B-ms98-a-0030,244.577000,244.657000,in,I,^h,u-40-1
sw3776B-ms98-a-0030,244.657000,244.987000,Iowa,I,^h,u-40-1
sw3776B-ms98-a-0030,244.987000,245.087000,but,B,^h,u-40-2
sw3776B-ms98-a-0030,245.087000,245.187000,i've,I,^h,u-40-2
sw3776B-ms98-a-0030,245.187000,245.377000,taught,I,^h,u-40-2
sw3776B-ms98-a-0030,245.377000,245.487000,in,I,^h,u-40-2
sw3776B-ms98-a-0030,245.487000,246.050125,Utah,I,^h,u-40-2
sw3776B-ms98-a-0030,246.644125,247.175250,and,B,sd,u-40-3
sw3776B-ms98-a-0030,247.175250,247.637000,um,I,sd,u-40-3
sw3776B-ms98-a-0031,248.674625,248.954625,people,I,sd,u-40-3
sw3776B-ms98-a-0031,248.954625,249.154625,there,I,sd,u-40-3
sw3776B-ms98-a-0031,249.154625,249.244625,were,I,sd,u-40-3
sw3776B-ms98-a-0031,249.244625,249.624625,saying,I,sd,u-40-3
sw3776B-ms98-a-0031,249.624625,249.854625,that,I,sd,u-40-3
sw3776B-ms98-a-0032,250.637875,250.717875,the,I,sd,u-40-3
sw3776B-ms98-a-0032,250.717875,250.957875,way,I,sd,u-40-3
sw3776B-ms98-a-0032,250.957875,251.157875,that,I,sd,u-40-3
sw3776B-ms98-a-0032,251.157875,251.237875,the,I,sd,u-40-3
sw3776B-ms98-a-0032,251.237875,251.797875,schools,I,sd,u-40-3
sw3776B-ms98-a-0032,251.797875,251.947875,were,I,sd,u-40-3
sw3776B-ms98-a-0032,251.947875,252.405875,going,I,sd,u-40-3
sw3776B-ms98-a-0032,252.405875,252.496250,a,I,sd,u-40-3
sw3776B-ms98-a-0032,252.496250,252.667875,lot,I,sd,u-40-3
sw3776B-ms98-a-0032,252.667875,252.737875,of,I,sd,u-40-3
sw3776B-ms98-a-0032,252.737875,253.037875,people,I,sd,u-40-3
sw3776B-ms98-a-0032,253.037875,253.261625,were,I,sd,u-40-3
sw3776B-ms98-a-0032,253.604375,253.867875,going,I,sd,u-40-3
sw3776B-ms98-a-0032,253.867875,254.281000,away,I,sd,u-40-3
sw3776B-ms98-a-0032,254.894875,255.097875,and,I,sd,u-40-3
sw3776B-ms98-a-0032,255.097875,255.347875,going,I,sd,u-40-3
sw3776B-ms98-a-0032,255.347875,255.777875,to,I,sd,u-40-3
sw3776B-ms98-a-0032,255.777875,256.227875,private,I,sd,u-40-3
sw3776B-ms98-a-0032,256.227875,256.617875,schools,I,sd,u-40-3
sw3776B-ms98-a-0032,256.787875,256.887875,or,I,sd,u-40-3
sw3776B-ms98-a-0032,256.887875,257.137875,else,I,sd,u-40-3
sw3776B-ms98-a-0032,257.277875,257.611875,going,I,sd,u-40-3
sw3776B-ms98-a-0032,257.611875,257.996000,to,I,sd,u-40-3
sw3776B-ms98-a-0032,257.996000,258.451875,home,I,sd,u-40-3
sw3776B-ms98-a-0032,258.685375,258.827875,where,I,sd,u-40-3
sw3776B-ms98-a-0032,258.827875,258.927875,they,I,sd,u-40-3
sw3776B-ms98-a-0032,258.927875,259.177875,taught,I,sd,u-40-3
sw3776B-ms98-a-0032,259.177875,259.277875,their,I,sd,u-40-3
sw3776B-ms98-a-0032,259.277875,259.537875,kids,I,sd,u-40-3
sw3776B-ms98-a-0032,259.537875,259.697875,at,I,sd,u-40-3
sw3776B-ms98-a-0032,259.697875,259.988875,home,I,sd,u-40-3
sw3776B-ms98-a-0033,260.573500,260.763500,or,B,+,u-42-1
sw3776B-ms98-a-0033,260.763500,260.882125,you,I,+,u-42-1
sw3776B-ms98-a-0033,260.882125,261.041375,know,I,+,u-42-1
sw3776B-ms98-a-0033,261.041375,261.483500,anything,I,+,u-42-1
sw3776B-ms98-a-0033,261.483500,261.733500,but,I,+,u-42-1
sw3776B-ms98-a-0033,261.733500,261.793500,the,I,+,u-42-1
sw3776B-ms98-a-0033,261.793500,262.093500,public,I,+,u-42-1
sw3776B-ms98-a-0033,262.093500,262.471250,schools,I,+,u-42-1
sw3776B-ms98-a-0033,262.629375,262.843500,and,I,+,u-42-1
sw3776B-ms98-a-0033,262.843500,262.933500,the,I,+,u-42-1
sw3776B-ms98-a-0033,262.933500,263.203500,ones,I,+,u-42-1
sw3776B-ms98-a-0033,263.203500,263.383500,that,I,+,u-42-1
sw3776B-ms98-a-0033,263.383500,263.563500,did,I,+,u-42-1
sw3776B-ms98-a-0033,263.563500,263.903500,have,I,+,u-42-1
sw3776B-ms98-a-0033,263.903500,264.063500,you,I,+,u-42-1
sw3776B-ms98-a-0033,264.063500,264.243125,know,I,+,u-42-1
sw3776B-ms98-a-0033,264.597250,264.783500,the,I,+,u-42-1
sw3776B-ms98-a-0033,264.783500,265.063250,kids,I,+,u-42-1
sw3776B-ms98-a-0033,265.440000,265.846750,yeah,B,ny,u-44-1
sw3776B-ms98-a-0033,266.257750,266.574875,well,B,sd^e,u-44-2
sw3776B-ms98-a-0035,269.911500,270.371500,well,B,+,u-46-1
sw3776B-ms98-a-0035,270.371500,270.491500,uh,I,+,u-46-1
sw3776B-ms98-a-0035,270.491500,270.721500,maybe,I,+,u-46-1
sw3776B-ms98-a-0035,270.721500,270.794125,it,I,+,u-46-1
sw3776B-ms98-a-0035,270.794125,270.911500,was,I,+,u-46-1
sw3776B-ms98-a-0035,270.911500,271.021875,the,I,+,u-46-1
sw3776B-ms98-a-0035,271.021875,271.462625,area,I,+,u-46-1
sw3776B-ms98-a-0035,271.462625,271.601500,i,I,+,u-46-1
sw3776B-ms98-a-0035,271.601500,271.771500,was,I,+,u-46-1
sw3776B-ms98-a-0035,271.771500,271.971500,in,I,+,u-46-1
sw3776B-ms98-a-0035,271.971500,272.091500,but,B,sd,u-46-2
sw3776B-ms98-a-0035,272.091500,272.171500,a,I,sd,u-46-2
sw3776B-ms98-a-0035,272.171500,272.401500,lot,I,sd,u-46-2
sw3776B-ms98-a-0035,272.401500,272.521500,of,I,sd,u-46-2
sw3776B-ms98-a-0035,272.521500,272.850375,schools,I,sd,u-46-2
sw3776B-ms98-a-0035,273.016125,273.231500,had,I,sd,u-46-2
sw3776B-ms98-a-0035,273.231500,273.391500,lot,I,sd,u-46-2
sw3776B-ms98-a-0035,273.391500,273.481500,of,I,sd,u-46-2
sw3776B-ms98-a-0035,273.481500,274.312750,transient,I,sd,u-46-2
sw3776B-ms98-a-0035,274.715750,275.121500,um,I,sd,u-46-2
sw3776B-ms98-a-0035,275.341500,275.941500,families,I,sd,u-46-2
sw3776B-ms98-a-0035,276.551500,276.641500,and,I,sd,u-46-2
sw3776B-ms98-a-0035,276.641500,276.671500,a,I,sd,u-46-2
sw3776B-ms98-a-0035,276.671500,276.811500,lot,I,sd,u-46-2
sw3776B-ms98-a-0035,276.811500,276.921500,of,I,sd,u-46-2
sw3776B-ms98-a-0035,276.921500,277.301500,families,I,sd,u-46-2
sw3776B-ms98-a-0035,277.301500,277.431500,who,I,sd,u-46-2
sw3776B-ms98-a-0035,277.431500,277.776500,were,I,sd,u-46-2
sw3776B-ms98-a-0035,277.776500,277.957375,on,I,sd,u-46-2
sw3776B-ms98-a-0035,277.957375,278.061500,the,I,sd,u-46-2
sw3776B-ms98-a-0035,278.061500,278.421500,poorer,I,sd,u-46-2
sw3776B-ms98-a-0035,278.421500,278.821500,side,I,sd,u-46-2
sw3776B-ms98-a-0035,278.821500,279.071500,and,B,%,u-46-3
sw3776B-ms98-a-0037,281.411625,281.561625,yeah,B,aa,u-48-1
sw3776B-ms98-a-0037,281.561625,281.661625,and,O,,
sw3776B-ms98-a-0037,281.661625,281.691625,i,B,aa,u-48-2
sw3776B-ms98-a-0037,281.691625,281.998875,mean,I,aa,u-48-2
sw3776B-ms98-a-0037,282.168375,282.441625,like,I,aa,u-48-2
sw3776B-ms98-a-0037,282.441625,282.611625,you,I,aa,u-48-2
sw3776B-ms98-a-0037,282.611625,282.941625,said,I,aa,u-48-2
sw3776B-ms98-a-0037,282.941625,283.171625,how,I,aa,u-48-2
sw3776B-ms98-a-0037,283.171625,283.291625,they,I,aa,u-48-2
sw3776B-ms98-a-0037,283.291625,283.543125,were,I,aa,u-48-2
sw3776B-ms98-a-0037,283.750375,283.871625,the,I,aa,u-48-2
sw3776B-ms98-a-0037,283.871625,284.211625,schools,I,aa,u-48-2
sw3776B-ms98-a-0037,284.211625,284.271625,were,I,aa,u-48-2
sw3776B-ms98-a-0037,284.271625,284.511625,doing,I,aa,u-48-2
sw3776B-ms98-a-0037,284.511625,284.681625,more,I,aa,u-48-2
sw3776B-ms98-a-0037,284.681625,285.174000,things,I,aa,u-48-2
sw3776B-ms98-a-0037,285.323750,285.715625,for,I,aa,u-48-2
sw3776B-ms98-a-0037,285.715625,285.835375,the,I,aa,u-48-2
sw3776B-ms98-a-0037,285.835375,286.291625,kids,I,aa,u-48-2
sw3776B-ms98-a-0038,287.370250,287.596000,they,I,aa,u-48-2
sw3776B-ms98-a-0038,287.596000,288.104375,thought,I,aa,u-48-2
sw3776B-ms98-a-0038,288.104375,288.380250,than,I,aa,u-48-2
sw3776B-ms98-a-0038,288.380250,288.460250,they,I,aa,u-48-2
sw3776B-ms98-a-0038,288.460250,288.640250,were,I,aa,u-48-2
sw3776B-ms98-a-0038,288.640250,288.930250,thirty,I,aa,u-48-2
sw3776B-ms98-a-0038,288.930250,289.150250,years,I,aa,u-48-2
sw3776B-ms98-a-0038,289.150250,289.310250,ago,I,aa,u-48-2
sw3776B-ms98-a-0038,289.310250,289.390250,i,B,sd,u-48-3
sw3776B-ms98-a-0038,289.390250,289.610250,mean,I,sd,u-48-3
sw3776B-ms98-a-0038,289.610250,289.750250,they,I,sd,u-48-3
sw3776B-ms98-a-0038,289.750250,290.059000,were,I,sd,u-48-3
sw3776B-ms98-a-0038,290.553375,290.715375,the,I,sd,u-48-3
sw3776B-ms98-a-0038,290.715375,291.040250,school,I,sd,u-48-3
sw3776B-ms98-a-0038,291.040250,291.110250,i,I,sd,u-48-3
sw3776B-ms98-a-0038,291.110250,291.220250,was,I,sd,u-48-3
sw3776B-ms98-a-0038,291.220250,291.500250,teaching,I,sd,u-48-3
sw3776B-ms98-a-0038,291.500250,291.660250,at,I,sd,u-48-3
sw3776B-ms98-a-0038,291.830250,292.070250,the,I,sd,u-48-3
sw3776B-ms98-a-0038,292.070250,292.170250,the,I,sd,u-48-3
sw3776B-ms98-a-0038,292.170250,292.370250,year,I,sd,u-48-3
sw3776B-ms98-a-0038,292.370250,292.430250,i,I,sd,u-48-3
sw3776B-ms98-a-0038,292.430250,292.700250,left,I,sd,u-48-3
sw3776B-ms98-a-0038,292.700250,292.870250,they're,I,sd,u-48-3
sw3776B-ms98-a-0038,292.870250,293.603000,considering,I,sd,u-48-3
sw3776B-ms98-a-0038,293.829000,294.280250,providing,I,sd,u-48-3
sw3776B-ms98-a-0038,294.280250,294.512125,hot,I,sd,u-48-3
sw3776B-ms98-a-0038,294.512125,294.831250,lunch,I,sd,u-48-3
sw3776B-ms98-a-0038,294.831250,294.979500,for,I,sd,u-48-3
sw3776B-ms98-a-0038,295.115125,295.330250,or,I,sd,u-48-3
sw3776B-ms98-a-0038,295.330250,295.550250,hot,B,+,u-50-1
sw3776B-ms98-a-0038,295.550250,296.110250,breakfast,I,+,u-50-1
sw3776B-ms98-a-0038,296.110250,296.190250,for,I,+,u-50-1
sw3776B-ms98-a-0038,296.190250,296.250250,the,I,+,u-50-1
sw3776B-ms98-a-0038,296.250250,296.582125,kids,I,+,u-50-1
sw3776B-ms98-a-0039,297.087000,297.257000,as,B,sd,u-52-1
sw3776B-ms98-a-0039,297.257000,297.484500,well,I,sd,u-52-1
sw3776B-ms98-a-0039,297.484500,297.613625,as,I,sd,u-52-1
sw3776B-ms98-a-0039,297.613625,297.872250,hot,I,sd,u-52-1
sw3776B-ms98-a-0039,297.872250,298.201625,lunch,I,sd,u-52-1
sw3776B-ms98-a-0039,298.201625,298.483000,and,B,%,u-52-2
