sw2065B-ms98-a-0001,0.210250,0.825750,okay,O,,
sw2065B-ms98-a-0003,19.589250,19.929250,kids,I,sv,u-4-1
sw2065B-ms98-a-0003,19.929250,20.058625,that,I,sv,u-4-1
sw2065B-ms98-a-0003,20.058625,20.239250,don't,I,sv,u-4-1
sw2065B-ms98-a-0003,20.239250,20.469250,have,I,sv,u-4-1
sw2065B-ms98-a-0003,20.469250,20.709875,any,I,sv,u-4-1
sw2065B-ms98-a-0003,21.259750,21.679250,since,I,sv,u-4-1
sw2065B-ms98-a-0003,21.679250,21.949250,of,I,sv,u-4-1
sw2065B-ms98-a-0003,21.949250,22.049250,you,I,sv,u-4-1
sw2065B-ms98-a-0003,22.049250,22.139250,know,I,sv,u-4-1
sw2065B-ms98-a-0003,22.139250,22.329250,what,I,sv,u-4-1
sw2065B-ms98-a-0003,22.329250,22.419250,they,I,sv,u-4-1
sw2065B-ms98-a-0003,22.419250,22.629250,want,I,sv,u-4-1
sw2065B-ms98-a-0003,22.629250,22.719250,to,I,sv,u-4-1
sw2065B-ms98-a-0003,22.719250,22.989250,be,I,sv,u-4-1
sw2065B-ms98-a-0003,22.989250,23.089250,or,I,sv,u-4-1
sw2065B-ms98-a-0003,23.089250,23.489250,do,I,sv,u-4-1
sw2065B-ms98-a-0003,23.489250,23.783625,or,B,sv,u-4-2
sw2065B-ms98-a-0003,24.333500,24.429250,you,I,sv,u-4-2
sw2065B-ms98-a-0003,24.429250,24.569250,know,I,sv,u-4-2
sw2065B-ms98-a-0003,24.569250,24.704125,they,I,sv,u-4-2
sw2065B-ms98-a-0003,24.704125,24.863250,could,I,sv,u-4-2
sw2065B-ms98-a-0003,25.036500,25.425375,learn,I,sv,u-4-2
sw2065B-ms98-a-0003,25.425375,25.817125,[vocalized-noise],I,sv,u-4-2
sw2065B-ms98-a-0003,25.817125,26.229250,something,I,sv,u-4-2
sw2065B-ms98-a-0003,26.229250,26.379250,and,I,sv,u-4-2
sw2065B-ms98-a-0003,26.379250,26.609250,maybe,I,sv,u-4-2
sw2065B-ms98-a-0003,26.609250,26.809250,help,I,sv,u-4-2
sw2065B-ms98-a-0003,26.809250,27.009250,other,I,sv,u-4-2
sw2065B-ms98-a-0003,27.009250,27.279250,people,I,sv,u-4-2
sw2065B-ms98-a-0003,27.279250,27.339250,at,I,sv,u-4-2
sw2065B-ms98-a-0003,27.339250,27.439250,the,I,sv,u-4-2
sw2065B-ms98-a-0003,27.439250,27.689250,same,I,sv,u-4-2
sw2065B-ms98-a-0003,27.689250,28.089250,time,I,sv,u-4-2
sw2065B-ms98-a-0003,28.089250,28.279250,and,B,sv,u-4-3
sw2065B-ms98-a-0003,28.279250,28.379250,we,I,sv,u-4-3
sw2065B-ms98-a-0003,28.379250,28.579250,sure,I,sv,u-4-3
sw2065B-ms98-a-0003,28.579250,28.649250,our,I,sv,u-4-3
sw2065B-ms98-a-0003,28.649250,29.127250,country,I,sv,u-4-3
sw2065B-ms98-a-0003,29.127250,29.389250,all,I,sv,u-4-3
sw2065B-ms98-a-0003,29.389250,29.759250,countries,I,sv,u-4-3
sw2065B-ms98-a-0003,29.759250,29.939250,sure,I,sv,u-4-3
sw2065B-ms98-a-0003,29.939250,30.099250,need,I,sv,u-4-3
sw2065B-ms98-a-0003,30.099250,30.539250,help,I,sv,u-4-3
sw2065B-ms98-a-0003,30.539250,30.789250,so,B,%,u-4-4
sw2065B-ms98-a-0005,40.302500,40.808625,hum,O,,
sw2065B-ms98-a-0007,42.612375,43.057750,um-hum,B,b^r,u-8-1
sw2065B-ms98-a-0009,46.153750,46.357875,oh,B,b,u-10-1
sw2065B-ms98-a-0009,46.357875,46.905000,really,I,b,u-10-1
sw2065B-ms98-a-0009,46.905000,47.063625,uh,O,,
sw2065B-ms98-a-0011,53.107250,53.561250,um-hum,O,,
sw2065B-ms98-a-0011,53.967875,54.468125,um,B,b,u-12-1
sw2065B-ms98-a-0013,64.449125,64.957875,yeah,B,b,u-14-1
sw2065B-ms98-a-0015,68.046125,68.205000,i,B,sv,u-16-1
sw2065B-ms98-a-0015,68.205000,68.336500,think,I,sv,u-16-1
sw2065B-ms98-a-0015,68.336500,68.466500,that,I,sv,u-16-1
sw2065B-ms98-a-0015,68.466500,68.576500,would,I,sv,u-16-1
sw2065B-ms98-a-0015,68.576500,68.676500,be,I,sv,u-16-1
sw2065B-ms98-a-0015,68.676500,68.886500,real,I,sv,u-16-1
sw2065B-ms98-a-0015,68.886500,69.386500,interesting,I,sv,u-16-1
sw2065B-ms98-a-0015,69.386500,69.516500,for,I,sv,u-16-1
sw2065B-ms98-a-0015,69.516500,69.806500,people,I,sv,u-16-1
sw2065B-ms98-a-0015,69.806500,69.906500,to,I,sv,u-16-1
sw2065B-ms98-a-0015,69.906500,70.106500,do,I,sv,u-16-1
sw2065B-ms98-a-0015,70.106500,70.306500,but,B,sv,u-16-2
sw2065B-ms98-a-0015,70.306500,70.406500,i,I,sv,u-16-2
sw2065B-ms98-a-0015,70.406500,70.606500,guess,I,sv,u-16-2
sw2065B-ms98-a-0015,70.606500,70.716500,my,I,sv,u-16-2
sw2065B-ms98-a-0015,70.716500,71.096500,concern,I,sv,u-16-2
sw2065B-ms98-a-0015,71.096500,71.366500,about,I,sv,u-16-2
sw2065B-ms98-a-0015,71.366500,71.546500,that,I,sv,u-16-2
sw2065B-ms98-a-0015,71.546500,71.646500,would,I,sv,u-16-2
sw2065B-ms98-a-0015,71.646500,71.756500,be,I,sv,u-16-2
sw2065B-ms98-a-0015,71.756500,71.836500,the,I,sv,u-16-2
sw2065B-ms98-a-0015,71.836500,72.356500,cost,I,sv,u-16-2
sw2065B-ms98-a-0015,72.356500,72.796500,involved,I,sv,u-16-2
sw2065B-ms98-a-0015,72.796500,73.036500,trying,I,sv,u-16-2
sw2065B-ms98-a-0015,73.036500,73.139500,to,I,sv,u-16-2
sw2065B-ms98-a-0015,73.260000,73.586500,train,I,sv,u-16-2
sw2065B-ms98-a-0015,73.586500,73.886500,people,I,sv,u-16-2
sw2065B-ms98-a-0015,73.886500,73.946500,in,I,sv,u-16-2
sw2065B-ms98-a-0015,73.946500,73.996500,a,I,sv,u-16-2
sw2065B-ms98-a-0015,73.996500,74.196500,new,I,sv,u-16-2
sw2065B-ms98-a-0015,74.196500,74.776500,language,I,sv,u-16-2
sw2065B-ms98-a-0015,74.776500,74.896500,and,I,sv,u-16-2
sw2065B-ms98-a-0015,74.896500,75.176500,ship,I,sv,u-16-2
sw2065B-ms98-a-0015,75.176500,75.474625,them,I,sv,u-16-2
sw2065B-ms98-a-0015,75.474625,75.576500,you,I,sv,u-16-2
sw2065B-ms98-a-0015,75.576500,75.706500,know,I,sv,u-16-2
sw2065B-ms98-a-0015,75.706500,75.766500,to,I,sv,u-16-2
sw2065B-ms98-a-0015,75.766500,75.976500,other,I,sv,u-16-2
sw2065B-ms98-a-0015,75.976500,76.716500,countries,I,sv,u-16-2
sw2065B-ms98-a-0015,76.716500,76.974125,and,B,h,u-18-1
sw2065B-ms98-a-0016,77.806375,78.138125,but,I,h,u-18-1
sw2065B-ms98-a-0016,78.513875,78.602500,i,I,h,u-18-1
sw2065B-ms98-a-0016,78.602500,78.722500,don't,I,h,u-18-1
sw2065B-ms98-a-0016,78.722500,78.782500,know,I,h,u-18-1
sw2065B-ms98-a-0016,78.782500,78.842500,if,B,sv,u-18-2
sw2065B-ms98-a-0016,78.842500,78.922500,you,I,sv,u-18-2
sw2065B-ms98-a-0016,78.922500,79.072500,did,I,sv,u-18-2
sw2065B-ms98-a-0016,79.072500,79.152500,it,I,sv,u-18-2
sw2065B-ms98-a-0016,79.152500,79.742500,internally,I,sv,u-18-2
sw2065B-ms98-a-0016,79.742500,79.882500,and,I,sv,u-18-2
sw2065B-ms98-a-0016,79.882500,79.942500,it,I,sv,u-18-2
sw2065B-ms98-a-0016,79.942500,80.032500,was,I,sv,u-18-2
sw2065B-ms98-a-0016,80.032500,80.212500,just,I,sv,u-18-2
sw2065B-ms98-a-0016,80.212500,80.442500,people,I,sv,u-18-2
sw2065B-ms98-a-0016,80.442500,80.512500,in,I,sv,u-18-2
sw2065B-ms98-a-0016,80.512500,80.632500,your,I,sv,u-18-2
sw2065B-ms98-a-0016,80.632500,80.782500,own,I,sv,u-18-2
sw2065B-ms98-a-0016,80.782500,81.122500,country,I,sv,u-18-2
sw2065B-ms98-a-0016,81.122500,81.302500,then,I,sv,u-18-2
sw2065B-ms98-a-0016,81.302500,81.423125,may[be]-,I,sv,u-18-2
sw2065B-ms98-a-0016,81.423125,81.702500,maybe,I,sv,u-18-2
sw2065B-ms98-a-0016,81.702500,82.072500,countries,I,sv,u-18-2
sw2065B-ms98-a-0016,82.072500,82.182500,that,I,sv,u-18-2
sw2065B-ms98-a-0016,82.182500,82.262500,are,I,sv,u-18-2
sw2065B-ms98-a-0016,82.262500,82.502500,so,I,sv,u-18-2
sw2065B-ms98-a-0016,82.502500,83.062500,poor,I,sv,u-18-2
sw2065B-ms98-a-0016,83.062500,83.302500,that,I,sv,u-18-2
sw2065B-ms98-a-0016,83.302500,83.452500,they,I,sv,u-18-2
sw2065B-ms98-a-0016,83.452500,83.722500,wouldn't,I,sv,u-18-2
sw2065B-ms98-a-0016,83.722500,83.852500,be,I,sv,u-18-2
sw2065B-ms98-a-0016,83.852500,84.178000,able,I,sv,u-18-2
sw2065B-ms98-a-0016,84.178000,84.602250,to,I,sv,u-18-2
sw2065B-ms98-a-0017,85.341750,85.613875,really,I,sv,u-18-2
sw2065B-ms98-a-0017,85.715375,85.825625,you,I,sv,u-18-2
sw2065B-ms98-a-0017,85.825625,86.105625,know,I,sv,u-18-2
sw2065B-ms98-a-0018,86.734500,87.162000,send,I,sv,u-18-2
sw2065B-ms98-a-0018,87.162000,87.662000,children,I,sv,u-18-2
sw2065B-ms98-a-0018,87.662000,87.772000,you,I,sv,u-18-2
sw2065B-ms98-a-0018,87.772000,87.902000,know,I,sv,u-18-2
sw2065B-ms98-a-0018,87.902000,88.032000,to,I,sv,u-18-2
sw2065B-ms98-a-0018,88.032000,88.271750,do,I,sv,u-18-2
sw2065B-ms98-a-0018,88.271750,88.621875,that,I,sv,u-18-2
sw2065B-ms98-a-0019,89.172250,89.305250,i,B,sd,u-20-1
sw2065B-ms98-a-0019,89.305250,89.485125,didn't,I,sd,u-20-1
sw2065B-ms98-a-0019,89.485125,89.837375,know,I,sd,u-20-1
sw2065B-ms98-a-0021,93.706750,93.928500,yeah,B,b,u-22-1
sw2065B-ms98-a-0021,93.928500,94.028500,i,B,sd,u-22-2
sw2065B-ms98-a-0021,94.028500,94.268500,was,I,sd,u-22-2
sw2065B-ms98-a-0021,94.268500,94.458500,too,I,sd,u-22-2
sw2065B-ms98-a-0021,94.458500,94.683250,i,B,sd,u-24-1
sw2065B-ms98-a-0021,94.683250,95.018500,thought,I,sd,u-24-1
sw2065B-ms98-a-0021,95.018500,95.528500,seriously,I,sd,u-24-1
sw2065B-ms98-a-0021,95.528500,95.808500,about,I,sd,u-24-1
sw2065B-ms98-a-0021,95.808500,96.088500,joining,I,sd,u-24-1
sw2065B-ms98-a-0021,96.088500,96.208500,at,I,sd,u-24-1
sw2065B-ms98-a-0021,96.208500,96.308500,that,I,sd,u-24-1
sw2065B-ms98-a-0021,96.308500,96.708500,time,I,sd,u-24-1
sw2065B-ms98-a-0021,96.708500,96.758500,i,B,sv,u-24-2
sw2065B-ms98-a-0021,96.758500,96.988500,thought,I,sv,u-24-2
sw2065B-ms98-a-0021,96.988500,97.058500,it,I,sv,u-24-2
sw2065B-ms98-a-0021,97.058500,97.302000,was,I,sv,u-24-2
sw2065B-ms98-a-0021,97.302000,97.509125,a,I,sv,u-24-2
sw2065B-ms98-a-0021,97.509125,98.148500,fantastic,I,sv,u-24-2
sw2065B-ms98-a-0021,98.148500,98.765125,idea,I,sv,u-24-2
sw2065B-ms98-a-0022,100.376875,100.526875,i,B,sd,u-26-1
sw2065B-ms98-a-0022,100.526875,100.746875,sent,I,sd,u-26-1
sw2065B-ms98-a-0022,100.746875,100.966875,off,I,sd,u-26-1
sw2065B-ms98-a-0022,100.966875,101.086875,for,I,sd,u-26-1
sw2065B-ms98-a-0022,101.086875,101.446875,stuff,I,sd,u-26-1
sw2065B-ms98-a-0022,101.446875,101.616875,on,I,sd,u-26-1
sw2065B-ms98-a-0022,101.616875,101.696875,it,I,sd,u-26-1
sw2065B-ms98-a-0022,101.696875,101.796875,but,B,sd,u-26-2
sw2065B-ms98-a-0022,101.796875,101.896875,i,I,sd,u-26-2
sw2065B-ms98-a-0022,101.896875,102.066875,don't,I,sd,u-26-2
sw2065B-ms98-a-0022,102.066875,102.511500,remember,I,sd,u-26-2
sw2065B-ms98-a-0022,102.745000,102.926875,that,I,sd,u-26-2
sw2065B-ms98-a-0022,102.926875,103.126875,much,I,sd,u-26-2
sw2065B-ms98-a-0022,103.126875,103.496875,about,I,sd,u-26-2
sw2065B-ms98-a-0022,103.496875,103.576875,it,I,sd,u-26-2
sw2065B-ms98-a-0022,103.576875,103.656875,i,B,sd,u-26-3
sw2065B-ms98-a-0022,103.656875,103.826875,know,I,sd,u-26-3
sw2065B-ms98-a-0022,103.826875,103.966875,that,I,sd,u-26-3
sw2065B-ms98-a-0022,103.966875,104.066875,they,I,sd,u-26-3
sw2065B-ms98-a-0022,104.066875,104.476875,trained,I,sd,u-26-3
sw2065B-ms98-a-0022,104.476875,104.596875,you,I,sd,u-26-3
sw2065B-ms98-a-0022,104.596875,104.696875,in,I,sd,u-26-3
sw2065B-ms98-a-0022,104.696875,104.776875,the,I,sd,u-26-3
sw2065B-ms98-a-0022,104.776875,105.446875,language,I,sd,u-26-3
sw2065B-ms98-a-0022,105.446875,105.716875,and,B,%,u-26-4
sw2065B-ms98-a-0022,105.716875,106.106875,um,I,%,u-26-4
sw2065B-ms98-a-0023,107.409375,108.017500,yeah,O,,
sw2065B-ms98-a-0024,108.732875,108.820250,you,B,sd,u-28-1
sw2065B-ms98-a-0024,108.820250,109.110250,actually,I,sd,u-28-1
sw2065B-ms98-a-0024,109.110250,109.290250,got,I,sd,u-28-1
sw2065B-ms98-a-0024,109.290250,109.650250,paid,I,sd,u-28-1
sw2065B-ms98-a-0024,109.650250,109.820250,too,I,sd,u-28-1
sw2065B-ms98-a-0024,109.820250,110.000250,while,I,sd,u-28-1
sw2065B-ms98-a-0024,110.000250,110.090250,in,I,sd,u-28-1
sw2065B-ms98-a-0024,110.090250,110.208250,the,I,sd,u-28-1
sw2065B-ms98-a-0024,110.208250,110.493625,Peace,I,sd,u-28-1
sw2065B-ms98-a-0024,110.493625,110.730250,Corps,I,sd,u-28-1
sw2065B-ms98-a-0024,110.730250,110.820250,it,B,sv,u-28-2
sw2065B-ms98-a-0024,110.820250,111.110250,wasn't,I,sv,u-28-2
sw2065B-ms98-a-0024,111.110250,111.440250,much,I,sv,u-28-2
sw2065B-ms98-a-0024,111.440250,111.560250,but,B,sv,u-30-1
sw2065B-ms98-a-0024,111.560250,111.670375,i,I,sv,u-30-1
sw2065B-ms98-a-0024,111.670375,111.930250,guess,I,sv,u-30-1
sw2065B-ms98-a-0024,111.930250,112.122250,they,I,sv,u-30-1
sw2065B-ms98-a-0024,112.122250,112.270250,you,I,sv,u-30-1
sw2065B-ms98-a-0024,112.270250,112.390250,could,I,sv,u-30-1
sw2065B-ms98-a-0024,112.390250,112.550250,put,I,sv,u-30-1
sw2065B-ms98-a-0024,112.550250,112.700250,some,I,sv,u-30-1
sw2065B-ms98-a-0024,112.700250,112.930250,money,I,sv,u-30-1
sw2065B-ms98-a-0024,112.930250,113.430250,aside,I,sv,u-30-1
sw2065B-ms98-a-0024,113.430250,113.570250,while,I,sv,u-30-1
sw2065B-ms98-a-0024,113.570250,113.690250,you,I,sv,u-30-1
sw2065B-ms98-a-0024,113.690250,113.820250,were,I,sv,u-30-1
sw2065B-ms98-a-0024,113.820250,114.090250,there,I,sv,u-30-1
sw2065B-ms98-a-0024,114.090250,114.210250,your,I,sv,u-30-1
sw2065B-ms98-a-0024,114.210250,114.720250,expenses,I,sv,u-30-1
sw2065B-ms98-a-0024,114.720250,114.844875,were,O,,
sw2065B-ms98-a-0024,114.844875,115.325250,covered,O,,
sw2065B-ms98-a-0025,116.968750,117.258625,yeah,B,ny,u-32-1
sw2065B-ms98-a-0025,117.258625,117.376375,i,B,sv^e,u-32-2
sw2065B-ms98-a-0025,117.376375,117.568625,think,I,sv^e,u-32-2
sw2065B-ms98-a-0025,117.568625,117.985125,so,I,sv^e,u-32-2
sw2065B-ms98-a-0025,117.985125,118.349000,yeah,B,ny,u-32-3
sw2065B-ms98-a-0025,118.522250,119.025875,yeah,B,ny^r,u-32-4
sw2065B-ms98-a-0025,119.025875,120.120000,[laughter],O,,
sw2065B-ms98-a-0026,120.358625,120.574000,but,B,sv,u-34-1
sw2065B-ms98-a-0026,120.574000,120.644000,it,I,sv,u-34-1
sw2065B-ms98-a-0026,120.644000,120.864000,might,I,sv,u-34-1
sw2065B-ms98-a-0026,120.864000,120.984000,be,I,sv,u-34-1
sw2065B-ms98-a-0026,120.984000,121.414000,interesting,I,sv,u-34-1
sw2065B-ms98-a-0026,121.414000,121.524000,to,I,sv,u-34-1
sw2065B-ms98-a-0026,121.524000,121.644000,see,I,sv,u-34-1
sw2065B-ms98-a-0026,121.644000,121.764000,what,I,sv,u-34-1
sw2065B-ms98-a-0026,121.764000,121.864000,would,I,sv,u-34-1
sw2065B-ms98-a-0026,121.864000,122.244000,happen,I,sv,u-34-1
sw2065B-ms98-a-0026,122.244000,122.354000,if,I,sv,u-34-1
sw2065B-ms98-a-0026,122.354000,122.444000,you,I,sv,u-34-1
sw2065B-ms98-a-0026,122.444000,122.674000,took,I,sv,u-34-1
sw2065B-ms98-a-0026,122.674000,122.894000,kids,I,sv,u-34-1
sw2065B-ms98-a-0026,122.894000,122.951125,at,I,sv,u-34-1
sw2065B-ms98-a-0026,122.951125,123.061750,a,I,sv,u-34-1
sw2065B-ms98-a-0026,123.061750,123.274000,certain,I,sv,u-34-1
sw2065B-ms98-a-0026,123.274000,123.523000,age,I,sv,u-34-1
sw2065B-ms98-a-0026,123.523000,123.692500,and,I,sv,u-34-1
sw2065B-ms98-a-0026,123.692500,123.914000,then,I,sv,u-34-1
sw2065B-ms98-a-0026,123.914000,124.084000,took,I,sv,u-34-1
sw2065B-ms98-a-0026,124.084000,124.174000,then,I,sv,u-34-1
sw2065B-ms98-a-0026,124.174000,124.264000,to,I,sv,u-34-1
sw2065B-ms98-a-0026,124.264000,124.514000,another,I,sv,u-34-1
sw2065B-ms98-a-0026,124.514000,124.904000,country,I,sv,u-34-1
sw2065B-ms98-a-0026,124.904000,125.264000,instead,I,sv,u-34-1
sw2065B-ms98-a-0026,125.264000,125.369500,of,I,sv,u-34-1
sw2065B-ms98-a-0026,125.369500,125.724000,having,I,sv,u-34-1
sw2065B-ms98-a-0026,125.724000,125.964000,being,I,sv,u-34-1
sw2065B-ms98-a-0026,125.964000,126.544000,exposed,I,sv,u-34-1
sw2065B-ms98-a-0026,126.544000,126.604000,to,I,sv,u-34-1
sw2065B-ms98-a-0026,126.604000,126.754000,all,I,sv,u-34-1
sw2065B-ms98-a-0026,126.754000,126.844000,the,I,sv,u-34-1
sw2065B-ms98-a-0026,126.844000,127.264000,drugs,I,sv,u-34-1
sw2065B-ms98-a-0026,127.264000,127.354000,and,I,sv,u-34-1
sw2065B-ms98-a-0026,127.354000,127.914000,violence,I,sv,u-34-1
sw2065B-ms98-a-0026,127.914000,128.094000,and,I,sv,u-34-1
sw2065B-ms98-a-0026,128.094000,128.477125,sex,I,sv,u-34-1
sw2065B-ms98-a-0026,128.477125,128.571375,[laughter-and],I,sv,u-34-1
sw2065B-ms98-a-0026,128.571375,129.014000,[laughter-everything],I,sv,u-34-1
sw2065B-ms98-a-0026,129.014000,129.144000,[laughter-here],I,sv,u-34-1
sw2065B-ms98-a-0026,129.144000,129.294000,[laughter-and],I,sv,u-34-1
sw2065B-ms98-a-0026,129.294000,129.483500,[laughter-take],I,sv,u-34-1
sw2065B-ms98-a-0026,129.483500,129.625875,them,I,sv,u-34-1
sw2065B-ms98-a-0026,129.625875,129.753500,and,I,sv,u-34-1
sw2065B-ms98-a-0027,129.818625,129.946750,to,I,sv,u-34-1
sw2065B-ms98-a-0027,129.946750,130.126750,some,I,sv,u-34-1
sw2065B-ms98-a-0027,130.126750,130.296750,other,I,sv,u-34-1
sw2065B-ms98-a-0027,130.296750,130.656750,country,I,sv,u-34-1
sw2065B-ms98-a-0027,130.656750,130.776750,that,I,sv,u-34-1
sw2065B-ms98-a-0027,130.776750,130.966750,had,I,sv,u-34-1
sw2065B-ms98-a-0027,130.966750,131.246750,different,I,sv,u-34-1
sw2065B-ms98-a-0027,131.246750,131.501500,moral,I,sv,u-34-1
sw2065B-ms98-a-0027,131.501500,131.906750,[laughter-values],I,sv,u-34-1
sw2065B-ms98-a-0027,131.906750,132.286750,[laughter-something],I,sv,u-34-1
sw2065B-ms98-a-0027,132.286750,132.406750,like,I,sv,u-34-1
sw2065B-ms98-a-0027,132.406750,132.756750,Saudi,I,sv,u-34-1
sw2065B-ms98-a-0027,132.756750,133.166750,Arabia,I,sv,u-34-1
sw2065B-ms98-a-0027,133.166750,133.286750,where,I,sv,u-34-1
sw2065B-ms98-a-0027,133.286750,133.376750,they,I,sv,u-34-1
sw2065B-ms98-a-0027,133.376750,133.666750,couldn't,I,sv,u-34-1
sw2065B-ms98-a-0027,133.666750,134.033250,drink,I,sv,u-34-1
sw2065B-ms98-a-0027,134.033250,135.662125,[laughter],O,,
sw2065B-ms98-a-0028,137.760125,138.382000,really,B,b,u-36-1
sw2065B-ms98-a-0028,138.382000,140.869250,[laughter],O,,
sw2065B-ms98-a-0028,140.869250,141.095375,yeah,B,b,u-38-1
sw2065B-ms98-a-0028,141.095375,141.175375,i,O,,
sw2065B-ms98-a-0028,141.175375,141.445375,hadn't,O,,
sw2065B-ms98-a-0028,141.445375,141.713750,thought,O,,
sw2065B-ms98-a-0028,141.713750,141.885375,about,O,,
sw2065B-ms98-a-0028,141.885375,142.151500,that,O,,
sw2065B-ms98-a-0028,142.913500,143.341375,um-hum,O,,
sw2065B-ms98-a-0030,146.819250,147.360250,yeah,O,,
sw2065B-ms98-a-0032,162.325875,162.670750,public,B,^2,u-40-1
sw2065B-ms98-a-0032,162.670750,163.227250,hangings,O,,
sw2065B-ms98-a-0032,163.227250,163.438375,and,O,,
sw2065B-ms98-a-0032,163.438375,163.989625,yeah,O,,
sw2065B-ms98-a-0034,167.053500,167.562000,yeah,B,b,u-42-1
sw2065B-ms98-a-0035,168.305875,168.536125,yeah,B,b^r,u-44-1
sw2065B-ms98-a-0035,168.536125,168.646125,i've,B,sv,u-44-2
sw2065B-ms98-a-0035,168.646125,168.896125,heard,I,sv,u-44-2
sw2065B-ms98-a-0035,168.896125,169.036125,that,I,sv,u-44-2
sw2065B-ms98-a-0035,169.036125,169.216125,like,I,sv,u-44-2
sw2065B-ms98-a-0035,169.216125,169.336125,in,I,sv,u-44-2
sw2065B-ms98-a-0035,169.336125,169.706125,China,I,sv,u-44-2
sw2065B-ms98-a-0035,169.706125,169.846125,and,I,sv,u-44-2
sw2065B-ms98-a-0035,169.846125,170.096125,stuff,I,sv,u-44-2
sw2065B-ms98-a-0035,170.096125,170.206125,there,I,sv,u-44-2
sw2065B-ms98-a-0035,170.206125,170.336125,is,I,sv,u-44-2
sw2065B-ms98-a-0035,170.336125,170.756125,virtually,I,sv,u-44-2
sw2065B-ms98-a-0035,170.756125,170.886125,no,I,sv,u-44-2
sw2065B-ms98-a-0035,170.886125,171.126125,such,I,sv,u-44-2
sw2065B-ms98-a-0035,171.126125,171.286125,thing,I,sv,u-44-2
sw2065B-ms98-a-0035,171.286125,171.436125,as,I,sv,u-44-2
sw2065B-ms98-a-0035,171.436125,171.766125,rape,I,sv,u-44-2
sw2065B-ms98-a-0035,171.766125,172.056125,because,I,sv,u-44-2
sw2065B-ms98-a-0035,172.056125,172.196125,if,I,sv,u-44-2
sw2065B-ms98-a-0035,172.196125,172.411375,you,I,sv,u-44-2
sw2065B-ms98-a-0035,172.411375,172.766125,[laughter-rape],I,sv,u-44-2
sw2065B-ms98-a-0035,172.766125,173.106125,somebody,I,sv,u-44-2
