sw2707A-ms98-a-0002,1.209625,1.492375,um,B,o,u-2-1
sw2707A-ms98-a-0004,18.673000,18.873000,do,I,sd,u-8-4
sw2707A-ms98-a-0004,18.873000,19.383000,gardening,I,sd,u-8-4
sw2707A-ms98-a-0004,19.383000,19.812375,really,I,sd,u-8-4
sw2707A-ms98-a-0006,25.714125,26.098750,uh-huh,B,b,u-10-1
sw2707A-ms98-a-0008,34.504000,34.906000,um-hum,B,b,u-12-1
sw2707A-ms98-a-0008,35.312875,35.723500,uh-huh,B,b,u-14-1
sw2707A-ms98-a-0010,43.469125,44.032250,right,B,b,u-16-1
sw2707A-ms98-a-0010,44.157125,44.752125,right,B,b^r,u-16-2
sw2707A-ms98-a-0011,45.389250,45.713000,[vocalized-noise],O,,
sw2707A-ms98-a-0013,49.336250,49.685500,uh-huh,B,+@,u-20-1
sw2707A-ms98-a-0015,51.921000,52.160500,ye[s]-,O,,
sw2707A-ms98-a-0015,52.160500,52.587375,[vocalized-noise],O,,
sw2707A-ms98-a-0017,57.756000,58.090250,um-hum,B,b,u-24-1
sw2707A-ms98-a-0019,62.753500,63.103500,uh-huh,O,,
sw2707A-ms98-a-0019,63.103500,63.313500,so,B,qy,u-24-2
sw2707A-ms98-a-0019,63.313500,63.513500,you,I,qy,u-24-2
sw2707A-ms98-a-0019,63.513500,63.844625,enjoy,I,qy,u-24-2
sw2707A-ms98-a-0019,63.844625,64.229875,gardening,I,qy,u-24-2
sw2707A-ms98-a-0020,65.203500,65.507125,uh-huh,B,b,u-26-1
sw2707A-ms98-a-0021,66.731875,67.101250,uh-huh,O,,
sw2707A-ms98-a-0023,73.223250,73.788125,no,B,nn,u-28-1
sw2707A-ms98-a-0023,73.788125,74.048125,no,B,nn^r,u-28-2
sw2707A-ms98-a-0023,74.048125,74.168125,i'm,B,sd^e,u-28-3
sw2707A-ms98-a-0023,74.168125,74.308125,with,I,sd^e,u-28-3
sw2707A-ms98-a-0023,74.308125,74.338125,a,I,sd^e,u-28-3
sw2707A-ms98-a-0023,74.338125,74.678125,defense,I,sd^e,u-28-3
sw2707A-ms98-a-0023,74.678125,75.353750,contractor,I,sd^e,u-28-3
sw2707A-ms98-a-0025,84.747000,85.751875,[laughter],O,,
sw2707A-ms98-a-0026,86.696875,87.040500,uh-huh,B,b,u-32-1
sw2707A-ms98-a-0026,87.684625,88.103750,uh-huh,B,b^r,u-32-2
sw2707A-ms98-a-0028,98.492875,99.123875,um-hum,B,b,u-34-1
sw2707A-ms98-a-0030,104.004000,104.441875,uh-huh,B,b,u-36-1
sw2707A-ms98-a-0032,109.294875,109.714000,um-hum,B,b,u-38-1
sw2707A-ms98-a-0034,116.855000,117.252000,uh-huh,B,b,u-40-1
sw2707A-ms98-a-0036,119.673500,120.023250,uh-huh,B,b,u-42-1
sw2707A-ms98-a-0038,128.452375,128.999500,um-hum,B,b,u-44-1
sw2707A-ms98-a-0040,135.916875,136.394750,um,B,b,u-46-1
sw2707A-ms98-a-0040,136.711125,136.830875,yeah,I,b,u-46-1
sw2707A-ms98-a-0040,136.830875,136.930875,i'm,B,sv,u-46-2
sw2707A-ms98-a-0040,136.930875,137.120875,sure,I,sv,u-46-2
sw2707A-ms98-a-0040,137.120875,137.200875,it,I,sv,u-46-2
sw2707A-ms98-a-0040,137.200875,137.470875,is,I,sv,u-46-2
sw2707A-ms98-a-0040,137.470875,137.590875,you,I,sv,u-46-2
sw2707A-ms98-a-0040,137.590875,137.700875,know,I,sv,u-46-2
sw2707A-ms98-a-0040,137.700875,137.990875,different,I,sv,u-46-2
sw2707A-ms98-a-0040,137.990875,138.050875,in,I,sv,u-46-2
sw2707A-ms98-a-0040,138.050875,138.120875,the,I,sv,u-46-2
sw2707A-ms98-a-0040,138.120875,138.460875,different,I,sv,u-46-2
sw2707A-ms98-a-0040,138.460875,139.050875,areas,I,sv,u-46-2
sw2707A-ms98-a-0040,139.050875,139.280875,um,B,sd,u-46-3
sw2707A-ms98-a-0040,139.280875,139.420875,i'm,I,sd,u-46-3
sw2707A-ms98-a-0040,139.420875,139.790875,originally,I,sd,u-46-3
sw2707A-ms98-a-0040,139.790875,139.920875,from,I,sd,u-46-3
sw2707A-ms98-a-0040,139.920875,140.510875,Pennsylvania,I,sd,u-46-3
sw2707A-ms98-a-0040,140.510875,140.600875,and,B,sd,u-46-4
sw2707A-ms98-a-0040,140.600875,140.670875,i,I,sd,u-46-4
sw2707A-ms98-a-0040,140.670875,140.840875,do,I,sd,u-46-4
sw2707A-ms98-a-0040,140.840875,140.960875,go,I,sd,u-46-4
sw2707A-ms98-a-0040,140.960875,141.326875,home,I,sd,u-46-4
sw2707A-ms98-a-0040,141.737500,141.870875,on,I,sd,u-46-4
sw2707A-ms98-a-0040,141.870875,142.370875,weekends,I,sd,u-46-4
sw2707A-ms98-a-0040,142.370875,142.540875,during,I,sd,u-46-4
sw2707A-ms98-a-0040,142.540875,142.610875,the,I,sd,u-46-4
sw2707A-ms98-a-0040,142.610875,142.920875,summer,I,sd,u-46-4
sw2707A-ms98-a-0040,142.920875,143.050875,and,I,sd,u-46-4
sw2707A-ms98-a-0040,143.050875,143.280875,that,I,sd,u-46-4
sw2707A-ms98-a-0040,143.280875,143.470875,and,I,sd,u-46-4
sw2707A-ms98-a-0040,143.470875,143.640875,uh,I,sd,u-46-4
sw2707A-ms98-a-0040,143.640875,143.860875,mow,I,sd,u-46-4
sw2707A-ms98-a-0040,143.860875,144.020875,my,I,sd,u-46-4
sw2707A-ms98-a-0040,144.020875,144.360875,mother's,I,sd,u-46-4
sw2707A-ms98-a-0040,144.360875,144.950875,grass,I,sd,u-46-4
sw2707A-ms98-a-0040,144.950875,145.400875,and,I,sd,u-46-4
sw2707A-ms98-a-0040,145.400875,145.730875,different,I,sd,u-46-4
sw2707A-ms98-a-0040,145.730875,146.010875,things,I,sd,u-46-4
sw2707A-ms98-a-0040,146.010875,146.260875,like,I,sd,u-46-4
sw2707A-ms98-a-0040,146.260875,146.684875,that,I,sd,u-46-4
sw2707A-ms98-a-0042,150.686125,151.006125,oh,B,sd,u-48-1
sw2707A-ms98-a-0042,151.006125,151.116125,i,I,sd,u-48-1
sw2707A-ms98-a-0042,151.116125,151.216125,would,I,sd,u-48-1
sw2707A-ms98-a-0042,151.216125,151.386125,have,I,sd,u-48-1
sw2707A-ms98-a-0042,151.386125,151.536125,no,I,sd,u-48-1
sw2707A-ms98-a-0042,151.536125,151.986125,idea,I,sd,u-48-1
sw2707A-ms98-a-0042,151.986125,155.206125,[laughter],O,,
sw2707A-ms98-a-0042,155.206125,155.376125,no,B,sd,u-50-1
sw2707A-ms98-a-0042,155.376125,155.716125,idea,I,sd,u-50-1
sw2707A-ms98-a-0042,155.716125,156.471125,whatsoever,I,sd,u-50-1
sw2707A-ms98-a-0043,157.103500,157.290875,like,B,sd,u-52-1
sw2707A-ms98-a-0043,157.290875,157.360875,i,I,sd,u-52-1
sw2707A-ms98-a-0043,157.360875,157.600875,said,I,sd,u-52-1
sw2707A-ms98-a-0043,157.600875,157.700875,i'm,I,sd,u-52-1
sw2707A-ms98-a-0043,157.700875,157.850875,just,I,sd,u-52-1
sw2707A-ms98-a-0043,157.850875,157.910875,a,I,sd,u-52-1
sw2707A-ms98-a-0043,157.910875,158.310875,balcony,I,sd,u-52-1
sw2707A-ms98-a-0043,158.310875,158.550875,kind,I,sd,u-52-1
sw2707A-ms98-a-0043,158.550875,158.620875,of,I,sd,u-52-1
sw2707A-ms98-a-0043,158.620875,159.100875,gardener,I,sd,u-52-1
sw2707A-ms98-a-0043,159.100875,159.250875,with,I,sd,u-52-1
sw2707A-ms98-a-0043,159.250875,159.360875,my,I,sd,u-52-1
sw2707A-ms98-a-0043,159.360875,159.600875,little,I,sd,u-52-1
sw2707A-ms98-a-0043,159.600875,160.020875,flowers,I,sd,u-52-1
sw2707A-ms98-a-0043,160.020875,160.120875,and,I,sd,u-52-1
sw2707A-ms98-a-0043,160.120875,160.190875,my,I,sd,u-52-1
sw2707A-ms98-a-0043,160.190875,160.510875,flower,I,sd,u-52-1
sw2707A-ms98-a-0043,160.510875,160.920875,boxes,I,sd,u-52-1
sw2707A-ms98-a-0043,160.920875,161.010875,and,I,sd,u-52-1
sw2707A-ms98-a-0043,161.010875,161.140875,my,I,sd,u-52-1
sw2707A-ms98-a-0043,161.140875,161.520875,herbs,I,sd,u-52-1
sw2707A-ms98-a-0043,161.520875,161.620875,on,I,sd,u-52-1
sw2707A-ms98-a-0043,161.620875,161.750875,my,B,+,u-54-1
sw2707A-ms98-a-0043,161.750875,162.070875,window,I,+,u-54-1
sw2707A-ms98-a-0043,162.070875,162.570875,sill,I,+,u-54-1
sw2707A-ms98-a-0043,162.570875,162.873500,and,B,%,u-54-2
sw2707A-ms98-a-0045,168.462750,168.709750,yeah,B,ny,u-56-1
sw2707A-ms98-a-0045,168.709750,168.769750,i,B,sd^e,u-56-2
sw2707A-ms98-a-0045,168.769750,168.899750,have,I,sd^e,u-56-2
sw2707A-ms98-a-0045,168.899750,168.989750,to,I,sd^e,u-56-2
sw2707A-ms98-a-0045,168.989750,169.249750,start,I,sd^e,u-56-2
sw2707A-ms98-a-0045,169.249750,169.409750,all,I,sd^e,u-56-2
sw2707A-ms98-a-0045,169.409750,169.669750,over,I,sd^e,u-56-2
sw2707A-ms98-a-0045,169.669750,169.889750,every,I,sd^e,u-56-2
sw2707A-ms98-a-0045,169.889750,170.421000,year,I,sd^e,u-56-2
sw2707A-ms98-a-0045,170.767500,170.929750,well,B,sd,u-58-1
sw2707A-ms98-a-0045,170.929750,171.281625,except,I,sd,u-58-1
sw2707A-ms98-a-0045,171.281625,171.389750,i,I,sd,u-58-1
sw2707A-ms98-a-0045,171.389750,171.589750,do,I,sd,u-58-1
sw2707A-ms98-a-0045,171.589750,171.799750,have,I,sd,u-58-1
sw2707A-ms98-a-0045,171.799750,172.009750,some,I,sd,u-58-1
sw2707A-ms98-a-0045,172.009750,172.614750,um,I,sd,u-58-1
sw2707A-ms98-a-0046,173.301625,173.615875,some,I,sd,u-58-1
sw2707A-ms98-a-0046,173.615875,173.880125,day,I,sd,u-58-1
sw2707A-ms98-a-0046,173.880125,174.480125,lilies,I,sd,u-58-1
sw2707A-ms98-a-0046,174.480125,174.820125,that,I,sd,u-58-1
sw2707A-ms98-a-0046,174.820125,175.323250,um,B,+,u-60-1
sw2707A-ms98-a-0047,175.982375,176.058875,you,I,+,u-60-1
sw2707A-ms98-a-0047,176.058875,176.158875,know,I,+,u-60-1
sw2707A-ms98-a-0047,176.158875,176.218875,i,I,+,u-60-1
sw2707A-ms98-a-0047,176.218875,176.388875,don't,I,+,u-60-1
sw2707A-ms98-a-0047,176.388875,176.488875,do,I,+,u-60-1
sw2707A-ms98-a-0047,176.488875,176.818875,anything,I,+,u-60-1
sw2707A-ms98-a-0047,176.818875,176.998875,with,I,+,u-60-1
sw2707A-ms98-a-0047,176.998875,177.088875,and,B,sd,u-60-2
sw2707A-ms98-a-0047,177.088875,177.218875,they,I,sd,u-60-2
sw2707A-ms98-a-0047,177.218875,177.388875,seem,I,sd,u-60-2
sw2707A-ms98-a-0047,177.388875,177.488875,to,I,sd,u-60-2
sw2707A-ms98-a-0047,177.488875,177.698875,come,I,sd,u-60-2
sw2707A-ms98-a-0047,177.698875,177.998875,back,I,sd,u-60-2
sw2707A-ms98-a-0047,177.998875,178.168875,year,I,sd,u-60-2
sw2707A-ms98-a-0047,178.168875,178.388875,after,I,sd,u-60-2
sw2707A-ms98-a-0047,178.388875,178.568875,year,I,sd,u-60-2
sw2707A-ms98-a-0047,178.568875,178.658875,and,B,sd,u-60-3
sw2707A-ms98-a-0047,178.658875,178.728875,i,I,sd,u-60-3
sw2707A-ms98-a-0047,178.728875,178.908875,leave,I,sd,u-60-3
sw2707A-ms98-a-0047,178.908875,179.018875,them,I,sd,u-60-3
sw2707A-ms98-a-0047,179.018875,179.118875,on,I,sd,u-60-3
sw2707A-ms98-a-0047,179.118875,179.238875,my,I,sd,u-60-3
sw2707A-ms98-a-0047,179.238875,179.708875,balcony,I,sd,u-60-3
sw2707A-ms98-a-0047,179.708875,179.908875,even,I,sd,u-60-3
sw2707A-ms98-a-0047,179.908875,180.166875,in,I,sd,u-60-3
sw2707A-ms98-a-0048,181.514875,181.671125,in,B,+,u-62-1
sw2707A-ms98-a-0048,181.671125,181.791125,the,I,+,u-62-1
sw2707A-ms98-a-0048,181.791125,182.311125,snow,I,+,u-62-1
sw2707A-ms98-a-0048,182.311125,182.451125,and,I,+,u-62-1
sw2707A-ms98-a-0048,182.451125,182.541125,the,I,+,u-62-1
sw2707A-ms98-a-0048,182.541125,183.041125,winter,I,+,u-62-1
sw2707A-ms98-a-0048,183.041125,183.121125,you,I,+,u-62-1
sw2707A-ms98-a-0048,183.121125,183.261125,know,I,+,u-62-1
sw2707A-ms98-a-0048,183.261125,183.341125,in,B,+,u-64-1
sw2707A-ms98-a-0048,183.341125,183.481125,the,I,+,u-64-1
sw2707A-ms98-a-0048,183.481125,183.841125,ice,I,+,u-64-1
sw2707A-ms98-a-0048,183.841125,184.471125,everything,I,+,u-64-1
sw2707A-ms98-a-0048,184.471125,184.741125,because,I,+,u-64-1
sw2707A-ms98-a-0048,184.741125,185.111125,here,I,+,u-64-1
sw2707A-ms98-a-0048,185.111125,185.221125,you,I,+,u-64-1
sw2707A-ms98-a-0048,185.221125,185.552625,know,I,+,u-64-1
sw2707A-ms98-a-0048,185.703375,185.971125,not,I,+,u-64-1
sw2707A-ms98-a-0048,185.971125,186.071125,as,I,+,u-64-1
sw2707A-ms98-a-0048,186.071125,186.411125,severe,I,+,u-64-1
sw2707A-ms98-a-0048,186.411125,186.581125,as,I,+,u-64-1
sw2707A-ms98-a-0048,186.581125,186.681125,the,I,+,u-64-1
sw2707A-ms98-a-0048,186.681125,187.021125,snow,I,+,u-64-1
sw2707A-ms98-a-0048,187.021125,187.181125,is,I,+,u-64-1
sw2707A-ms98-a-0048,187.181125,187.281125,in,I,+,u-64-1
sw2707A-ms98-a-0048,187.281125,188.021125,Pennsylvania,I,+,u-64-1
sw2707A-ms98-a-0048,188.021125,188.281125,but,B,sd,u-64-2
sw2707A-ms98-a-0048,188.281125,188.441125,here,I,sd,u-64-2
sw2707A-ms98-a-0048,188.441125,188.551125,we,I,sd,u-64-2
sw2707A-ms98-a-0048,188.551125,188.781125,still,I,sd,u-64-2
sw2707A-ms98-a-0048,188.781125,188.991125,do,I,sd,u-64-2
sw2707A-ms98-a-0048,188.991125,189.201125,get,I,sd,u-64-2
sw2707A-ms98-a-0048,189.201125,189.331125,some,I,sd,u-64-2
sw2707A-ms98-a-0048,189.331125,189.681125,snow,I,sd,u-64-2
sw2707A-ms98-a-0048,189.681125,189.851125,and,I,sd,u-64-2
sw2707A-ms98-a-0048,189.851125,190.171125,ice,I,sd,u-64-2
sw2707A-ms98-a-0048,190.171125,190.301125,and,I,sd,u-64-2
sw2707A-ms98-a-0048,190.301125,190.541125,things,B,+,u-66-1
sw2707A-ms98-a-0048,190.541125,190.731125,like,I,+,u-66-1
sw2707A-ms98-a-0048,190.731125,191.116000,that,I,+,u-66-1
sw2707A-ms98-a-0050,195.279375,195.760125,uh-huh,B,b,u-68-1
sw2707A-ms98-a-0052,202.490000,203.054625,um-hum,B,b,u-70-1
sw2707A-ms98-a-0054,205.859375,206.360125,um-hum,B,b,u-72-1
sw2707A-ms98-a-0056,209.243875,209.658625,uh-huh,B,b,u-74-1
sw2707A-ms98-a-0058,224.388750,224.867000,um-hum,B,b,u-76-1
sw2707A-ms98-a-0060,226.782750,227.338500,right,B,aa,u-78-1
sw2707A-ms98-a-0060,227.338500,227.658500,right,B,aa^r,u-78-2
sw2707A-ms98-a-0060,227.658500,227.778500,i,B,aa,u-78-3
sw2707A-ms98-a-0060,227.778500,228.008500,agree,I,aa,u-78-3
sw2707A-ms98-a-0060,228.008500,228.208500,with,I,aa,u-78-3
sw2707A-ms98-a-0060,228.208500,228.487125,that,I,aa,u-78-3
sw2707A-ms98-a-0062,230.828375,231.259875,um-hum,B,b,u-80-1
sw2707A-ms98-a-0064,234.791375,236.111875,[laughter],O,,
sw2707A-ms98-a-0066,240.452875,240.456000,um-hum,B,b,u-84-1
sw2707A-ms98-a-0066,240.456000,240.878500,yeah,B,%,u-84-2
sw2707A-ms98-a-0068,246.071000,246.443500,uh-huh,B,b,u-86-1
sw2707A-ms98-a-0070,252.077500,252.523750,um-hum,B,b,u-90-1
sw2707A-ms98-a-0072,256.352250,256.671875,ye[ah]-,O,,
sw2707A-ms98-a-0074,259.061625,259.484000,uh-huh,B,b,u-94-1
sw2707A-ms98-a-0076,261.536500,261.912125,um-hum,B,b,u-96-1
sw2707A-ms98-a-0080,273.710625,274.231000,wow,B,ba,u-100-1
sw2707A-ms98-a-0080,274.231000,274.600000,uh-huh,I,ba,u-100-1
sw2707A-ms98-a-0082,287.805375,288.213750,um-hum,B,b,u-102-1
sw2707A-ms98-a-0084,297.222125,297.623125,um-hum,B,b,u-104-1
sw2707A-ms98-a-0086,303.668750,303.863125,um-hum,B,b,u-106-1
sw2707A-ms98-a-0088,306.748000,307.124375,uh-huh,O,,
sw2707A-ms98-a-0088,307.346875,307.694000,right,B,b,u-106-2
sw2707A-ms98-a-0088,307.694000,307.846250,i'm,B,%,u-106-3
sw2707A-ms98-a-0090,311.414250,311.788500,um-hum,B,b,u-108-1
sw2707A-ms98-a-0093,315.417750,315.722625,uh-huh,B,b,u-110-1
sw2707A-ms98-a-0093,315.722625,315.892625,oh,B,sv,u-110-2
sw2707A-ms98-a-0093,315.892625,316.002625,you,I,sv,u-110-2
sw2707A-ms98-a-0093,316.002625,316.182625,don't,I,sv,u-110-2
sw2707A-ms98-a-0093,316.182625,316.402625,sound,I,sv,u-110-2
sw2707A-ms98-a-0093,316.402625,316.602625,like,I,sv,u-110-2
sw2707A-ms98-a-0093,316.602625,316.742625,it,I,sv,u-110-2
sw2707A-ms98-a-0093,316.742625,317.220750,[laughter],O,,
sw2707A-ms98-a-0095,318.779625,318.932500,[vocalized-noise],O,,
sw2707A-ms98-a-0097,321.735375,322.073125,uh-huh,B,b,u-112-1
sw2707A-ms98-a-0097,322.073125,322.433125,[laughter],O,,
sw2707A-ms98-a-0099,328.330750,328.809750,um,B,sd^t,u-114-1
sw2707A-ms98-a-0099,329.039500,329.153375,i've,I,sd^t,u-114-1
sw2707A-ms98-a-0099,329.153375,329.273375,been,I,sd^t,u-114-1
sw2707A-ms98-a-0099,329.273375,329.563375,called,I,sd^t,u-114-1
sw2707A-ms98-a-0099,329.563375,329.666875,a,I,sd^t,u-114-1
sw2707A-ms98-a-0099,329.666875,330.038125,lot,I,sd^t,u-114-1
sw2707A-ms98-a-0099,330.038125,330.396000,[vocalized-noise],O,,
sw2707A-ms98-a-0099,330.396000,330.643375,at,B,sd^t,u-114-2
sw2707A-ms98-a-0099,330.643375,330.703375,the,I,sd^t,u-114-2
sw2707A-ms98-a-0099,330.703375,331.023375,times,I,sd^t,u-114-2
sw2707A-ms98-a-0099,331.023375,331.173375,though,I,sd^t,u-114-2
sw2707A-ms98-a-0099,331.173375,331.323375,it's,I,sd^t,u-114-2
sw2707A-ms98-a-0099,331.323375,331.716750,been,I,sd^t,u-114-2
sw2707A-ms98-a-0099,331.716750,331.963375,not,I,sd^t,u-114-2
sw2707A-ms98-a-0099,331.963375,332.392625,very,I,sd^t,u-114-2
sw2707A-ms98-a-0100,333.163375,333.786125,appropriate,I,sd^t,u-114-2
sw2707A-ms98-a-0100,333.786125,333.876125,i,B,sd^t,u-114-3
sw2707A-ms98-a-0100,333.876125,334.126125,guess,I,sd^t,u-114-3
sw2707A-ms98-a-0100,334.126125,334.226125,that,I,sd^t,u-114-3
sw2707A-ms98-a-0100,334.226125,334.266125,i,I,sd^t,u-114-3
sw2707A-ms98-a-0100,334.266125,334.516125,haven't,I,sd^t,u-114-3
sw2707A-ms98-a-0100,334.516125,334.616125,been,I,sd^t,u-114-3
sw2707A-ms98-a-0100,334.616125,334.826125,able,I,sd^t,u-114-3
sw2707A-ms98-a-0100,334.826125,334.906125,to,I,sd^t,u-114-3
sw2707A-ms98-a-0100,334.906125,335.156125,actually,I,sd^t,u-114-3
sw2707A-ms98-a-0100,335.156125,335.756125,participate,I,sd^t,u-114-3
sw2707A-ms98-a-0100,335.756125,335.846125,i've,B,sd^t,u-114-4
sw2707A-ms98-a-0100,335.846125,336.456125,participated,I,sd^t,u-114-4
sw2707A-ms98-a-0100,336.456125,336.766125,probably,I,sd^t,u-114-4
sw2707A-ms98-a-0100,336.766125,336.836125,in,I,sd^t,u-114-4
sw2707A-ms98-a-0100,336.836125,337.149000,about,I,sd^t,u-114-4
sw2707A-ms98-a-0100,337.250750,337.778125,maybe,I,sd^t,u-114-4
sw2707A-ms98-a-0100,337.896000,337.986500,i,I,sd^t,u-114-4
sw2707A-ms98-a-0100,337.986500,338.116125,don't,I,sd^t,u-114-4
sw2707A-ms98-a-0100,338.116125,338.246125,know,I,sd^t,u-114-4
sw2707A-ms98-a-0100,338.246125,338.566125,seven,I,sd^t,u-114-4
sw2707A-ms98-a-0100,338.566125,339.118250,calls,I,sd^t,u-114-4
sw2707A-ms98-a-0101,339.929750,340.061875,and,B,sd^t,u-116-1
sw2707A-ms98-a-0101,340.061875,340.121875,you,I,sd^t,u-116-1
sw2707A-ms98-a-0101,340.121875,340.211875,know,I,sd^t,u-116-1
sw2707A-ms98-a-0101,340.211875,340.341875,i've,I,sd^t,u-116-1
sw2707A-ms98-a-0101,340.341875,340.591875,called,I,sd^t,u-116-1
sw2707A-ms98-a-0101,340.591875,340.631875,a,I,sd^t,u-116-1
sw2707A-ms98-a-0101,340.631875,340.781875,couple,I,sd^t,u-116-1
sw2707A-ms98-a-0101,340.781875,340.841875,of,I,sd^t,u-116-1
sw2707A-ms98-a-0101,340.841875,341.051875,times,I,sd^t,u-116-1
sw2707A-ms98-a-0101,341.051875,341.161875,but,B,sv^t,u-116-2
sw2707A-ms98-a-0101,341.161875,341.363375,most,I,sv^t,u-116-2
sw2707A-ms98-a-0101,341.363375,341.551875,of,I,sv^t,u-116-2
sw2707A-ms98-a-0101,341.551875,341.621875,the,I,sv^t,u-116-2
sw2707A-ms98-a-0101,341.621875,341.891875,time,I,sv^t,u-116-2
sw2707A-ms98-a-0101,341.891875,341.981875,i,I,sv^t,u-116-2
sw2707A-ms98-a-0101,341.981875,342.471875,notice,I,sv^t,u-116-2
sw2707A-ms98-a-0101,342.471875,342.681875,that,I,sv^t,u-116-2
sw2707A-ms98-a-0101,342.681875,343.059250,um,I,sv^t,u-116-2
sw2707A-ms98-a-0101,343.450875,343.511875,you,I,sv^t,u-116-2
