sw4785A-ms98-a-0002,1.028125,1.394875,yeah,B,ny,u-2-1
sw4785A-ms98-a-0018,42.115250,42.335250,bed,I,sd,u-18-1
sw4785A-ms98-a-0018,42.335250,42.555250,with,I,sd,u-18-1
sw4785A-ms98-a-0018,42.555250,42.775250,them,I,sd,u-18-1
sw4785A-ms98-a-0018,42.775250,42.895250,and,I,sd,u-18-1
sw4785A-ms98-a-0018,42.895250,43.065250,just,I,sd,u-18-1
sw4785A-ms98-a-0018,43.065250,43.355250,shooting,I,sd,u-18-1
sw4785A-ms98-a-0018,43.355250,43.445250,the,I,sd,u-18-1
sw4785A-ms98-a-0018,43.445250,43.905250,breeze,I,sd,u-18-1
sw4785A-ms98-a-0018,43.905250,44.035250,or,I,sd,u-18-1
sw4785A-ms98-a-0018,44.035250,44.545875,whatever,I,sd,u-18-1
sw4785A-ms98-a-0018,45.216250,45.545250,telling,I,sd,u-18-1
sw4785A-ms98-a-0018,45.545250,45.665250,them_1,I,sd,u-18-1
sw4785A-ms98-a-0018,45.665250,46.255250,stories,I,sd,u-18-1
sw4785A-ms98-a-0018,46.255250,46.385250,or,I,sd,u-18-1
sw4785A-ms98-a-0018,46.385250,46.735250,reading,I,sd,u-18-1
sw4785A-ms98-a-0018,46.735250,46.865250,to,I,sd,u-18-1
sw4785A-ms98-a-0018,46.865250,47.075250,them_1,O,,
sw4785A-ms98-a-0018,47.275250,47.405250,but,O,,
sw4785A-ms98-a-0020,49.918500,50.473750,[laughter],O,,
sw4785A-ms98-a-0020,50.473750,50.700000,six,B,sd,u-20-1
sw4785A-ms98-a-0020,50.700000,51.162375,years,I,sd,u-20-1
sw4785A-ms98-a-0022,53.030250,53.488250,yeah,B,ny,u-22-1
sw4785A-ms98-a-0023,55.084875,55.294875,oh,B,aa,u-24-1
sw4785A-ms98-a-0023,55.294875,55.610375,yeah,I,aa,u-24-1
sw4785A-ms98-a-0023,55.757250,55.894875,we,B,sd,u-24-2
sw4785A-ms98-a-0023,55.894875,56.084875,look,I,sd,u-24-2
sw4785A-ms98-a-0023,56.084875,56.344875,back,I,sd,u-24-2
sw4785A-ms98-a-0023,56.344875,56.464875,and,I,sd,u-24-2
sw4785A-ms98-a-0023,56.464875,56.664875,wonder,I,sd,u-24-2
sw4785A-ms98-a-0023,56.664875,56.804875,how,I,sd,u-24-2
sw4785A-ms98-a-0023,56.804875,56.944875,we,I,sd,u-24-2
sw4785A-ms98-a-0023,56.944875,57.144875,did,I,sd,u-24-2
sw4785A-ms98-a-0023,57.144875,57.264875,it,I,sd,u-24-2
sw4785A-ms98-a-0025,59.123625,59.443625,no,B,nn,u-26-1
sw4785A-ms98-a-0025,59.443625,59.623625,she,B,sd^e,u-26-2
sw4785A-ms98-a-0025,59.623625,59.923750,never,I,sd^e,u-26-2
sw4785A-ms98-a-0025,59.923750,60.229375,did,I,sd^e,u-26-2
sw4785A-ms98-a-0027,62.175500,62.371625,an[d]-,O,,
sw4785A-ms98-a-0028,63.684250,63.934250,well,B,ny,u-30-1
sw4785A-ms98-a-0028,63.934250,64.345125,yeah,I,ny,u-30-1
sw4785A-ms98-a-0028,64.345125,64.730500,yeah,B,ny^r,u-30-2
sw4785A-ms98-a-0030,74.623625,75.074000,yeah,B,b,u-32-1
sw4785A-ms98-a-0031,76.473625,76.613625,well,B,sv,u-34-1
sw4785A-ms98-a-0031,76.613625,76.853625,that's,I,sv,u-34-1
sw4785A-ms98-a-0031,76.853625,77.263625,plenty,I,sv,u-34-1
sw4785A-ms98-a-0031,77.263625,77.453625,though,I,sv,u-34-1
sw4785A-ms98-a-0033,92.097125,92.407125,right,O,,
sw4785A-ms98-a-0034,93.785750,94.065750,right,B,b,u-38-1
sw4785A-ms98-a-0034,94.225750,94.559500,well,B,sv,u-38-2
sw4785A-ms98-a-0034,94.851750,95.017500,y[ou]-,I,sv,u-38-2
sw4785A-ms98-a-0034,95.125750,95.235750,you,I,sv,u-38-2
sw4785A-ms98-a-0034,95.235750,95.393250,know,I,sv,u-38-2
sw4785A-ms98-a-0034,95.687000,95.845750,with,I,sv,u-38-2
sw4785A-ms98-a-0034,95.845750,96.115750,kids,I,sv,u-38-2
sw4785A-ms98-a-0034,96.115750,96.235750,you're,I,sv,u-38-2
sw4785A-ms98-a-0034,96.235750,96.385750,not,I,sv,u-38-2
sw4785A-ms98-a-0034,96.385750,96.505750,going,I,sv,u-38-2
sw4785A-ms98-a-0034,96.505750,96.565750,to,I,sv,u-38-2
sw4785A-ms98-a-0034,96.565750,96.745750,have,I,sv,u-38-2
sw4785A-ms98-a-0034,96.745750,96.815750,a,I,sv,u-38-2
sw4785A-ms98-a-0034,96.815750,97.045750,neat,I,sv,u-38-2
sw4785A-ms98-a-0034,97.045750,97.369625,house,I,sv,u-38-2
sw4785A-ms98-a-0036,100.026125,100.583750,[laughter],O,,
sw4785A-ms98-a-0037,101.459000,101.709000,and,B,sv,u-40-1
sw4785A-ms98-a-0037,101.709000,101.809000,you,I,sv,u-40-1
sw4785A-ms98-a-0037,101.809000,102.066500,know,I,sv,u-40-1
sw4785A-ms98-a-0037,102.439375,102.629000,it,B,+,u-42-1
sw4785A-ms98-a-0037,102.739000,102.979000,it's,I,+,u-42-1
sw4785A-ms98-a-0037,102.979000,103.239000,tough,I,+,u-42-1
sw4785A-ms98-a-0037,103.239000,103.349000,to,I,+,u-42-1
sw4785A-ms98-a-0037,103.349000,103.679000,find,I,+,u-42-1
sw4785A-ms98-a-0037,103.679000,104.107625,time,I,+,u-42-1
sw4785A-ms98-a-0037,104.488000,104.709625,e[specially]-,O,,
sw4785A-ms98-a-0037,104.709625,105.189000,espec[ially]-,O,,
sw4785A-ms98-a-0037,105.769000,106.439000,especially,B,+,u-44-1
sw4785A-ms98-a-0037,106.539000,106.789000,with,I,+,u-44-1
sw4785A-ms98-a-0037,106.789000,107.019000,both,I,+,u-44-1
sw4785A-ms98-a-0037,107.019000,107.149000,of,I,+,u-44-1
sw4785A-ms98-a-0037,107.149000,107.229000,them_1,I,+,u-44-1
sw4785A-ms98-a-0037,107.229000,107.599000,working,I,+,u-44-1
sw4785A-ms98-a-0039,109.625000,109.751375,and,B,ad(^q),u-46-1
sw4785A-ms98-a-0039,109.751375,109.873250,you,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,109.873250,110.053250,just,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,110.053250,110.203250,have,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,110.203250,110.343250,to,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,110.343250,110.613250,set,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,110.613250,110.693250,the,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,110.693250,111.103250,time,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,111.103250,111.283250,and,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,111.283250,111.573250,say,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,111.573250,112.003750,okay,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,112.101750,112.273250,this,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,112.273250,112.383250,is,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,112.383250,112.593250,gonna,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,112.593250,112.733250,be,I,ad(^q),u-46-1
sw4785A-ms98-a-0039,112.733250,112.983250,it,I,ad(^q),u-46-1
sw4785A-ms98-a-0041,118.097125,118.547125,right,B,b,u-48-1
sw4785A-ms98-a-0043,124.400375,124.829500,right,B,b,u-50-1
sw4785A-ms98-a-0045,134.159375,134.279375,well,B,ba,u-52-1
sw4785A-ms98-a-0045,134.279375,134.559375,that's,I,ba,u-52-1
sw4785A-ms98-a-0045,134.559375,134.769375,good,I,ba,u-52-1
sw4785A-ms98-a-0045,134.769375,135.063250,too,I,ba,u-52-1
sw4785A-ms98-a-0045,135.063250,135.689250,[laughter],O,,
sw4785A-ms98-a-0046,136.467375,136.900500,yeah,B,b,u-54-1
sw4785A-ms98-a-0046,136.953250,137.197375,that's,B,ba,u-54-2
sw4785A-ms98-a-0046,137.197375,137.397375,good,I,ba,u-54-2
sw4785A-ms98-a-0046,137.397375,137.607375,that,I,ba,u-54-2
sw4785A-ms98-a-0046,137.607375,137.850875,way,I,ba,u-54-2
sw4785A-ms98-a-0046,137.850875,138.132125,too,I,ba,u-54-2
sw4785A-ms98-a-0047,138.315000,139.036000,[laughter],O,,
sw4785A-ms98-a-0049,149.685125,150.082500,yeah,B,aa,u-56-1
sw4785A-ms98-a-0049,150.192250,150.325125,well,B,sv,u-56-2
sw4785A-ms98-a-0049,150.325125,150.495125,that's,I,sv,u-56-2
sw4785A-ms98-a-0049,150.495125,150.595125,-[wh]at,I,sv,u-56-2
sw4785A-ms98-a-0049,150.595125,150.755125,they,I,sv,u-56-2
sw4785A-ms98-a-0049,150.755125,150.975125,say,I,sv,u-56-2
sw4785A-ms98-a-0049,150.975125,151.085125,it,I,sv,u-56-2
sw4785A-ms98-a-0049,151.085125,151.335125,it,I,sv,u-56-2
sw4785A-ms98-a-0049,151.335125,151.575125,all,I,sv,u-56-2
sw4785A-ms98-a-0049,151.575125,151.785125,it,I,sv,u-56-2
sw4785A-ms98-a-0049,151.785125,152.035125,takes,I,sv,u-56-2
sw4785A-ms98-a-0049,152.035125,152.165125,is,I,sv,u-56-2
sw4785A-ms98-a-0049,152.165125,152.425125,about,I,sv,u-56-2
sw4785A-ms98-a-0049,152.425125,152.675125,five,I,sv,u-56-2
sw4785A-ms98-a-0049,152.675125,152.875125,ten,I,sv,u-56-2
sw4785A-ms98-a-0049,152.875125,153.205125,minutes,I,sv,u-56-2
sw4785A-ms98-a-0049,153.205125,153.275125,a,I,sv,u-56-2
sw4785A-ms98-a-0049,153.275125,153.606875,day,I,sv,u-56-2
sw4785A-ms98-a-0050,154.875000,155.200750,and,B,sd,u-58-1
sw4785A-ms98-a-0050,155.536625,155.665000,you,I,sd,u-58-1
sw4785A-ms98-a-0050,155.665000,155.825000,know,I,sd,u-58-1
sw4785A-ms98-a-0050,155.825000,155.985000,and,I,sd,u-58-1
sw4785A-ms98-a-0050,155.985000,156.135000,as,I,sd,u-58-1
sw4785A-ms98-a-0050,156.135000,156.195000,the,I,sd,u-58-1
sw4785A-ms98-a-0050,156.195000,156.525625,kids,I,sd,u-58-1
sw4785A-ms98-a-0050,156.612250,156.864875,got,I,sd,u-58-1
sw4785A-ms98-a-0050,156.864875,157.222750,older,I,sd,u-58-1
sw4785A-ms98-a-0050,157.365000,157.495000,i,I,sd,u-58-1
sw4785A-ms98-a-0050,157.495000,157.735000,made,I,sd,u-58-1
sw4785A-ms98-a-0050,157.735000,157.915000,them_1,I,sd,u-58-1
sw4785A-ms98-a-0050,158.265000,158.365000,you,I,sd,u-58-1
sw4785A-ms98-a-0050,158.365000,158.545000,know,I,sd,u-58-1
sw4785A-ms98-a-0050,158.545000,158.735000,help,I,sd,u-58-1
sw4785A-ms98-a-0050,158.735000,158.845000,me,I,sd,u-58-1
sw4785A-ms98-a-0050,158.845000,159.075000,cut,I,sd,u-58-1
sw4785A-ms98-a-0050,159.075000,159.135000,the,I,sd,u-58-1
sw4785A-ms98-a-0050,159.135000,159.695000,grass,I,sd,u-58-1
sw4785A-ms98-a-0050,159.695000,159.900375,and,I,sd,u-58-1
sw4785A-ms98-a-0050,160.051000,160.225000,kind,B,+,u-60-1
sw4785A-ms98-a-0050,160.225000,160.285000,of,I,+,u-60-1
sw4785A-ms98-a-0050,160.285000,160.455000,made,I,+,u-60-1
sw4785A-ms98-a-0050,160.455000,160.623375,that,I,+,u-60-1
sw4785A-ms98-a-0050,160.623375,160.721250,a,I,+,u-60-1
sw4785A-ms98-a-0050,160.721250,161.205000,project,I,+,u-60-1
sw4785A-ms98-a-0050,161.205000,161.438875,too,I,+,u-60-1
sw4785A-ms98-a-0051,162.277125,162.397125,or,B,+,u-62-1
sw4785A-ms98-a-0051,162.397125,162.947250,whatever,I,+,u-62-1
sw4785A-ms98-a-0051,162.947250,163.227750,and,B,%,u-62-2
sw4785A-ms98-a-0052,165.071000,165.261000,oh,B,aa,u-64-1
sw4785A-ms98-a-0052,165.261000,165.561000,yeah,I,aa,u-64-1
sw4785A-ms98-a-0053,167.286750,167.538250,and,B,b,u-66-1
sw4785A-ms98-a-0053,167.538250,167.732250,uh,I,b,u-66-1
sw4785A-ms98-a-0053,167.977125,168.296750,well,I,b,u-66-1
sw4785A-ms98-a-0053,168.296750,168.633375,yeah,I,b,u-66-1
sw4785A-ms98-a-0053,168.784250,168.897750,if,B,%,u-66-2
sw4785A-ms98-a-0053,168.897750,169.041250,y[ou]-,O,,
sw4785A-ms98-a-0055,172.009375,172.692875,[laughter],O,,
sw4785A-ms98-a-0055,172.692875,173.101000,yeah,B,b,u-68-1
sw4785A-ms98-a-0055,173.357125,173.553375,just,B,sv,u-68-2
sw4785A-ms98-a-0055,173.553375,173.733375,keep,I,sv,u-68-2
sw4785A-ms98-a-0055,173.733375,173.863375,them_1,I,sv,u-68-2
sw4785A-ms98-a-0055,173.863375,174.263375,talking,I,sv,u-68-2
sw4785A-ms98-a-0055,174.263375,174.463375,that,I,sv,u-68-2
sw4785A-ms98-a-0055,174.463375,174.678375,way,I,sv,u-68-2
sw4785A-ms98-a-0056,175.671250,175.891250,but,B,sd,u-70-1
sw4785A-ms98-a-0056,175.891250,176.189500,uh,I,sd,u-70-1
sw4785A-ms98-a-0056,176.694250,177.071250,another,I,sd,u-70-1
sw4785A-ms98-a-0056,177.071250,177.281250,thing,I,sd,u-70-1
sw4785A-ms98-a-0056,177.281250,177.411250,we,I,sd,u-70-1
sw4785A-ms98-a-0056,177.411250,177.631250,used,I,sd,u-70-1
sw4785A-ms98-a-0056,177.631250,177.741250,to,I,sd,u-70-1
sw4785A-ms98-a-0056,177.741250,178.031250,do,I,sd,u-70-1
sw4785A-ms98-a-0056,178.031250,178.251250,is,I,sd,u-70-1
sw4785A-ms98-a-0056,178.251250,178.474250,have,I,sd,u-70-1
sw4785A-ms98-a-0056,178.474250,178.721250,[vocalized-noise],I,sd,u-70-1
sw4785A-ms98-a-0056,178.721250,179.121250,family,I,sd,u-70-1
sw4785A-ms98-a-0056,179.121250,179.686000,councils,I,sd,u-70-1
sw4785A-ms98-a-0057,180.794500,181.084500,every,B,+,u-72-1
sw4785A-ms98-a-0057,181.084500,181.434500,Sunday,I,+,u-72-1
sw4785A-ms98-a-0057,181.434500,181.744500,night,I,+,u-72-1
sw4785A-ms98-a-0060,186.085250,186.679125,discuss,B,sd,u-74-1
sw4785A-ms98-a-0060,186.976750,187.785250,everything,I,sd,u-74-1
sw4785A-ms98-a-0061,188.543000,188.743000,that,I,sd,u-74-1
sw4785A-ms98-a-0061,188.893000,189.123000,didn't,I,sd,u-74-1
sw4785A-ms98-a-0061,189.123000,189.383000,agree,I,sd,u-74-1
sw4785A-ms98-a-0061,189.383000,189.603000,with,I,sd,u-74-1
sw4785A-ms98-a-0061,189.603000,189.763000,them_1,O,,
sw4785A-ms98-a-0061,189.843000,189.983000,and,B,sd,u-74-2
sw4785A-ms98-a-0061,189.983000,190.123000,we'd,I,sd,u-74-2
sw4785A-ms98-a-0061,190.123000,190.363000,take,I,sd,u-74-2
sw4785A-ms98-a-0061,190.363000,190.663000,turns,I,sd,u-74-2
sw4785A-ms98-a-0061,190.663000,190.923000,being,I,sd,u-74-2
sw4785A-ms98-a-0061,190.923000,191.403000,president,I,sd,u-74-2
sw4785A-ms98-a-0062,192.686375,192.826375,and,B,sd,u-76-1
sw4785A-ms98-a-0062,192.826375,193.206375,everyone,I,sd,u-76-1
sw4785A-ms98-a-0062,193.206375,193.346375,would,I,sd,u-76-1
sw4785A-ms98-a-0062,193.346375,193.516375,get,I,sd,u-76-1
sw4785A-ms98-a-0062,193.516375,193.786375,one's,I,sd,u-76-1
sw4785A-ms98-a-0062,193.786375,194.076375,vote,I,sd,u-76-1
sw4785A-ms98-a-0062,194.596375,194.716375,and,B,sd,u-76-2
sw4785A-ms98-a-0062,194.716375,194.816375,i,I,sd,u-76-2
sw4785A-ms98-a-0062,194.816375,195.026375,always,I,sd,u-76-2
sw4785A-ms98-a-0062,195.026375,195.206375,thought,I,sd,u-76-2
sw4785A-ms98-a-0062,195.206375,195.346375,we'd,I,sd,u-76-2
sw4785A-ms98-a-0062,195.346375,195.526375,get,I,sd,u-76-2
sw4785A-ms98-a-0062,195.526375,196.026375,outvoted,I,sd,u-76-2
sw4785A-ms98-a-0062,196.026375,196.306375,five,I,sd,u-76-2
sw4785A-ms98-a-0062,196.306375,196.436375,to,I,sd,u-76-2
sw4785A-ms98-a-0062,196.436375,196.776375,two,I,sd,u-76-2
sw4785A-ms98-a-0063,197.650750,197.760750,but,B,sd,u-78-1
sw4785A-ms98-a-0063,197.760750,197.870750,it,I,sd,u-78-1
sw4785A-ms98-a-0063,197.870750,198.130750,never,I,sd,u-78-1
sw4785A-ms98-a-0063,198.130750,198.370750,worked,I,sd,u-78-1
sw4785A-ms98-a-0063,198.370750,198.570750,that,I,sd,u-78-1
sw4785A-ms98-a-0063,198.570750,198.815750,way,I,sd,u-78-1
sw4785A-ms98-a-0065,202.063250,202.447000,yeah,B,aa,u-80-1
sw4785A-ms98-a-0065,202.546625,202.732750,well,B,sd,u-80-2
sw4785A-ms98-a-0065,202.732750,202.852750,and,I,sd,u-80-2
sw4785A-ms98-a-0065,202.852750,202.952750,we,I,sd,u-80-2
sw4785A-ms98-a-0065,202.952750,203.082750,could,I,sd,u-80-2
sw4785A-ms98-a-0065,203.082750,203.292750,bring,I,sd,u-80-2
sw4785A-ms98-a-0065,203.292750,203.559500,up,I,sd,u-80-2
sw4785A-ms98-a-0065,203.879625,204.083000,and,B,+,u-82-1
sw4785A-ms98-a-0065,204.083000,204.239375,we,I,+,u-82-1
sw4785A-ms98-a-0065,204.239375,204.352750,could,I,+,u-82-1
sw4785A-ms98-a-0065,204.352750,204.532750,bring,I,+,u-82-1
sw4785A-ms98-a-0065,204.532750,204.682750,up,I,+,u-82-1
sw4785A-ms98-a-0065,204.682750,205.022750,stuff,I,+,u-82-1
sw4785A-ms98-a-0065,205.022750,205.330250,too,I,+,u-82-1
sw4785A-ms98-a-0066,206.540125,206.730125,and,B,sd,u-84-1
sw4785A-ms98-a-0066,206.730125,206.890125,that,I,sd,u-84-1
sw4785A-ms98-a-0066,206.890125,207.040125,was,I,sd,u-84-1
sw4785A-ms98-a-0066,207.040125,207.340125,always,I,sd,u-84-1
sw4785A-ms98-a-0066,207.340125,207.580125,good,I,sd,u-84-1
sw4785A-ms98-a-0066,207.580125,207.940125,time,I,sd,u-84-1
sw4785A-ms98-a-0066,208.284000,208.464875,boy,B,sd,u-84-2
sw4785A-ms98-a-0066,208.464875,208.580125,we,I,sd,u-84-2
sw4785A-ms98-a-0066,208.580125,208.840125,really,I,sd,u-84-2
sw4785A-ms98-a-0066,208.840125,209.010125,got,I,sd,u-84-2
sw4785A-ms98-a-0066,209.010125,209.110125,to,I,sd,u-84-2
sw4785A-ms98-a-0066,209.110125,209.290125,know,I,sd,u-84-2
sw4785A-ms98-a-0066,209.290125,209.350125,the,I,sd,u-84-2
sw4785A-ms98-a-0066,209.350125,209.660125,kids,I,sd,u-84-2
sw4785A-ms98-a-0066,209.660125,209.980125,well,I,sd,u-84-2
sw4785A-ms98-a-0067,211.371250,211.596375,and,O,,
sw4785A-ms98-a-0069,214.059750,214.219750,oh,B,ny,u-86-1
sw4785A-ms98-a-0069,214.219750,214.601125,yeah,I,ny,u-86-1
sw4785A-ms98-a-0069,214.872250,214.969750,in,B,sd^e,u-86-2
sw4785A-ms98-a-0069,214.969750,215.169750,fact,B,+,u-88-1
sw4785A-ms98-a-0069,215.169750,215.239750,they,I,+,u-88-1
sw4785A-ms98-a-0069,215.239750,215.409750,were,I,+,u-88-1
sw4785A-ms98-a-0069,215.409750,215.639750,all,I,+,u-88-1
sw4785A-ms98-a-0069,215.639750,215.859750,in,I,+,u-88-1
sw4785A-ms98-a-0069,215.859750,216.049750,uh,I,+,u-88-1
sw4785A-ms98-a-0069,216.129750,216.319750,over,I,+,u-88-1
sw4785A-ms98-a-0069,216.319750,216.389750,the,I,+,u-88-1
sw4785A-ms98-a-0069,216.389750,216.829750,weekend,I,+,u-88-1
sw4785A-ms98-a-0069,216.829750,216.959750,for,I,+,u-88-1
sw4785A-ms98-a-0069,216.959750,217.329750,Easter,I,+,u-88-1
sw4785A-ms98-a-0071,227.478250,228.008250,well,B,sd,u-90-1
sw4785A-ms98-a-0071,228.008250,228.178250,we,I,sd,u-90-1
sw4785A-ms98-a-0071,228.178250,228.348250,did,I,sd,u-90-1
sw4785A-ms98-a-0071,228.348250,228.640000,too,I,sd,u-90-1
sw4785A-ms98-a-0071,228.881000,229.173375,and,B,sd,u-92-1
sw4785A-ms98-a-0071,229.418250,229.540625,and,I,sd,u-92-1
sw4785A-ms98-a-0071,229.540625,229.668000,i,I,sd,u-92-1
sw4785A-ms98-a-0071,229.668000,230.208250,remember,I,sd,u-92-1
sw4785A-ms98-a-0071,230.208250,230.398250,the,I,sd,u-92-1
sw4785A-ms98-a-0071,230.398250,230.598250,one,I,sd,u-92-1
sw4785A-ms98-a-0071,230.598250,231.047250,daughter,I,sd,u-92-1
sw4785A-ms98-a-0071,231.216750,231.720000,saying,I,sd,u-92-1
sw4785A-ms98-a-0071,232.416750,232.508250,we,I,sd,u-92-1
sw4785A-ms98-a-0071,232.508250,232.659250,had,I,sd,u-92-1
sw4785A-ms98-a-0071,232.659250,232.791125,a,I,sd,u-92-1
sw4785A-ms98-a-0071,232.791125,233.080500,a,I,sd,u-92-1
sw4785A-ms98-a-0071,233.080500,233.211500,a,I,sd,u-92-1
sw4785A-ms98-a-0071,233.211500,233.413000,friend,I,sd,u-92-1
sw4785A-ms98-a-0071,233.413000,233.508250,of,I,sd,u-92-1
