sw3911A-ms98-a-0002,0.981250,1.551250,um,B,%,u-1-1
sw3911A-ms98-a-0005,12.622250,12.882250,some,I,sd,u-5-3
sw3911A-ms98-a-0005,12.882250,13.226250,neighbor,I,sd,u-5-3
sw3911A-ms98-a-0005,13.226250,13.908000,kids,I,sd,u-5-3
sw3911A-ms98-a-0005,13.908000,14.292250,lots,I,sd,u-5-3
sw3911A-ms98-a-0005,14.292250,14.432250,of,I,sd,u-5-3
sw3911A-ms98-a-0005,14.432250,14.682250,little,I,sd,u-5-3
sw3911A-ms98-a-0005,14.682250,15.002250,neighbor,I,sd,u-5-3
sw3911A-ms98-a-0005,15.002250,15.632250,kids,I,sd,u-5-3
sw3911A-ms98-a-0006,16.508625,16.849875,that,B,%,u-7-1
sw3911A-ms98-a-0006,17.143625,17.398625,i,B,sd,u-7-2
sw3911A-ms98-a-0006,17.398625,17.650875,go,I,sd,u-7-2
sw3911A-ms98-a-0006,17.650875,18.019875,out,I,sd,u-7-2
sw3911A-ms98-a-0006,18.019875,18.488625,and,I,sd,u-7-2
sw3911A-ms98-a-0006,18.488625,18.714000,uh,I,sd,u-7-2
sw3911A-ms98-a-0006,19.365625,19.558625,i,I,sd,u-7-2
sw3911A-ms98-a-0006,19.558625,19.808625,play,I,sd,u-7-2
sw3911A-ms98-a-0006,19.808625,20.238625,ball,I,sd,u-7-2
sw3911A-ms98-a-0006,20.238625,20.538625,with,I,sd,u-7-2
sw3911A-ms98-a-0006,20.538625,20.898625,them,I,sd,u-7-2
sw3911A-ms98-a-0007,21.388750,21.558750,you,B,sd,u-7-3
sw3911A-ms98-a-0007,21.558750,21.809750,know,I,sd,u-7-3
sw3911A-ms98-a-0007,22.001875,22.466125,it's,I,sd,u-7-3
sw3911A-ms98-a-0007,22.684625,23.198750,because,I,sd,u-7-3
sw3911A-ms98-a-0007,23.198750,23.438750,like,I,sd,u-7-3
sw3911A-ms98-a-0007,23.438750,23.658750,this,I,sd,u-7-3
sw3911A-ms98-a-0007,23.658750,23.798750,one,I,sd,u-7-3
sw3911A-ms98-a-0007,23.798750,23.908750,that,I,sd,u-7-3
sw3911A-ms98-a-0007,23.908750,24.118750,lives,I,sd,u-7-3
sw3911A-ms98-a-0007,24.118750,24.308750,right,I,sd,u-7-3
sw3911A-ms98-a-0007,24.308750,24.578750,next,I,sd,u-7-3
sw3911A-ms98-a-0007,24.578750,24.868750,door,I,sd,u-7-3
sw3911A-ms98-a-0007,24.868750,24.988750,her,I,sd,u-7-3
sw3911A-ms98-a-0007,24.988750,25.308750,mother,I,sd,u-7-3
sw3911A-ms98-a-0007,25.308750,25.538750,does,I,sd,u-7-3
sw3911A-ms98-a-0007,25.538750,25.788750,some,I,sd,u-7-3
sw3911A-ms98-a-0007,25.788750,26.008750,work,I,sd,u-7-3
sw3911A-ms98-a-0007,26.008750,26.128750,at,I,sd,u-7-3
sw3911A-ms98-a-0007,26.128750,26.578750,home,I,sd,u-7-3
sw3911A-ms98-a-0007,26.578750,26.798750,on,B,+,u-9-1
sw3911A-ms98-a-0007,26.798750,27.630750,computers,I,+,u-9-1
sw3911A-ms98-a-0007,28.207500,28.338750,and,B,sd,u-11-1
sw3911A-ms98-a-0007,28.338750,28.428750,it,I,sd,u-11-1
sw3911A-ms98-a-0007,28.428750,28.638750,just,I,sd,u-11-1
sw3911A-ms98-a-0007,28.638750,28.848750,seems,I,sd,u-11-1
sw3911A-ms98-a-0007,28.848750,28.988750,like,I,sd,u-11-1
sw3911A-ms98-a-0007,28.988750,29.158750,she,I,sd,u-11-1
sw3911A-ms98-a-0007,29.158750,29.428750,doesn't,I,sd,u-11-1
sw3911A-ms98-a-0007,29.428750,29.608750,have,I,sd,u-11-1
sw3911A-ms98-a-0007,29.608750,29.758750,any,I,sd,u-11-1
sw3911A-ms98-a-0007,29.758750,30.178750,time,I,sd,u-11-1
sw3911A-ms98-a-0007,30.178750,30.508750,for,I,sd,u-11-1
sw3911A-ms98-a-0007,30.508750,30.686250,them_1,I,sd,u-11-1
sw3911A-ms98-a-0008,31.511000,31.691000,which,I,sd,u-11-1
sw3911A-ms98-a-0008,31.691000,31.801000,is,I,sd,u-11-1
sw3911A-ms98-a-0008,31.801000,32.071000,kind,I,sd,u-11-1
sw3911A-ms98-a-0008,32.071000,32.141000,of,I,sd,u-11-1
sw3911A-ms98-a-0008,32.141000,32.581000,sad,I,sd,u-11-1
sw3911A-ms98-a-0008,32.581000,32.681000,you,I,sd,u-11-1
sw3911A-ms98-a-0008,32.681000,32.981000,know,I,sd,u-11-1
sw3911A-ms98-a-0009,33.804000,34.066125,so,B,sd,u-13-1
sw3911A-ms98-a-0009,34.066125,34.136125,the,I,sd,u-13-1
sw3911A-ms98-a-0009,34.136125,34.416125,kids,I,sd,u-13-1
sw3911A-ms98-a-0009,34.416125,34.476125,are,I,sd,u-13-1
sw3911A-ms98-a-0009,34.476125,34.696125,kind,I,sd,u-13-1
sw3911A-ms98-a-0009,34.696125,34.806125,of,I,sd,u-13-1
sw3911A-ms98-a-0009,34.806125,35.146125,hungry,I,sd,u-13-1
sw3911A-ms98-a-0009,35.146125,35.356125,for,I,sd,u-13-1
sw3911A-ms98-a-0009,35.356125,35.696125,someone,I,sd,u-13-1
sw3911A-ms98-a-0009,35.696125,35.776125,to,I,sd,u-13-1
sw3911A-ms98-a-0009,35.776125,36.026125,play,I,sd,u-13-1
sw3911A-ms98-a-0009,36.026125,36.252875,with,I,sd,u-13-1
sw3911A-ms98-a-0009,36.252875,36.640875,them,I,sd,u-13-1
sw3911A-ms98-a-0009,36.640875,36.826125,so,B,sd,u-13-2
sw3911A-ms98-a-0009,36.826125,36.966125,i,I,sd,u-13-2
sw3911A-ms98-a-0009,36.966125,37.056125,will,I,sd,u-13-2
sw3911A-ms98-a-0009,37.056125,37.236125,go,I,sd,u-13-2
sw3911A-ms98-a-0009,37.236125,37.376125,out,I,sd,u-13-2
sw3911A-ms98-a-0009,37.376125,37.466125,and,I,sd,u-13-2
sw3911A-ms98-a-0009,37.466125,37.646125,play,I,sd,u-13-2
sw3911A-ms98-a-0009,37.646125,38.076125,catch,I,sd,u-13-2
sw3911A-ms98-a-0009,38.076125,38.246125,with,I,sd,u-13-2
sw3911A-ms98-a-0009,38.246125,38.486125,them,I,sd,u-13-2
sw3911A-ms98-a-0009,38.486125,38.741625,or,I,sd,u-13-2
sw3911A-ms98-a-0009,38.858375,38.956125,you,I,sd,u-13-2
sw3911A-ms98-a-0009,38.956125,39.106125,know,I,sd,u-13-2
sw3911A-ms98-a-0009,39.106125,39.216125,we,I,sd,u-13-2
sw3911A-ms98-a-0009,39.216125,39.561500,ha[ve]-,I,sd,u-13-2
sw3911A-ms98-a-0009,39.561500,39.708875,let,I,sd,u-13-2
sw3911A-ms98-a-0009,39.708875,39.837000,the,I,sd,u-13-2
sw3911A-ms98-a-0009,39.837000,40.186125,dogs,I,sd,u-13-2
sw3911A-ms98-a-0009,40.186125,40.766125,outside,I,sd,u-13-2
sw3911A-ms98-a-0009,40.766125,41.166125,and,B,sd,u-13-3
sw3911A-ms98-a-0009,41.166125,41.236125,they,I,sd,u-13-3
sw3911A-ms98-a-0009,41.236125,41.416125,will,I,sd,u-13-3
sw3911A-ms98-a-0009,41.416125,41.626125,roll,I,sd,u-13-3
sw3911A-ms98-a-0009,41.626125,41.856125,around,I,sd,u-13-3
sw3911A-ms98-a-0009,41.856125,41.956125,on,I,sd,u-13-3
sw3911A-ms98-a-0009,41.956125,42.056125,the,I,sd,u-13-3
sw3911A-ms98-a-0009,42.056125,42.436125,ground,I,sd,u-13-3
sw3911A-ms98-a-0009,42.436125,42.546125,and,I,sd,u-13-3
sw3911A-ms98-a-0009,42.546125,42.726125,play,I,sd,u-13-3
sw3911A-ms98-a-0009,42.726125,42.867000,with,I,sd,u-13-3
sw3911A-ms98-a-0009,42.867000,42.988875,the,I,sd,u-13-3
sw3911A-ms98-a-0009,42.988875,43.598875,dogs,I,sd,u-13-3
sw3911A-ms98-a-0010,44.474750,44.824750,but,B,sv,u-13-4
sw3911A-ms98-a-0010,44.824750,45.034750,uh,I,sv,u-13-4
sw3911A-ms98-a-0010,45.034750,45.474750,actually,I,sv,u-13-4
sw3911A-ms98-a-0010,45.474750,45.564750,i,I,sv,u-13-4
sw3911A-ms98-a-0010,45.564750,45.794750,do,I,sv,u-13-4
sw3911A-ms98-a-0010,45.794750,46.044750,think,I,sv,u-13-4
sw3911A-ms98-a-0010,46.044750,46.174750,that,I,sv,u-13-4
sw3911A-ms98-a-0010,46.174750,46.254750,the,I,sv,u-13-4
sw3911A-ms98-a-0010,46.254750,46.654750,parents,I,sv,u-13-4
sw3911A-ms98-a-0010,46.654750,46.904750,should,I,sv,u-13-4
sw3911A-ms98-a-0010,46.904750,47.234750,have,I,sv,u-13-4
sw3911A-ms98-a-0010,47.234750,47.334750,you,I,sv,u-13-4
sw3911A-ms98-a-0010,47.334750,47.590875,know,I,sv,u-13-4
sw3911A-ms98-a-0010,47.986250,48.175000,a,I,sv,u-13-4
sw3911A-ms98-a-0010,48.175000,48.304750,little,I,sv,u-13-4
sw3911A-ms98-a-0010,48.304750,48.464750,bit,I,sv,u-13-4
sw3911A-ms98-a-0010,48.464750,48.644750,more,I,sv,u-13-4
sw3911A-ms98-a-0010,48.644750,49.014750,time,I,sv,u-13-4
sw3911A-ms98-a-0010,49.014750,49.114750,to,I,sv,u-13-4
sw3911A-ms98-a-0010,49.114750,49.404750,spend,I,sv,u-13-4
sw3911A-ms98-a-0010,49.404750,49.554750,with,I,sv,u-13-4
sw3911A-ms98-a-0010,49.554750,49.704750,their,I,sv,u-13-4
sw3911A-ms98-a-0010,49.704750,50.342625,kids,I,sv,u-13-4
sw3911A-ms98-a-0012,57.579250,57.909250,no,B,nn,u-15-1
sw3911A-ms98-a-0012,57.909250,58.059250,when,B,sd^e,u-15-2
sw3911A-ms98-a-0012,58.059250,58.259250,my,I,sd^e,u-15-2
sw3911A-ms98-a-0012,58.259250,58.469250,son,I,sd^e,u-15-2
sw3911A-ms98-a-0012,58.469250,58.629250,was,I,sd^e,u-15-2
sw3911A-ms98-a-0012,58.629250,58.789250,at,I,sd^e,u-15-2
sw3911A-ms98-a-0012,58.789250,59.161375,home,I,sd^e,u-15-2
sw3911A-ms98-a-0012,59.161375,59.545500,i,I,sd^e,u-15-2
sw3911A-ms98-a-0012,59.545500,59.799250,i,I,sd^e,u-15-2
sw3911A-ms98-a-0012,59.799250,60.039250,did,I,sd^e,u-15-2
sw3911A-ms98-a-0012,60.039250,60.737625,work,I,sd^e,u-15-2
sw3911A-ms98-a-0012,61.246125,61.569250,and,B,sd,u-15-3
sw3911A-ms98-a-0012,61.569250,61.699250,then,I,sd,u-15-3
sw3911A-ms98-a-0012,61.699250,61.829250,he,I,sd,u-15-3
sw3911A-ms98-a-0012,61.829250,62.039250,went,I,sd,u-15-3
sw3911A-ms98-a-0012,62.039250,62.179250,to,I,sd,u-15-3
sw3911A-ms98-a-0012,62.179250,62.239250,a,I,sd,u-15-3
sw3911A-ms98-a-0012,62.239250,62.559250,baby,I,sd,u-15-3
sw3911A-ms98-a-0012,62.559250,62.939250,sitter,I,sd,u-15-3
sw3911A-ms98-a-0012,62.939250,63.109250,that,I,sd,u-15-3
sw3911A-ms98-a-0012,63.109250,63.329250,this,I,sd,u-15-3
sw3911A-ms98-a-0012,63.329250,63.629250,lady,I,sd,u-15-3
sw3911A-ms98-a-0012,63.629250,63.839250,had,I,sd,u-15-3
sw3911A-ms98-a-0012,63.839250,64.319250,about,I,sd,u-15-3
sw3911A-ms98-a-0012,64.319250,64.609250,uh,I,sd,u-15-3
sw3911A-ms98-a-0012,64.609250,64.929250,five,I,sd,u-15-3
sw3911A-ms98-a-0012,64.929250,65.109250,other,I,sd,u-15-3
sw3911A-ms98-a-0012,65.109250,65.459250,kids,I,sd,u-15-3
sw3911A-ms98-a-0012,65.459250,65.569250,that,I,sd,u-15-3
sw3911A-ms98-a-0012,65.569250,65.759250,she,I,sd,u-15-3
sw3911A-ms98-a-0012,65.759250,66.079250,baby,I,sd,u-15-3
sw3911A-ms98-a-0012,66.079250,66.667500,sat,I,sd,u-15-3
sw3911A-ms98-a-0013,67.555000,67.755000,you,I,sd,u-15-3
sw3911A-ms98-a-0013,67.755000,68.138750,know,I,sd,u-15-3
sw3911A-ms98-a-0013,68.564250,68.805000,but,B,sd,u-17-1
sw3911A-ms98-a-0013,68.805000,68.965000,we,I,sd,u-17-1
sw3911A-ms98-a-0013,68.965000,69.245000,always,I,sd,u-17-1
sw3911A-ms98-a-0013,69.245000,69.405000,had,I,sd,u-17-1
sw3911A-ms98-a-0013,69.405000,69.535000,our,I,sd,u-17-1
sw3911A-ms98-a-0013,69.535000,69.875000,days,I,sd,u-17-1
sw3911A-ms98-a-0013,69.875000,70.115000,off,I,sd,u-17-1
sw3911A-ms98-a-0013,70.115000,70.555000,together,I,sd,u-17-1
sw3911A-ms98-a-0013,70.555000,70.685000,and,B,sd,u-17-2
sw3911A-ms98-a-0013,70.685000,70.805000,we,I,sd,u-17-2
sw3911A-ms98-a-0013,70.805000,71.005000,went,I,sd,u-17-2
sw3911A-ms98-a-0013,71.005000,71.505000,camping,I,sd,u-17-2
sw3911A-ms98-a-0013,71.505000,71.645000,on,I,sd,u-17-2
sw3911A-ms98-a-0013,71.645000,72.685000,vacations,I,sd,u-17-2
sw3911A-ms98-a-0013,73.427250,73.675000,so,B,sd,u-17-3
sw3911A-ms98-a-0013,73.675000,73.795000,we,I,sd,u-17-3
sw3911A-ms98-a-0013,73.795000,73.955000,had,I,sd,u-17-3
sw3911A-ms98-a-0013,73.955000,74.015000,a,I,sd,u-17-3
sw3911A-ms98-a-0013,74.015000,74.185000,lot,I,sd,u-17-3
sw3911A-ms98-a-0013,74.185000,74.265000,of,I,sd,u-17-3
sw3911A-ms98-a-0013,74.265000,74.555000,time,I,sd,u-17-3
sw3911A-ms98-a-0013,74.555000,74.945000,together,I,sd,u-17-3
sw3911A-ms98-a-0013,74.945000,75.195000,that,I,sd,u-17-3
sw3911A-ms98-a-0013,75.195000,75.405000,way,I,sd,u-17-3
sw3911A-ms98-a-0013,75.405000,75.545000,you,I,sd,u-17-3
sw3911A-ms98-a-0013,75.545000,75.924875,know,I,sd,u-17-3
sw3911A-ms98-a-0015,82.082250,82.584750,uh-huh,B,b,u-19-1
sw3911A-ms98-a-0017,85.792875,86.260625,uh-huh,B,b,u-21-1
sw3911A-ms98-a-0019,96.451625,96.501625,oh,B,aa,u-25-1
sw3911A-ms98-a-0019,96.501625,96.771625,yeah,I,aa,u-25-1
sw3911A-ms98-a-0019,96.771625,96.931625,well,B,sv,u-25-2
sw3911A-ms98-a-0019,96.931625,96.991625,i,I,sv,u-25-2
sw3911A-ms98-a-0019,96.991625,97.071625,am,I,sv,u-25-2
sw3911A-ms98-a-0019,97.071625,97.321625,sure,I,sv,u-25-2
sw3911A-ms98-a-0019,97.321625,97.421625,it,I,sv,u-25-2
sw3911A-ms98-a-0019,97.421625,97.781625,was,I,sv,u-25-2
sw3911A-ms98-a-0019,97.781625,97.901625,you,I,sv,u-25-2
sw3911A-ms98-a-0019,97.901625,98.193375,know,I,sv,u-25-2
sw3911A-ms98-a-0019,98.814875,99.211625,but,B,sv,u-25-3
sw3911A-ms98-a-0019,99.211625,99.583625,uh,I,sv,u-25-3
sw3911A-ms98-a-0020,100.127125,100.237125,i,I,sv,u-25-3
sw3911A-ms98-a-0020,100.237125,100.397125,don't,I,sv,u-25-3
sw3911A-ms98-a-0020,100.397125,100.487125,know,I,sv,u-25-3
sw3911A-ms98-a-0020,100.487125,100.697125,what,I,sv,u-25-3
sw3911A-ms98-a-0020,100.697125,100.767125,the,I,sv,u-25-3
sw3911A-ms98-a-0020,100.767125,101.227125,families,I,sv,u-25-3
sw3911A-ms98-a-0020,101.227125,101.367125,are,I,sv,u-25-3
sw3911A-ms98-a-0020,101.367125,101.597125,really,I,sv,u-25-3
sw3911A-ms98-a-0020,101.597125,101.957125,going,I,sv,u-25-3
sw3911A-ms98-a-0020,101.957125,102.257125,to,I,sv,u-25-3
sw3911A-ms98-a-0020,102.257125,102.537125,come,I,sv,u-25-3
sw3911A-ms98-a-0020,102.537125,102.817125,to,I,sv,u-25-3
sw3911A-ms98-a-0020,102.817125,103.417125,nowadays,I,sv,u-25-3
sw3911A-ms98-a-0020,103.417125,103.697125,because,I,sv,u-25-3
sw3911A-ms98-a-0020,103.697125,103.807125,they,I,sv,u-25-3
sw3911A-ms98-a-0020,103.807125,104.097125,just,I,sv,u-25-3
sw3911A-ms98-a-0020,104.097125,104.287125,there,I,sv,u-25-3
sw3911A-ms98-a-0020,104.287125,104.507125,just,I,sv,u-25-3
sw3911A-ms98-a-0020,104.507125,104.767125,doesn't,I,sv,u-25-3
sw3911A-ms98-a-0020,104.767125,104.937125,seem,I,sv,u-25-3
sw3911A-ms98-a-0020,104.937125,105.107125,like,I,sv,u-25-3
sw3911A-ms98-a-0020,105.107125,105.237125,they,I,sv,u-25-3
sw3911A-ms98-a-0020,105.237125,105.487125,do,I,sv,u-25-3
sw3911A-ms98-a-0020,105.487125,105.697125,have,I,sv,u-25-3
sw3911A-ms98-a-0020,105.697125,105.997125,time,I,sv,u-25-3
sw3911A-ms98-a-0020,105.997125,106.117125,for,I,sv,u-25-3
sw3911A-ms98-a-0020,106.117125,106.257125,their,I,sv,u-25-3
sw3911A-ms98-a-0020,106.257125,106.727125,kids,I,sv,u-25-3
sw3911A-ms98-a-0020,107.277125,107.607125,because,B,sd,u-25-4
sw3911A-ms98-a-0020,107.607125,108.017125,most,I,sd,u-25-4
sw3911A-ms98-a-0020,108.617125,108.957125,most,I,sd,u-25-4
sw3911A-ms98-a-0020,108.957125,109.057125,of,I,sd,u-25-4
sw3911A-ms98-a-0020,109.057125,109.247125,them,I,sd,u-25-4
sw3911A-ms98-a-0020,109.247125,109.317125,the,I,sd,u-25-4
sw3911A-ms98-a-0020,109.317125,109.657125,father,I,sd,u-25-4
sw3911A-ms98-a-0020,109.657125,109.757125,and,I,sd,u-25-4
sw3911A-ms98-a-0020,109.757125,109.817125,the,I,sd,u-25-4
sw3911A-ms98-a-0020,109.817125,110.097125,mother,I,sd,u-25-4
sw3911A-ms98-a-0020,110.097125,110.427125,both,I,sd,u-25-4
sw3911A-ms98-a-0020,110.427125,110.747125,work,I,sd,u-25-4
sw3911A-ms98-a-0021,111.710250,111.890250,you,I,sd,u-25-4
sw3911A-ms98-a-0021,111.890250,112.190250,know,I,sd,u-25-4
sw3911A-ms98-a-0022,112.847625,113.157625,so,B,sv,u-27-1
sw3911A-ms98-a-0022,113.157625,113.407625,it's,I,sv,u-27-1
sw3911A-ms98-a-0022,113.407625,113.719250,really,I,sv,u-27-1
sw3911A-ms98-a-0022,113.719250,114.363375,rough,I,sv,u-27-1
sw3911A-ms98-a-0022,114.363375,114.966000,um,B,sd,u-27-2
sw3911A-ms98-a-0022,115.999750,116.157625,i,I,sd,u-27-2
sw3911A-ms98-a-0022,116.157625,116.367625,have,I,sd,u-27-2
sw3911A-ms98-a-0022,116.367625,116.577625,one,I,sd,u-27-2
sw3911A-ms98-a-0022,116.577625,116.927625,neighbor,I,sd,u-27-2
sw3911A-ms98-a-0022,116.927625,117.412375,that's,I,sd,u-27-2
sw3911A-ms98-a-0022,117.412375,117.801875,uh,I,sd,u-27-2
sw3911A-ms98-a-0022,117.801875,117.967625,the,I,sd,u-27-2
sw3911A-ms98-a-0022,117.967625,118.267625,father,I,sd,u-27-2
sw3911A-ms98-a-0022,118.267625,118.387625,is,I,sd,u-27-2
sw3911A-ms98-a-0022,118.387625,118.457625,a,I,sd,u-27-2
sw3911A-ms98-a-0022,118.457625,119.177625,fireman,I,sd,u-27-2
sw3911A-ms98-a-0023,119.997125,120.604375,and,B,sd,u-27-3
sw3911A-ms98-a-0023,121.075250,121.347125,he,I,sd,u-27-3
sw3911A-ms98-a-0023,121.347125,121.667125,works,I,sd,u-27-3
sw3911A-ms98-a-0023,121.667125,121.937125,like,I,sd,u-27-3
sw3911A-ms98-a-0023,121.937125,122.217125,four,I,sd,u-27-3
sw3911A-ms98-a-0023,122.217125,122.577125,days,I,sd,u-27-3
sw3911A-ms98-a-0023,122.577125,122.937125,on,I,sd,u-27-3
sw3911A-ms98-a-0023,122.937125,123.088375,and,B,sd,u-27-4
sw3911A-ms98-a-0023,123.337000,123.617125,it,I,sd,u-27-4
sw3911A-ms98-a-0023,123.617125,123.807125,seems,I,sd,u-27-4
sw3911A-ms98-a-0023,123.807125,123.967125,like,I,sd,u-27-4
sw3911A-ms98-a-0023,123.967125,124.037125,he,I,sd,u-27-4
sw3911A-ms98-a-0023,124.037125,124.097125,is,I,sd,u-27-4
sw3911A-ms98-a-0023,124.097125,124.437125,suppose,I,sd,u-27-4
sw3911A-ms98-a-0023,124.437125,124.547125,to,I,sd,u-27-4
sw3911A-ms98-a-0023,124.547125,124.797125,come,I,sd,u-27-4
sw3911A-ms98-a-0023,124.797125,125.057125,home,I,sd,u-27-4
sw3911A-ms98-a-0023,125.057125,125.237125,for,I,sd,u-27-4
sw3911A-ms98-a-0023,125.237125,125.467125,like,I,sd,u-27-4
sw3911A-ms98-a-0023,125.467125,125.817125,three,I,sd,u-27-4
sw3911A-ms98-a-0023,125.817125,125.887125,or,I,sd,u-27-4
sw3911A-ms98-a-0023,125.887125,126.157125,four,I,sd,u-27-4
sw3911A-ms98-a-0023,126.157125,126.577125,days,I,sd,u-27-4
sw3911A-ms98-a-0024,127.288125,127.481500,but,B,sd,u-27-5
sw3911A-ms98-a-0024,128.170750,128.407250,he,I,sd,u-27-5
sw3911A-ms98-a-0024,128.407250,128.767250,can't,I,sd,u-27-5
sw3911A-ms98-a-0024,128.767250,128.967250,make,I,sd,u-27-5
sw3911A-ms98-a-0024,128.967250,129.277250,enough,I,sd,u-27-5
sw3911A-ms98-a-0024,129.277250,129.387250,as,I,sd,u-27-5
sw3911A-ms98-a-0024,129.387250,129.457250,a,I,sd,u-27-5
sw3911A-ms98-a-0024,129.457250,129.927250,fireman,I,sd,u-27-5
sw3911A-ms98-a-0024,129.927250,130.047250,to,I,sd,u-27-5
sw3911A-ms98-a-0024,130.047250,130.467250,support,I,sd,u-27-5
sw3911A-ms98-a-0024,130.467250,130.677250,his,I,sd,u-27-5
sw3911A-ms98-a-0024,130.677250,131.577250,family,I,sd,u-27-5
sw3911A-ms98-a-0024,131.577250,131.697250,you,I,sd,u-27-5
sw3911A-ms98-a-0024,131.697250,131.947250,know,I,sd,u-27-5
sw3911A-ms98-a-0024,131.947250,132.147250,so,B,sd,u-27-6
sw3911A-ms98-a-0024,132.147250,132.377250,he's,I,sd,u-27-6
sw3911A-ms98-a-0024,132.377250,132.547250,got,I,sd,u-27-6
sw3911A-ms98-a-0024,132.547250,132.607250,a,I,sd,u-27-6
sw3911A-ms98-a-0024,132.607250,133.027250,second,I,sd,u-27-6
sw3911A-ms98-a-0024,133.027250,133.479625,job,I,sd,u-27-6
sw3911A-ms98-a-0025,134.403500,134.640000,so,B,sd,u-29-1
sw3911A-ms98-a-0025,134.640000,135.178625,he's,I,sd,u-29-1
sw3911A-ms98-a-0025,135.178625,135.503500,you,I,sd,u-29-1
sw3911A-ms98-a-0025,135.503500,135.573500,know,I,sd,u-29-1
sw3911A-ms98-a-0025,135.573500,135.783500,he's,I,sd,u-29-1
sw3911A-ms98-a-0025,135.783500,135.984750,not,I,sd,u-29-1
sw3911A-ms98-a-0025,135.984750,136.214500,home,I,sd,u-29-1
sw3911A-ms98-a-0025,136.214500,136.453500,very,I,sd,u-29-1
sw3911A-ms98-a-0025,136.453500,136.994750,[laughter-often],O,,
sw3911A-ms98-a-0026,138.339875,138.509875,and,B,%,u-31-1
sw3911A-ms98-a-0026,138.509875,138.865250,that's,I,%,u-31-1
sw3911A-ms98-a-0026,139.057250,139.179875,you,I,%,u-31-1
sw3911A-ms98-a-0026,139.179875,139.349875,know,I,%,u-31-1
sw3911A-ms98-a-0026,139.349875,139.429875,the,B,sd,u-31-2
sw3911A-ms98-a-0026,139.429875,139.719875,kids,I,sd,u-31-2
sw3911A-ms98-a-0026,139.719875,139.779875,i,I,sd,u-31-2
sw3911A-ms98-a-0026,139.779875,140.009875,know,I,sd,u-31-2
sw3911A-ms98-a-0026,140.009875,140.379875,miss,I,sd,u-31-2
sw3911A-ms98-a-0026,140.379875,140.801250,that,I,sd,u-31-2
sw3911A-ms98-a-0026,141.083750,141.219875,you,B,o,u-33-1
sw3911A-ms98-a-0026,141.219875,141.588375,know,I,o,u-33-1
sw3911A-ms98-a-0028,145.655875,145.985875,yeah,B,aa,u-35-1
sw3911A-ms98-a-0028,145.985875,146.154375,you,I,aa,u-35-1
sw3911A-ms98-a-0028,146.154375,146.516000,know,I,aa,u-35-1
sw3911A-ms98-a-0028,146.516000,146.982875,and,B,h,u-35-2
