sw2792B-ms98-a-0001,0.620000,0.948125,okay,B,qy,u-1-1
sw2792B-ms98-a-0025,84.231625,84.351625,all,I,sd,u-25-1
sw2792B-ms98-a-0025,84.351625,84.511625,that,I,sd,u-25-1
sw2792B-ms98-a-0025,84.511625,84.554500,kind,I,sd,u-25-1
sw2792B-ms98-a-0025,84.554500,84.749625,of,I,sd,u-25-1
sw2792B-ms98-a-0025,84.749625,84.956125,thing,I,sd,u-25-1
sw2792B-ms98-a-0025,85.722750,86.167500,um,B,%,u-25-2
sw2792B-ms98-a-0025,86.991625,87.039500,i,I,%,u-25-2
sw2792B-ms98-a-0025,87.039500,87.181625,like,I,%,u-25-2
sw2792B-ms98-a-0025,87.181625,87.321625,to,I,%,u-25-2
sw2792B-ms98-a-0025,87.321625,87.471625,rea[d]-,O,,
sw2792B-ms98-a-0025,87.471625,87.581625,the,B,%,u-25-3
sw2792B-ms98-a-0025,87.581625,88.131625,magazines,I,%,u-25-3
sw2792B-ms98-a-0025,88.131625,88.311625,i,I,%,u-25-3
sw2792B-ms98-a-0025,88.311625,88.451625,to,B,%,u-25-4
sw2792B-ms98-a-0025,88.451625,88.571625,rea[d]-,O,,
sw2792B-ms98-a-0025,88.571625,88.601625,l[ike]-,O,,
sw2792B-ms98-a-0025,88.601625,88.631625,i,B,sd,u-25-5
sw2792B-ms98-a-0025,88.631625,88.771625,like,I,sd,u-25-5
sw2792B-ms98-a-0025,88.771625,88.881625,to,I,sd,u-25-5
sw2792B-ms98-a-0025,88.881625,89.020500,read,I,sd,u-25-5
sw2792B-ms98-a-0025,89.220125,89.471625,Readers',O,,
sw2792B-ms98-a-0025,89.471625,90.351625,Digest,O,,
sw2792B-ms98-a-0025,90.351625,90.381625,i,B,sd,u-25-6
sw2792B-ms98-a-0025,90.381625,90.531625,read,I,sd,u-25-6
sw2792B-ms98-a-0025,90.531625,90.591625,a,I,sd,u-25-6
sw2792B-ms98-a-0025,90.591625,90.751625,lot,I,sd,u-25-6
sw2792B-ms98-a-0025,90.751625,90.821625,of,I,sd,u-25-6
sw2792B-ms98-a-0025,90.821625,91.421625,bicycling,I,sd,u-25-6
sw2792B-ms98-a-0025,91.421625,92.274625,magazines,I,sd,u-25-6
sw2792B-ms98-a-0026,92.914250,93.335625,they're,B,%,u-25-7
sw2792B-ms98-a-0026,93.708500,93.889875,i,B,sd,u-25-8
sw2792B-ms98-a-0026,93.889875,94.491375,mainly,I,sd,u-25-8
sw2792B-ms98-a-0026,94.491375,94.612125,look,I,sd,u-25-8
sw2792B-ms98-a-0026,94.612125,94.700500,at,I,sd,u-25-8
sw2792B-ms98-a-0026,94.700500,94.823875,the,I,sd,u-25-8
sw2792B-ms98-a-0026,94.823875,95.142125,pictures,I,sd,u-25-8
sw2792B-ms98-a-0026,95.142125,95.232125,and,I,sd,u-25-8
sw2792B-ms98-a-0026,95.232125,95.552125,stuff,I,sd,u-25-8
sw2792B-ms98-a-0026,95.552125,95.812125,but,B,sd,u-25-9
sw2792B-ms98-a-0026,96.362125,96.457500,they,I,sd,u-25-9
sw2792B-ms98-a-0026,96.457500,96.582125,just,I,sd,u-25-9
sw2792B-ms98-a-0026,96.582125,96.862125,usually,I,sd,u-25-9
sw2792B-ms98-a-0026,96.862125,96.982125,have,I,sd,u-25-9
sw2792B-ms98-a-0026,96.982125,97.132125,some,I,sd,u-25-9
sw2792B-ms98-a-0026,97.132125,97.282125,good,I,sd,u-25-9
sw2792B-ms98-a-0026,97.282125,97.702125,articles,I,sd,u-25-9
sw2792B-ms98-a-0026,97.702125,97.862125,in,I,sd,u-25-9
sw2792B-ms98-a-0026,97.862125,98.087375,them_1,O,,
sw2792B-ms98-a-0027,98.770000,98.992000,but,B,h,u-27-1
sw2792B-ms98-a-0027,98.992000,99.178125,uh,I,h,u-27-1
sw2792B-ms98-a-0027,99.586625,99.664875,i,I,h,u-27-1
sw2792B-ms98-a-0027,99.664875,99.772000,don't,I,h,u-27-1
sw2792B-ms98-a-0027,99.772000,99.882000,know,I,h,u-27-1
sw2792B-ms98-a-0027,99.882000,99.942000,i,B,sd,u-27-2
sw2792B-ms98-a-0027,99.942000,100.222000,haven't,I,sd,u-27-2
sw2792B-ms98-a-0027,100.222000,100.392000,really,I,sd,u-27-2
sw2792B-ms98-a-0027,100.392000,100.612000,found,I,sd,u-27-2
sw2792B-ms98-a-0027,100.612000,100.722000,any,I,sd,u-27-2
sw2792B-ms98-a-0027,100.722000,101.402000,romance,I,sd,u-27-2
sw2792B-ms98-a-0027,101.402000,101.672000,type,I,sd,u-27-2
sw2792B-ms98-a-0027,101.672000,101.922000,stuff,I,sd,u-27-2
sw2792B-ms98-a-0027,101.922000,101.992000,i,I,sd,u-27-2
sw2792B-ms98-a-0027,101.992000,102.202000,like,I,sd,u-27-2
sw2792B-ms98-a-0027,102.202000,102.312000,to,I,sd,u-27-2
sw2792B-ms98-a-0027,102.312000,102.482000,read,I,sd,u-27-2
sw2792B-ms98-a-0027,102.482000,102.677000,i,B,sd,u-27-3
sw2792B-ms98-a-0027,102.985875,103.072000,i'm,I,sd,u-27-3
sw2792B-ms98-a-0027,103.072000,103.432000,more,I,sd,u-27-3
sw2792B-ms98-a-0027,103.432000,104.002875,true,I,sd,u-27-3
sw2792B-ms98-a-0027,104.436000,104.622000,you,I,sd,u-27-3
sw2792B-ms98-a-0027,104.622000,104.914125,know,I,sd,u-27-3
sw2792B-ms98-a-0027,105.445250,105.639875,fi[ction]-,O,,
sw2792B-ms98-a-0027,105.741625,106.002000,uh,B,+,u-29-1
sw2792B-ms98-a-0027,106.002000,106.702000,nonfiction,I,+,u-29-1
sw2792B-ms98-a-0027,106.702000,106.916375,i,B,sd,u-29-2
sw2792B-ms98-a-0027,107.503875,107.782000,haven't,I,sd,u-29-2
sw2792B-ms98-a-0027,107.782000,107.982000,found,I,sd,u-29-2
sw2792B-ms98-a-0027,107.982000,108.032000,a,I,sd,u-29-2
sw2792B-ms98-a-0027,108.032000,108.262000,lot,I,sd,u-29-2
sw2792B-ms98-a-0027,108.262000,108.492250,of,I,sd,u-29-2
sw2792B-ms98-a-0027,108.882375,109.115875,uh,I,sd,u-29-2
sw2792B-ms98-a-0027,109.115875,109.592000,fiction,I,sd,u-29-2
sw2792B-ms98-a-0027,109.592000,109.892000,books,I,sd,u-29-2
sw2792B-ms98-a-0027,109.892000,110.092625,that,I,sd,u-29-2
sw2792B-ms98-a-0027,110.646250,110.752000,i,I,sd,u-29-2
sw2792B-ms98-a-0027,110.752000,111.002000,really,I,sd,u-29-2
sw2792B-ms98-a-0027,111.002000,111.465750,like,I,sd,u-29-2
sw2792B-ms98-a-0028,112.447625,112.592375,but,B,sd,u-29-3
sw2792B-ms98-a-0028,112.592375,112.818500,uh,I,sd,u-29-3
sw2792B-ms98-a-0028,113.134875,113.372375,not,I,sd,u-29-3
sw2792B-ms98-a-0028,113.372375,113.432375,to,I,sd,u-29-3
sw2792B-ms98-a-0028,113.432375,113.692375,say,I,sd,u-29-3
sw2792B-ms98-a-0028,113.692375,113.813750,i,I,sd,u-29-3
sw2792B-ms98-a-0028,113.813750,114.190625,wouldn't,I,sd,u-29-3
sw2792B-ms98-a-0028,114.782000,115.372375,eventually,B,sd,u-31-1
sw2792B-ms98-a-0028,115.372375,115.441250,i,I,sd,u-31-1
sw2792B-ms98-a-0028,115.441250,115.695500,mean,I,sd,u-31-1
sw2792B-ms98-a-0028,116.268000,116.392375,what,B,qw,u-31-2
sw2792B-ms98-a-0028,116.392375,116.482375,was,I,qw,u-31-2
sw2792B-ms98-a-0028,116.482375,116.552375,the,I,qw,u-31-2
sw2792B-ms98-a-0028,116.552375,116.812375,last,I,qw,u-31-2
sw2792B-ms98-a-0028,116.812375,117.022375,book,I,qw,u-31-2
sw2792B-ms98-a-0028,117.022375,117.122375,you,I,qw,u-31-2
sw2792B-ms98-a-0028,117.122375,117.589625,read,I,qw,u-31-2
sw2792B-ms98-a-0030,126.737375,127.199125,[laughter],O,,
sw2792B-ms98-a-0033,129.680875,130.327000,[laughter-really],O,,
sw2792B-ms98-a-0035,135.744125,136.390375,yeah,B,b,u-35-1
sw2792B-ms98-a-0037,138.194875,138.632500,really,B,bh,u-37-1
sw2792B-ms98-a-0038,139.780500,139.867875,i,B,aa,u-39-1
sw2792B-ms98-a-0038,139.867875,140.075125,know,I,aa,u-39-1
sw2792B-ms98-a-0040,147.677750,148.140500,yeah,B,b,u-41-1
sw2792B-ms98-a-0042,149.683875,149.915125,i,B,sd,u-43-1
sw2792B-ms98-a-0042,149.915125,150.093875,s[et]-,I,sd,u-43-1
sw2792B-ms98-a-0042,150.093875,150.213875,i,I,sd,u-43-1
sw2792B-ms98-a-0042,150.213875,150.444000,set,I,sd,u-43-1
sw2792B-ms98-a-0042,150.444000,150.523875,a,I,sd,u-43-1
sw2792B-ms98-a-0042,150.523875,150.793875,goal,I,sd,u-43-1
sw2792B-ms98-a-0042,150.793875,150.893875,for,I,sd,u-43-1
sw2792B-ms98-a-0042,150.893875,151.313875,myself,I,sd,u-43-1
sw2792B-ms98-a-0042,151.313875,151.433875,to,I,sd,u-43-1
sw2792B-ms98-a-0042,151.433875,151.653875,read,I,sd,u-43-1
sw2792B-ms98-a-0042,151.653875,151.713875,a,I,sd,u-43-1
sw2792B-ms98-a-0042,151.713875,151.963875,book,I,sd,u-43-1
sw2792B-ms98-a-0042,151.963875,152.023875,a,I,sd,u-43-1
sw2792B-ms98-a-0042,152.023875,152.343875,month,I,sd,u-43-1
sw2792B-ms98-a-0042,152.343875,152.543875,this,I,sd,u-43-1
sw2792B-ms98-a-0042,152.543875,152.793875,year,I,sd,u-43-1
sw2792B-ms98-a-0042,152.793875,152.963875,which,I,sd,u-43-1
sw2792B-ms98-a-0042,152.963875,153.245125,is,I,sd,u-43-1
sw2792B-ms98-a-0043,153.743250,153.840000,like,I,sd,u-43-1
sw2792B-ms98-a-0043,153.840000,154.140500,about,I,sd,u-43-1
sw2792B-ms98-a-0043,154.238500,154.590000,eleven,I,sd,u-43-1
sw2792B-ms98-a-0043,154.590000,154.780000,more,I,sd,u-43-1
sw2792B-ms98-a-0043,154.780000,155.120000,books,I,sd,u-43-1
sw2792B-ms98-a-0043,155.120000,155.240000,than,I,sd,u-43-1
sw2792B-ms98-a-0043,155.240000,155.290000,i,I,sd,u-43-1
sw2792B-ms98-a-0043,155.290000,155.470000,would,I,sd,u-43-1
sw2792B-ms98-a-0043,155.470000,155.560000,have,I,sd,u-43-1
sw2792B-ms98-a-0043,155.560000,155.780000,read,I,sd,u-43-1
sw2792B-ms98-a-0043,155.780000,156.130000,last,I,sd,u-43-1
sw2792B-ms98-a-0043,156.130000,156.380000,year,I,sd,u-43-1
sw2792B-ms98-a-0043,156.380000,156.595625,but,B,sd,u-43-2
sw2792B-ms98-a-0043,157.055125,157.220000,so,I,sd,u-43-2
sw2792B-ms98-a-0043,157.220000,157.520000,far,I,sd,u-43-2
sw2792B-ms98-a-0043,157.520000,157.620000,i've,I,sd,u-43-2
sw2792B-ms98-a-0043,157.620000,157.820000,only,I,sd,u-43-2
sw2792B-ms98-a-0043,157.820000,158.170000,read,I,sd,u-43-2
sw2792B-ms98-a-0043,158.170000,158.340000,like,I,sd,u-43-2
sw2792B-ms98-a-0043,158.340000,158.560000,two,I,sd,u-43-2
sw2792B-ms98-a-0043,158.560000,159.191625,books,I,sd,u-43-2
sw2792B-ms98-a-0043,159.361125,159.580000,and,B,sd,u-43-3
sw2792B-ms98-a-0043,159.580000,160.042125,so,I,sd,u-43-3
sw2792B-ms98-a-0043,160.042125,160.140000,i'm,I,sd,u-43-3
sw2792B-ms98-a-0043,160.140000,160.320000,not,I,sd,u-43-3
sw2792B-ms98-a-0043,160.320000,160.490000,doing,I,sd,u-43-3
sw2792B-ms98-a-0043,160.490000,160.670000,very,I,sd,u-43-3
sw2792B-ms98-a-0043,160.670000,160.940000,well,I,sd,u-43-3
sw2792B-ms98-a-0043,160.940000,161.151875,but,B,%,u-43-4
sw2792B-ms98-a-0044,162.734125,163.113000,yeah,B,b,u-45-1
sw2792B-ms98-a-0046,166.449375,166.918375,yeah,B,aa,u-47-1
sw2792B-ms98-a-0046,167.402375,167.511625,i,B,sd,u-47-2
sw2792B-ms98-a-0046,167.511625,167.715000,find,I,sd,u-47-2
sw2792B-ms98-a-0046,167.715000,167.929875,it's,I,sd,u-47-2
sw2792B-ms98-a-0046,167.929875,168.169875,real,I,sd,u-47-2
sw2792B-ms98-a-0046,168.169875,168.489875,hard,I,sd,u-47-2
sw2792B-ms98-a-0046,168.489875,168.619875,i,B,sd,u-47-3
sw2792B-ms98-a-0046,168.619875,168.839875,let,I,sd,u-47-3
sw2792B-ms98-a-0046,168.839875,169.409875,papers,I,sd,u-47-3
sw2792B-ms98-a-0046,169.409875,169.999875,newspapers,I,sd,u-47-3
sw2792B-ms98-a-0046,169.999875,170.309875,stack,I,sd,u-47-3
sw2792B-ms98-a-0046,170.309875,170.559875,up,I,sd,u-47-3
sw2792B-ms98-a-0046,170.559875,170.699875,and,I,sd,u-47-3
sw2792B-ms98-a-0046,170.699875,171.209875,magazines,I,sd,u-47-3
sw2792B-ms98-a-0046,171.209875,171.459875,stack,I,sd,u-47-3
sw2792B-ms98-a-0046,171.459875,171.609875,up,I,sd,u-47-3
sw2792B-ms98-a-0046,171.609875,171.689875,if,I,sd,u-47-3
sw2792B-ms98-a-0046,171.689875,171.749875,i,I,sd,u-47-3
sw2792B-ms98-a-0046,171.749875,171.929875,don't,I,sd,u-47-3
sw2792B-ms98-a-0046,171.929875,172.256250,really,I,sd,u-47-3
sw2792B-ms98-a-0046,172.504875,172.769875,set,I,sd,u-47-3
sw2792B-ms98-a-0046,172.769875,173.019875,aside,I,sd,u-47-3
sw2792B-ms98-a-0046,173.019875,173.079875,a,I,sd,u-47-3
sw2792B-ms98-a-0046,173.079875,173.419875,time,I,sd,u-47-3
sw2792B-ms98-a-0046,173.419875,173.519875,to,I,sd,u-47-3
sw2792B-ms98-a-0046,173.519875,173.952125,look,I,sd,u-47-3
sw2792B-ms98-a-0046,174.076500,174.256750,or,I,sd,u-47-3
sw2792B-ms98-a-0046,174.256750,174.469875,or,I,sd,u-47-3
sw2792B-ms98-a-0046,174.469875,174.679875,read,I,sd,u-47-3
sw2792B-ms98-a-0046,174.679875,174.837500,them_1,O,,
sw2792B-ms98-a-0048,176.859125,177.384250,[laughter],O,,
sw2792B-ms98-a-0050,180.401750,180.745750,yeah,B,b,u-49-1
sw2792B-ms98-a-0052,187.053875,187.518250,uh-huh,B,b,u-51-1
sw2792B-ms98-a-0054,189.225000,189.462250,y[eah]-,O,,
sw2792B-ms98-a-0054,189.462250,189.738500,y[eah]-,O,,
sw2792B-ms98-a-0054,189.939875,190.382750,yeah,B,b,u-53-1
sw2792B-ms98-a-0056,197.580875,197.955375,uh-huh,B,b,u-55-1
sw2792B-ms98-a-0058,200.892125,201.168625,yeah,B,aa,u-57-1
sw2792B-ms98-a-0058,201.168625,201.398625,oh,B,aa,u-57-2
sw2792B-ms98-a-0058,201.398625,201.488625,i,I,aa,u-57-2
sw2792B-ms98-a-0058,201.488625,201.718625,would,I,aa,u-57-2
sw2792B-ms98-a-0058,201.718625,202.050875,too,I,aa,u-57-2
sw2792B-ms98-a-0059,202.820875,203.223625,um,B,%@,u-57-3
sw2792B-ms98-a-0061,206.828125,206.946250,kind,B,+,u-59-1
sw2792B-ms98-a-0061,206.946250,207.088875,of,I,+,u-59-1
sw2792B-ms98-a-0061,207.088875,207.326250,train,I,+,u-59-1
sw2792B-ms98-a-0061,207.326250,207.436250,your,I,+,u-59-1
sw2792B-ms98-a-0061,207.436250,207.886250,mind,I,+,u-59-1
sw2792B-ms98-a-0062,208.861750,208.986000,have,B,qy,u-61-1
sw2792B-ms98-a-0062,208.986000,209.078375,you,I,qy,u-61-1
sw2792B-ms98-a-0062,209.078375,209.225625,ever,I,qy,u-61-1
sw2792B-ms98-a-0062,209.225625,209.675625,read,I,qy,u-61-1
sw2792B-ms98-a-0062,209.675625,209.885625,uh,I,qy,u-61-1
sw2792B-ms98-a-0062,209.885625,210.055625,or,I,qy,u-61-1
sw2792B-ms98-a-0062,210.055625,210.308875,heard,I,qy,u-61-1
sw2792B-ms98-a-0062,210.308875,210.635625,of,I,qy,u-61-1
sw2792B-ms98-a-0062,210.635625,210.758375,the,I,qy,u-61-1
sw2792B-ms98-a-0062,210.758375,211.012375,book,I,qy,u-61-1
sw2792B-ms98-a-0062,211.012375,211.265625,This,I,qy,u-61-1
sw2792B-ms98-a-0062,211.265625,211.635625,Present,I,qy,u-61-1
sw2792B-ms98-a-0062,211.635625,212.313500,Darkness,I,qy,u-61-1
sw2792B-ms98-a-0063,213.411625,213.581625,that,B,sd,u-63-1
sw2792B-ms98-a-0063,213.581625,213.701625,was,I,sd,u-63-1
sw2792B-ms98-a-0063,213.701625,213.791625,one,I,sd,u-63-1
sw2792B-ms98-a-0063,213.791625,213.851625,of,I,sd,u-63-1
sw2792B-ms98-a-0063,213.851625,213.911625,the,I,sd,u-63-1
sw2792B-ms98-a-0063,213.911625,214.151625,books,I,sd,u-63-1
sw2792B-ms98-a-0063,214.151625,214.201625,i,I,sd,u-63-1
sw2792B-ms98-a-0063,214.201625,214.381625,read,I,sd,u-63-1
sw2792B-ms98-a-0063,214.381625,214.561625,this,I,sd,u-63-1
sw2792B-ms98-a-0063,214.561625,214.691625,year,I,sd,u-63-1
sw2792B-ms98-a-0063,214.691625,214.781625,and,B,sd,u-63-2
sw2792B-ms98-a-0063,214.781625,214.981625,it's,I,sd,u-63-2
sw2792B-ms98-a-0063,214.981625,215.519750,really,I,sd,u-63-2
sw2792B-ms98-a-0063,216.092250,216.431625,fast,I,sd,u-63-2
sw2792B-ms98-a-0063,216.431625,217.029750,paced,I,sd,u-63-2
sw2792B-ms98-a-0063,217.029750,217.511625,and,I,sd,u-63-2
sw2792B-ms98-a-0063,217.511625,218.296625,intense,I,sd,u-63-2
sw2792B-ms98-a-0064,218.640750,218.790625,it,B,sd,u-63-3
sw2792B-ms98-a-0064,218.790625,218.838375,was,I,sd,u-63-3
sw2792B-ms98-a-0064,218.838375,219.003750,a,I,sd,u-63-3
sw2792B-ms98-a-0064,219.003750,220.163750,nonfiction,I,sd,u-63-3
sw2792B-ms98-a-0064,220.163750,220.603750,book,I,sd,u-63-3
sw2792B-ms98-a-0064,220.603750,220.793750,or,I,sd,u-63-3
sw2792B-ms98-a-0064,220.793750,220.963750,is,I,sd,u-63-3
sw2792B-ms98-a-0064,220.963750,221.308750,a,I,sd,u-63-3
sw2792B-ms98-a-0064,221.668000,221.788500,a,I,sd,u-63-3
sw2792B-ms98-a-0064,221.788500,222.163750,fiction,I,sd,u-63-3
sw2792B-ms98-a-0064,222.163750,222.553750,book,I,sd,u-63-3
sw2792B-ms98-a-0064,222.553750,222.693750,but,B,%,u-63-4
sw2792B-ms98-a-0064,222.693750,222.753750,it,I,%,u-63-4
sw2792B-ms98-a-0064,222.753750,222.943750,was,I,%,u-63-4
sw2792B-ms98-a-0064,222.943750,223.010500,a,O,,
sw2792B-ms98-a-0064,223.010500,223.048125,r[eal]-,O,,
sw2792B-ms98-a-0064,223.048125,223.128375,it,B,sd,u-63-5
sw2792B-ms98-a-0064,223.309125,223.424000,was,I,sd,u-63-5
sw2792B-ms98-a-0064,223.424000,223.563750,one,I,sd,u-63-5
sw2792B-ms98-a-0064,223.563750,223.663750,of,I,sd,u-63-5
sw2792B-ms98-a-0064,223.663750,223.743750,the,I,sd,u-63-5
sw2792B-ms98-a-0064,223.743750,223.933750,best,I,sd,u-63-5
sw2792B-ms98-a-0064,223.933750,224.033750,i've,I,sd,u-63-5
sw2792B-ms98-a-0064,224.033750,224.353750,read,I,sd,u-63-5
sw2792B-ms98-a-0064,224.353750,224.393750,i,B,sd,u-63-6
sw2792B-ms98-a-0064,224.393750,224.613750,mean,I,sd,u-63-6
sw2792B-ms98-a-0064,224.613750,224.703750,it,I,sd,u-63-6
sw2792B-ms98-a-0064,224.703750,224.883750,was,I,sd,u-63-6
