sw2983A-ms98-a-0002,3.806500,4.171000,no,B,nn,u-2-1
sw2983A-ms98-a-0008,37.090000,37.180000,and,I,sv,u-10-1
sw2983A-ms98-a-0008,37.180000,37.310000,other,I,sv,u-10-1
sw2983A-ms98-a-0008,37.310000,37.620000,things,I,sv,u-10-1
sw2983A-ms98-a-0008,37.620000,37.740000,that,I,sv,u-10-1
sw2983A-ms98-a-0008,37.740000,37.880000,we're,I,sv,u-10-1
sw2983A-ms98-a-0008,37.880000,38.219000,not,I,sv,u-10-1
sw2983A-ms98-a-0008,38.418625,38.530000,but,B,sd,u-10-2
sw2983A-ms98-a-0008,38.530000,38.650000,i,I,sd,u-10-2
sw2983A-ms98-a-0008,38.650000,38.780000,am,I,sd,u-10-2
sw2983A-ms98-a-0008,38.780000,39.180000,very,I,sd,u-10-2
sw2983A-ms98-a-0008,39.180000,39.480000,good,I,sd,u-10-2
sw2983A-ms98-a-0008,39.480000,39.600000,at,I,sd,u-10-2
sw2983A-ms98-a-0008,39.600000,39.980000,watching,I,sd,u-10-2
sw2983A-ms98-a-0008,39.980000,40.080000,it,I,sd,u-10-2
sw2983A-ms98-a-0008,40.080000,40.200000,on,I,sd,u-10-2
sw2983A-ms98-a-0008,40.200000,40.853500,television,I,sd,u-10-2
sw2983A-ms98-a-0009,41.637750,42.008625,and,B,sd,u-12-1
sw2983A-ms98-a-0009,42.008625,42.268625,he,I,sd,u-12-1
sw2983A-ms98-a-0009,42.268625,42.568625,was,I,sd,u-12-1
sw2983A-ms98-a-0009,42.568625,43.461250,really,I,sd,u-12-1
sw2983A-ms98-a-0009,43.683500,43.968625,uh,I,sd,u-12-1
sw2983A-ms98-a-0009,43.968625,44.998625,enthusiastic,I,sd,u-12-1
sw2983A-ms98-a-0009,44.998625,45.440875,about,I,sd,u-12-1
sw2983A-ms98-a-0009,45.843875,46.295625,keeping,I,sd,u-12-1
sw2983A-ms98-a-0009,46.295625,46.655500,up,I,sd,u-12-1
sw2983A-ms98-a-0009,46.655500,47.048625,with,I,sd,u-12-1
sw2983A-ms98-a-0009,47.048625,47.165500,the,I,sd,u-12-1
sw2983A-ms98-a-0009,47.165500,47.748625,tournaments,I,sd,u-12-1
sw2983A-ms98-a-0009,47.748625,47.848625,he,B,sd,u-12-2
sw2983A-ms98-a-0009,47.848625,48.028625,could,I,sd,u-12-2
sw2983A-ms98-a-0009,48.028625,48.248625,tell,I,sd,u-12-2
sw2983A-ms98-a-0009,48.248625,48.358625,me,I,sd,u-12-2
sw2983A-ms98-a-0009,48.358625,48.828625,exactly,I,sd,u-12-2
sw2983A-ms98-a-0009,48.828625,49.048625,what,I,sd,u-12-2
sw2983A-ms98-a-0009,49.048625,49.308625,day,I,sd,u-12-2
sw2983A-ms98-a-0009,49.308625,49.468625,and,I,sd,u-12-2
sw2983A-ms98-a-0009,49.468625,49.618625,what,I,sd,u-12-2
sw2983A-ms98-a-0009,49.618625,49.818625,time,I,sd,u-12-2
sw2983A-ms98-a-0009,49.818625,49.878625,of,I,sd,u-12-2
sw2983A-ms98-a-0009,49.878625,50.098625,year,I,sd,u-12-2
sw2983A-ms98-a-0009,50.098625,50.248625,and,I,sd,u-12-2
sw2983A-ms98-a-0009,50.248625,50.408625,where,I,sd,u-12-2
sw2983A-ms98-a-0009,50.408625,50.478625,the,I,sd,u-12-2
sw2983A-ms98-a-0009,50.478625,50.888625,tournaments,I,sd,u-12-2
sw2983A-ms98-a-0009,50.888625,50.958625,were,I,sd,u-12-2
sw2983A-ms98-a-0009,50.958625,51.078625,going,I,sd,u-12-2
sw2983A-ms98-a-0009,51.078625,51.138625,to,I,sd,u-12-2
sw2983A-ms98-a-0009,51.138625,51.268625,be,I,sd,u-12-2
sw2983A-ms98-a-0009,51.268625,51.648625,held,I,sd,u-12-2
sw2983A-ms98-a-0009,51.648625,51.758625,and,I,sd,u-12-2
sw2983A-ms98-a-0009,51.758625,51.908625,what,I,sd,u-12-2
sw2983A-ms98-a-0009,51.908625,51.968625,the,I,sd,u-12-2
sw2983A-ms98-a-0009,51.968625,52.358625,nature,I,sd,u-12-2
sw2983A-ms98-a-0009,52.358625,52.468625,of,I,sd,u-12-2
sw2983A-ms98-a-0009,52.468625,52.608625,the,I,sd,u-12-2
sw2983A-ms98-a-0009,52.608625,52.928625,hole,I,sd,u-12-2
sw2983A-ms98-a-0009,52.928625,53.438625,was,I,sd,u-12-2
sw2983A-ms98-a-0009,53.438625,53.572750,and,I,sd,u-12-2
sw2983A-ms98-a-0011,55.395250,55.545875,oh,B,aa,u-14-1
sw2983A-ms98-a-0011,55.545875,55.745875,yeah,I,aa,u-14-1
sw2983A-ms98-a-0011,55.745875,55.925875,he,B,sd,u-14-2
sw2983A-ms98-a-0011,55.925875,56.085875,was,I,sd,u-14-2
sw2983A-ms98-a-0011,56.085875,56.165875,a,I,sd,u-14-2
sw2983A-ms98-a-0011,56.165875,56.365875,good,I,sd,u-14-2
sw2983A-ms98-a-0011,56.365875,56.901875,golfer,I,sd,u-14-2
sw2983A-ms98-a-0012,57.710125,58.168875,and,B,sd,u-16-1
sw2983A-ms98-a-0012,58.168875,58.671875,as,I,sd,u-16-1
sw2983A-ms98-a-0012,58.671875,58.878875,and,I,sd,u-16-1
sw2983A-ms98-a-0012,58.878875,59.078875,did,I,sd,u-16-1
sw2983A-ms98-a-0012,59.078875,59.464250,some,I,sd,u-16-1
sw2983A-ms98-a-0012,59.592250,59.668875,you,I,sd,u-16-1
sw2983A-ms98-a-0012,59.668875,59.778875,know,I,sd,u-16-1
sw2983A-ms98-a-0012,59.778875,60.598875,instructions,I,sd,u-16-1
sw2983A-ms98-a-0012,60.598875,60.668875,at,I,sd,u-16-1
sw2983A-ms98-a-0012,60.668875,60.728875,the,I,sd,u-16-1
sw2983A-ms98-a-0012,60.728875,60.998875,country,I,sd,u-16-1
sw2983A-ms98-a-0012,60.998875,61.278875,club,I,sd,u-16-1
sw2983A-ms98-a-0012,61.278875,61.428875,for,I,sd,u-16-1
sw2983A-ms98-a-0012,61.428875,61.498875,a,I,sd,u-16-1
sw2983A-ms98-a-0012,61.498875,61.929875,while,I,sd,u-16-1
sw2983A-ms98-a-0013,62.689250,63.233000,but,B,%,u-18-1
sw2983A-ms98-a-0013,63.233000,63.577875,uh,I,%,u-18-1
sw2983A-ms98-a-0013,64.527000,65.161000,golf,I,%,u-18-1
sw2983A-ms98-a-0013,65.398375,65.873000,tended,I,%,u-18-1
sw2983A-ms98-a-0013,65.873000,66.033000,to,I,%,u-18-1
sw2983A-ms98-a-0013,66.033000,66.193000,be,I,%,u-18-1
sw2983A-ms98-a-0013,66.193000,66.446875,s[o]-,O,,
sw2983A-ms98-a-0013,66.687875,67.013000,i,B,sd,u-18-2
sw2983A-ms98-a-0013,67.013000,67.341625,am,I,sd,u-18-2
sw2983A-ms98-a-0013,67.733375,68.203000,not,I,sd,u-18-2
sw2983A-ms98-a-0013,68.203000,68.683000,really,I,sd,u-18-2
sw2983A-ms98-a-0013,68.683000,69.133000,deeply,I,sd,u-18-2
sw2983A-ms98-a-0013,69.133000,69.653000,involved,I,sd,u-18-2
sw2983A-ms98-a-0013,69.653000,69.839875,in,I,sd,u-18-2
sw2983A-ms98-a-0013,69.839875,70.271625,any,I,sd,u-18-2
sw2983A-ms98-a-0013,70.655750,71.208750,following,I,sd,u-18-2
sw2983A-ms98-a-0013,71.208750,71.523000,any,I,sd,u-18-2
sw2983A-ms98-a-0013,71.523000,71.633000,of,I,sd,u-18-2
sw2983A-ms98-a-0013,71.633000,71.713000,the,I,sd,u-18-2
sw2983A-ms98-a-0013,71.713000,72.401750,sports,I,sd,u-18-2
sw2983A-ms98-a-0014,73.325750,73.464250,but,B,sd,u-20-1
sw2983A-ms98-a-0014,73.464250,73.864250,golf,I,sd,u-20-1
sw2983A-ms98-a-0014,73.864250,74.054250,was,I,sd,u-20-1
sw2983A-ms98-a-0014,74.054250,74.384250,one,I,sd,u-20-1
sw2983A-ms98-a-0014,74.384250,74.504250,that,I,sd,u-20-1
sw2983A-ms98-a-0014,74.504250,74.696500,i,I,sd,u-20-1
sw2983A-ms98-a-0014,75.250125,75.844250,developed,I,sd,u-20-1
sw2983A-ms98-a-0014,75.844250,75.924250,a,I,sd,u-20-1
sw2983A-ms98-a-0014,75.924250,76.344250,working,I,sd,u-20-1
sw2983A-ms98-a-0014,76.344250,77.044250,knowledge,I,sd,u-20-1
sw2983A-ms98-a-0014,77.044250,77.134250,of,I,sd,u-20-1
sw2983A-ms98-a-0014,77.134250,77.184250,a,I,sd,u-20-1
sw2983A-ms98-a-0014,77.184250,77.594250,lot,I,sd,u-20-1
sw2983A-ms98-a-0014,77.594250,77.714250,of,I,sd,u-20-1
sw2983A-ms98-a-0014,77.714250,77.784250,the,I,sd,u-20-1
sw2983A-ms98-a-0014,77.784250,78.532500,golfers,I,sd,u-20-1
sw2983A-ms98-a-0014,79.520375,79.714250,and,B,sd,u-20-2
sw2983A-ms98-a-0014,79.714250,80.419500,therefore,I,sd,u-20-2
sw2983A-ms98-a-0014,81.314250,81.384250,i,I,sd,u-20-2
sw2983A-ms98-a-0014,81.384250,81.834250,enjoyed,I,sd,u-20-2
sw2983A-ms98-a-0014,81.834250,82.504250,following,I,sd,u-20-2
sw2983A-ms98-a-0014,82.504250,82.764250,those,I,sd,u-20-2
sw2983A-ms98-a-0014,82.764250,83.304250,particular,I,sd,u-20-2
sw2983A-ms98-a-0014,83.304250,84.075000,players,I,sd,u-20-2
sw2983A-ms98-a-0015,85.512625,85.952625,uh-huh,B,b,u-22-1
sw2983A-ms98-a-0016,87.394875,87.680625,well,B,nd,u-24-1
sw2983A-ms98-a-0016,87.680625,88.040625,part,I,nd,u-24-1
sw2983A-ms98-a-0016,88.040625,88.210625,of,I,nd,u-24-1
sw2983A-ms98-a-0016,88.210625,88.360625,it,I,nd,u-24-1
sw2983A-ms98-a-0016,88.360625,88.570625,was,I,nd,u-24-1
sw2983A-ms98-a-0016,88.570625,88.630625,the,I,nd,u-24-1
sw2983A-ms98-a-0016,88.630625,89.420625,personality,I,nd,u-24-1
sw2983A-ms98-a-0016,89.420625,89.520625,and,I,nd,u-24-1
sw2983A-ms98-a-0016,89.520625,89.640625,their,I,nd,u-24-1
sw2983A-ms98-a-0016,89.640625,90.310625,sportsmanship,I,nd,u-24-1
sw2983A-ms98-a-0016,90.310625,90.610625,another,B,sd,u-24-2
sw2983A-ms98-a-0016,90.610625,90.910625,part,I,sd,u-24-2
sw2983A-ms98-a-0016,90.910625,91.040625,of,I,sd,u-24-2
sw2983A-ms98-a-0016,91.040625,91.210625,it,I,sd,u-24-2
sw2983A-ms98-a-0016,91.210625,91.729000,was,I,sd,u-24-2
sw2983A-ms98-a-0016,92.263875,92.440625,i'd,I,sd,u-24-2
sw2983A-ms98-a-0016,92.440625,92.690625,pick,I,sd,u-24-2
sw2983A-ms98-a-0016,92.690625,92.856250,one,I,sd,u-24-2
sw2983A-ms98-a-0016,92.856250,93.123750,out,I,sd,u-24-2
sw2983A-ms98-a-0016,93.123750,93.300625,that,I,sd,u-24-2
sw2983A-ms98-a-0016,93.300625,93.440625,was,I,sd,u-24-2
sw2983A-ms98-a-0016,93.440625,93.880625,different,I,sd,u-24-2
sw2983A-ms98-a-0016,93.880625,94.020625,than,I,sd,u-24-2
sw2983A-ms98-a-0016,94.020625,94.180625,what,I,sd,u-24-2
sw2983A-ms98-a-0016,94.180625,94.280625,my,I,sd,u-24-2
sw2983A-ms98-a-0016,94.280625,94.690625,husband,I,sd,u-24-2
sw2983A-ms98-a-0016,94.690625,94.870625,was,I,sd,u-24-2
sw2983A-ms98-a-0016,94.870625,95.160625,rooting,I,sd,u-24-2
sw2983A-ms98-a-0016,95.160625,95.420625,for,I,sd,u-24-2
sw2983A-ms98-a-0016,95.420625,95.680625,so,B,sd,u-24-3
sw2983A-ms98-a-0016,95.680625,96.130625,[laughter],O,,
sw2983A-ms98-a-0016,96.130625,96.220625,you,B,+,u-26-1
sw2983A-ms98-a-0016,96.220625,96.380625,know,I,+,u-26-1
sw2983A-ms98-a-0016,96.380625,96.450625,the,I,+,u-26-1
sw2983A-ms98-a-0016,96.450625,97.080625,competitor,I,+,u-26-1
sw2983A-ms98-a-0016,97.080625,97.220625,and,B,sd,u-26-2
sw2983A-ms98-a-0016,97.220625,97.290625,i,I,sd,u-26-2
sw2983A-ms98-a-0016,97.290625,97.710625,became,I,sd,u-26-2
sw2983A-ms98-a-0016,97.710625,98.240625,involved,I,sd,u-26-2
sw2983A-ms98-a-0016,98.240625,98.420625,in,I,sd,u-26-2
sw2983A-ms98-a-0016,98.420625,98.887500,following,I,sd,u-26-2
sw2983A-ms98-a-0016,98.887500,99.326125,his,I,sd,u-26-2
sw2983A-ms98-a-0016,99.326125,99.937375,career,I,sd,u-26-2
sw2983A-ms98-a-0017,100.997500,101.616625,and,B,sd,u-28-1
sw2983A-ms98-a-0017,101.616625,101.736625,uh,I,sd,u-28-1
sw2983A-ms98-a-0017,101.736625,101.886625,i,I,sd,u-28-1
sw2983A-ms98-a-0017,101.886625,102.206625,know,I,sd,u-28-1
sw2983A-ms98-a-0017,102.206625,102.420625,that,I,sd,u-28-1
sw2983A-ms98-a-0017,102.601375,102.836625,that,I,sd,u-28-1
sw2983A-ms98-a-0017,102.836625,102.996625,my,I,sd,u-28-1
sw2983A-ms98-a-0017,102.996625,103.436625,husband,I,sd,u-28-1
sw2983A-ms98-a-0017,103.436625,103.676625,Tom,B,sd,u-28-2
sw2983A-ms98-a-0017,103.676625,104.056625,Kite,I,sd,u-28-2
sw2983A-ms98-a-0017,104.056625,104.166625,was,I,sd,u-28-2
sw2983A-ms98-a-0017,104.166625,104.396625,his,I,sd,u-28-2
sw2983A-ms98-a-0017,104.396625,104.616625,fair,I,sd,u-28-2
sw2983A-ms98-a-0017,104.616625,104.866625,haired,I,sd,u-28-2
sw2983A-ms98-a-0017,104.866625,105.217750,boy,I,sd,u-28-2
sw2983A-ms98-a-0017,105.658500,105.776625,and,B,sd,u-30-1
sw2983A-ms98-a-0017,105.776625,105.926625,he,I,sd,u-30-1
sw2983A-ms98-a-0017,105.926625,106.136625,thought,I,sd,u-30-1
sw2983A-ms98-a-0017,106.136625,106.296625,he,I,sd,u-30-1
sw2983A-ms98-a-0017,106.296625,106.426625,was,I,sd,u-30-1
sw2983A-ms98-a-0017,106.426625,107.325750,spectacular,I,sd,u-30-1
sw2983A-ms98-a-0017,107.954125,108.101125,i,B,sd(^q),u-30-2
sw2983A-ms98-a-0017,108.101125,108.376625,said,I,sd(^q),u-30-2
sw2983A-ms98-a-0017,108.376625,108.716625,whoa,I,sd(^q),u-30-2
sw2983A-ms98-a-0017,108.716625,108.876625,i'm,B,^q,u-30-3
sw2983A-ms98-a-0017,108.876625,109.056625,not,I,^q,u-30-3
sw2983A-ms98-a-0017,109.056625,109.262750,going,I,^q,u-30-3
sw2983A-ms98-a-0017,109.262750,109.415750,to,I,^q,u-30-3
sw2983A-ms98-a-0017,109.600375,109.746625,i'm,I,^q,u-30-3
sw2983A-ms98-a-0017,109.746625,109.906625,not,I,^q,u-30-3
sw2983A-ms98-a-0017,109.906625,110.177250,going,I,^q,u-30-3
sw2983A-ms98-a-0017,110.802500,110.846625,to,I,^q,u-30-3
sw2983A-ms98-a-0017,110.846625,111.348000,stay,I,^q,u-30-3
sw2983A-ms98-a-0017,111.766000,112.146625,interested,I,^q,u-30-3
sw2983A-ms98-a-0017,112.146625,112.286625,in,I,^q,u-30-3
sw2983A-ms98-a-0017,112.286625,112.656625,him,I,^q,u-30-3
sw2983A-ms98-a-0017,112.656625,113.088000,so,B,sd,u-30-4
sw2983A-ms98-a-0018,113.662125,113.829250,i,I,sd,u-30-4
sw2983A-ms98-a-0018,113.829250,114.259250,decided,I,sd,u-30-4
sw2983A-ms98-a-0018,114.259250,114.549250,Andy,I,sd,u-30-4
sw2983A-ms98-a-0018,114.549250,114.819250,Bean,I,sd,u-30-4
sw2983A-ms98-a-0018,114.819250,114.969250,was,I,sd,u-30-4
sw2983A-ms98-a-0018,114.969250,115.159250,good,I,sd,u-30-4
sw2983A-ms98-a-0018,115.159250,116.644750,[laughter-competition],O,,
sw2983A-ms98-a-0018,116.644750,116.939250,any,B,sd,u-32-1
sw2983A-ms98-a-0018,116.939250,117.239250,time,I,sd,u-32-1
sw2983A-ms98-a-0018,117.239250,117.359250,they,I,sd,u-32-1
sw2983A-ms98-a-0018,117.359250,117.649250,both,I,sd,u-32-1
sw2983A-ms98-a-0018,117.649250,118.099250,played,I,sd,u-32-1
sw2983A-ms98-a-0018,118.099250,118.229250,why,I,sd,u-32-1
sw2983A-ms98-a-0018,118.229250,118.409250,he,I,sd,u-32-1
sw2983A-ms98-a-0018,118.409250,118.529250,was,I,sd,u-32-1
sw2983A-ms98-a-0018,118.529250,118.759250,just,I,sd,u-32-1
sw2983A-ms98-a-0018,118.759250,118.899250,real,I,sd,u-32-1
sw2983A-ms98-a-0018,118.899250,119.409250,excited,I,sd,u-32-1
sw2983A-ms98-a-0018,119.409250,119.519250,when,I,sd,u-32-1
sw2983A-ms98-a-0018,119.519250,119.859250,Tom,I,sd,u-32-1
sw2983A-ms98-a-0018,119.859250,120.198500,was,I,sd,u-32-1
sw2983A-ms98-a-0018,120.443250,120.539250,you,I,sd,u-32-1
sw2983A-ms98-a-0018,120.539250,120.715250,know,I,sd,u-32-1
sw2983A-ms98-a-0018,121.125875,121.589250,shown,I,sd,u-32-1
sw2983A-ms98-a-0018,121.589250,121.729250,on,I,sd,u-32-1
sw2983A-ms98-a-0018,121.729250,121.829250,the,I,sd,u-32-1
sw2983A-ms98-a-0018,121.829250,122.459250,television,I,sd,u-32-1
sw2983A-ms98-a-0018,122.459250,122.662750,and,B,sd,u-34-1
sw2983A-ms98-a-0019,123.201375,123.342625,i,I,sd,u-34-1
sw2983A-ms98-a-0019,123.342625,123.702625,followed,I,sd,u-34-1
sw2983A-ms98-a-0019,123.702625,124.012625,Andy,I,sd,u-34-1
sw2983A-ms98-a-0019,124.012625,124.361625,Bean,I,sd,u-34-1
sw2983A-ms98-a-0020,125.252750,125.415875,we,B,sd,u-36-1
sw2983A-ms98-a-0020,125.415875,125.705875,both,I,sd,u-36-1
sw2983A-ms98-a-0020,125.705875,126.115875,followed,I,sd,u-36-1
sw2983A-ms98-a-0020,126.115875,126.275875,Lee,I,sd,u-36-1
sw2983A-ms98-a-0020,126.275875,126.955875,Trevino,I,sd,u-36-1
sw2983A-ms98-a-0020,126.955875,127.205875,into,I,sd,u-36-1
sw2983A-ms98-a-0020,127.205875,127.285875,the,I,sd,u-36-1
sw2983A-ms98-a-0020,127.285875,127.990625,Seniors,I,sd,u-36-1
sw2983A-ms98-a-0021,128.930625,129.295625,he,B,aa,u-38-1
sw2983A-ms98-a-0021,129.295625,129.625625,is,I,aa,u-38-1
sw2983A-ms98-a-0021,129.625625,129.785625,he,B,sv,u-40-1
sw2983A-ms98-a-0021,129.785625,129.845500,is,I,sv,u-40-1
sw2983A-ms98-a-0021,129.845500,129.939750,a,I,sv,u-40-1
sw2983A-ms98-a-0021,129.939750,130.705625,character,I,sv,u-40-1
sw2983A-ms98-a-0021,130.705625,130.905625,not,B,+,u-42-1
sw2983A-ms98-a-0021,130.905625,131.085625,just,I,+,u-42-1
sw2983A-ms98-a-0021,131.085625,131.145625,a,I,+,u-42-1
sw2983A-ms98-a-0021,131.145625,131.645625,golfer,I,+,u-42-1
sw2983A-ms98-a-0021,131.645625,131.795625,but,B,sv,u-42-2
sw2983A-ms98-a-0021,131.795625,131.985625,he's,I,sv,u-42-2
sw2983A-ms98-a-0021,131.985625,132.245625,quite,I,sv,u-42-2
sw2983A-ms98-a-0021,132.245625,132.275625,a,I,sv,u-42-2
sw2983A-ms98-a-0021,132.275625,132.898125,character,I,sv,u-42-2
sw2983A-ms98-a-0022,133.889375,134.024500,and,B,sv,u-44-1
sw2983A-ms98-a-0022,134.024500,134.174500,there,I,sv,u-44-1
sw2983A-ms98-a-0022,134.174500,134.374500,are,I,sv,u-44-1
sw2983A-ms98-a-0022,134.374500,134.844500,some,I,sv,u-44-1
sw2983A-ms98-a-0022,134.844500,135.254500,really,I,sv,u-44-1
sw2983A-ms98-a-0022,135.254500,136.177125,really,I,sv,u-44-1
sw2983A-ms98-a-0023,137.808000,138.458000,wonderful,I,sv,u-44-1
sw2983A-ms98-a-0023,138.458000,138.996125,people,I,sv,u-44-1
sw2983A-ms98-a-0023,138.996125,139.258000,in,I,sv,u-44-1
sw2983A-ms98-a-0023,139.258000,139.318000,the,I,sv,u-44-1
sw2983A-ms98-a-0023,139.318000,139.608000,game,I,sv,u-44-1
sw2983A-ms98-a-0023,139.608000,139.778000,of,I,sv,u-44-1
sw2983A-ms98-a-0023,139.778000,140.138000,golf,I,sv,u-44-1
sw2983A-ms98-a-0023,140.138000,140.384625,who,I,sv,u-44-1
sw2983A-ms98-a-0023,140.670875,140.888000,do,I,sv,u-44-1
sw2983A-ms98-a-0023,140.888000,141.307375,give,I,sv,u-44-1
sw2983A-ms98-a-0023,141.307375,141.938000,wonderful,I,sv,u-44-1
sw2983A-ms98-a-0023,141.938000,142.238000,role,I,sv,u-44-1
sw2983A-ms98-a-0023,142.238000,142.888250,models,I,sv,u-44-1
sw2983A-ms98-a-0024,144.042750,144.184375,and,B,sv,u-46-1
sw2983A-ms98-a-0024,144.184375,144.234375,i,I,sv,u-46-1
sw2983A-ms98-a-0024,144.234375,144.444375,think,I,sv,u-46-1
sw2983A-ms98-a-0024,144.444375,144.594375,it's,I,sv,u-46-1
sw2983A-ms98-a-0024,144.594375,145.289500,critical,I,sv,u-46-1
sw2983A-ms98-a-0024,145.658625,145.793625,it's,I,sv,u-46-1
sw2983A-ms98-a-0024,145.793625,146.474375,critical,I,sv,u-46-1
sw2983A-ms98-a-0024,146.474375,146.544375,to,I,sv,u-46-1
sw2983A-ms98-a-0024,146.544375,146.754375,have,I,sv,u-46-1
sw2983A-ms98-a-0024,146.754375,146.814375,a,I,sv,u-46-1
sw2983A-ms98-a-0024,146.814375,147.044375,good,I,sv,u-46-1
sw2983A-ms98-a-0024,147.044375,147.324375,role,I,sv,u-46-1
sw2983A-ms98-a-0024,147.324375,147.736750,model,I,sv,u-46-1
sw2983A-ms98-a-0025,148.608125,148.780875,in,B,+,u-48-1
sw2983A-ms98-a-0025,148.934000,149.148250,any,I,+,u-48-1
sw2983A-ms98-a-0025,149.148250,149.643750,field,I,+,u-48-1
sw2983A-ms98-a-0025,149.865875,150.048250,any,I,+,u-48-1
sw2983A-ms98-a-0025,150.048250,150.614500,sports,I,+,u-48-1
sw2983A-ms98-a-0027,153.294875,153.756500,uh-huh,B,b,u-50-1
sw2983A-ms98-a-0029,157.885375,158.403875,uh-huh,B,ny,u-52-1
sw2983A-ms98-a-0030,160.508250,160.853875,well,B,sd,u-54-1
sw2983A-ms98-a-0030,161.226750,161.509125,i,I,sd,u-54-1
sw2983A-ms98-a-0030,161.509125,162.209125,myself,I,sd,u-54-1
sw2983A-ms98-a-0030,162.209125,162.559125,really,I,sd,u-54-1
sw2983A-ms98-a-0030,162.559125,162.779125,have,I,sd,u-54-1
sw2983A-ms98-a-0030,162.779125,163.049125,not,I,sd,u-54-1
sw2983A-ms98-a-0030,163.049125,163.319125,seen,I,sd,u-54-1
sw2983A-ms98-a-0030,163.319125,163.409125,a,I,sd,u-54-1
sw2983A-ms98-a-0030,163.409125,163.609125,whole,I,sd,u-54-1
sw2983A-ms98-a-0030,163.609125,163.759125,lot,I,sd,u-54-1
sw2983A-ms98-a-0030,163.759125,163.819125,of,I,sd,u-54-1
sw2983A-ms98-a-0030,163.819125,164.329125,point,I,sd,u-54-1
sw2983A-ms98-a-0030,164.329125,164.529125,to,I,sd,u-54-1
sw2983A-ms98-a-0030,164.529125,164.609125,the,I,sd,u-54-1
sw2983A-ms98-a-0030,164.609125,164.849125,game,I,sd,u-54-1
sw2983A-ms98-a-0030,164.849125,164.959125,of,I,sd,u-54-1
sw2983A-ms98-a-0030,164.959125,165.239125,golf,I,sd,u-54-1
sw2983A-ms98-a-0030,165.239125,165.329125,you,B,sv,u-54-2
