sw4642B-ms98-a-0003,4.812250,6.083375,[laughter],O,,
sw4642B-ms98-a-0016,87.266250,87.466250,got,I,sv(^q),u-18-3
sw4642B-ms98-a-0016,87.466250,87.526250,a,I,sv(^q),u-18-3
sw4642B-ms98-a-0016,87.526250,88.154875,sucker,I,sv(^q),u-18-3
sw4642B-ms98-a-0017,88.745750,88.992000,let's,B,^q,u-18-4
sw4642B-ms98-a-0017,88.992000,89.112000,ge[t]-,I,^q,u-18-4
sw4642B-ms98-a-0017,89.112000,89.312000,how,I,^q,u-18-4
sw4642B-ms98-a-0017,89.312000,89.462000,see,I,^q,u-18-4
sw4642B-ms98-a-0017,89.462000,89.522000,how,I,^q,u-18-4
sw4642B-ms98-a-0017,89.522000,89.722000,much,I,^q,u-18-4
sw4642B-ms98-a-0017,89.722000,89.942000,money,I,^q,u-18-4
sw4642B-ms98-a-0017,89.942000,90.052000,we,I,^q,u-18-4
sw4642B-ms98-a-0017,90.052000,90.142000,can,I,^q,u-18-4
sw4642B-ms98-a-0017,90.142000,90.252000,get,I,^q,u-18-4
sw4642B-ms98-a-0017,90.252000,90.392000,out,I,^q,u-18-4
sw4642B-ms98-a-0017,90.392000,90.522000,of,I,^q,u-18-4
sw4642B-ms98-a-0017,90.522000,90.717500,her,I,^q,u-18-4
sw4642B-ms98-a-0017,90.812000,90.938750,you,I,^q,u-18-4
sw4642B-ms98-a-0017,90.938750,91.274000,[laughter-know],O,,
sw4642B-ms98-a-0017,91.632000,91.842000,that's,B,sv,u-20-1
sw4642B-ms98-a-0017,91.842000,91.962000,what,I,sv,u-20-1
sw4642B-ms98-a-0017,91.962000,92.322000,happens,I,sv,u-20-1
sw4642B-ms98-a-0017,92.322000,92.722000,every,I,sv,u-20-1
sw4642B-ms98-a-0017,92.722000,93.218625,time,I,sv,u-20-1
sw4642B-ms98-a-0017,94.021000,94.684250,um,B,%,u-22-1
sw4642B-ms98-a-0017,94.684250,95.013625,so,I,%,u-22-1
sw4642B-ms98-a-0018,96.288375,96.368375,i,B,sd,u-24-1
sw4642B-ms98-a-0018,96.368375,96.488375,have,I,sd,u-24-1
sw4642B-ms98-a-0018,96.488375,96.558375,a,I,sd,u-24-1
sw4642B-ms98-a-0018,96.558375,97.218375,Pontiac,I,sd,u-24-1
sw4642B-ms98-a-0018,97.528375,97.788375,six,I,sd,u-24-1
sw4642B-ms98-a-0018,97.788375,98.301250,thousand,I,sd,u-24-1
sw4642B-ms98-a-0020,102.287875,102.598125,yep,O,,
sw4642B-ms98-a-0021,103.706250,103.817500,but,B,sd,u-26-2
sw4642B-ms98-a-0021,103.817500,103.967500,our,I,sd,u-26-2
sw4642B-ms98-a-0021,103.967500,104.287500,Honda,I,sd,u-26-2
sw4642B-ms98-a-0021,104.287500,104.517500,just,I,sd,u-26-2
sw4642B-ms98-a-0021,104.517500,104.757500,got,I,sd,u-26-2
sw4642B-ms98-a-0021,104.757500,105.147500,old,I,sd,u-26-2
sw4642B-ms98-a-0021,105.147500,105.377500,and,I,sd,u-26-2
sw4642B-ms98-a-0021,105.377500,105.757500,just,I,sd,u-26-2
sw4642B-ms98-a-0021,105.757500,105.987500,wore,I,sd,u-26-2
sw4642B-ms98-a-0021,105.987500,106.257500,out,I,sd,u-26-2
sw4642B-ms98-a-0021,106.497500,106.573750,it,B,sd,u-26-3
sw4642B-ms98-a-0021,106.573750,106.697250,was,I,sd,u-26-3
sw4642B-ms98-a-0021,106.697250,106.972250,ele[ven]-,I,sd,u-26-3
sw4642B-ms98-a-0021,106.972250,107.237500,let's,I,sd,u-26-3
sw4642B-ms98-a-0021,107.237500,107.557750,see,I,sd,u-26-3
sw4642B-ms98-a-0021,107.780000,108.277500,eleven,I,sd,u-26-3
sw4642B-ms98-a-0021,108.277500,108.517500,years,I,sd,u-26-3
sw4642B-ms98-a-0021,108.517500,108.915500,old,I,sd,u-26-3
sw4642B-ms98-a-0022,109.744250,109.858625,and,B,%,u-26-4
sw4642B-ms98-a-0022,109.858625,110.064250,it,I,%,u-26-4
sw4642B-ms98-a-0022,110.064250,110.431875,just,I,%,u-26-4
sw4642B-ms98-a-0023,111.553125,111.892625,just,I,%,u-26-4
sw4642B-ms98-a-0023,111.892625,112.133125,out,I,%,u-26-4
sw4642B-ms98-a-0023,112.133125,112.313125,of,I,%,u-26-4
sw4642B-ms98-a-0023,112.313125,112.453625,it,I,%,u-26-4
sw4642B-ms98-a-0023,112.525250,112.993625,[laughter-so],O,,
sw4642B-ms98-a-0024,114.914625,115.284625,no,B,+@,u-28-1
sw4642B-ms98-a-0024,115.284625,115.717625,uh-huh,B,nn,u-28-2
sw4642B-ms98-a-0024,115.823125,115.964625,my,B,%,u-28-3
sw4642B-ms98-a-0024,115.964625,116.094625,hu[sband]-,I,%,u-28-3
sw4642B-ms98-a-0024,116.094625,116.134625,uh,I,%,u-28-3
sw4642B-ms98-a-0024,116.134625,116.521250,um,O,,
sw4642B-ms98-a-0024,116.611625,117.592375,ex-husband's,O,,
sw4642B-ms98-a-0024,117.975750,118.424625,this,B,sd^e,u-28-4
sw4642B-ms98-a-0024,118.424625,118.624625,this,I,sd^e,u-28-4
sw4642B-ms98-a-0024,118.624625,118.854625,just,I,sd^e,u-28-4
sw4642B-ms98-a-0024,118.854625,119.164625,happened,I,sd^e,u-28-4
sw4642B-ms98-a-0024,119.164625,119.364625,couple,I,sd^e,u-28-4
sw4642B-ms98-a-0024,119.364625,119.424625,of,I,sd^e,u-28-4
sw4642B-ms98-a-0024,119.424625,119.544625,weeks,I,sd^e,u-28-4
sw4642B-ms98-a-0024,119.544625,119.654625,ago,I,sd^e,u-28-4
sw4642B-ms98-a-0024,119.654625,119.784625,he's,B,sd,u-28-5
sw4642B-ms98-a-0024,119.784625,119.904625,my,I,sd,u-28-5
sw4642B-ms98-a-0024,119.904625,120.404625,ex-husband,O,,
sw4642B-ms98-a-0024,120.404625,120.584625,but,B,sd,u-28-6
sw4642B-ms98-a-0024,120.584625,120.804625,just,I,sd,u-28-6
sw4642B-ms98-a-0024,120.804625,120.884625,a,I,sd,u-28-6
sw4642B-ms98-a-0024,120.884625,121.024625,few,I,sd,u-28-6
sw4642B-ms98-a-0024,121.024625,121.274625,months,I,sd,u-28-6
sw4642B-ms98-a-0024,121.274625,121.524625,ago,I,sd,u-28-6
sw4642B-ms98-a-0024,121.524625,121.614625,when,I,sd,u-28-6
sw4642B-ms98-a-0024,121.614625,121.684625,he,I,sd,u-28-6
sw4642B-ms98-a-0024,121.684625,121.924625,was,I,sd,u-28-6
sw4642B-ms98-a-0024,121.924625,122.044625,my,I,sd,u-28-6
sw4642B-ms98-a-0024,122.044625,122.444625,husband,I,sd,u-28-6
sw4642B-ms98-a-0024,122.984625,123.464625,um,I,sd,u-28-6
sw4642B-ms98-a-0024,123.524625,123.824625,his,I,sd,u-28-6
sw4642B-ms98-a-0024,123.824625,124.534625,father,I,sd,u-28-6
sw4642B-ms98-a-0024,124.994625,125.304625,gave,I,sd,u-28-6
sw4642B-ms98-a-0024,125.304625,125.494625,us,I,sd,u-28-6
sw4642B-ms98-a-0024,125.494625,125.703000,this,I,sd,u-28-6
sw4642B-ms98-a-0024,125.703000,126.085500,car,I,sd,u-28-6
sw4642B-ms98-a-0025,126.717125,127.117125,and,B,sd,u-28-7
sw4642B-ms98-a-0025,127.117125,127.627125,everything,I,sd,u-28-7
sw4642B-ms98-a-0025,127.627125,127.787125,is,I,sd,u-28-7
sw4642B-ms98-a-0025,127.787125,128.027125,wrong,I,sd,u-28-7
sw4642B-ms98-a-0025,128.027125,128.237125,with,I,sd,u-28-7
sw4642B-ms98-a-0025,128.237125,128.538500,it,I,sd,u-28-7
sw4642B-ms98-a-0025,128.768250,128.857125,i,B,sd,u-28-8
sw4642B-ms98-a-0025,128.857125,129.297125,mean,I,sd,u-28-8
sw4642B-ms98-a-0025,129.997125,130.057125,the,I,sd,u-28-8
sw4642B-ms98-a-0025,130.057125,130.387125,power,I,sd,u-28-8
sw4642B-ms98-a-0025,130.387125,130.747125,steering,I,sd,u-28-8
sw4642B-ms98-a-0025,130.787125,131.077125,fluid,I,sd,u-28-8
sw4642B-ms98-a-0025,131.077125,131.367125,leaks,I,sd,u-28-8
sw4642B-ms98-a-0025,131.367125,131.487125,the,I,sd,u-28-8
sw4642B-ms98-a-0025,131.487125,131.687125,oil,I,sd,u-28-8
sw4642B-ms98-a-0025,131.687125,131.947125,leaks,I,sd,u-28-8
sw4642B-ms98-a-0025,131.947125,132.007125,the,I,sd,u-28-8
sw4642B-ms98-a-0025,132.007125,132.207125,brake,I,sd,u-28-8
sw4642B-ms98-a-0025,132.207125,132.567125,fluid,I,sd,u-28-8
sw4642B-ms98-a-0025,132.567125,133.088750,leaks,I,sd,u-28-8
sw4642B-ms98-a-0025,133.190500,133.337125,you,I,sd,u-28-8
sw4642B-ms98-a-0025,133.337125,133.657125,know,I,sd,u-28-8
sw4642B-ms98-a-0026,135.174125,135.454125,um,B,sd,u-30-1
sw4642B-ms98-a-0026,135.454125,135.704125,eighty,I,sd,u-30-1
sw4642B-ms98-a-0026,135.704125,136.284125,seven,I,sd,u-30-1
sw4642B-ms98-a-0026,137.204125,137.364125,and,B,sd,u-32-1
sw4642B-ms98-a-0026,137.364125,137.524125,he,I,sd,u-32-1
sw4642B-ms98-a-0026,137.524125,137.963125,just,I,sd,u-32-1
sw4642B-ms98-a-0026,138.215375,138.564125,doesn't,I,sd,u-32-1
sw4642B-ms98-a-0026,138.564125,138.764125,take,I,sd,u-32-1
sw4642B-ms98-a-0026,138.764125,138.974125,care,I,sd,u-32-1
sw4642B-ms98-a-0026,138.974125,139.074125,of,I,sd,u-32-1
sw4642B-ms98-a-0026,139.074125,139.524125,things,I,sd,u-32-1
sw4642B-ms98-a-0026,139.524125,139.704125,and,B,sd,u-32-2
sw4642B-ms98-a-0026,140.314125,140.634125,but,I,sd,u-32-2
sw4642B-ms98-a-0026,140.634125,140.854125,i,I,sd,u-32-2
sw4642B-ms98-a-0026,140.854125,141.154125,was,I,sd,u-32-2
sw4642B-ms98-a-0026,141.154125,141.514125,awarded,I,sd,u-32-2
sw4642B-ms98-a-0026,141.514125,141.574125,the,I,sd,u-32-2
sw4642B-ms98-a-0026,141.574125,141.984125,car,I,sd,u-32-2
sw4642B-ms98-a-0026,141.984125,142.310750,so,B,sd,u-32-3
sw4642B-ms98-a-0026,142.472750,142.634125,there,I,sd,u-32-3
sw4642B-ms98-a-0026,142.634125,142.774125,is,I,sd,u-32-3
sw4642B-ms98-a-0026,142.774125,142.864125,a,I,sd,u-32-3
sw4642B-ms98-a-0026,142.864125,143.144125,man,I,sd,u-32-3
sw4642B-ms98-a-0026,143.144125,143.294125,in,I,sd,u-32-3
sw4642B-ms98-a-0026,143.294125,143.414125,my,I,sd,u-32-3
sw4642B-ms98-a-0026,143.414125,143.804125,church,I,sd,u-32-3
sw4642B-ms98-a-0026,143.864125,144.034125,that,I,sd,u-32-3
sw4642B-ms98-a-0026,144.034125,144.174125,is,I,sd,u-32-3
sw4642B-ms98-a-0026,144.174125,144.234125,a,I,sd,u-32-3
sw4642B-ms98-a-0026,144.234125,144.834125,mechanic,I,sd,u-32-3
sw4642B-ms98-a-0026,144.834125,145.041000,and,B,sd,u-32-4
sw4642B-ms98-a-0026,145.462875,145.584125,i,I,sd,u-32-4
sw4642B-ms98-a-0026,145.584125,145.744125,can,I,sd,u-32-4
sw4642B-ms98-a-0026,145.744125,146.164125,trust,I,sd,u-32-4
sw4642B-ms98-a-0026,146.164125,146.490750,him,I,sd,u-32-4
sw4642B-ms98-a-0027,147.261375,147.403625,so,B,sd,u-32-5
sw4642B-ms98-a-0027,147.403625,147.643625,he's,I,sd,u-32-5
sw4642B-ms98-a-0027,147.643625,148.153625,trying,I,sd,u-32-5
sw4642B-ms98-a-0027,148.153625,148.263625,to,I,sd,u-32-5
sw4642B-ms98-a-0027,148.263625,148.733625,get,I,sd,u-32-5
sw4642B-ms98-a-0027,148.863625,148.973625,you,I,sd,u-32-5
sw4642B-ms98-a-0027,148.973625,149.223625,know,I,sd,u-32-5
sw4642B-ms98-a-0027,149.223625,149.593625,things,I,sd,u-32-5
sw4642B-ms98-a-0027,149.593625,150.043625,fixed,I,sd,u-32-5
sw4642B-ms98-a-0027,150.043625,150.251250,on,I,sd,u-32-5
sw4642B-ms98-a-0027,150.251250,150.550125,it,I,sd,u-32-5
sw4642B-ms98-a-0027,151.311000,151.493625,but,B,sd,u-34-1
sw4642B-ms98-a-0027,151.493625,151.743625,it's,I,sd,u-34-1
sw4642B-ms98-a-0027,151.743625,152.993625,just,I,sd,u-34-1
sw4642B-ms98-a-0027,152.993625,153.113625,you,I,sd,u-34-1
sw4642B-ms98-a-0027,153.113625,153.443625,know,I,sd,u-34-1
sw4642B-ms98-a-0027,153.613625,153.943625,leak,I,sd,u-34-1
sw4642B-ms98-a-0027,153.943625,154.173625,leak,I,sd,u-34-1
sw4642B-ms98-a-0027,154.173625,154.533625,leak,I,sd,u-34-1
sw4642B-ms98-a-0027,154.533625,155.150250,everywhere,I,sd,u-34-1
sw4642B-ms98-a-0027,155.881000,156.113625,but,B,sv,u-34-2
sw4642B-ms98-a-0027,156.113625,156.452625,um,I,sv,u-34-2
sw4642B-ms98-a-0028,157.798875,157.964750,you,I,sv,u-34-2
sw4642B-ms98-a-0028,157.964750,158.272375,know,I,sv,u-34-2
sw4642B-ms98-a-0028,159.015000,159.225875,i,I,sv,u-34-2
sw4642B-ms98-a-0028,159.225875,159.534750,hate,I,sv,u-34-2
sw4642B-ms98-a-0028,159.534750,159.614750,to,I,sv,u-34-2
sw4642B-ms98-a-0028,159.614750,159.824750,go,I,sv,u-34-2
sw4642B-ms98-a-0028,159.824750,160.094750,into,I,sv,u-34-2
sw4642B-ms98-a-0028,160.094750,160.391875,a,I,sv,u-34-2
sw4642B-ms98-a-0028,160.813750,160.954750,a,I,sv,u-34-2
sw4642B-ms98-a-0028,160.954750,161.314750,repair,I,sv,u-34-2
sw4642B-ms98-a-0028,161.314750,161.764750,place,I,sv,u-34-2
sw4642B-ms98-a-0028,161.764750,162.362375,because,I,sv,u-34-2
sw4642B-ms98-a-0028,162.595875,162.764750,they'll,I,sv,u-34-2
sw4642B-ms98-a-0028,162.764750,162.974750,tell,I,sv,u-34-2
sw4642B-ms98-a-0028,162.974750,163.084750,me,I,sv,u-34-2
sw4642B-ms98-a-0028,163.084750,163.404750,something's,I,sv,u-34-2
sw4642B-ms98-a-0028,163.404750,163.684750,wrong,I,sv,u-34-2
sw4642B-ms98-a-0028,163.684750,163.864750,with,I,sv,u-34-2
sw4642B-ms98-a-0028,163.864750,163.964750,it,I,sv,u-34-2
sw4642B-ms98-a-0028,163.964750,164.074750,and,I,sv,u-34-2
sw4642B-ms98-a-0028,164.074750,164.224750,it's,I,sv,u-34-2
sw4642B-ms98-a-0028,164.224750,164.654750,not,I,sv,u-34-2
sw4642B-ms98-a-0029,165.460625,165.612500,you,I,sv,u-34-2
sw4642B-ms98-a-0029,165.612500,166.010000,know,I,sv,u-34-2
sw4642B-ms98-a-0029,166.649250,167.422500,and,I,sv,u-34-2
sw4642B-ms98-a-0029,167.422500,167.842500,charge,I,sv,u-34-2
sw4642B-ms98-a-0029,167.842500,168.101750,me,I,sv,u-34-2
sw4642B-ms98-a-0029,168.177000,168.542500,twice,I,sv,u-34-2
sw4642B-ms98-a-0029,168.542500,168.682500,as,I,sv,u-34-2
sw4642B-ms98-a-0029,168.682500,169.302500,much,I,sv,u-34-2
sw4642B-ms98-a-0029,169.932500,170.022500,the,B,sd,u-34-3
sw4642B-ms98-a-0029,170.022500,170.382500,last,I,sd,u-34-3
sw4642B-ms98-a-0029,170.382500,170.652500,time,I,sd,u-34-3
sw4642B-ms98-a-0029,170.652500,170.712500,i,I,sd,u-34-3
sw4642B-ms98-a-0029,170.712500,170.962500,took,I,sd,u-34-3
sw4642B-ms98-a-0029,170.962500,171.032500,it,I,sd,u-34-3
sw4642B-ms98-a-0029,171.032500,171.372500,into,I,sd,u-34-3
sw4642B-ms98-a-0029,171.372500,171.432500,a,I,sd,u-34-3
sw4642B-ms98-a-0029,171.432500,171.802500,repair,I,sd,u-34-3
sw4642B-ms98-a-0029,171.802500,172.212500,shop,I,sd,u-34-3
sw4642B-ms98-a-0029,172.772500,172.832500,the,B,sd,u-34-4
sw4642B-ms98-a-0029,172.832500,173.032500,man,I,sd,u-34-4
sw4642B-ms98-a-0029,173.032500,173.242500,told,I,sd,u-34-4
sw4642B-ms98-a-0029,173.242500,173.362500,me,I,sd,u-34-4
sw4642B-ms98-a-0029,173.362500,173.402500,i,I,sd,u-34-4
sw4642B-ms98-a-0029,173.402500,173.692500,needed,I,sd,u-34-4
sw4642B-ms98-a-0029,173.692500,173.732500,a,I,sd,u-34-4
sw4642B-ms98-a-0029,173.732500,174.122500,master,I,sd,u-34-4
sw4642B-ms98-a-0029,174.122500,174.639875,cylinder,I,sd,u-34-4
sw4642B-ms98-a-0029,175.588875,175.742500,so,B,sd(^q),u-34-5
sw4642B-ms98-a-0029,175.742500,175.872500,i,I,sd(^q),u-34-5
sw4642B-ms98-a-0029,175.872500,176.072500,said,I,sd(^q),u-34-5
sw4642B-ms98-a-0029,176.072500,176.625000,okay,I,sd(^q),u-34-5
sw4642B-ms98-a-0030,177.069375,177.199375,and,B,sd,u-34-6
sw4642B-ms98-a-0030,177.199375,177.299375,he,I,sd,u-34-6
sw4642B-ms98-a-0030,177.299375,177.739375,charged,I,sd,u-34-6
sw4642B-ms98-a-0030,177.739375,177.899375,me,I,sd,u-34-6
sw4642B-ms98-a-0030,177.899375,177.949375,a,I,sd,u-34-6
sw4642B-ms98-a-0030,177.949375,178.441000,hundred,I,sd,u-34-6
sw4642B-ms98-a-0030,178.527750,178.729375,and,I,sd,u-34-6
sw4642B-ms98-a-0030,178.799375,179.795500,thirty,I,sd,u-34-6
sw4642B-ms98-a-0030,180.423875,180.839375,something,I,sd,u-34-6
sw4642B-ms98-a-0030,180.839375,181.479375,dollars,I,sd,u-34-6
sw4642B-ms98-a-0030,182.279375,182.509375,and,B,sd,u-34-7
sw4642B-ms98-a-0030,182.509375,182.992000,then,I,sd,u-34-7
sw4642B-ms98-a-0030,183.779125,184.238875,um,I,sd,u-34-7
sw4642B-ms98-a-0030,184.238875,184.679375,about,I,sd,u-34-7
sw4642B-ms98-a-0030,184.799375,184.829375,a,I,sd,u-34-7
sw4642B-ms98-a-0030,184.829375,185.319375,month,I,sd,u-34-7
sw4642B-ms98-a-0030,185.319375,185.949375,later,I,sd,u-34-7
sw4642B-ms98-a-0031,187.118125,187.178125,a,I,sd,u-34-7
sw4642B-ms98-a-0031,187.178125,187.418125,man,I,sd,u-34-7
sw4642B-ms98-a-0031,187.418125,187.518125,was,I,sd,u-34-7
sw4642B-ms98-a-0031,187.518125,187.688125,looking,I,sd,u-34-7
sw4642B-ms98-a-0031,187.688125,187.748125,at,I,sd,u-34-7
sw4642B-ms98-a-0031,187.748125,187.878125,my,I,sd,u-34-7
sw4642B-ms98-a-0031,187.878125,188.493750,car,I,sd,u-34-7
sw4642B-ms98-a-0031,189.080250,189.227250,and,B,sd,u-34-8
sw4642B-ms98-a-0031,189.227250,189.368125,he,I,sd,u-34-8
sw4642B-ms98-a-0031,189.368125,189.638125,asked,I,sd,u-34-8
sw4642B-ms98-a-0031,189.638125,189.938125,me,I,sd,u-34-8
sw4642B-ms98-a-0031,189.938125,190.058125,you,B,sd,u-34-9
sw4642B-ms98-a-0031,190.058125,190.558125,know,I,sd,u-34-9
sw4642B-ms98-a-0032,191.333875,191.677000,not,I,sd,u-34-9
sw4642B-ms98-a-0032,191.715625,191.802125,a,I,sd,u-34-9
sw4642B-ms98-a-0032,191.802125,192.294875,man,I,sd,u-34-9
sw4642B-ms98-a-0032,192.294875,192.535875,not,I,sd,u-34-9
sw4642B-ms98-a-0032,192.535875,192.602125,a,I,sd,u-34-9
sw4642B-ms98-a-0032,192.602125,192.922125,repair,I,sd,u-34-9
sw4642B-ms98-a-0032,192.922125,193.092125,man,I,sd,u-34-9
sw4642B-ms98-a-0032,193.092125,193.182125,but,I,sd,u-34-9
sw4642B-ms98-a-0032,193.182125,193.352125,just,I,sd,u-34-9
sw4642B-ms98-a-0032,193.352125,193.402125,a,I,sd,u-34-9
sw4642B-ms98-a-0032,193.402125,193.882125,friend,I,sd,u-34-9
sw4642B-ms98-a-0032,194.472125,194.632125,and,B,sd,u-34-10
sw4642B-ms98-a-0032,194.632125,194.702125,i,I,sd,u-34-10
sw4642B-ms98-a-0032,194.702125,194.832125,was,I,sd,u-34-10
sw4642B-ms98-a-0032,194.832125,195.072125,telling,I,sd,u-34-10
sw4642B-ms98-a-0032,195.072125,195.202125,him,I,sd,u-34-10
sw4642B-ms98-a-0032,195.202125,195.332125,that,I,sd,u-34-10
sw4642B-ms98-a-0032,195.332125,195.402125,i,I,sd,u-34-10
sw4642B-ms98-a-0032,195.402125,195.572125,just,I,sd,u-34-10
sw4642B-ms98-a-0032,195.572125,195.772125,had,I,sd,u-34-10
sw4642B-ms98-a-0032,195.772125,195.802125,a,I,sd,u-34-10
sw4642B-ms98-a-0032,195.802125,195.942125,new,I,sd,u-34-10
sw4642B-ms98-a-0032,195.942125,196.302125,master,I,sd,u-34-10
sw4642B-ms98-a-0032,196.302125,196.652125,cylinder,I,sd,u-34-10
sw4642B-ms98-a-0032,196.652125,196.872125,put,I,sd,u-34-10
sw4642B-ms98-a-0032,196.872125,197.392125,on,I,sd,u-34-10
sw4642B-ms98-a-0032,197.392125,197.552125,and,B,sd,u-34-11
sw4642B-ms98-a-0032,197.552125,197.702125,he,I,sd,u-34-11
sw4642B-ms98-a-0032,197.702125,197.912125,s[aid]-,I,sd,u-34-11
sw4642B-ms98-a-0032,197.912125,198.172125,looked,I,sd,u-34-11
sw4642B-ms98-a-0032,198.172125,198.312125,at,I,sd,u-34-11
sw4642B-ms98-a-0032,198.312125,198.442125,and,B,sd(^q),u-34-12
sw4642B-ms98-a-0032,198.442125,198.552125,he,I,sd(^q),u-34-12
sw4642B-ms98-a-0032,198.552125,198.842125,said,I,sd(^q),u-34-12
sw4642B-ms98-a-0032,198.842125,199.062125,that's,I,sd(^q),u-34-12
sw4642B-ms98-a-0032,199.062125,199.242125,not,I,sd(^q),u-34-12
sw4642B-ms98-a-0032,199.242125,199.282125,a,I,sd(^q),u-34-12
sw4642B-ms98-a-0032,199.282125,199.422125,new,I,sd(^q),u-34-12
sw4642B-ms98-a-0032,199.422125,199.802125,master,I,sd(^q),u-34-12
sw4642B-ms98-a-0032,199.802125,200.424625,cylinder,I,sd(^q),u-34-12
sw4642B-ms98-a-0033,201.003750,201.113750,and,B,sd,u-36-1
sw4642B-ms98-a-0033,201.113750,201.143750,i,I,sd,u-36-1
sw4642B-ms98-a-0033,201.143750,201.293750,didn't,I,sd,u-36-1
sw4642B-ms98-a-0033,201.293750,201.453750,even,I,sd,u-36-1
