sw2658A-ms98-a-0002,7.996125,8.326125,uh-huh,B,b,u-2-1
sw2658A-ms98-a-0006,28.051875,28.483500,last,I,+,u-10-1
sw2658A-ms98-a-0006,28.483500,28.823500,longer,I,+,u-10-1
sw2658A-ms98-a-0006,28.823500,28.983500,or,I,+,u-10-1
sw2658A-ms98-a-0006,28.983500,29.323500,something,I,+,u-10-1
sw2658A-ms98-a-0006,29.323500,29.473500,like,I,+,u-10-1
sw2658A-ms98-a-0006,29.473500,29.813500,that,I,+,u-10-1
sw2658A-ms98-a-0008,31.800875,32.500750,[laughter],O,,
sw2658A-ms98-a-0010,42.265625,42.855125,uh,O,,
sw2658A-ms98-a-0012,47.320000,47.460000,i,B,ba,u-16-1
sw2658A-ms98-a-0012,47.460000,47.650000,can,I,ba,u-16-1
sw2658A-ms98-a-0012,47.650000,47.950000,imagine,I,ba,u-16-1
sw2658A-ms98-a-0012,47.950000,48.060000,well,B,%,u-16-2
sw2658A-ms98-a-0012,48.060000,48.273500,actually,I,%,u-16-2
sw2658A-ms98-a-0012,48.273500,48.359500,i,I,%,u-16-2
sw2658A-ms98-a-0012,48.359500,48.510000,don't,I,%,u-16-2
sw2658A-ms98-a-0014,51.681250,51.841250,you,B,qy^d,u-18-1
sw2658A-ms98-a-0014,51.841250,52.101250,can't,I,qy^d,u-18-1
sw2658A-ms98-a-0014,52.101250,52.311250,read,I,qy^d,u-18-1
sw2658A-ms98-a-0014,52.311250,52.881250,labels,I,qy^d,u-18-1
sw2658A-ms98-a-0014,52.881250,53.021250,and,B,%,u-18-2
sw2658A-ms98-a-0014,53.021250,53.091250,you,I,%,u-18-2
sw2658A-ms98-a-0014,53.091250,53.505375,can't,I,%,u-18-2
sw2658A-ms98-a-0016,56.141250,56.481250,good,B,ba,u-20-1
sw2658A-ms98-a-0017,57.474125,57.604125,there,B,ba,u-20-2
sw2658A-ms98-a-0017,57.604125,57.724125,you,I,ba,u-20-2
sw2658A-ms98-a-0017,57.724125,58.005625,go,I,ba,u-20-2
sw2658A-ms98-a-0019,59.885625,60.324875,okay,B,na^m,u-22-1
sw2658A-ms98-a-0020,61.105750,61.385750,yeah,B,ny,u-24-1
sw2658A-ms98-a-0021,62.835125,63.075125,right,B,b,u-26-1
sw2658A-ms98-a-0023,72.030750,72.310750,well,B,sd,u-28-1
sw2658A-ms98-a-0023,72.310750,72.560750,we,I,sd,u-28-1
sw2658A-ms98-a-0023,72.560750,72.850750,bought,I,sd,u-28-1
sw2658A-ms98-a-0023,72.850750,72.900750,a,I,sd,u-28-1
sw2658A-ms98-a-0023,72.900750,73.410750,computer,I,sd,u-28-1
sw2658A-ms98-a-0023,73.410750,73.570750,because_1,I,sd,u-28-1
sw2658A-ms98-a-0023,73.570750,73.690750,my,I,sd,u-28-1
sw2658A-ms98-a-0023,73.690750,74.080750,husband,I,sd,u-28-1
sw2658A-ms98-a-0023,74.080750,74.440750,needed,I,sd,u-28-1
sw2658A-ms98-a-0023,74.440750,74.818750,to,I,sd,u-28-1
sw2658A-ms98-a-0023,75.323500,75.579875,use,I,sd,u-28-1
sw2658A-ms98-a-0023,75.579875,75.800750,it,I,sd,u-28-1
sw2658A-ms98-a-0023,75.800750,75.900750,to,I,sd,u-28-1
sw2658A-ms98-a-0023,75.900750,76.040750,do,I,sd,u-28-1
sw2658A-ms98-a-0023,76.040750,76.410750,some,I,sd,u-28-1
sw2658A-ms98-a-0024,77.083000,77.423000,work,I,sd,u-28-1
sw2658A-ms98-a-0024,77.423000,77.583000,for,I,sd,u-28-1
sw2658A-ms98-a-0024,77.583000,77.673000,a,I,sd,u-28-1
sw2658A-ms98-a-0024,77.673000,78.153000,consulting,I,sd,u-28-1
sw2658A-ms98-a-0024,78.153000,78.723000,project,I,sd,u-28-1
sw2658A-ms98-a-0024,78.723000,78.953000,and,B,sd,u-28-2
sw2658A-ms98-a-0024,79.413000,79.563000,we,I,sd,u-28-2
sw2658A-ms98-a-0024,79.563000,79.863000,called,I,sd,u-28-2
sw2658A-ms98-a-0024,79.863000,80.003000,up,I,sd,u-28-2
sw2658A-ms98-a-0024,80.003000,80.063000,the,I,sd,u-28-2
sw2658A-ms98-a-0024,80.063000,80.593000,company,I,sd,u-28-2
sw2658A-ms98-a-0024,80.593000,80.703000,and,I,sd,u-28-2
sw2658A-ms98-a-0024,80.703000,80.943000,asked,I,sd,u-28-2
sw2658A-ms98-a-0024,80.943000,81.103000,them,I,sd,u-28-2
sw2658A-ms98-a-0024,81.103000,81.503000,details,I,sd,u-28-2
sw2658A-ms98-a-0024,81.503000,81.563000,on,I,sd,u-28-2
sw2658A-ms98-a-0024,81.563000,81.623000,it,I,sd,u-28-2
sw2658A-ms98-a-0024,81.623000,81.723000,we,B,sd,u-28-3
sw2658A-ms98-a-0024,81.723000,81.913000,bought,I,sd,u-28-3
sw2658A-ms98-a-0024,81.913000,82.083000,it,I,sd,u-28-3
sw2658A-ms98-a-0024,82.163000,82.403000,sort,I,sd,u-28-3
sw2658A-ms98-a-0024,82.403000,82.630250,of,I,sd,u-28-3
sw2658A-ms98-a-0024,83.059625,83.203000,your,I,sd,u-28-3
sw2658A-ms98-a-0024,83.203000,83.633000,not,I,sd,u-28-3
sw2658A-ms98-a-0024,83.633000,83.733250,a,I,sd,u-28-3
sw2658A-ms98-a-0024,83.929125,84.293000,name,I,sd,u-28-3
sw2658A-ms98-a-0024,84.293000,84.683000,brand,I,sd,u-28-3
sw2658A-ms98-a-0024,84.683000,84.943000,because,I,sd,u-28-3
sw2658A-ms98-a-0024,84.943000,85.013000,the,I,sd,u-28-3
sw2658A-ms98-a-0024,85.013000,85.343000,clones,I,sd,u-28-3
sw2658A-ms98-a-0024,85.343000,85.413000,are,I,sd,u-28-3
sw2658A-ms98-a-0024,85.413000,85.573000,so,I,sd,u-28-3
sw2658A-ms98-a-0024,85.573000,85.793000,much,I,sd,u-28-3
sw2658A-ms98-a-0024,85.793000,86.295500,cheaper,I,sd,u-28-3
sw2658A-ms98-a-0025,87.026750,87.146750,and,B,sd,u-30-1
sw2658A-ms98-a-0025,87.146750,87.226750,we,I,sd,u-30-1
sw2658A-ms98-a-0025,87.226750,87.466750,called,I,sd,u-30-1
sw2658A-ms98-a-0025,87.466750,87.566750,up,I,sd,u-30-1
sw2658A-ms98-a-0025,87.566750,87.626750,the,I,sd,u-30-1
sw2658A-ms98-a-0025,87.626750,88.026750,company,I,sd,u-30-1
sw2658A-ms98-a-0025,88.026750,88.216750,that,I,sd,u-30-1
sw2658A-ms98-a-0025,88.216750,88.556750,somebody,I,sd,u-30-1
sw2658A-ms98-a-0025,88.556750,88.826750,else,I,sd,u-30-1
sw2658A-ms98-a-0025,88.966750,89.076750,we,I,sd,u-30-1
sw2658A-ms98-a-0025,89.076750,89.286750,knew,I,sd,u-30-1
sw2658A-ms98-a-0025,89.286750,89.506750,had,I,sd,u-30-1
sw2658A-ms98-a-0025,89.506750,89.746750,dealt,I,sd,u-30-1
sw2658A-ms98-a-0025,89.746750,89.916750,with,I,sd,u-30-1
sw2658A-ms98-a-0025,89.916750,90.016750,and,B,sd,u-30-2
sw2658A-ms98-a-0025,90.016750,90.096750,they,I,sd,u-30-2
sw2658A-ms98-a-0025,90.096750,90.186750,were,I,sd,u-30-2
sw2658A-ms98-a-0025,90.186750,90.406750,very,I,sd,u-30-2
sw2658A-ms98-a-0025,90.406750,90.726750,happy,I,sd,u-30-2
sw2658A-ms98-a-0025,90.726750,90.846750,with,I,sd,u-30-2
sw2658A-ms98-a-0025,90.846750,90.926750,the,I,sd,u-30-2
sw2658A-ms98-a-0025,90.926750,91.376750,system,I,sd,u-30-2
sw2658A-ms98-a-0025,91.376750,91.486750,and,B,sd,u-30-3
sw2658A-ms98-a-0025,91.486750,91.596750,they,I,sd,u-30-3
sw2658A-ms98-a-0025,91.596750,91.826750,felt,I,sd,u-30-3
sw2658A-ms98-a-0025,91.826750,91.986750,they've,I,sd,u-30-3
sw2658A-ms98-a-0025,91.986750,92.226750,gotten,I,sd,u-30-3
sw2658A-ms98-a-0025,92.226750,92.266750,a,I,sd,u-30-3
sw2658A-ms98-a-0025,92.266750,92.496750,good,I,sd,u-30-3
sw2658A-ms98-a-0025,92.496750,92.982750,price,I,sd,u-30-3
sw2658A-ms98-a-0025,93.562750,93.646750,and,B,sd,u-30-4
sw2658A-ms98-a-0025,93.646750,93.746750,we,I,sd,u-30-4
sw2658A-ms98-a-0025,93.746750,93.966750,went,I,sd,u-30-4
sw2658A-ms98-a-0025,93.966750,94.206750,in,I,sd,u-30-4
sw2658A-ms98-a-0025,94.206750,94.276750,we,B,sd,u-30-5
sw2658A-ms98-a-0025,94.276750,94.756750,explained,I,sd,u-30-5
sw2658A-ms98-a-0025,94.756750,94.876750,what,I,sd,u-30-5
sw2658A-ms98-a-0025,94.876750,94.986750,we,I,sd,u-30-5
sw2658A-ms98-a-0025,94.986750,95.376750,needed,I,sd,u-30-5
sw2658A-ms98-a-0025,95.376750,95.610125,and,B,ny,u-30-6
sw2658A-ms98-a-0025,96.024375,96.266750,yes,I,ny,u-30-6
sw2658A-ms98-a-0025,96.266750,96.346750,we,B,sd,u-30-7
sw2658A-ms98-a-0025,96.346750,96.446750,had,I,sd,u-30-7
sw2658A-ms98-a-0025,96.446750,96.516750,to,I,sd,u-30-7
sw2658A-ms98-a-0025,96.516750,96.646750,go,I,sd,u-30-7
sw2658A-ms98-a-0025,96.646750,97.046750,across,I,sd,u-30-7
sw2658A-ms98-a-0025,97.046750,97.116750,the,I,sd,u-30-7
sw2658A-ms98-a-0025,97.116750,97.366750,George,I,sd,u-30-7
sw2658A-ms98-a-0025,97.366750,97.756750,Washington,I,sd,u-30-7
sw2658A-ms98-a-0025,97.756750,98.056750,Bridge,I,sd,u-30-7
sw2658A-ms98-a-0025,98.056750,98.226750,to,I,sd,u-30-7
sw2658A-ms98-a-0025,98.226750,98.346750,New,I,sd,u-30-7
sw2658A-ms98-a-0025,98.346750,98.926750,Jersey,I,sd,u-30-7
sw2658A-ms98-a-0025,98.926750,99.086750,[laughter],I,sd,u-30-7
sw2658A-ms98-a-0025,99.086750,99.246750,to,I,sd,u-30-7
sw2658A-ms98-a-0025,99.246750,99.546750,get,I,sd,u-30-7
sw2658A-ms98-a-0026,100.469875,100.589875,to,I,sd,u-30-7
sw2658A-ms98-a-0026,100.589875,100.769875,meet,I,sd,u-30-7
sw2658A-ms98-a-0026,100.769875,100.939875,these,I,sd,u-30-7
sw2658A-ms98-a-0026,100.939875,101.359875,people,I,sd,u-30-7
sw2658A-ms98-a-0027,102.088625,102.218625,and,B,sd,u-32-1
sw2658A-ms98-a-0027,102.218625,102.298625,so,I,sd,u-32-1
sw2658A-ms98-a-0027,102.298625,102.358625,we,I,sd,u-32-1
sw2658A-ms98-a-0027,102.358625,102.568625,went,I,sd,u-32-1
sw2658A-ms98-a-0027,102.568625,102.878625,there,I,sd,u-32-1
sw2658A-ms98-a-0027,102.878625,103.098625,we,B,sd,u-32-2
sw2658A-ms98-a-0027,103.438625,103.668625,told,I,sd,u-32-2
sw2658A-ms98-a-0027,103.668625,103.828625,them,I,sd,u-32-2
sw2658A-ms98-a-0027,103.828625,104.168625,about,I,sd,u-32-2
sw2658A-ms98-a-0027,104.168625,104.228625,the,I,sd,u-32-2
sw2658A-ms98-a-0027,104.228625,104.498625,stuff,I,sd,u-32-2
sw2658A-ms98-a-0027,104.498625,104.588625,and,B,sd,u-32-3
sw2658A-ms98-a-0027,104.588625,104.648625,the,I,sd,u-32-3
sw2658A-ms98-a-0027,104.648625,104.838625,guy,I,sd,u-32-3
sw2658A-ms98-a-0027,104.838625,105.218625,said,I,sd,u-32-3
sw2658A-ms98-a-0028,105.757500,106.167500,uh,I,sd,u-32-3
sw2658A-ms98-a-0028,106.167500,106.587500,that,I,sd,u-32-3
sw2658A-ms98-a-0028,106.847500,106.937500,the,I,sd,u-32-3
sw2658A-ms98-a-0028,106.937500,107.347500,computer,I,sd,u-32-3
sw2658A-ms98-a-0028,107.347500,107.507500,would,I,sd,u-32-3
sw2658A-ms98-a-0028,107.507500,107.707500,fit,I,sd,u-32-3
sw2658A-ms98-a-0028,107.707500,107.827500,our,I,sd,u-32-3
sw2658A-ms98-a-0028,107.827500,108.327500,needs,I,sd,u-32-3
sw2658A-ms98-a-0028,108.647500,108.817500,and,B,%,u-32-4
sw2658A-ms98-a-0028,108.817500,109.170625,we,I,%,u-32-4
sw2658A-ms98-a-0028,109.291125,109.877500,[laughter],O,,
sw2658A-ms98-a-0028,109.877500,110.057500,these,B,qy^d,u-32-5
sw2658A-ms98-a-0028,110.057500,110.257500,things,I,qy^d,u-32-5
sw2658A-ms98-a-0028,110.257500,110.387500,won't,I,qy^d,u-32-5
sw2658A-ms98-a-0028,110.387500,110.557500,make,I,qy^d,u-32-5
sw2658A-ms98-a-0028,110.557500,110.777500,any,I,qy^d,u-32-5
sw2658A-ms98-a-0028,110.977500,111.267500,sense,I,qy^d,u-32-5
sw2658A-ms98-a-0028,111.267500,111.367500,to,I,qy^d,u-32-5
sw2658A-ms98-a-0028,111.367500,111.467500,you,I,qy^d,u-32-5
sw2658A-ms98-a-0028,111.467500,111.867500,probably,I,qy^d,u-32-5
sw2658A-ms98-a-0028,111.867500,112.007500,but,B,sd,u-32-6
sw2658A-ms98-a-0028,112.007500,112.117500,he,I,sd,u-32-6
sw2658A-ms98-a-0028,112.117500,112.367500,told,I,sd,u-32-6
sw2658A-ms98-a-0028,112.367500,112.497500,us,I,sd,u-32-6
sw2658A-ms98-a-0028,112.497500,112.637500,there,I,sd,u-32-6
sw2658A-ms98-a-0028,112.637500,112.840375,were,I,sd,u-32-6
sw2658A-ms98-a-0028,113.443000,113.667500,we,B,+,u-34-1
sw2658A-ms98-a-0028,113.667500,113.857500,need,I,+,u-34-1
sw2658A-ms98-a-0028,113.857500,114.227500,user,I,+,u-34-1
sw2658A-ms98-a-0028,114.227500,114.787500,positions,I,+,u-34-1
sw2658A-ms98-a-0028,114.787500,114.917500,to,I,+,u-34-1
sw2658A-ms98-a-0028,114.917500,115.067500,put,I,+,u-34-1
sw2658A-ms98-a-0028,115.067500,115.247500,our,I,+,u-34-1
sw2658A-ms98-a-0028,115.247500,115.497500,own,I,+,u-34-1
sw2658A-ms98-a-0028,115.647500,116.067500,equipment,I,+,u-34-1
sw2658A-ms98-a-0028,116.067500,116.187500,in,I,+,u-34-1
sw2658A-ms98-a-0028,116.187500,116.257500,the,I,+,u-34-1
sw2658A-ms98-a-0028,116.257500,116.787500,computer,I,+,u-34-1
sw2658A-ms98-a-0029,117.440375,117.959375,and,B,sd,u-36-1
sw2658A-ms98-a-0029,118.091125,118.187500,it's,I,sd,u-36-1
sw2658A-ms98-a-0029,118.187500,118.590375,called,I,sd,u-36-1
sw2658A-ms98-a-0029,118.590375,118.886875,a,I,sd,u-36-1
sw2658A-ms98-a-0029,119.127875,119.480375,user,I,sd,u-36-1
sw2658A-ms98-a-0029,119.480375,119.830375,boards,I,sd,u-36-1
sw2658A-ms98-a-0029,119.830375,119.910375,or,B,sd,u-36-2
sw2658A-ms98-a-0029,119.910375,120.420375,slots,I,sd,u-36-2
sw2658A-ms98-a-0029,120.420375,120.560375,is,I,sd,u-36-2
sw2658A-ms98-a-0029,120.560375,120.660375,what,I,sd,u-36-2
sw2658A-ms98-a-0029,120.660375,120.760375,it's,I,sd,u-36-2
sw2658A-ms98-a-0029,120.760375,121.030375,called,I,sd,u-36-2
sw2658A-ms98-a-0030,121.709125,121.809125,and,B,sd,u-38-1
sw2658A-ms98-a-0030,121.809125,121.879125,he,I,sd,u-38-1
sw2658A-ms98-a-0030,121.879125,122.089125,told,I,sd,u-38-1
sw2658A-ms98-a-0030,122.089125,122.229125,us,I,sd,u-38-1
sw2658A-ms98-a-0030,122.229125,122.469125,there's,I,sd,u-38-1
sw2658A-ms98-a-0030,122.469125,122.818375,two,I,sd,u-38-1
sw2658A-ms98-a-0030,123.364500,123.849125,sixteen,I,sd,u-38-1
sw2658A-ms98-a-0030,123.849125,123.999125,bit,I,sd,u-38-1
sw2658A-ms98-a-0030,123.999125,124.419125,slots,I,sd,u-38-1
sw2658A-ms98-a-0030,124.419125,124.539125,and,I,sd,u-38-1
sw2658A-ms98-a-0030,124.539125,124.699125,two,I,sd,u-38-1
sw2658A-ms98-a-0030,124.699125,124.899125,eight,I,sd,u-38-1
sw2658A-ms98-a-0030,124.899125,125.269125,bit,I,sd,u-38-1
sw2658A-ms98-a-0030,125.269125,125.549125,sorry,I,sd,u-38-1
sw2658A-ms98-a-0030,125.549125,125.779125,two,I,sd,u-38-1
sw2658A-ms98-a-0030,125.779125,125.999125,six[teen]-,I,sd,u-38-1
sw2658A-ms98-a-0030,126.299125,126.369125,s[ixteen]-,I,sd,u-38-1
sw2658A-ms98-a-0030,126.369125,126.659125,four,I,sd,u-38-1
sw2658A-ms98-a-0030,126.659125,127.009125,sixteen,I,sd,u-38-1
sw2658A-ms98-a-0030,127.009125,127.129125,bit,I,sd,u-38-1
sw2658A-ms98-a-0030,127.129125,127.519125,slots,I,sd,u-38-1
sw2658A-ms98-a-0030,127.519125,127.659125,and,I,sd,u-38-1
sw2658A-ms98-a-0030,127.659125,127.819125,two,I,sd,u-38-1
sw2658A-ms98-a-0030,127.819125,128.009125,eight,I,sd,u-38-1
sw2658A-ms98-a-0030,128.009125,128.159125,bit,I,sd,u-38-1
sw2658A-ms98-a-0030,128.239125,128.539125,slots,I,sd,u-38-1
sw2658A-ms98-a-0030,128.539125,128.969125,available,I,sd,u-38-1
sw2658A-ms98-a-0030,128.969125,129.129125,for,I,sd,u-38-1
sw2658A-ms98-a-0030,129.129125,129.209125,the,I,sd,u-38-1
sw2658A-ms98-a-0030,129.209125,129.637750,user,I,sd,u-38-1
sw2658A-ms98-a-0030,129.995625,130.139125,and,B,sd,u-38-2
sw2658A-ms98-a-0030,130.139125,130.229125,we,I,sd,u-38-2
sw2658A-ms98-a-0030,130.229125,130.369125,can,I,sd,u-38-2
sw2658A-ms98-a-0030,130.369125,130.589125,put,I,sd,u-38-2
sw2658A-ms98-a-0030,130.589125,130.749125,full,I,sd,u-38-2
sw2658A-ms98-a-0030,130.749125,131.079125,size,I,sd,u-38-2
sw2658A-ms98-a-0030,131.079125,131.409125,cards,I,sd,u-38-2
sw2658A-ms98-a-0030,131.409125,131.529125,in,I,sd,u-38-2
sw2658A-ms98-a-0030,131.529125,131.767875,there,I,sd,u-38-2
sw2658A-ms98-a-0030,132.103000,132.259125,and,B,sd(^q),u-38-3
sw2658A-ms98-a-0030,132.259125,132.349125,so,I,sd(^q),u-38-3
sw2658A-ms98-a-0030,132.349125,132.439125,we,I,sd(^q),u-38-3
sw2658A-ms98-a-0030,132.439125,132.649125,said,I,sd(^q),u-38-3
sw2658A-ms98-a-0030,132.649125,133.029125,great,I,sd(^q),u-38-3
sw2658A-ms98-a-0030,133.029125,133.119125,you,I,sd(^q),u-38-3
sw2658A-ms98-a-0030,133.119125,133.259125,know,I,sd(^q),u-38-3
sw2658A-ms98-a-0030,133.259125,133.409125,we'll,B,^q,u-38-4
sw2658A-ms98-a-0030,133.409125,133.599125,buy,I,^q,u-38-4
sw2658A-ms98-a-0030,133.599125,133.779125,it,I,^q,u-38-4
sw2658A-ms98-a-0030,133.779125,133.869125,and,B,sd,u-38-5
sw2658A-ms98-a-0030,133.869125,133.959125,we,I,sd,u-38-5
sw2658A-ms98-a-0030,133.959125,134.119125,put,I,sd,u-38-5
sw2658A-ms98-a-0030,134.119125,134.279125,in,I,sd,u-38-5
sw2658A-ms98-a-0030,134.279125,134.369125,our,I,sd,u-38-5
sw2658A-ms98-a-0030,134.369125,134.779125,order,I,sd,u-38-5
sw2658A-ms98-a-0031,135.236000,135.356000,and,B,sd,u-38-6
sw2658A-ms98-a-0031,135.356000,135.406000,a,I,sd,u-38-6
sw2658A-ms98-a-0031,135.406000,135.606000,week,I,sd,u-38-6
sw2658A-ms98-a-0031,135.606000,135.846000,later,I,sd,u-38-6
sw2658A-ms98-a-0031,135.846000,135.956000,we,I,sd,u-38-6
sw2658A-ms98-a-0031,135.956000,136.146000,went,I,sd,u-38-6
sw2658A-ms98-a-0031,136.146000,136.466000,back,I,sd,u-38-6
sw2658A-ms98-a-0031,136.466000,136.856000,and,I,sd,u-38-6
sw2658A-ms98-a-0031,137.096000,137.356000,picked,I,sd,u-38-6
sw2658A-ms98-a-0031,137.356000,137.496000,up,I,sd,u-38-6
sw2658A-ms98-a-0031,137.496000,137.556000,the,I,sd,u-38-6
sw2658A-ms98-a-0031,137.556000,138.150875,computer,I,sd,u-38-6
sw2658A-ms98-a-0031,138.504875,138.806000,and,B,sd,u-38-7
sw2658A-ms98-a-0031,138.806000,139.046000,then,I,sd,u-38-7
sw2658A-ms98-a-0031,139.046000,139.126000,we,I,sd,u-38-7
sw2658A-ms98-a-0031,139.126000,139.306000,got,I,sd,u-38-7
sw2658A-ms98-a-0031,139.306000,139.376000,it,I,sd,u-38-7
sw2658A-ms98-a-0031,139.376000,139.696000,home,I,sd,u-38-7
sw2658A-ms98-a-0031,139.866000,140.006000,and,I,sd,u-38-7
sw2658A-ms98-a-0031,140.006000,140.286000,tried,I,sd,u-38-7
sw2658A-ms98-a-0031,140.286000,140.366000,to,I,sd,u-38-7
sw2658A-ms98-a-0031,140.366000,140.536000,put,I,sd,u-38-7
sw2658A-ms98-a-0031,140.536000,140.656000,our,I,sd,u-38-7
sw2658A-ms98-a-0031,140.656000,140.856000,own,I,sd,u-38-7
sw2658A-ms98-a-0031,140.856000,141.106000,board,I,sd,u-38-7
sw2658A-ms98-a-0031,141.106000,141.176000,in,I,sd,u-38-7
sw2658A-ms98-a-0031,141.176000,141.346000,it,I,sd,u-38-7
sw2658A-ms98-a-0031,141.346000,141.536000,and,B,sd,u-38-8
sw2658A-ms98-a-0031,141.886000,142.006000,there's,I,sd,u-38-8
sw2658A-ms98-a-0031,142.006000,142.216000,only,I,sd,u-38-8
sw2658A-ms98-a-0031,142.216000,142.566000,one,I,sd,u-38-8
sw2658A-ms98-a-0031,142.566000,142.966000,slot,I,sd,u-38-8
sw2658A-ms98-a-0031,142.966000,143.046000,we,I,sd,u-38-8
sw2658A-ms98-a-0031,143.046000,143.216000,could,I,sd,u-38-8
sw2658A-ms98-a-0031,143.216000,143.396000,put,I,sd,u-38-8
sw2658A-ms98-a-0031,143.396000,143.526000,it,I,sd,u-38-8
sw2658A-ms98-a-0031,143.526000,143.736000,in,I,sd,u-38-8
sw2658A-ms98-a-0032,144.500750,145.070750,and,B,sd,u-40-1
sw2658A-ms98-a-0032,145.540750,145.690750,at,I,sd,u-40-1
sw2658A-ms98-a-0032,145.690750,145.840750,this,I,sd,u-40-1
sw2658A-ms98-a-0032,145.840750,146.050750,point,I,sd,u-40-1
sw2658A-ms98-a-0032,146.050750,146.140750,we,I,sd,u-40-1
sw2658A-ms98-a-0032,146.140750,146.360750,only,I,sd,u-40-1
sw2658A-ms98-a-0032,146.360750,146.560750,have,I,sd,u-40-1
sw2658A-ms98-a-0032,146.560750,146.750750,one,I,sd,u-40-1
sw2658A-ms98-a-0032,146.750750,146.990750,board,I,sd,u-40-1
sw2658A-ms98-a-0032,146.990750,147.130750,so,B,sd,u-40-2
sw2658A-ms98-a-0032,147.130750,147.190750,it,I,sd,u-40-2
sw2658A-ms98-a-0032,147.190750,147.410750,wasn't,I,sd,u-40-2
sw2658A-ms98-a-0032,147.410750,147.520750,so,I,sd,u-40-2
