sw3591A-ms98-a-0001,0.904375,1.144250,well,B,%,u-1-1
sw3591A-ms98-a-0007,37.117375,37.267375,he,I,sd,u-7-4
sw3591A-ms98-a-0007,37.267375,37.557375,died,I,sd,u-7-4
sw3591A-ms98-a-0007,37.557375,37.697375,in,I,sd,u-7-4
sw3591A-ms98-a-0007,37.697375,37.747375,a,I,sd,u-7-4
sw3591A-ms98-a-0007,37.747375,38.416375,hospital,I,sd,u-7-4
sw3591A-ms98-a-0007,38.612250,38.927375,but,B,sd,u-7-5
sw3591A-ms98-a-0007,38.927375,39.249125,um,I,sd,u-7-5
sw3591A-ms98-a-0008,40.399750,40.701375,i,I,sd,u-7-5
sw3591A-ms98-a-0008,40.701375,41.101375,think,I,sd,u-7-5
sw3591A-ms98-a-0008,41.101375,41.371375,that,I,sd,u-7-5
sw3591A-ms98-a-0008,41.555875,41.861375,my,I,sd,u-7-5
sw3591A-ms98-a-0008,41.861375,42.381375,position,I,sd,u-7-5
sw3591A-ms98-a-0008,42.381375,42.521375,wa[s]-,I,sd,u-7-5
sw3591A-ms98-a-0008,42.521375,43.092000,is,I,sd,u-7-5
sw3591A-ms98-a-0008,43.092000,43.351375,that,I,sd,u-7-5
sw3591A-ms98-a-0008,43.351375,43.591375,uh,I,sd,u-7-5
sw3591A-ms98-a-0008,43.591375,43.891375,you,I,sd,u-7-5
sw3591A-ms98-a-0008,43.891375,44.011375,you,I,sd,u-7-5
sw3591A-ms98-a-0008,44.011375,44.251375,need,I,sd,u-7-5
sw3591A-ms98-a-0008,44.251375,44.361375,to,I,sd,u-7-5
sw3591A-ms98-a-0008,44.361375,44.761375,find,I,sd,u-7-5
sw3591A-ms98-a-0008,44.761375,44.911375,one,I,sd,u-7-5
sw3591A-ms98-a-0008,44.911375,45.071375,that,I,sd,u-7-5
sw3591A-ms98-a-0008,45.071375,45.171375,you,I,sd,u-7-5
sw3591A-ms98-a-0008,45.171375,45.411375,can,I,sd,u-7-5
sw3591A-ms98-a-0008,45.411375,46.205375,really,I,sd,u-7-5
sw3591A-ms98-a-0008,46.518000,46.761375,have,I,sd,u-7-5
sw3591A-ms98-a-0008,46.761375,47.391375,confidence,I,sd,u-7-5
sw3591A-ms98-a-0008,47.391375,47.701375,that,I,sd,u-7-5
sw3591A-ms98-a-0008,47.701375,48.071375,they,I,sd,u-7-5
sw3591A-ms98-a-0008,48.071375,48.321375,are,I,sd,u-7-5
sw3591A-ms98-a-0008,48.321375,48.851375,taking,I,sd,u-7-5
sw3591A-ms98-a-0008,48.851375,49.111375,care,I,sd,u-7-5
sw3591A-ms98-a-0008,49.111375,49.379125,of,I,sd,u-7-5
sw3591A-ms98-a-0008,49.379125,49.607000,the,I,sd,u-7-5
sw3591A-ms98-a-0009,50.582125,50.784125,of,I,sd,u-7-5
sw3591A-ms98-a-0009,50.784125,51.094125,their,I,sd,u-7-5
sw3591A-ms98-a-0009,51.094125,51.310500,uh,I,sd,u-7-5
sw3591A-ms98-a-0009,51.837750,51.974125,of,I,sd,u-7-5
sw3591A-ms98-a-0009,51.974125,52.114125,their,I,sd,u-7-5
sw3591A-ms98-a-0009,52.114125,52.851500,clients,I,sd,u-7-5
sw3591A-ms98-a-0010,54.005625,55.317250,and,B,sd,u-9-1
sw3591A-ms98-a-0010,55.317250,55.639000,um,I,sd,u-9-1
sw3591A-ms98-a-0012,57.695125,58.233000,because,I,sd,u-9-1
sw3591A-ms98-a-0012,58.233000,58.441375,i've,I,sd,u-9-1
sw3591A-ms98-a-0012,58.441375,58.651375,heard,I,sd,u-9-1
sw3591A-ms98-a-0012,58.651375,58.931375,about,I,sd,u-9-1
sw3591A-ms98-a-0012,58.931375,59.001375,the,I,sd,u-9-1
sw3591A-ms98-a-0012,59.001375,59.281375,many,I,sd,u-9-1
sw3591A-ms98-a-0012,59.281375,60.011375,abuses,I,sd,u-9-1
sw3591A-ms98-a-0012,60.011375,60.241375,and,I,sd,u-9-1
sw3591A-ms98-a-0012,60.241375,60.491375,because_1,I,sd,u-9-1
sw3591A-ms98-a-0012,60.491375,60.621375,he,I,sd,u-9-1
sw3591A-ms98-a-0012,60.621375,60.751375,had,I,sd,u-9-1
sw3591A-ms98-a-0012,60.751375,60.901375,heard,I,sd,u-9-1
sw3591A-ms98-a-0012,60.901375,61.021375,of,I,sd,u-9-1
sw3591A-ms98-a-0012,61.021375,61.111375,so,I,sd,u-9-1
sw3591A-ms98-a-0012,61.111375,61.391375,many,I,sd,u-9-1
sw3591A-ms98-a-0012,61.391375,61.911375,abuses,I,sd,u-9-1
sw3591A-ms98-a-0012,61.911375,62.081375,he,I,sd,u-9-1
sw3591A-ms98-a-0012,62.081375,62.351375,just,I,sd,u-9-1
sw3591A-ms98-a-0012,62.351375,62.651375,didn't,I,sd,u-9-1
sw3591A-ms98-a-0012,62.651375,62.901375,want,I,sd,u-9-1
sw3591A-ms98-a-0012,62.901375,63.328500,that,I,sd,u-9-1
sw3591A-ms98-a-0013,64.780625,64.966875,how,B,qo,u-11-1
sw3591A-ms98-a-0013,64.966875,65.266875,about_1,I,qo,u-11-1
sw3591A-ms98-a-0013,65.266875,65.647875,you,I,qo,u-11-1
sw3591A-ms98-a-0015,81.972750,82.047125,yeah,B,b,u-13-1
sw3591A-ms98-a-0015,82.047125,82.427125,almost,B,qy^g,u-13-2
sw3591A-ms98-a-0015,82.427125,82.814125,thirty,I,qy^g,u-13-2
sw3591A-ms98-a-0015,82.814125,82.967125,a[ll]-,I,qy^g,u-13-2
sw3591A-ms98-a-0015,82.967125,83.127125,all,I,qy^g,u-13-2
sw3591A-ms98-a-0015,83.127125,83.337125,over,I,qy^g,u-13-2
sw3591A-ms98-a-0015,83.337125,83.607125,thirty,I,qy^g,u-13-2
sw3591A-ms98-a-0015,83.607125,84.097125,percent,I,qy^g,u-13-2
sw3591A-ms98-a-0015,84.097125,84.288375,isn't,I,qy^g,u-13-2
sw3591A-ms98-a-0015,84.288375,84.475625,it,I,qy^g,u-13-2
sw3591A-ms98-a-0017,124.412000,124.884250,um-hum,B,b,u-15-1
sw3591A-ms98-a-0019,142.389250,142.597875,they're,B,sv,u-17-1
sw3591A-ms98-a-0019,142.597875,143.251250,captives,O,,
sw3591A-ms98-a-0021,147.720375,147.902875,uh,B,sd,u-19-1
sw3591A-ms98-a-0021,147.902875,148.122875,we,I,sd,u-19-1
sw3591A-ms98-a-0021,148.122875,148.352875,had,I,sd,u-19-1
sw3591A-ms98-a-0021,148.352875,148.617125,a,I,sd,u-19-1
sw3591A-ms98-a-0021,149.253625,149.462875,at,I,sd,u-19-1
sw3591A-ms98-a-0021,149.462875,149.662875,one,I,sd,u-19-1
sw3591A-ms98-a-0021,149.662875,149.992875,stage,I,sd,u-19-1
sw3591A-ms98-a-0021,149.992875,150.122875,we,I,sd,u-19-1
sw3591A-ms98-a-0021,150.122875,150.292875,had,I,sd,u-19-1
sw3591A-ms98-a-0021,150.292875,150.592875,care,I,sd,u-19-1
sw3591A-ms98-a-0021,150.592875,151.002875,somewhat,I,sd,u-19-1
sw3591A-ms98-a-0021,151.002875,151.194000,like,I,sd,u-19-1
sw3591A-ms98-a-0021,151.529250,151.792875,like,I,sd,u-19-1
sw3591A-ms98-a-0021,151.792875,151.952875,what,I,sd,u-19-1
sw3591A-ms98-a-0021,151.952875,152.042875,you're,I,sd,u-19-1
sw3591A-ms98-a-0021,152.042875,152.582875,talking,I,sd,u-19-1
sw3591A-ms98-a-0021,152.582875,152.962875,about,I,sd,u-19-1
sw3591A-ms98-a-0021,152.962875,153.082875,we,B,sd,u-19-2
sw3591A-ms98-a-0021,153.082875,153.292875,had,I,sd,u-19-2
sw3591A-ms98-a-0021,153.292875,153.362875,the,I,sd,u-19-2
sw3591A-ms98-a-0021,153.362875,153.922875,Visiting,I,sd,u-19-2
sw3591A-ms98-a-0021,153.922875,154.412875,Nurses,I,sd,u-19-2
sw3591A-ms98-a-0021,154.412875,155.018625,Program,I,sd,u-19-2
sw3591A-ms98-a-0022,155.993875,156.620000,and,B,sd,u-21-1
sw3591A-ms98-a-0022,156.620000,156.920000,they,I,sd,u-21-1
sw3591A-ms98-a-0022,156.920000,157.230000,sent,I,sd,u-21-1
sw3591A-ms98-a-0022,157.230000,157.800000,somebody,I,sd,u-21-1
sw3591A-ms98-a-0022,157.800000,157.920000,in,I,sd,u-21-1
sw3591A-ms98-a-0022,157.920000,158.148250,and,B,sd,u-21-2
sw3591A-ms98-a-0022,158.148250,158.323250,it,I,sd,u-21-2
sw3591A-ms98-a-0022,158.609500,158.737625,it,I,sd,u-21-2
sw3591A-ms98-a-0022,158.737625,158.870000,was,I,sd,u-21-2
sw3591A-ms98-a-0022,158.870000,159.181250,a,I,sd,u-21-2
sw3591A-ms98-a-0022,159.432625,159.557000,a,I,sd,u-21-2
sw3591A-ms98-a-0022,159.557000,160.080000,nominal,I,sd,u-21-2
sw3591A-ms98-a-0022,160.080000,160.590000,charge,I,sd,u-21-2
sw3591A-ms98-a-0022,160.590000,160.766250,that,I,sd,u-21-2
sw3591A-ms98-a-0022,161.056250,161.409125,this,I,sd,u-21-2
sw3591A-ms98-a-0022,161.409125,161.819750,uh,I,sd,u-21-2
sw3591A-ms98-a-0023,162.516125,162.629875,it,I,sd,u-21-2
sw3591A-ms98-a-0023,162.629875,163.009875,started,I,sd,u-21-2
sw3591A-ms98-a-0023,163.009875,163.259875,out,I,sd,u-21-2
sw3591A-ms98-a-0023,163.259875,163.339875,the,I,sd,u-21-2
sw3591A-ms98-a-0023,163.339875,163.609875,lady,I,sd,u-21-2
sw3591A-ms98-a-0023,163.609875,163.759875,would,I,sd,u-21-2
sw3591A-ms98-a-0023,163.759875,164.009875,come,I,sd,u-21-2
sw3591A-ms98-a-0023,164.009875,164.594750,in,I,sd,u-21-2
sw3591A-ms98-a-0023,164.975250,165.119875,i,I,sd,u-21-2
sw3591A-ms98-a-0023,165.119875,165.419875,think,I,sd,u-21-2
sw3591A-ms98-a-0023,165.419875,165.649875,three,I,sd,u-21-2
sw3591A-ms98-a-0023,165.649875,166.089875,times,I,sd,u-21-2
sw3591A-ms98-a-0023,166.089875,166.169875,a,I,sd,u-21-2
sw3591A-ms98-a-0023,166.169875,166.479875,week,I,sd,u-21-2
sw3591A-ms98-a-0023,166.479875,166.569875,and,I,sd,u-21-2
sw3591A-ms98-a-0023,166.569875,166.979875,eventually,I,sd,u-21-2
sw3591A-ms98-a-0023,166.979875,167.199875,got,I,sd,u-21-2
sw3591A-ms98-a-0023,167.199875,167.319875,up,I,sd,u-21-2
sw3591A-ms98-a-0023,167.319875,167.379875,to,I,sd,u-21-2
sw3591A-ms98-a-0023,167.379875,167.449875,the,I,sd,u-21-2
sw3591A-ms98-a-0023,167.449875,167.839875,point,I,sd,u-21-2
sw3591A-ms98-a-0023,167.839875,167.929875,where,I,sd,u-21-2
sw3591A-ms98-a-0023,167.929875,168.039875,they,I,sd,u-21-2
sw3591A-ms98-a-0023,168.039875,168.119875,were,I,sd,u-21-2
sw3591A-ms98-a-0023,168.119875,168.409875,coming,I,sd,u-21-2
sw3591A-ms98-a-0023,168.409875,168.619875,by,I,sd,u-21-2
sw3591A-ms98-a-0023,168.619875,168.939875,every,I,sd,u-21-2
sw3591A-ms98-a-0023,168.939875,169.454000,day,I,sd,u-21-2
sw3591A-ms98-a-0024,170.342250,170.467875,they,B,sd,u-23-1
sw3591A-ms98-a-0024,170.467875,170.657875,would,I,sd,u-23-1
sw3591A-ms98-a-0024,170.657875,170.907875,try,I,sd,u-23-1
sw3591A-ms98-a-0024,170.907875,171.097875,to,I,sd,u-23-1
sw3591A-ms98-a-0024,171.097875,171.277875,get,I,sd,u-23-1
sw3591A-ms98-a-0024,171.277875,171.544875,him,I,sd,u-23-1
sw3591A-ms98-a-0024,171.544875,171.727875,to,I,sd,u-23-1
sw3591A-ms98-a-0024,171.727875,172.577875,exercise,I,sd,u-23-1
sw3591A-ms98-a-0024,172.577875,172.687875,they,B,sd,u-23-2
sw3591A-ms98-a-0024,172.687875,172.867875,would,I,sd,u-23-2
sw3591A-ms98-a-0024,172.867875,173.277875,try,I,sd,u-23-2
sw3591A-ms98-a-0024,173.277875,173.497875,to,I,sd,u-23-2
sw3591A-ms98-a-0024,173.497875,174.188875,uh,I,sd,u-23-2
sw3591A-ms98-a-0024,174.731250,174.817875,you,I,sd,u-23-2
sw3591A-ms98-a-0024,174.817875,174.887875,know,I,sd,u-23-2
sw3591A-ms98-a-0024,174.887875,174.987875,they,B,sd,u-23-3
sw3591A-ms98-a-0024,174.987875,175.167875,would,I,sd,u-23-3
sw3591A-ms98-a-0024,175.167875,175.437875,check,I,sd,u-23-3
sw3591A-ms98-a-0024,175.437875,175.597875,him,I,sd,u-23-3
sw3591A-ms98-a-0024,175.597875,175.887875,over,I,sd,u-23-3
sw3591A-ms98-a-0024,175.887875,176.822500,temperature,I,sd,u-23-3
sw3591A-ms98-a-0025,177.582500,177.706875,you,I,sd,u-23-3
sw3591A-ms98-a-0025,177.706875,177.776875,know,I,sd,u-23-3
sw3591A-ms98-a-0025,177.776875,177.846875,the,I,sd,u-23-3
sw3591A-ms98-a-0025,177.846875,178.336875,basic,I,sd,u-23-3
sw3591A-ms98-a-0025,178.336875,178.946250,checks,I,sd,u-23-3
sw3591A-ms98-a-0026,179.570375,179.795750,try,B,sd,u-23-4
sw3591A-ms98-a-0026,179.795750,179.915750,to,I,sd,u-23-4
sw3591A-ms98-a-0026,179.915750,180.085750,get,I,sd,u-23-4
sw3591A-ms98-a-0026,180.085750,180.372750,him,I,sd,u-23-4
sw3591A-ms98-a-0026,180.372750,180.535750,to,I,sd,u-23-4
sw3591A-ms98-a-0026,180.535750,180.935750,talk,I,sd,u-23-4
sw3591A-ms98-a-0026,180.935750,181.055750,and,I,sd,u-23-4
sw3591A-ms98-a-0026,181.055750,181.175750,be,I,sd,u-23-4
sw3591A-ms98-a-0026,181.175750,182.125375,motivated,I,sd,u-23-4
sw3591A-ms98-a-0026,182.516125,183.045750,and,B,sd,u-25-1
sw3591A-ms98-a-0026,183.045750,183.215750,uh,I,sd,u-25-1
sw3591A-ms98-a-0026,183.215750,183.455750,that's,I,sd,u-25-1
sw3591A-ms98-a-0026,183.455750,183.575750,what,I,sd,u-25-1
sw3591A-ms98-a-0026,183.575750,183.715750,we,I,sd,u-25-1
sw3591A-ms98-a-0026,183.715750,184.025750,went,I,sd,u-25-1
sw3591A-ms98-a-0026,184.025750,184.496375,through,I,sd,u-25-1
sw3591A-ms98-a-0027,185.181125,186.233750,uh,B,sd,u-25-2
sw3591A-ms98-a-0027,186.711500,186.945875,up,I,sd,u-25-2
sw3591A-ms98-a-0027,186.945875,187.115875,to,I,sd,u-25-2
sw3591A-ms98-a-0027,187.115875,187.220625,a,I,sd,u-25-2
sw3591A-ms98-a-0027,187.220625,187.836625,points,I,sd,u-25-2
sw3591A-ms98-a-0027,187.998500,188.315875,things,I,sd,u-25-2
sw3591A-ms98-a-0027,188.315875,188.555875,seemed,I,sd,u-25-2
sw3591A-ms98-a-0027,188.555875,188.625875,to,I,sd,u-25-2
sw3591A-ms98-a-0027,188.625875,188.835875,be,I,sd,u-25-2
sw3591A-ms98-a-0027,188.835875,189.355875,working,I,sd,u-25-2
sw3591A-ms98-a-0027,189.355875,189.545875,and,B,sd,u-25-3
sw3591A-ms98-a-0027,189.545875,189.825875,then,I,sd,u-25-3
sw3591A-ms98-a-0027,189.825875,190.046500,i,I,sd,u-25-3
sw3591A-ms98-a-0027,190.046500,190.276250,i,I,sd,u-25-3
sw3591A-ms98-a-0027,190.276250,190.521000,think,I,sd,u-25-3
sw3591A-ms98-a-0027,190.521000,190.737875,he,I,sd,u-25-3
sw3591A-ms98-a-0027,191.186125,191.405875,he,I,sd,u-25-3
sw3591A-ms98-a-0027,191.405875,191.815875,became,I,sd,u-25-3
sw3591A-ms98-a-0027,191.815875,192.783125,discouraged,I,sd,u-25-3
sw3591A-ms98-a-0028,193.715125,194.286625,and,B,sd,u-27-1
sw3591A-ms98-a-0028,194.286625,194.486625,they,I,sd,u-27-1
sw3591A-ms98-a-0028,194.486625,194.656625,did,I,sd,u-27-1
sw3591A-ms98-a-0028,194.656625,194.916625,not,I,sd,u-27-1
sw3591A-ms98-a-0028,194.916625,195.076625,know,I,sd,u-27-1
sw3591A-ms98-a-0028,195.076625,195.196625,how,I,sd,u-27-1
sw3591A-ms98-a-0028,195.196625,195.286625,to,I,sd,u-27-1
sw3591A-ms98-a-0028,195.286625,195.546625,take,I,sd,u-27-1
sw3591A-ms98-a-0028,195.546625,195.906625,care,I,sd,u-27-1
sw3591A-ms98-a-0028,195.906625,196.036625,of,I,sd,u-27-1
sw3591A-ms98-a-0028,196.036625,196.491125,that,I,sd,u-27-1
sw3591A-ms98-a-0028,196.491125,197.146625,and,B,sv,u-27-2
sw3591A-ms98-a-0028,197.146625,197.296625,then,I,sv,u-27-2
sw3591A-ms98-a-0028,197.296625,197.745000,um,I,sv,u-27-2
sw3591A-ms98-a-0028,197.745000,197.886625,at,I,sv,u-27-2
sw3591A-ms98-a-0028,197.886625,198.046625,that,I,sv,u-27-2
sw3591A-ms98-a-0028,198.046625,198.256625,point,I,sv,u-27-2
sw3591A-ms98-a-0028,198.256625,198.316625,i,I,sv,u-27-2
sw3591A-ms98-a-0028,198.316625,198.526625,think,I,sv,u-27-2
sw3591A-ms98-a-0028,198.526625,198.753625,it,I,sv,u-27-2
sw3591A-ms98-a-0028,198.753625,199.196625,mostly,I,sv,u-27-2
sw3591A-ms98-a-0028,199.196625,199.246625,a,I,sv,u-27-2
sw3591A-ms98-a-0028,199.246625,200.046625,psychological,I,sv,u-27-2
sw3591A-ms98-a-0028,200.046625,200.604250,problem,I,sv,u-27-2
sw3591A-ms98-a-0029,201.579500,201.998500,and,B,aa,u-29-1
sw3591A-ms98-a-0029,201.998500,202.528500,uh,I,aa,u-29-1
sw3591A-ms98-a-0029,202.528500,203.018500,but,I,aa,u-29-1
sw3591A-ms98-a-0029,203.018500,203.358500,yes,I,aa,u-29-1
sw3591A-ms98-a-0029,203.358500,203.468500,i,B,sd,u-29-2
sw3591A-ms98-a-0029,203.468500,203.748500,agree,I,sd,u-29-2
sw3591A-ms98-a-0029,203.748500,204.038500,there's,I,sd,u-29-2
sw3591A-ms98-a-0029,204.038500,204.148500,a,I,sd,u-29-2
sw3591A-ms98-a-0029,204.148500,204.338500,lot,I,sd,u-29-2
sw3591A-ms98-a-0029,204.338500,204.428500,of,I,sd,u-29-2
sw3591A-ms98-a-0029,204.428500,204.918500,options,I,sd,u-29-2
sw3591A-ms98-a-0029,204.918500,205.048500,there,B,sv,u-29-3
sw3591A-ms98-a-0029,205.048500,205.298500,could,I,sv,u-29-3
sw3591A-ms98-a-0029,205.298500,205.408500,be,I,sv,u-29-3
sw3591A-ms98-a-0029,205.408500,205.458500,a,I,sv,u-29-3
sw3591A-ms98-a-0029,205.458500,205.648500,lot,I,sv,u-29-3
sw3591A-ms98-a-0029,205.648500,205.738500,of,I,sv,u-29-3
sw3591A-ms98-a-0029,205.738500,206.414875,options,I,sv,u-29-3
sw3591A-ms98-a-0030,207.301625,207.414000,i,B,sv,u-31-1
sw3591A-ms98-a-0030,207.414000,207.644000,think,I,sv,u-31-1
sw3591A-ms98-a-0030,207.644000,207.814000,it's,I,sv,u-31-1
sw3591A-ms98-a-0030,207.814000,208.244000,time,I,sv,u-31-1
sw3591A-ms98-a-0030,208.244000,208.524000,that,I,sv,u-31-1
sw3591A-ms98-a-0030,208.524000,208.804000,uh,I,sv,u-31-1
sw3591A-ms98-a-0030,208.804000,209.114000,we,I,sv,u-31-1
sw3591A-ms98-a-0030,209.114000,209.604000,decide,I,sv,u-31-1
sw3591A-ms98-a-0030,209.604000,209.704000,to,I,sv,u-31-1
sw3591A-ms98-a-0030,209.704000,209.894000,do,I,sv,u-31-1
sw3591A-ms98-a-0030,209.894000,210.284000,something,I,sv,u-31-1
sw3591A-ms98-a-0030,210.284000,210.714000,about,I,sv,u-31-1
sw3591A-ms98-a-0030,210.714000,210.973000,it,I,sv,u-31-1
sw3591A-ms98-a-0031,212.205875,212.779750,um,B,%,u-33-1
sw3591A-ms98-a-0033,247.900625,248.144375,i,B,sd,u-35-1
sw3591A-ms98-a-0033,248.144375,248.615500,suppose,I,sd,u-35-1
sw3591A-ms98-a-0033,248.615500,248.725500,at,I,sd,u-35-1
sw3591A-ms98-a-0033,248.725500,248.965500,one,I,sd,u-35-1
sw3591A-ms98-a-0033,248.965500,249.365500,time,I,sd,u-35-1
sw3591A-ms98-a-0033,249.365500,249.522375,the,I,sd,u-35-1
sw3591A-ms98-a-0033,249.522375,250.315500,church,I,sd,u-35-1
sw3591A-ms98-a-0033,250.315500,250.525500,would,I,sd,u-35-1
sw3591A-ms98-a-0033,250.525500,251.125500,fulfill,I,sd,u-35-1
sw3591A-ms98-a-0033,251.125500,251.415500,this,I,sd,u-35-1
