sw3253B-ms98-a-0001,0.755125,1.224625,hi,B,fp^m,u-2-1
sw3253B-ms98-a-0023,82.643125,83.825375,especially,I,sd,u-28-2
sw3253B-ms98-a-0023,83.825375,84.222250,uh,I,sd,u-28-2
sw3253B-ms98-a-0023,84.222250,84.423375,grew,I,sd,u-28-2
sw3253B-ms98-a-0023,84.423375,84.619250,up,I,sd,u-28-2
sw3253B-ms98-a-0023,84.619250,85.053125,camping,I,sd,u-28-2
sw3253B-ms98-a-0023,85.053125,85.511000,together,I,sd,u-28-2
sw3253B-ms98-a-0023,86.241625,86.643125,and,B,sd,u-28-3
sw3253B-ms98-a-0023,86.643125,86.933125,uh,I,sd,u-28-3
sw3253B-ms98-a-0023,87.183125,87.503125,they,I,sd,u-28-3
sw3253B-ms98-a-0023,87.843125,88.043125,they,I,sd,u-28-3
sw3253B-ms98-a-0023,88.043125,88.293125,just,I,sd,u-28-3
sw3253B-ms98-a-0023,88.293125,88.523125,love,I,sd,u-28-3
sw3253B-ms98-a-0023,88.523125,88.643125,it,I,sd,u-28-3
sw3253B-ms98-a-0024,89.510375,89.959000,and,B,sd,u-28-4
sw3253B-ms98-a-0024,90.298000,90.500375,they're,I,sd,u-28-4
sw3253B-ms98-a-0024,90.500375,90.970375,planning,I,sd,u-28-4
sw3253B-ms98-a-0024,90.970375,91.200375,a,I,sd,u-28-4
sw3253B-ms98-a-0024,91.370375,91.740375,trip,I,sd,u-28-4
sw3253B-ms98-a-0024,92.000375,92.415500,uh,I,sd,u-28-4
sw3253B-ms98-a-0024,92.690500,92.980375,into,I,sd,u-28-4
sw3253B-ms98-a-0024,92.980375,93.570375,Canada,I,sd,u-28-4
sw3253B-ms98-a-0025,94.496625,95.070000,this,I,sd,u-28-4
sw3253B-ms98-a-0025,95.363875,95.466625,i,I,sd,u-28-4
sw3253B-ms98-a-0025,95.466625,95.706625,guess,I,sd,u-28-4
sw3253B-ms98-a-0025,95.706625,95.796625,in,I,sd,u-28-4
sw3253B-ms98-a-0025,95.796625,96.034500,about,I,sd,u-28-4
sw3253B-ms98-a-0025,96.034500,96.162625,a,I,sd,u-28-4
sw3253B-ms98-a-0025,96.162625,96.514000,year,I,sd,u-28-4
sw3253B-ms98-a-0025,97.421750,97.666625,and,B,sd,u-28-5
sw3253B-ms98-a-0025,97.666625,97.766625,they're,I,sd,u-28-5
sw3253B-ms98-a-0025,97.766625,97.936625,going,I,sd,u-28-5
sw3253B-ms98-a-0025,97.936625,97.996625,to,I,sd,u-28-5
sw3253B-ms98-a-0025,97.996625,98.186625,spend,I,sd,u-28-5
sw3253B-ms98-a-0025,98.186625,98.386625,about,I,sd,u-28-5
sw3253B-ms98-a-0025,98.386625,98.446625,a,I,sd,u-28-5
sw3253B-ms98-a-0025,98.446625,98.656625,week,I,sd,u-28-5
sw3253B-ms98-a-0025,98.656625,98.756625,and,I,sd,u-28-5
sw3253B-ms98-a-0025,98.756625,98.786625,a,I,sd,u-28-5
sw3253B-ms98-a-0025,98.786625,99.106625,half,I,sd,u-28-5
sw3253B-ms98-a-0025,99.106625,99.636625,camping,I,sd,u-28-5
sw3253B-ms98-a-0025,99.636625,99.726625,up,I,sd,u-28-5
sw3253B-ms98-a-0025,99.806625,100.216625,there,I,sd,u-28-5
sw3253B-ms98-a-0026,101.511375,102.011375,no,B,nn,u-30-1
sw3253B-ms98-a-0026,102.011375,102.221375,this,B,sd^e,u-30-2
sw3253B-ms98-a-0026,102.221375,102.361375,is,I,sd^e,u-30-2
sw3253B-ms98-a-0026,102.441375,102.651375,this,I,sd^e,u-30-2
sw3253B-ms98-a-0026,102.651375,102.771375,is,I,sd^e,u-30-2
sw3253B-ms98-a-0026,102.771375,102.962875,a,I,sd^e,u-30-2
sw3253B-ms98-a-0026,103.091000,103.171375,a,I,sd^e,u-30-2
sw3253B-ms98-a-0026,103.171375,103.651375,man's,I,sd^e,u-30-2
sw3253B-ms98-a-0026,103.651375,104.040375,trip,I,sd^e,u-30-2
sw3253B-ms98-a-0026,104.040375,104.622875,[laughter-so],O,,
sw3253B-ms98-a-0027,106.189625,106.509625,so,B,sd,u-32-1
sw3253B-ms98-a-0027,106.509625,106.719625,they're,I,sd,u-32-1
sw3253B-ms98-a-0027,106.719625,106.979625,really,I,sd,u-32-1
sw3253B-ms98-a-0027,106.979625,107.269625,looking,I,sd,u-32-1
sw3253B-ms98-a-0027,107.269625,107.689625,forward,I,sd,u-32-1
sw3253B-ms98-a-0027,107.689625,107.829625,to,I,sd,u-32-1
sw3253B-ms98-a-0027,107.829625,108.209625,that,I,sd,u-32-1
sw3253B-ms98-a-0029,110.422500,110.972500,so,B,%,u-34-1
sw3253B-ms98-a-0031,115.748625,115.858625,and,B,sd,u-36-1
sw3253B-ms98-a-0031,115.858625,115.978625,see,I,sd,u-36-1
sw3253B-ms98-a-0031,115.978625,116.124500,i,I,sd,u-36-1
sw3253B-ms98-a-0031,116.124500,116.246625,was,I,sd,u-36-1
sw3253B-ms98-a-0031,116.408625,116.528625,i,I,sd,u-36-1
sw3253B-ms98-a-0031,116.528625,116.708625,was,I,sd,u-36-1
sw3253B-ms98-a-0031,116.708625,117.028625,never,I,sd,u-36-1
sw3253B-ms98-a-0031,117.028625,117.688625,exposed,I,sd,u-36-1
sw3253B-ms98-a-0031,117.688625,117.808625,to,I,sd,u-36-1
sw3253B-ms98-a-0031,117.808625,118.048625,it,I,sd,u-36-1
sw3253B-ms98-a-0032,118.996625,119.380125,so,B,%,u-38-1
sw3253B-ms98-a-0032,119.957375,120.449375,it's,O,,
sw3253B-ms98-a-0032,120.701750,120.896250,i-,O,,
sw3253B-ms98-a-0032,120.896250,121.122125,i,B,sd,u-40-1
sw3253B-ms98-a-0032,121.122125,121.297000,feel,I,sd,u-40-1
sw3253B-ms98-a-0032,121.297000,121.564125,like,I,sd,u-40-1
sw3253B-ms98-a-0032,121.564125,121.665875,i'm,I,sd,u-40-1
sw3253B-ms98-a-0032,121.665875,121.837000,a,I,sd,u-40-1
sw3253B-ms98-a-0032,122.207000,122.487000,little,I,sd,u-40-1
sw3253B-ms98-a-0032,122.487000,122.697000,bit,I,sd,u-40-1
sw3253B-ms98-a-0032,122.697000,123.079875,too,I,sd,u-40-1
sw3253B-ms98-a-0032,123.818125,124.304625,uh,I,sd,u-40-1
sw3253B-ms98-a-0032,124.598375,124.807000,much,I,sd,u-40-1
sw3253B-ms98-a-0032,124.807000,124.917000,of,I,sd,u-40-1
sw3253B-ms98-a-0032,124.917000,125.068250,a,I,sd,u-40-1
sw3253B-ms98-a-0032,125.290500,125.772250,city,I,sd,u-40-1
sw3253B-ms98-a-0032,126.484125,126.747000,city,I,sd,u-40-1
sw3253B-ms98-a-0032,126.747000,127.077000,mouse,I,sd,u-40-1
sw3253B-ms98-a-0032,127.077000,127.227000,to,I,sd,u-40-1
sw3253B-ms98-a-0032,127.227000,127.498500,try,I,sd,u-40-1
sw3253B-ms98-a-0032,127.498500,127.837500,doing,I,sd,u-40-1
sw3253B-ms98-a-0032,127.837500,128.374000,[laughter-it],O,,
sw3253B-ms98-a-0034,141.291250,141.611250,what's,B,qw,u-42-1
sw3253B-ms98-a-0034,141.611250,141.711250,the,I,qw,u-42-1
sw3253B-ms98-a-0034,141.711250,142.051250,best,I,qw,u-42-1
sw3253B-ms98-a-0034,142.051250,142.311250,part,I,qw,u-42-1
sw3253B-ms98-a-0034,142.311250,142.661250,about,I,qw,u-42-1
sw3253B-ms98-a-0034,142.661250,142.761250,it,I,qw,u-42-1
sw3253B-ms98-a-0034,142.841250,142.981250,to,I,qw,u-42-1
sw3253B-ms98-a-0034,143.171250,143.311250,to,I,qw,u-42-1
sw3253B-ms98-a-0034,143.311250,143.671250,you,I,qw,u-42-1
sw3253B-ms98-a-0034,144.151250,144.381250,the,I,qw,u-42-1
sw3253B-ms98-a-0034,144.381250,144.491250,the,I,qw,u-42-1
sw3253B-ms98-a-0034,144.491250,145.011250,quiet,I,qw,u-42-1
sw3253B-ms98-a-0034,145.011250,145.081250,the,I,qw,u-42-1
sw3253B-ms98-a-0034,145.081250,145.401250,getting,I,qw,u-42-1
sw3253B-ms98-a-0034,145.401250,145.781250,away,I,qw,u-42-1
sw3253B-ms98-a-0036,151.531000,152.262875,[laughter],O,,
sw3253B-ms98-a-0038,155.060250,155.710250,man,O,,
sw3253B-ms98-a-0042,163.115000,163.259000,now,B,qy,u-50-1
sw3253B-ms98-a-0042,163.259000,163.367500,do,I,qy,u-50-1
sw3253B-ms98-a-0042,163.367500,163.555875,you,I,qy,u-50-1
sw3253B-ms98-a-0042,163.555875,164.053000,usually,I,qy,u-50-1
sw3253B-ms98-a-0042,164.053000,164.262625,like,I,qy,u-50-1
sw3253B-ms98-a-0042,164.790000,164.895000,do,I,qy,u-50-1
sw3253B-ms98-a-0042,164.895000,165.015000,you,I,qy,u-50-1
sw3253B-ms98-a-0042,165.015000,165.325000,usually,I,qy,u-50-1
sw3253B-ms98-a-0042,165.325000,165.585000,go,I,qy,u-50-1
sw3253B-ms98-a-0042,165.585000,165.765000,and,I,qy,u-50-1
sw3253B-ms98-a-0042,165.765000,165.945000,there's,I,qy,u-50-1
sw3253B-ms98-a-0042,165.945000,166.185000,lots,I,qy,u-50-1
sw3253B-ms98-a-0042,166.185000,166.255000,of,I,qy,u-50-1
sw3253B-ms98-a-0042,166.255000,166.445000,other,I,qy,u-50-1
sw3253B-ms98-a-0042,166.445000,167.085000,people,I,qy,u-50-1
sw3253B-ms98-a-0042,167.085000,167.595000,around,I,qy,u-50-1
sw3253B-ms98-a-0042,167.595000,167.765000,or,B,qrr,u-50-2
sw3253B-ms98-a-0042,167.765000,167.845000,is,I,qrr,u-50-2
sw3253B-ms98-a-0042,167.845000,167.995000,it,I,qrr,u-50-2
sw3253B-ms98-a-0042,167.995000,168.185000,pretty,I,qrr,u-50-2
sw3253B-ms98-a-0042,168.185000,168.384375,m[uch]-,I,qrr,u-50-2
sw3253B-ms98-a-0042,168.523750,168.755000,much,I,qrr,u-50-2
sw3253B-ms98-a-0042,168.755000,169.465000,isolated,I,qrr,u-50-2
sw3253B-ms98-a-0044,180.906125,181.326125,yeah,B,b,u-52-1
sw3253B-ms98-a-0046,189.040125,189.474500,yes,B,b,u-54-1
sw3253B-ms98-a-0048,198.095875,198.305875,oh,B,fe,u-56-1
sw3253B-ms98-a-0048,198.305875,198.521750,good,I,fe,u-56-1
sw3253B-ms98-a-0048,198.621250,199.127500,grief,I,fe,u-56-1
sw3253B-ms98-a-0050,201.035000,201.378000,that,B,ba,u-58-1
sw3253B-ms98-a-0050,201.491250,201.705000,that,I,ba,u-58-1
sw3253B-ms98-a-0050,201.705000,201.935000,does,I,ba,u-58-1
sw3253B-ms98-a-0050,201.935000,202.215000,sound,I,ba,u-58-1
sw3253B-ms98-a-0050,202.215000,202.495000,neat,I,ba,u-58-1
sw3253B-ms98-a-0050,202.495000,202.625000,but,B,sv,u-58-2
sw3253B-ms98-a-0050,202.625000,202.745000,i,I,sv,u-58-2
sw3253B-ms98-a-0050,202.745000,202.985000,don't,I,sv,u-58-2
sw3253B-ms98-a-0050,202.985000,203.175000,think,I,sv,u-58-2
sw3253B-ms98-a-0050,203.175000,203.325000,i,I,sv,u-58-2
sw3253B-ms98-a-0050,203.325000,203.665000,i've,I,sv,u-58-2
sw3253B-ms98-a-0050,203.665000,203.855000,got,I,sv,u-58-2
sw3253B-ms98-a-0050,203.855000,203.905500,a,I,sv,u-58-2
sw3253B-ms98-a-0050,204.063625,204.215000,quite,I,sv,u-58-2
sw3253B-ms98-a-0050,204.215000,204.465000,enough,I,sv,u-58-2
sw3253B-ms98-a-0050,204.465000,204.835000,nerve,I,sv,u-58-2
sw3253B-ms98-a-0050,204.835000,204.945000,to,I,sv,u-58-2
sw3253B-ms98-a-0050,204.945000,205.155000,do,I,sv,u-58-2
sw3253B-ms98-a-0050,205.155000,205.475000,that,I,sv,u-58-2
sw3253B-ms98-a-0051,206.461000,206.587625,i,B,sd,u-60-1
sw3253B-ms98-a-0051,206.587625,206.927000,know,I,sd,u-60-1
sw3253B-ms98-a-0051,207.071000,207.231000,my,I,sd,u-60-1
sw3253B-ms98-a-0051,207.231000,207.761000,husband's,I,sd,u-60-1
sw3253B-ms98-a-0051,207.761000,208.221000,gone,I,sd,u-60-1
sw3253B-ms98-a-0051,208.701000,209.011000,uh,I,sd,u-60-1
sw3253B-ms98-a-0051,209.471000,209.561000,for,I,sd,u-60-1
sw3253B-ms98-a-0051,209.561000,209.921000,several,I,sd,u-60-1
sw3253B-ms98-a-0051,209.921000,210.211000,days,I,sd,u-60-1
sw3253B-ms98-a-0051,210.211000,210.321000,on,I,sd,u-60-1
sw3253B-ms98-a-0051,210.321000,210.411000,the,I,sd,u-60-1
sw3253B-ms98-a-0051,210.411000,210.921000,Appalachian,I,sd,u-60-1
sw3253B-ms98-a-0051,210.921000,211.231000,Trail,I,sd,u-60-1
sw3253B-ms98-a-0051,211.231000,211.691000,before,I,sd,u-60-1
sw3253B-ms98-a-0051,212.231000,212.341000,and,B,sd,u-60-2
sw3253B-ms98-a-0051,212.341000,212.431000,he,I,sd,u-60-2
sw3253B-ms98-a-0051,212.431000,212.661000,said,I,sd,u-60-2
sw3253B-ms98-a-0051,212.661000,212.751000,that,I,sd,u-60-2
sw3253B-ms98-a-0051,212.751000,212.861000,you,I,sd,u-60-2
sw3253B-ms98-a-0051,212.931000,213.105125,can,I,sd,u-60-2
sw3253B-ms98-a-0051,213.237000,213.301000,a,I,sd,u-60-2
sw3253B-ms98-a-0051,213.301000,213.451000,lot,I,sd,u-60-2
sw3253B-ms98-a-0051,213.451000,213.521000,of,I,sd,u-60-2
sw3253B-ms98-a-0051,213.521000,213.831000,times,I,sd,u-60-2
sw3253B-ms98-a-0051,213.831000,213.911000,you,I,sd,u-60-2
sw3253B-ms98-a-0051,213.911000,214.121000,can,I,sd,u-60-2
sw3253B-ms98-a-0051,214.121000,214.371000,go,I,sd,u-60-2
sw3253B-ms98-a-0051,214.371000,214.665000,for,I,sd,u-60-2
sw3253B-ms98-a-0051,214.876000,214.941000,you,I,sd,u-60-2
sw3253B-ms98-a-0051,214.941000,215.106375,know,I,sd,u-60-2
sw3253B-ms98-a-0051,215.241875,215.311000,a,I,sd,u-60-2
sw3253B-ms98-a-0051,215.311000,215.631000,good,I,sd,u-60-2
sw3253B-ms98-a-0051,215.631000,215.921000,day,I,sd,u-60-2
sw3253B-ms98-a-0051,215.921000,216.261000,before,I,sd,u-60-2
sw3253B-ms98-a-0051,216.261000,216.401000,you'll,I,sd,u-60-2
sw3253B-ms98-a-0051,216.541000,216.839750,see,I,sd,u-60-2
sw3253B-ms98-a-0051,217.186250,217.251000,or,I,sd,u-60-2
sw3253B-ms98-a-0051,217.251000,217.491000,meet,I,sd,u-60-2
sw3253B-ms98-a-0051,217.491000,217.991000,anybody,I,sd,u-60-2
sw3253B-ms98-a-0051,217.991000,218.231000,else,I,sd,u-60-2
sw3253B-ms98-a-0051,218.231000,218.331000,on,I,sd,u-60-2
sw3253B-ms98-a-0051,218.331000,218.391000,the,I,sd,u-60-2
sw3253B-ms98-a-0051,218.391000,218.921000,trail,I,sd,u-60-2
sw3253B-ms98-a-0052,220.011125,220.421125,so,B,sv,u-62-1
sw3253B-ms98-a-0052,220.421125,220.601125,it's,I,sv,u-62-1
sw3253B-ms98-a-0052,220.601125,220.831125,not,I,sv,u-62-1
sw3253B-ms98-a-0052,220.831125,221.071125,for,I,sv,u-62-1
sw3253B-ms98-a-0052,221.071125,221.271125,the,I,sv,u-62-1
sw3253B-ms98-a-0052,221.581125,221.971125,faint,I,sv,u-62-1
sw3253B-ms98-a-0052,221.971125,222.091125,of,I,sv,u-62-1
sw3253B-ms98-a-0052,222.091125,222.451125,heart,I,sv,u-62-1
sw3253B-ms98-a-0052,222.451125,222.521125,i,I,sv,u-62-1
sw3253B-ms98-a-0052,222.521125,222.771125,don't,I,sv,u-62-1
sw3253B-ms98-a-0052,222.771125,223.034000,think,I,sv,u-62-1
sw3253B-ms98-a-0054,229.287000,229.727000,oh,B,b,u-64-1
sw3253B-ms98-a-0056,234.415750,234.715750,uh-huh,B,b,u-66-1
sw3253B-ms98-a-0058,242.856750,243.558875,[laughter],O,,
sw3253B-ms98-a-0060,248.869875,249.010375,i,B,aa,u-70-1
sw3253B-ms98-a-0060,249.010375,249.197375,think,I,aa,u-70-1
sw3253B-ms98-a-0060,249.197375,249.297375,it,I,aa,u-70-1
sw3253B-ms98-a-0060,249.297375,249.527375,would,I,aa,u-70-1
sw3253B-ms98-a-0060,249.527375,249.828875,be,I,aa,u-70-1
sw3253B-ms98-a-0060,250.070000,250.516500,yeah,B,b,u-72-1
sw3253B-ms98-a-0060,252.033250,252.137375,well,B,ba,u-74-1
sw3253B-ms98-a-0060,252.137375,252.347375,that,I,ba,u-74-1
sw3253B-ms98-a-0060,252.347375,252.697375,sounds,I,ba,u-74-1
sw3253B-ms98-a-0060,252.697375,253.007375,really,I,ba,u-74-1
sw3253B-ms98-a-0060,253.007375,253.467375,neat,I,ba,u-74-1
sw3253B-ms98-a-0062,258.061625,258.431625,well,B,o@,u-76-1
sw3253B-ms98-a-0064,262.324500,262.530875,i,B,+@,u-78-1
sw3253B-ms98-a-0064,262.530875,262.779375,don't,I,+@,u-78-1
sw3253B-ms98-a-0064,262.779375,263.346125,know,I,+@,u-78-1
sw3253B-ms98-a-0064,263.346125,263.782250,uh,I,+@,u-78-1
sw3253B-ms98-a-0064,263.917750,264.014500,we,B,ad,u-78-2
sw3253B-ms98-a-0064,264.014500,264.304500,talk,I,ad,u-78-2
sw3253B-ms98-a-0064,264.304500,264.534500,about,I,ad,u-78-2
sw3253B-ms98-a-0064,264.534500,264.994500,sometimes,I,ad,u-78-2
sw3253B-ms98-a-0064,264.994500,265.234500,going,I,ad,u-78-2
sw3253B-ms98-a-0064,265.234500,265.324500,up,I,ad,u-78-2
sw3253B-ms98-a-0064,265.324500,265.464500,to,I,ad,u-78-2
sw3253B-ms98-a-0064,265.554500,266.184500,Chincoteague,I,ad,u-78-2
sw3253B-ms98-a-0065,267.230375,267.630375,and,B,%,u-80-1
sw3253B-ms98-a-0065,267.630375,267.984375,uh,I,%,u-80-1
sw3253B-ms98-a-0065,268.199000,268.371125,i-,O,,
sw3253B-ms98-a-0065,268.939750,269.480375,maybe,B,sd(^q),u-80-2
sw3253B-ms98-a-0065,269.480375,269.690375,like,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,269.690375,269.790375,you,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,269.790375,270.010375,said,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,270.010375,270.290375,start,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,270.290375,270.490375,out,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,270.490375,271.050375,slow,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,271.050375,271.184125,and,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,272.061625,272.290375,and,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,272.290375,272.510375,kind,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,272.510375,272.570375,of,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,272.570375,272.710375,get,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,272.710375,273.020375,used,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,273.020375,273.300375,to,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,273.300375,273.400375,it,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,273.520375,273.780375,and,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,274.060375,274.253000,find,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,274.253000,274.422500,out,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,274.422500,274.650375,that,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,274.650375,274.720375,it,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,274.720375,274.940375,maybe,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,274.940375,275.080375,it's,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,275.080375,275.250375,not,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,275.250375,275.420375,as,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,275.420375,275.700375,bad,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,275.700375,275.800375,as,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,275.800375,276.000375,i-,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,276.130375,276.240375,i,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,276.240375,276.580375,fear,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,276.580375,276.670375,it,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,276.670375,276.930375,might,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,276.930375,277.120375,be,I,sd(^q),u-80-2
sw3253B-ms98-a-0065,277.120375,277.761875,[laughter],O,,
sw3253B-ms98-a-0067,292.711125,293.081125,yeah,B,b,u-82-1
