sw3750B-ms98-a-0001,0.020000,0.189875,yeah,B,o,u-1-1
sw3750B-ms98-a-0006,35.282875,35.412875,is,I,sd,u-17-1
sw3750B-ms98-a-0006,35.412875,35.572875,to,I,sd,u-17-1
sw3750B-ms98-a-0006,35.572875,35.822875,rent,I,sd,u-17-1
sw3750B-ms98-a-0006,35.822875,35.932875,an,I,sd,u-17-1
sw3750B-ms98-a-0006,35.932875,36.483125,apartment,I,sd,u-17-1
sw3750B-ms98-a-0006,37.179875,37.442875,add,B,+,u-19-1
sw3750B-ms98-a-0006,37.442875,37.542875,to,I,+,u-19-1
sw3750B-ms98-a-0006,37.542875,38.042875,stress,I,+,u-19-1
sw3750B-ms98-a-0006,38.042875,38.072875,i,B,sv,u-19-2
sw3750B-ms98-a-0006,38.072875,38.282875,mean,I,sv,u-19-2
sw3750B-ms98-a-0006,38.282875,38.392875,you,I,sv,u-19-2
sw3750B-ms98-a-0006,38.392875,38.572875,when,I,sv,u-19-2
sw3750B-ms98-a-0006,38.572875,38.712875,you,I,sv,u-19-2
sw3750B-ms98-a-0006,38.712875,38.922875,have,I,sv,u-19-2
sw3750B-ms98-a-0006,38.922875,39.032875,to,I,sv,u-19-2
sw3750B-ms98-a-0006,39.032875,39.242875,have,I,sv,u-19-2
sw3750B-ms98-a-0006,39.242875,39.352875,it,I,sv,u-19-2
sw3750B-ms98-a-0006,39.352875,39.482875,you,I,sv,u-19-2
sw3750B-ms98-a-0006,39.482875,39.692875,got,I,sv,u-19-2
sw3750B-ms98-a-0006,39.692875,39.772875,to,I,sv,u-19-2
sw3750B-ms98-a-0006,39.772875,40.012875,have,I,sv,u-19-2
sw3750B-ms98-a-0006,40.012875,40.142875,it,I,sv,u-19-2
sw3750B-ms98-a-0007,41.032625,41.332625,and,B,sv,u-21-1
sw3750B-ms98-a-0007,41.332625,41.492625,you,I,sv,u-21-1
sw3750B-ms98-a-0007,41.492625,41.813125,know,I,sv,u-21-1
sw3750B-ms98-a-0007,42.344250,42.762625,in,I,sv,u-21-1
sw3750B-ms98-a-0007,42.762625,42.802625,uh,I,sv,u-21-1
sw3750B-ms98-a-0007,42.802625,43.202625,in,I,sv,u-21-1
sw3750B-ms98-a-0007,43.202625,43.500500,those,I,sv,u-21-1
sw3750B-ms98-a-0007,43.703875,43.892625,those,I,sv,u-21-1
sw3750B-ms98-a-0007,43.892625,44.202625,kinds,I,sv,u-21-1
sw3750B-ms98-a-0007,44.202625,44.332625,of,I,sv,u-21-1
sw3750B-ms98-a-0007,44.332625,45.082625,situations,I,sv,u-21-1
sw3750B-ms98-a-0007,45.082625,45.142625,uh,I,sv,u-21-1
sw3750B-ms98-a-0007,45.142625,45.298250,you,I,sv,u-21-1
sw3750B-ms98-a-0007,45.298250,45.632625,know,I,sv,u-21-1
sw3750B-ms98-a-0007,45.632625,45.862625,room,I,sv,u-21-1
sw3750B-ms98-a-0007,45.862625,46.092625,rent,I,sv,u-21-1
sw3750B-ms98-a-0007,46.092625,46.212625,was,I,sv,u-21-1
sw3750B-ms98-a-0007,46.212625,46.402625,just,I,sv,u-21-1
sw3750B-ms98-a-0007,46.402625,47.129625,outrageous,I,sv,u-21-1
sw3750B-ms98-a-0008,48.407750,48.920625,so,B,sd,u-23-1
sw3750B-ms98-a-0008,48.920625,49.330625,my,I,sd,u-23-1
sw3750B-ms98-a-0008,49.330625,49.550625,buddy,I,sd,u-23-1
sw3750B-ms98-a-0008,49.550625,49.640625,and,I,sd,u-23-1
sw3750B-ms98-a-0008,49.640625,49.720625,i,I,sd,u-23-1
sw3750B-ms98-a-0008,49.720625,49.880625,we,I,sd,u-23-1
sw3750B-ms98-a-0008,49.880625,50.080625,just,I,sd,u-23-1
sw3750B-ms98-a-0008,50.080625,50.550625,camped,I,sd,u-23-1
sw3750B-ms98-a-0008,50.550625,51.000625,[laughter],O,,
sw3750B-ms98-a-0008,51.000625,51.142375,and,B,sd,u-25-1
sw3750B-ms98-a-0008,51.530250,51.740625,we,I,sd,u-25-1
sw3750B-ms98-a-0008,51.740625,52.207625,figured,I,sd,u-25-1
sw3750B-ms98-a-0008,52.207625,52.370625,what,I,sd,u-25-1
sw3750B-ms98-a-0008,52.370625,52.460625,the,I,sd,u-25-1
sw3750B-ms98-a-0008,52.460625,52.610625,hell,I,sd,u-25-1
sw3750B-ms98-a-0008,52.610625,52.720625,we,B,sd,u-25-2
sw3750B-ms98-a-0008,52.720625,52.880625,did,I,sd,u-25-2
sw3750B-ms98-a-0008,52.880625,52.970625,it,I,sd,u-25-2
sw3750B-ms98-a-0008,52.970625,53.060625,when,I,sd,u-25-2
sw3750B-ms98-a-0008,53.060625,53.160625,we,I,sd,u-25-2
sw3750B-ms98-a-0008,53.160625,53.240625,were,I,sd,u-25-2
sw3750B-ms98-a-0008,53.240625,53.540625,kids,I,sd,u-25-2
sw3750B-ms98-a-0008,53.540625,53.630625,and,B,sd,u-25-3
sw3750B-ms98-a-0008,53.630625,53.690625,we,I,sd,u-25-3
sw3750B-ms98-a-0008,53.690625,53.970625,loved,I,sd,u-25-3
sw3750B-ms98-a-0008,53.970625,54.268250,it,I,sd,u-25-3
sw3750B-ms98-a-0009,55.066375,55.326375,course,B,sd,u-27-1
sw3750B-ms98-a-0009,55.326375,55.436375,we,I,sd,u-27-1
sw3750B-ms98-a-0009,55.436375,55.726375,didn't,I,sd,u-27-1
sw3750B-ms98-a-0009,55.726375,55.936375,really,I,sd,u-27-1
sw3750B-ms98-a-0009,55.936375,56.226375,rough,I,sd,u-27-1
sw3750B-ms98-a-0009,56.226375,56.336375,it,I,sd,u-27-1
sw3750B-ms98-a-0009,56.336375,56.526375,that,I,sd,u-27-1
sw3750B-ms98-a-0009,56.526375,56.796375,much,I,sd,u-27-1
sw3750B-ms98-a-0009,56.796375,57.006375,when,B,%,u-27-2
sw3750B-ms98-a-0009,57.156375,57.286375,when,I,%,u-27-2
sw3750B-ms98-a-0009,57.286375,57.376375,i,I,%,u-27-2
sw3750B-ms98-a-0009,57.376375,57.576375,was,I,%,u-27-2
sw3750B-ms98-a-0009,57.616375,57.776375,in,I,%,u-27-2
sw3750B-ms98-a-0009,58.546375,58.636375,in,I,%,u-27-2
sw3750B-ms98-a-0009,58.636375,58.816375,high,I,%,u-27-2
sw3750B-ms98-a-0009,58.816375,59.306375,school,I,%,u-27-2
sw3750B-ms98-a-0009,59.826375,59.906375,uh,O,,
sw3750B-ms98-a-0009,59.906375,60.116375,he's,O,,
sw3750B-ms98-a-0009,60.116375,60.146375,a,B,sd,u-27-3
sw3750B-ms98-a-0009,60.146375,60.336375,couple,I,sd,u-27-3
sw3750B-ms98-a-0009,60.336375,60.396375,of,I,sd,u-27-3
sw3750B-ms98-a-0009,60.396375,60.546375,years,I,sd,u-27-3
sw3750B-ms98-a-0009,60.546375,60.766375,older,I,sd,u-27-3
sw3750B-ms98-a-0009,60.766375,60.856375,than,I,sd,u-27-3
sw3750B-ms98-a-0009,60.856375,61.086375,me,I,sd,u-27-3
sw3750B-ms98-a-0009,61.086375,61.366375,and,B,sd,u-27-4
sw3750B-ms98-a-0009,61.366375,61.446375,uh,I,sd,u-27-4
sw3750B-ms98-a-0010,62.414000,62.544000,he,I,sd,u-27-4
sw3750B-ms98-a-0010,62.544000,63.234000,graduated,I,sd,u-27-4
sw3750B-ms98-a-0010,63.234000,63.324000,and,I,sd,u-27-4
sw3750B-ms98-a-0010,63.324000,63.454000,went,I,sd,u-27-4
sw3750B-ms98-a-0010,63.454000,63.614000,off,I,sd,u-27-4
sw3750B-ms98-a-0010,63.614000,63.714000,to,I,sd,u-27-4
sw3750B-ms98-a-0010,63.714000,64.133250,college,I,sd,u-27-4
sw3750B-ms98-a-0010,64.133250,64.314000,and,B,sd,u-27-5
sw3750B-ms98-a-0010,64.314000,64.514000,and,I,sd,u-27-5
sw3750B-ms98-a-0010,64.744000,64.824000,du[ring]-,I,sd,u-27-5
sw3750B-ms98-a-0010,64.824000,65.104000,during,I,sd,u-27-5
sw3750B-ms98-a-0010,65.104000,65.474000,summer,I,sd,u-27-5
sw3750B-ms98-a-0010,65.474000,65.694000,we'd,I,sd,u-27-5
sw3750B-ms98-a-0010,65.694000,66.014000,camp,I,sd,u-27-5
sw3750B-ms98-a-0010,66.014000,66.174000,out,I,sd,u-27-5
sw3750B-ms98-a-0010,66.174000,66.294000,at,I,sd,u-27-5
sw3750B-ms98-a-0010,66.294000,66.404000,the,I,sd,u-27-5
sw3750B-ms98-a-0010,66.404000,66.844250,lake,I,sd,u-27-5
sw3750B-ms98-a-0011,67.922625,68.092625,but,B,sd,u-29-1
sw3750B-ms98-a-0011,68.092625,68.152625,it,I,sd,u-29-1
sw3750B-ms98-a-0011,68.152625,68.332625,was,I,sd,u-29-1
sw3750B-ms98-a-0011,68.332625,68.612625,wasn't,I,sd,u-29-1
sw3750B-ms98-a-0011,68.612625,68.792625,very,I,sd,u-29-1
sw3750B-ms98-a-0011,68.792625,69.072625,much,I,sd,u-29-1
sw3750B-ms98-a-0011,69.072625,69.252625,like,I,sd,u-29-1
sw3750B-ms98-a-0011,69.252625,69.682625,camping,I,sd,u-29-1
sw3750B-ms98-a-0011,69.682625,69.892625,because_1,I,sd,u-29-1
sw3750B-ms98-a-0011,69.892625,70.002625,we,I,sd,u-29-1
sw3750B-ms98-a-0011,70.002625,70.162625,had,I,sd,u-29-1
sw3750B-ms98-a-0011,70.162625,70.232625,a,I,sd,u-29-1
sw3750B-ms98-a-0011,70.232625,71.012625,refrigerator,I,sd,u-29-1
sw3750B-ms98-a-0011,71.012625,71.112625,[laughter-and],O,,
sw3750B-ms98-a-0011,71.112625,71.172625,[laughter-a],O,,
sw3750B-ms98-a-0011,71.172625,72.235625,[laughter-stove],O,,
sw3750B-ms98-a-0011,72.636750,73.122625,and,O,,
sw3750B-ms98-a-0011,73.122625,73.182625,you,B,sd,u-31-1
sw3750B-ms98-a-0011,73.182625,73.402625,know,I,sd,u-31-1
sw3750B-ms98-a-0011,73.402625,73.512625,i,I,sd,u-31-1
sw3750B-ms98-a-0011,73.512625,73.642625,had,I,sd,u-31-1
sw3750B-ms98-a-0011,73.642625,73.682625,a,I,sd,u-31-1
sw3750B-ms98-a-0011,73.682625,74.082625,little,I,sd,u-31-1
sw3750B-ms98-a-0011,74.082625,74.296625,uh,I,sd,u-31-1
sw3750B-ms98-a-0011,74.556500,74.762625,boat,I,sd,u-31-1
sw3750B-ms98-a-0011,74.762625,75.032625,house,I,sd,u-31-1
sw3750B-ms98-a-0011,75.032625,75.172625,and,I,sd,u-31-1
sw3750B-ms98-a-0011,75.172625,75.502625,floated,I,sd,u-31-1
sw3750B-ms98-a-0011,75.502625,75.602625,it,I,sd,u-31-1
sw3750B-ms98-a-0011,75.602625,75.762625,out,I,sd,u-31-1
sw3750B-ms98-a-0011,75.762625,75.892625,on,I,sd,u-31-1
sw3750B-ms98-a-0011,75.892625,76.082625,Lake,I,sd,u-31-1
sw3750B-ms98-a-0011,76.082625,76.576250,Grapevine,I,sd,u-31-1
sw3750B-ms98-a-0012,77.823125,78.273125,and,B,sd,u-33-1
sw3750B-ms98-a-0012,78.273125,78.683125,uh,I,sd,u-33-1
sw3750B-ms98-a-0012,78.683125,79.137125,well,I,sd,u-33-1
sw3750B-ms98-a-0012,79.351750,79.523125,it,I,sd,u-33-1
sw3750B-ms98-a-0012,79.523125,79.653125,was,I,sd,u-33-1
sw3750B-ms98-a-0012,79.653125,80.313125,fantastic,I,sd,u-33-1
sw3750B-ms98-a-0012,80.313125,80.453125,we'd,O,,
sw3750B-ms98-a-0012,80.453125,80.593125,get,B,sd,u-33-2
sw3750B-ms98-a-0012,80.593125,80.753125,up,I,sd,u-33-2
sw3750B-ms98-a-0012,80.753125,80.823125,in,I,sd,u-33-2
sw3750B-ms98-a-0012,80.823125,80.903125,the,I,sd,u-33-2
sw3750B-ms98-a-0012,80.903125,81.336875,morning,I,sd,u-33-2
sw3750B-ms98-a-0012,82.206875,82.413125,go,I,sd,u-33-2
sw3750B-ms98-a-0012,82.413125,83.128125,skiing,I,sd,u-33-2
sw3750B-ms98-a-0013,84.329250,84.529250,at,O,,
sw3750B-ms98-a-0013,84.529250,84.699250,that,B,sd,u-33-3
sw3750B-ms98-a-0013,84.699250,85.319250,substituted,I,sd,u-33-3
sw3750B-ms98-a-0013,85.319250,85.509250,for,I,sd,u-33-3
sw3750B-ms98-a-0013,85.509250,85.559250,a,I,sd,u-33-3
sw3750B-ms98-a-0013,85.559250,86.058375,shower,I,sd,u-33-3
sw3750B-ms98-a-0013,86.416250,86.969250,[laughter-you],O,,
sw3750B-ms98-a-0013,86.969250,87.069250,[laughter-know],O,,
sw3750B-ms98-a-0013,87.069250,87.339250,and,B,sd,u-35-1
sw3750B-ms98-a-0013,87.679250,87.929250,then,I,sd,u-35-1
sw3750B-ms98-a-0013,87.929250,88.089250,we'd,I,sd,u-35-1
sw3750B-ms98-a-0013,88.089250,88.239250,go,I,sd,u-35-1
sw3750B-ms98-a-0013,88.239250,88.339250,to,I,sd,u-35-1
sw3750B-ms98-a-0013,88.339250,88.819250,work,I,sd,u-35-1
sw3750B-ms98-a-0013,88.819250,89.139250,and,I,sd,u-35-1
sw3750B-ms98-a-0013,89.139250,89.580500,uh,I,sd,u-35-1
sw3750B-ms98-a-0013,89.964750,90.289250,come,I,sd,u-35-1
sw3750B-ms98-a-0013,90.289250,90.579250,back,I,sd,u-35-1
sw3750B-ms98-a-0013,90.579250,90.739250,to,I,sd,u-35-1
sw3750B-ms98-a-0013,90.739250,90.979250,the,I,sd,u-35-1
sw3750B-ms98-a-0013,90.979250,91.169250,you,I,sd,u-35-1
sw3750B-ms98-a-0013,91.169250,91.549250,know,I,sd,u-35-1
sw3750B-ms98-a-0013,91.549250,91.609250,to,I,sd,u-35-1
sw3750B-ms98-a-0013,91.609250,91.709250,the,I,sd,u-35-1
sw3750B-ms98-a-0013,91.709250,91.949250,boat,I,sd,u-35-1
sw3750B-ms98-a-0013,91.949250,92.289250,house,I,sd,u-35-1
sw3750B-ms98-a-0013,92.289250,92.409250,at,I,sd,u-35-1
sw3750B-ms98-a-0013,92.409250,92.749250,night,I,sd,u-35-1
sw3750B-ms98-a-0014,93.667500,93.747500,you,O,,
sw3750B-ms98-a-0014,93.747500,93.857500,know,O,,
sw3750B-ms98-a-0014,93.857500,94.057500,in,O,,
sw3750B-ms98-a-0014,94.057500,94.357500,in,B,sd,u-35-2
sw3750B-ms98-a-0014,94.357500,94.447500,the,I,sd,u-35-2
sw3750B-ms98-a-0014,94.447500,95.007500,afternoon,I,sd,u-35-2
sw3750B-ms98-a-0014,95.007500,95.087500,you,I,sd,u-35-2
sw3750B-ms98-a-0014,95.087500,95.187500,know,I,sd,u-35-2
sw3750B-ms98-a-0014,95.187500,95.277500,it's,I,sd,u-35-2
sw3750B-ms98-a-0014,95.277500,95.507500,still,I,sd,u-35-2
sw3750B-ms98-a-0014,95.507500,95.777500,four,I,sd,u-35-2
sw3750B-ms98-a-0014,95.777500,96.127500,o'clock,I,sd,u-35-2
sw3750B-ms98-a-0014,96.127500,96.237500,you,B,sd,u-35-3
sw3750B-ms98-a-0014,96.237500,96.387500,got,I,sd,u-35-3
sw3750B-ms98-a-0014,96.387500,96.747500,four,I,sd,u-35-3
sw3750B-ms98-a-0014,96.747500,97.027500,hours,I,sd,u-35-3
sw3750B-ms98-a-0014,97.027500,97.177500,of,I,sd,u-35-3
sw3750B-ms98-a-0014,97.177500,97.347500,day,I,sd,u-35-3
sw3750B-ms98-a-0014,97.347500,97.697500,light,I,sd,u-35-3
sw3750B-ms98-a-0014,97.697500,97.867500,good,I,sd,u-35-3
sw3750B-ms98-a-0014,97.867500,98.357500,skiing,I,sd,u-35-3
sw3750B-ms98-a-0014,98.357500,98.723625,left,I,sd,u-35-3
sw3750B-ms98-a-0015,99.611625,99.951625,and,B,sd,u-37-1
sw3750B-ms98-a-0015,99.951625,100.031625,uh,I,sd,u-37-1
sw3750B-ms98-a-0015,100.031625,100.131625,it,I,sd,u-37-1
sw3750B-ms98-a-0015,100.131625,100.331625,was,I,sd,u-37-1
sw3750B-ms98-a-0015,100.331625,100.717500,great,I,sd,u-37-1
sw3750B-ms98-a-0016,101.921250,102.251250,but,B,sd,u-39-1
sw3750B-ms98-a-0016,102.251250,102.651250,uh,I,sd,u-39-1
sw3750B-ms98-a-0016,102.651250,102.781250,you,I,sd,u-39-1
sw3750B-ms98-a-0016,102.781250,103.141250,know,I,sd,u-39-1
sw3750B-ms98-a-0016,103.141250,103.661250,now,I,sd,u-39-1
sw3750B-ms98-a-0016,103.661250,103.861250,my,I,sd,u-39-1
sw3750B-ms98-a-0016,103.861250,104.171250,life,I,sd,u-39-1
sw3750B-ms98-a-0016,104.171250,104.301250,is,I,sd,u-39-1
sw3750B-ms98-a-0016,104.301250,104.531250,more,I,sd,u-39-1
sw3750B-ms98-a-0016,104.531250,104.711250,like,I,sd,u-39-1
sw3750B-ms98-a-0016,104.711250,105.201250,camping,I,sd,u-39-1
sw3750B-ms98-a-0016,105.201250,105.631250,than,I,sd,u-39-1
sw3750B-ms98-a-0016,105.861250,106.081250,not,I,sd,u-39-1
sw3750B-ms98-a-0016,106.081250,106.531250,camping,I,sd,u-39-1
sw3750B-ms98-a-0016,106.531250,107.161250,really,I,sd,u-39-1
sw3750B-ms98-a-0017,108.518375,108.722375,oh,B,ny,u-41-1
sw3750B-ms98-a-0017,108.722375,108.972375,yeah,I,ny,u-41-1
sw3750B-ms98-a-0017,108.972375,110.322375,[laughter],O,,
sw3750B-ms98-a-0017,110.322375,110.811375,well,B,aap,u-43-1
sw3750B-ms98-a-0017,111.003375,111.582375,actually,I,aap,u-43-1
sw3750B-ms98-a-0017,111.582375,111.762375,as,I,aap,u-43-1
sw3750B-ms98-a-0017,111.762375,111.792375,a,I,aap,u-43-1
sw3750B-ms98-a-0017,111.792375,112.052375,matter,I,aap,u-43-1
sw3750B-ms98-a-0017,112.052375,112.122375,of,I,aap,u-43-1
sw3750B-ms98-a-0017,112.122375,112.532375,fact,I,aap,u-43-1
sw3750B-ms98-a-0017,112.532375,112.662375,they,I,aap,u-43-1
sw3750B-ms98-a-0017,112.662375,112.922375,just,I,aap,u-43-1
sw3750B-ms98-a-0017,112.922375,113.232375,ran,I,aap,u-43-1
sw3750B-ms98-a-0017,113.232375,113.292375,the,I,aap,u-43-1
sw3750B-ms98-a-0017,113.292375,113.632375,phone,I,aap,u-43-1
sw3750B-ms98-a-0017,113.632375,113.872375,three,I,aap,u-43-1
sw3750B-ms98-a-0017,113.872375,114.132250,years,I,aap,u-43-1
sw3750B-ms98-a-0017,114.132250,114.459500,ago,I,aap,u-43-1
sw3750B-ms98-a-0017,115.137500,115.272375,we,B,sd,u-45-1
sw3750B-ms98-a-0017,115.272375,115.422375,didn't,I,sd,u-45-1
sw3750B-ms98-a-0017,115.422375,115.622375,have,I,sd,u-45-1
sw3750B-ms98-a-0017,115.622375,115.652375,a,I,sd,u-45-1
sw3750B-ms98-a-0017,115.652375,115.944125,phone,I,sd,u-45-1
sw3750B-ms98-a-0018,116.848625,116.928250,and,O,,
sw3750B-ms98-a-0018,116.928250,117.068250,they,B,sd,u-47-1
sw3750B-ms98-a-0018,117.068250,117.288250,didn't,I,sd,u-47-1
sw3750B-ms98-a-0018,117.288250,117.478250,have,I,sd,u-47-1
sw3750B-ms98-a-0018,117.478250,117.768250,phone,I,sd,u-47-1
sw3750B-ms98-a-0018,117.768250,118.048250,lines,I,sd,u-47-1
sw3750B-ms98-a-0018,118.048250,118.078250,i,O,,
sw3750B-ms98-a-0018,118.078250,118.258250,mean,O,,
sw3750B-ms98-a-0018,118.258250,118.358250,there,O,,
sw3750B-ms98-a-0018,118.358250,118.448250,was,O,,
sw3750B-ms98-a-0018,118.448250,118.598250,you,B,sd,u-47-2
sw3750B-ms98-a-0018,118.598250,118.778250,just,I,sd,u-47-2
sw3750B-ms98-a-0018,118.778250,118.998250,couldn't,I,sd,u-47-2
sw3750B-ms98-a-0018,118.998250,119.208250,get,I,sd,u-47-2
sw3750B-ms98-a-0018,119.208250,119.238250,a,O,,
sw3750B-ms98-a-0018,119.238250,119.531875,phone,O,,
sw3750B-ms98-a-0019,120.736375,121.206375,and,B,sd,u-49-1
sw3750B-ms98-a-0019,121.206375,121.386375,uh,I,sd,u-49-1
sw3750B-ms98-a-0019,121.386375,121.696375,we're,I,sd,u-49-1
sw3750B-ms98-a-0019,121.696375,121.846375,on,I,sd,u-49-1
sw3750B-ms98-a-0019,121.846375,122.168000,the,I,sd,u-49-1
sw3750B-ms98-a-0019,123.000375,123.126375,we're,I,sd,u-49-1
