sw3294A-ms98-a-0002,1.380875,1.609375,so,B,qo,u-2-1
sw3294A-ms98-a-0012,54.561875,54.721875,why,I,qh,u-16-2
sw3294A-ms98-a-0012,54.721875,54.911875,why,I,qh,u-16-2
sw3294A-ms98-a-0012,54.911875,55.011875,do,I,qh,u-16-2
sw3294A-ms98-a-0012,55.011875,55.111875,we,I,qh,u-16-2
sw3294A-ms98-a-0012,55.111875,55.271875,let,I,qh,u-16-2
sw3294A-ms98-a-0012,55.271875,55.451875,this,I,qh,u-16-2
sw3294A-ms98-a-0012,55.451875,55.816250,happen,I,qh,u-16-2
sw3294A-ms98-a-0014,67.049250,67.299250,would,B,%,u-18-1
sw3294A-ms98-a-0014,67.419750,67.579250,would,I,%,u-18-1
sw3294A-ms98-a-0014,67.579250,67.959250,you,I,%,u-18-1
sw3294A-ms98-a-0014,67.959250,68.239250,[vocalized-noise],O,,
sw3294A-ms98-a-0014,68.239250,68.429250,mean,B,qw,u-18-2
sw3294A-ms98-a-0014,68.429250,68.559250,if,I,qw,u-18-2
sw3294A-ms98-a-0014,68.559250,68.669250,you,I,qw,u-18-2
sw3294A-ms98-a-0014,68.669250,68.869250,could,I,qw,u-18-2
sw3294A-ms98-a-0014,69.149250,69.739250,legislate,I,qw,u-18-2
sw3294A-ms98-a-0014,69.739250,70.019250,something,I,qw,u-18-2
sw3294A-ms98-a-0014,70.019250,70.139250,what,I,qw,u-18-2
sw3294A-ms98-a-0014,70.139250,70.229250,would,I,qw,u-18-2
sw3294A-ms98-a-0014,70.229250,70.319250,you,I,qw,u-18-2
sw3294A-ms98-a-0014,70.319250,70.923375,legislate,I,qw,u-18-2
sw3294A-ms98-a-0016,90.828875,91.127875,yeah,B,b,u-20-1
sw3294A-ms98-a-0016,91.268875,91.478875,it,B,sv,u-22-1
sw3294A-ms98-a-0016,91.478875,91.558875,it,I,sv,u-22-1
sw3294A-ms98-a-0016,91.558875,91.788875,seems,I,sv,u-22-1
sw3294A-ms98-a-0016,91.788875,91.888875,it,I,sv,u-22-1
sw3294A-ms98-a-0016,91.888875,92.208875,seems,I,sv,u-22-1
sw3294A-ms98-a-0016,92.208875,92.288875,to,I,sv,u-22-1
sw3294A-ms98-a-0016,92.288875,92.428875,me,I,sv,u-22-1
sw3294A-ms98-a-0016,92.428875,92.548875,that,I,sv,u-22-1
sw3294A-ms98-a-0016,92.548875,92.648875,we,I,sv,u-22-1
sw3294A-ms98-a-0016,92.648875,92.778875,should,I,sv,u-22-1
sw3294A-ms98-a-0016,92.778875,92.958875,have,I,sv,u-22-1
sw3294A-ms98-a-0016,92.958875,93.058875,the,I,sv,u-22-1
sw3294A-ms98-a-0016,93.058875,93.581625,ability,I,sv,u-22-1
sw3294A-ms98-a-0016,93.788875,94.349500,to,I,sv,u-22-1
sw3294A-ms98-a-0016,94.731125,95.218875,designate,I,sv,u-22-1
sw3294A-ms98-a-0016,95.218875,95.338875,with,I,sv,u-22-1
sw3294A-ms98-a-0016,95.338875,95.398875,the,I,sv,u-22-1
sw3294A-ms98-a-0016,95.398875,95.688875,phone,I,sv,u-22-1
sw3294A-ms98-a-0016,95.688875,96.088875,company,I,sv,u-22-1
sw3294A-ms98-a-0016,96.088875,96.178875,that,I,sv,u-22-1
sw3294A-ms98-a-0016,96.178875,96.268875,we,I,sv,u-22-1
sw3294A-ms98-a-0016,96.268875,96.398875,don't,I,sv,u-22-1
sw3294A-ms98-a-0016,96.398875,96.558875,wanna,I,sv,u-22-1
sw3294A-ms98-a-0016,96.558875,96.938875,receive,I,sv,u-22-1
sw3294A-ms98-a-0016,96.938875,97.248875,calls,I,sv,u-22-1
sw3294A-ms98-a-0016,97.248875,97.418875,like,I,sv,u-22-1
sw3294A-ms98-a-0016,97.418875,97.897500,that,I,sv,u-22-1
sw3294A-ms98-a-0017,98.476125,98.596125,and,B,sv,u-24-1
sw3294A-ms98-a-0017,98.596125,98.656125,the,I,sv,u-24-1
sw3294A-ms98-a-0017,98.656125,98.956125,people,I,sv,u-24-1
sw3294A-ms98-a-0017,98.956125,99.336125,making,I,sv,u-24-1
sw3294A-ms98-a-0017,99.336125,99.496125,these,I,sv,u-24-1
sw3294A-ms98-a-0017,99.496125,99.846125,calls,I,sv,u-24-1
sw3294A-ms98-a-0017,99.846125,100.006125,would,I,sv,u-24-1
sw3294A-ms98-a-0017,100.006125,100.126125,be,I,sv,u-24-1
sw3294A-ms98-a-0017,100.126125,100.556125,obliged,I,sv,u-24-1
sw3294A-ms98-a-0017,100.556125,100.676125,to,I,sv,u-24-1
sw3294A-ms98-a-0017,100.886000,101.083000,c[ompare]-,I,sv,u-24-1
sw3294A-ms98-a-0017,101.246125,101.906125,compare,I,sv,u-24-1
sw3294A-ms98-a-0018,103.189125,103.461625,the,B,+,u-26-1
sw3294A-ms98-a-0018,103.461625,103.699125,their,I,+,u-26-1
sw3294A-ms98-a-0018,103.699125,104.679125,lists,I,+,u-26-1
sw3294A-ms98-a-0018,104.679125,104.839125,that,B,+,u-28-1
sw3294A-ms98-a-0018,104.839125,104.959125,they're,I,+,u-28-1
sw3294A-ms98-a-0018,104.959125,105.119125,gonna,I,+,u-28-1
sw3294A-ms98-a-0018,105.119125,105.419125,call,I,+,u-28-1
sw3294A-ms98-a-0018,105.419125,105.809125,against,I,+,u-28-1
sw3294A-ms98-a-0018,105.809125,106.039125,this,I,+,u-28-1
sw3294A-ms98-a-0018,106.039125,106.269125,list,I,+,u-28-1
sw3294A-ms98-a-0018,106.269125,106.329125,of,I,+,u-28-1
sw3294A-ms98-a-0018,106.329125,106.609125,people,I,+,u-28-1
sw3294A-ms98-a-0018,106.609125,106.689125,who,I,+,u-28-1
sw3294A-ms98-a-0018,106.689125,106.899125,don't,I,+,u-28-1
sw3294A-ms98-a-0018,106.899125,107.069125,wanna,I,+,u-28-1
sw3294A-ms98-a-0018,107.069125,107.179125,be,I,+,u-28-1
sw3294A-ms98-a-0018,107.179125,107.739125,called,I,+,u-28-1
sw3294A-ms98-a-0019,108.687250,109.167250,um,B,%,u-30-1
sw3294A-ms98-a-0020,110.327875,110.760625,and,B,sv,u-32-1
sw3294A-ms98-a-0020,111.047875,111.317875,that,I,sv,u-32-1
sw3294A-ms98-a-0020,111.317875,111.457875,that,I,sv,u-32-1
sw3294A-ms98-a-0020,111.457875,111.831750,way,I,sv,u-32-1
sw3294A-ms98-a-0020,112.137875,112.357875,those,I,sv,u-32-1
sw3294A-ms98-a-0020,112.357875,112.437875,who,I,sv,u-32-1
sw3294A-ms98-a-0020,112.437875,112.621625,want,I,sv,u-32-1
sw3294A-ms98-a-0020,112.621625,112.722250,it,I,sv,u-32-1
sw3294A-ms98-a-0020,112.933875,113.057875,can,I,sv,u-32-1
sw3294A-ms98-a-0020,113.057875,113.257875,have,I,sv,u-32-1
sw3294A-ms98-a-0020,113.257875,113.357875,it,I,sv,u-32-1
sw3294A-ms98-a-0020,113.357875,113.457875,and,B,sv,u-32-2
sw3294A-ms98-a-0020,113.457875,113.637875,those,I,sv,u-32-2
sw3294A-ms98-a-0020,113.637875,113.707875,who,I,sv,u-32-2
sw3294A-ms98-a-0020,113.707875,113.907875,don't,I,sv,u-32-2
sw3294A-ms98-a-0020,113.907875,114.047875,want,I,sv,u-32-2
sw3294A-ms98-a-0020,114.047875,114.117875,it,I,sv,u-32-2
sw3294A-ms98-a-0020,114.427875,114.607875,don't,I,sv,u-32-2
sw3294A-ms98-a-0020,114.607875,114.717875,have,I,sv,u-32-2
sw3294A-ms98-a-0020,114.717875,114.817875,to,I,sv,u-32-2
sw3294A-ms98-a-0020,114.817875,114.967875,have,I,sv,u-32-2
sw3294A-ms98-a-0020,114.967875,115.377875,it,I,sv,u-32-2
sw3294A-ms98-a-0021,115.961125,116.070125,sort,B,sv,u-34-1
sw3294A-ms98-a-0021,116.070125,116.169750,of,I,sv,u-34-1
sw3294A-ms98-a-0021,116.169750,116.290000,like,I,sv,u-34-1
sw3294A-ms98-a-0021,116.290000,116.370000,an,I,sv,u-34-1
sw3294A-ms98-a-0021,116.370000,116.800000,unlisted,I,sv,u-34-1
sw3294A-ms98-a-0021,116.800000,117.090000,number,I,sv,u-34-1
sw3294A-ms98-a-0021,117.090000,117.220000,where,I,sv,u-34-1
sw3294A-ms98-a-0021,117.220000,117.280000,you,I,sv,u-34-1
sw3294A-ms98-a-0021,117.280000,117.500000,haven't,I,sv,u-34-1
sw3294A-ms98-a-0021,117.500000,117.660000,gone,I,sv,u-34-1
sw3294A-ms98-a-0021,117.660000,117.720000,to,I,sv,u-34-1
sw3294A-ms98-a-0021,117.720000,117.780000,the,I,sv,u-34-1
sw3294A-ms98-a-0021,117.780000,118.060000,trouble,I,sv,u-34-1
sw3294A-ms98-a-0021,118.060000,118.156875,of,I,sv,u-34-1
sw3294A-ms98-a-0021,118.156875,118.630000,enlisting,I,sv,u-34-1
sw3294A-ms98-a-0021,118.630000,119.090000,yourself,I,sv,u-34-1
sw3294A-ms98-a-0021,119.690000,119.930000,except,B,sd,u-36-1
sw3294A-ms98-a-0021,119.930000,120.100000,even,I,sd,u-36-1
sw3294A-ms98-a-0021,120.100000,120.470000,unlisted,I,sd,u-36-1
sw3294A-ms98-a-0021,120.470000,120.770000,numbers,I,sd,u-36-1
sw3294A-ms98-a-0021,120.770000,120.930000,aren't,I,sd,u-36-1
sw3294A-ms98-a-0021,120.930000,121.230000,safe,I,sd,u-36-1
sw3294A-ms98-a-0021,121.230000,121.390000,now,I,sd,u-36-1
sw3294A-ms98-a-0021,121.390000,121.710000,because,I,sd,u-36-1
sw3294A-ms98-a-0021,121.710000,121.820000,they,I,sd,u-36-1
sw3294A-ms98-a-0021,121.820000,121.940000,have,I,sd,u-36-1
sw3294A-ms98-a-0021,121.940000,122.200000,these,I,sd,u-36-1
sw3294A-ms98-a-0021,122.200000,122.450000,things,I,sd,u-36-1
sw3294A-ms98-a-0021,122.450000,122.660000,just,I,sd,u-36-1
sw3294A-ms98-a-0021,122.660000,122.800000,sort,I,sd,u-36-1
sw3294A-ms98-a-0021,122.800000,122.880000,of,I,sd,u-36-1
sw3294A-ms98-a-0021,122.880000,123.130000,dial,I,sd,u-36-1
sw3294A-ms98-a-0021,123.130000,123.280000,through,I,sd,u-36-1
sw3294A-ms98-a-0021,123.280000,123.440000,all,I,sd,u-36-1
sw3294A-ms98-a-0021,123.440000,123.500000,the,I,sd,u-36-1
sw3294A-ms98-a-0021,123.500000,124.002500,numbers,I,sd,u-36-1
sw3294A-ms98-a-0022,125.141875,125.593875,um,B,+,u-38-1
sw3294A-ms98-a-0022,125.593875,126.311875,automatically,I,+,u-38-1
sw3294A-ms98-a-0022,126.311875,126.611875,and,B,%,u-38-2
sw3294A-ms98-a-0024,128.358375,128.855500,[bright/right],O,,
sw3294A-ms98-a-0026,133.143875,133.433875,yeah,B,b,u-42-1
sw3294A-ms98-a-0028,140.527750,140.857500,um-hum,B,b,u-44-1
sw3294A-ms98-a-0030,145.874875,146.154875,yeah,B,b,u-46-1
sw3294A-ms98-a-0032,155.397375,155.717375,um-hum,B,b,u-48-1
sw3294A-ms98-a-0034,159.399000,159.793625,yes,B,b,u-50-1
sw3294A-ms98-a-0036,162.084250,162.214250,and,B,sv,u-52-1
sw3294A-ms98-a-0036,162.214250,162.384250,these,I,sv,u-52-1
sw3294A-ms98-a-0036,162.384250,162.524250,and,I,sv,u-52-1
sw3294A-ms98-a-0036,162.524250,162.674250,these,I,sv,u-52-1
sw3294A-ms98-a-0036,162.674250,162.934250,people,I,sv,u-52-1
sw3294A-ms98-a-0036,162.934250,163.094250,may,I,sv,u-52-1
sw3294A-ms98-a-0036,163.094250,163.184250,in,I,sv,u-52-1
sw3294A-ms98-a-0036,163.184250,163.444250,fact,I,sv,u-52-1
sw3294A-ms98-a-0036,163.444250,163.544250,be,I,sv,u-52-1
sw3294A-ms98-a-0036,163.544250,164.114250,just,I,sv,u-52-1
sw3294A-ms98-a-0036,164.114250,164.404250,looking,I,sv,u-52-1
sw3294A-ms98-a-0036,164.404250,164.524250,to,I,sv,u-52-1
sw3294A-ms98-a-0036,164.524250,164.754250,s[teal]-,I,sv,u-52-1
sw3294A-ms98-a-0036,164.754250,164.994250,find,I,sv,u-52-1
sw3294A-ms98-a-0036,164.994250,165.054250,an,I,sv,u-52-1
sw3294A-ms98-a-0036,165.054250,165.744250,unoccupied,I,sv,u-52-1
sw3294A-ms98-a-0036,165.744250,166.034250,house,I,sv,u-52-1
sw3294A-ms98-a-0036,166.034250,166.244250,to,I,sv,u-52-1
sw3294A-ms98-a-0036,166.244250,166.647250,rob,I,sv,u-52-1
sw3294A-ms98-a-0038,173.383000,173.713000,um-hum,B,b,u-54-1
sw3294A-ms98-a-0040,178.700750,179.000750,yeah,B,b,u-56-1
sw3294A-ms98-a-0041,180.201750,180.310875,what,B,sd@,u-58-1
sw3294A-ms98-a-0041,180.310875,180.531750,about,I,sd@,u-58-1
sw3294A-ms98-a-0041,180.531750,180.711750,these,I,sd@,u-58-1
sw3294A-ms98-a-0041,180.711750,181.191750,telephone,I,sd@,u-58-1
sw3294A-ms98-a-0041,181.191750,181.843250,callers,I,sd@,u-58-1
sw3294A-ms98-a-0041,182.032375,182.520250,sometimes,I,sd@,u-58-1
sw3294A-ms98-a-0041,182.520250,182.651750,[vocalized-noise],I,sd@,u-58-1
sw3294A-ms98-a-0041,182.651750,182.791750,they're,I,sd@,u-58-1
sw3294A-ms98-a-0041,182.791750,183.171750,door-to-door,I,sd@,u-58-1
sw3294A-ms98-a-0041,183.171750,183.301750,but,I,sd@,u-58-1
sw3294A-ms98-a-0041,183.301750,183.561750,usually,I,sd@,u-58-1
sw3294A-ms98-a-0041,183.561750,183.671750,they're,I,sd@,u-58-1
sw3294A-ms98-a-0041,183.671750,184.101750,telephone,I,sd@,u-58-1
sw3294A-ms98-a-0041,184.101750,184.456375,callers,I,sd@,u-58-1
sw3294A-ms98-a-0041,184.456375,184.762250,who,I,sd@,u-58-1
sw3294A-ms98-a-0041,184.762250,185.042500,who,I,sd@,u-58-1
sw3294A-ms98-a-0041,185.341250,185.482125,want,I,sd@,u-58-1
sw3294A-ms98-a-0041,185.482125,185.601750,you,I,sd@,u-58-1
sw3294A-ms98-a-0041,185.601750,185.691750,to,I,sd@,u-58-1
sw3294A-ms98-a-0041,185.691750,186.031750,basically,I,sd@,u-58-1
sw3294A-ms98-a-0041,186.031750,186.191750,help,I,sd@,u-58-1
sw3294A-ms98-a-0041,186.191750,186.321750,them,I,sd@,u-58-1
sw3294A-ms98-a-0041,186.321750,186.501750,fill,I,sd@,u-58-1
sw3294A-ms98-a-0041,186.501750,186.601750,out,I,sd@,u-58-1
sw3294A-ms98-a-0041,186.601750,186.651750,a,I,sd@,u-58-1
sw3294A-ms98-a-0041,186.651750,187.431750,questionnaire,I,sd@,u-58-1
sw3294A-ms98-a-0045,192.272750,192.442750,well,B,sd,u-60-1
sw3294A-ms98-a-0045,192.442750,192.482750,i,I,sd,u-60-1
sw3294A-ms98-a-0045,192.482750,192.682750,think,I,sd,u-60-1
sw3294A-ms98-a-0045,192.682750,192.892750,these,I,sd,u-60-1
sw3294A-ms98-a-0045,192.892750,193.102750,people,I,sd,u-60-1
sw3294A-ms98-a-0045,193.102750,193.182750,are,I,sd,u-60-1
sw3294A-ms98-a-0045,193.182750,193.452750,hired,I,sd,u-60-1
sw3294A-ms98-a-0045,193.452750,193.615375,by,I,sd,u-60-1
sw3294A-ms98-a-0045,193.886625,194.144625,from,I,sd,u-60-1
sw3294A-ms98-a-0045,194.432750,194.662750,from,I,sd,u-60-1
sw3294A-ms98-a-0045,194.662750,194.962750,different,I,sd,u-60-1
sw3294A-ms98-a-0045,194.962750,195.610000,sources,I,sd,u-60-1
sw3294A-ms98-a-0046,196.263875,196.744000,um,B,%,u-62-1
sw3294A-ms98-a-0046,196.744000,197.465125,[vocalized-noise],I,%,u-62-1
sw3294A-ms98-a-0046,197.465125,197.783875,with,I,%,u-62-1
sw3294A-ms98-a-0046,197.783875,197.943875,you,I,%,u-62-1
sw3294A-ms98-a-0046,197.943875,198.283875,know,I,%,u-62-1
sw3294A-ms98-a-0046,198.283875,198.503875,and,B,sv,u-62-2
sw3294A-ms98-a-0046,198.503875,198.613875,so,I,sv,u-62-2
sw3294A-ms98-a-0046,198.613875,198.893875,therefore,I,sv,u-62-2
sw3294A-ms98-a-0046,198.893875,199.033875,there's,I,sv,u-62-2
sw3294A-ms98-a-0046,199.033875,199.173875,no,I,sv,u-62-2
sw3294A-ms98-a-0046,199.173875,199.463875,one,I,sv,u-62-2
sw3294A-ms98-a-0046,199.463875,199.823875,answer,I,sv,u-62-2
sw3294A-ms98-a-0046,199.823875,199.993000,but,B,%,u-62-3
sw3294A-ms98-a-0046,200.170000,200.343875,but,I,%,u-62-3
sw3294A-ms98-a-0046,200.343875,200.993875,[vocalized-noise],I,%,u-62-3
sw3294A-ms98-a-0047,201.919750,202.079750,yeah,I,%,u-62-3
sw3294A-ms98-a-0047,202.079750,202.339750,sometimes,B,sd,u-62-4
sw3294A-ms98-a-0047,202.339750,202.479750,it's,I,sd,u-62-4
sw3294A-ms98-a-0047,202.479750,202.529750,a,I,sd,u-62-4
sw3294A-ms98-a-0047,202.529750,202.879750,market,I,sd,u-62-4
sw3294A-ms98-a-0047,202.879750,203.129750,sur[vey]-,I,sd,u-62-4
sw3294A-ms98-a-0047,203.129750,203.639750,basically,I,sd,u-62-4
sw3294A-ms98-a-0047,203.639750,203.749750,it's,I,sd,u-62-4
sw3294A-ms98-a-0047,203.749750,203.799750,a,I,sd,u-62-4
sw3294A-ms98-a-0047,203.799750,204.129750,market,I,sd,u-62-4
sw3294A-ms98-a-0047,204.129750,204.677375,survey,I,sd,u-62-4
sw3294A-ms98-a-0047,205.019750,205.159750,but,B,sv,u-64-1
sw3294A-ms98-a-0047,205.159750,205.239750,they,I,sv,u-64-1
sw3294A-ms98-a-0047,205.239750,205.469750,never,I,sv,u-64-1
sw3294A-ms98-a-0047,205.469750,205.709750,say,I,sv,u-64-1
sw3294A-ms98-a-0047,205.709750,205.948875,who,I,sv,u-64-1
sw3294A-ms98-a-0047,206.104750,206.335125,who,I,sv,u-64-1
sw3294A-ms98-a-0047,206.335125,206.509750,they're,I,sv,u-64-1
sw3294A-ms98-a-0047,206.509750,206.729750,really,I,sv,u-64-1
sw3294A-ms98-a-0047,206.729750,207.039750,working,I,sv,u-64-1
sw3294A-ms98-a-0047,207.039750,207.149750,for,I,sv,u-64-1
sw3294A-ms98-a-0047,207.149750,207.339750,or,I,sv,u-64-1
sw3294A-ms98-a-0047,207.339750,207.509750,what,I,sv,u-64-1
sw3294A-ms98-a-0047,208.779750,208.879750,you,I,sv,u-64-1
sw3294A-ms98-a-0047,208.879750,209.049750,know,I,sv,u-64-1
sw3294A-ms98-a-0047,209.239750,209.409750,what,I,sv,u-64-1
sw3294A-ms98-a-0047,209.509750,209.649750,what,B,+,u-66-1
sw3294A-ms98-a-0047,209.909750,210.109750,what,I,+,u-66-1
sw3294A-ms98-a-0047,210.109750,210.569750,questions,I,+,u-66-1
sw3294A-ms98-a-0047,210.569750,210.639750,are,I,+,u-66-1
sw3294A-ms98-a-0047,210.799750,210.879750,you,I,+,u-66-1
sw3294A-ms98-a-0047,210.879750,211.151875,know,I,+,u-66-1
sw3294A-ms98-a-0049,220.371625,220.631625,yeah,B,b,u-68-1
sw3294A-ms98-a-0051,225.001000,225.211000,yeah,B,b,u-70-1
sw3294A-ms98-a-0053,228.021875,228.261875,yeah,B,b,u-72-1
sw3294A-ms98-a-0055,230.275375,230.505375,yeah,B,b,u-74-1
sw3294A-ms98-a-0057,232.249750,232.489750,right,B,b,u-76-1
sw3294A-ms98-a-0057,232.689750,232.959750,well,B,sd,u-76-2
sw3294A-ms98-a-0057,232.959750,233.119750,[vocalized-noise],I,sd,u-76-2
sw3294A-ms98-a-0057,233.119750,233.279750,and,I,sd,u-76-2
sw3294A-ms98-a-0057,233.279750,233.569750,sometimes,I,sd,u-76-2
sw3294A-ms98-a-0057,233.569750,233.865250,that's,I,sd,u-76-2
sw3294A-ms98-a-0057,233.989500,234.109750,this,I,sd,u-76-2
sw3294A-ms98-a-0057,234.109750,234.189750,is,I,sd,u-76-2
sw3294A-ms98-a-0057,234.189750,234.399750,just,I,sd,u-76-2
sw3294A-ms98-a-0057,234.399750,234.469750,the,I,sd,u-76-2
sw3294A-ms98-a-0057,234.469750,234.639750,lead,I,sd,u-76-2
sw3294A-ms98-a-0057,234.639750,234.799750,in,I,sd,u-76-2
sw3294A-ms98-a-0057,234.799750,234.919750,to,I,sd,u-76-2
sw3294A-ms98-a-0057,234.919750,234.969750,a,I,sd,u-76-2
sw3294A-ms98-a-0057,234.969750,235.319750,sales,I,sd,u-76-2
sw3294A-ms98-a-0057,235.319750,235.731375,pitch,I,sd,u-76-2
sw3294A-ms98-a-0057,235.951000,236.261875,too,B,+,u-78-1
sw3294A-ms98-a-0058,236.934750,237.084750,other,B,sv,u-78-2
sw3294A-ms98-a-0058,237.084750,237.354750,times,I,sv,u-78-2
sw3294A-ms98-a-0058,237.354750,237.634750,it's,I,sv,u-78-2
sw3294A-ms98-a-0058,237.634750,237.754750,you,I,sv,u-78-2
sw3294A-ms98-a-0058,237.754750,237.969000,know,I,sv,u-78-2
sw3294A-ms98-a-0058,238.164750,238.544750,wasting,I,sv,u-78-2
sw3294A-ms98-a-0058,238.544750,238.664750,your,I,sv,u-78-2
sw3294A-ms98-a-0058,238.664750,238.934750,time,I,sv,u-78-2
sw3294A-ms98-a-0058,238.934750,239.044750,to,B,+,u-80-1
sw3294A-ms98-a-0058,239.044750,239.324750,collect,I,+,u-80-1
sw3294A-ms98-a-0058,239.324750,239.384750,the,I,+,u-80-1
sw3294A-ms98-a-0058,239.384750,239.664750,data,I,+,u-80-1
sw3294A-ms98-a-0058,239.664750,239.824750,they,I,+,u-80-1
sw3294A-ms98-a-0058,239.824750,240.084750,want,I,+,u-80-1
sw3294A-ms98-a-0058,240.084750,240.227125,for,I,+,u-80-1
sw3294A-ms98-a-0058,240.227125,240.451625,[laughter-their],O,,
sw3294A-ms98-a-0059,241.116000,241.456000,marketing,B,+,u-82-1
sw3294A-ms98-a-0059,241.456000,241.823750,purpose,I,+,u-82-1
sw3294A-ms98-a-0059,242.062500,242.176000,for,B,sd,u-82-2
sw3294A-ms98-a-0059,242.176000,242.346000,which,I,sd,u-82-2
sw3294A-ms98-a-0059,242.346000,242.456000,if,I,sd,u-82-2
