sw2950B-ms98-a-0002,4.572500,5.202500,certainly,B,aa,u-2-1
sw2950B-ms98-a-0004,26.504750,26.624750,has,I,sd,u-10-2
sw2950B-ms98-a-0004,26.624750,26.884750,not,I,sd,u-10-2
sw2950B-ms98-a-0004,26.884750,27.281250,really,B,+,u-12-1
sw2950B-ms98-a-0004,28.049625,28.184750,which,I,+,u-12-1
sw2950B-ms98-a-0004,28.184750,28.304750,is,I,+,u-12-1
sw2950B-ms98-a-0004,28.304750,28.344750,a,I,+,u-12-1
sw2950B-ms98-a-0004,28.344750,28.504750,bit,I,+,u-12-1
sw2950B-ms98-a-0004,28.504750,28.594750,of,I,+,u-12-1
sw2950B-ms98-a-0004,28.594750,28.644750,a,I,+,u-12-1
sw2950B-ms98-a-0004,28.644750,29.344750,disappointment,I,+,u-12-1
sw2950B-ms98-a-0004,29.344750,29.494750,but,B,sd,u-12-2
sw2950B-ms98-a-0004,29.494750,29.614750,it,B,+,u-14-1
sw2950B-ms98-a-0004,29.614750,29.804750,is,I,+,u-14-1
sw2950B-ms98-a-0004,29.804750,30.134750,very,I,+,u-14-1
sw2950B-ms98-a-0004,30.134750,30.464750,warm,I,+,u-14-1
sw2950B-ms98-a-0004,30.464750,30.654750,here,I,+,u-14-1
sw2950B-ms98-a-0004,30.654750,30.814750,which,I,+,u-14-1
sw2950B-ms98-a-0004,30.814750,30.904750,is,I,+,u-14-1
sw2950B-ms98-a-0004,30.904750,31.314750,typical,I,+,u-14-1
sw2950B-ms98-a-0004,31.314750,31.444750,for,I,+,u-14-1
sw2950B-ms98-a-0004,31.444750,31.584750,this,I,+,u-14-1
sw2950B-ms98-a-0004,31.584750,31.814750,part,I,+,u-14-1
sw2950B-ms98-a-0004,31.814750,31.874750,of,I,+,u-14-1
sw2950B-ms98-a-0004,31.874750,32.204750,the,I,+,u-14-1
sw2950B-ms98-a-0004,32.204750,32.474750,time,I,+,u-14-1
sw2950B-ms98-a-0004,32.474750,32.534750,of,I,+,u-14-1
sw2950B-ms98-a-0004,32.534750,32.594750,the,I,+,u-14-1
sw2950B-ms98-a-0004,32.594750,32.955000,year,I,+,u-14-1
sw2950B-ms98-a-0004,33.693250,33.824750,how,B,qo,u-16-1
sw2950B-ms98-a-0004,33.824750,34.064750,about,I,qo,u-16-1
sw2950B-ms98-a-0004,34.064750,34.403250,Pennsyl[vania]-,O,,
sw2950B-ms98-a-0006,42.238500,42.392250,it,B,na,u-18-1
sw2950B-ms98-a-0006,42.392250,42.882250,starts,I,na,u-18-1
sw2950B-ms98-a-0006,42.882250,43.222250,in,I,na,u-18-1
sw2950B-ms98-a-0006,43.222250,43.472250,uh,I,na,u-18-1
sw2950B-ms98-a-0006,43.472250,43.902250,March,I,na,u-18-1
sw2950B-ms98-a-0006,43.902250,44.032250,as,I,na,u-18-1
sw2950B-ms98-a-0006,44.032250,44.092250,a,I,na,u-18-1
sw2950B-ms98-a-0006,44.092250,44.402250,rule,I,na,u-18-1
sw2950B-ms98-a-0008,53.378125,53.714375,really,B,bh,u-20-1
sw2950B-ms98-a-0008,53.714375,53.894375,this,B,qy,u-20-2
sw2950B-ms98-a-0008,53.894375,54.337125,late,I,qy,u-20-2
sw2950B-ms98-a-0008,54.672375,54.814375,could,B,qy,u-22-1
sw2950B-ms98-a-0008,54.814375,54.894375,you,I,qy,u-22-1
sw2950B-ms98-a-0008,54.894375,55.054375,have,I,qy,u-22-1
sw2950B-ms98-a-0008,55.054375,55.471750,snow,I,qy,u-22-1
sw2950B-ms98-a-0010,62.074750,62.359250,oh,B,sd,u-24-1
sw2950B-ms98-a-0010,62.359250,62.687750,well,I,sd,u-24-1
sw2950B-ms98-a-0010,63.090875,63.259250,we,B,+,u-26-1
sw2950B-ms98-a-0010,63.259250,63.429250,don't,I,+,u-26-1
sw2950B-ms98-a-0010,63.429250,63.649250,have,I,+,u-26-1
sw2950B-ms98-a-0010,63.649250,63.839250,that,I,+,u-26-1
sw2950B-ms98-a-0010,63.839250,64.299250,problem,I,+,u-26-1
sw2950B-ms98-a-0010,64.299250,65.879000,[laughter],O,,
sw2950B-ms98-a-0012,73.060750,73.188500,oh,B,ba,u-28-1
sw2950B-ms98-a-0012,73.188500,73.278500,well,I,ba,u-28-1
sw2950B-ms98-a-0012,73.278500,73.508500,that,I,ba,u-28-1
sw2950B-ms98-a-0012,73.508500,73.698500,is,I,ba,u-28-1
sw2950B-ms98-a-0012,73.698500,74.199875,nice,I,ba,u-28-1
sw2950B-ms98-a-0014,78.100500,78.924500,uh,B,sd,u-30-1
sw2950B-ms98-a-0014,78.924500,79.064500,well,I,sd,u-30-1
sw2950B-ms98-a-0014,79.064500,79.124500,we,B,+,u-32-1
sw2950B-ms98-a-0014,79.124500,79.224500,will,I,+,u-32-1
sw2950B-ms98-a-0014,79.224500,79.314500,be,I,+,u-32-1
sw2950B-ms98-a-0014,79.314500,79.494500,glad,I,+,u-32-1
sw2950B-ms98-a-0014,79.494500,79.534500,i,I,+,u-32-1
sw2950B-ms98-a-0014,79.534500,79.634500,will,I,+,u-32-1
sw2950B-ms98-a-0014,79.634500,79.724500,be,I,+,u-32-1
sw2950B-ms98-a-0014,79.724500,79.924500,glad,I,+,u-32-1
sw2950B-ms98-a-0014,79.924500,79.984500,to,I,+,u-32-1
sw2950B-ms98-a-0014,79.984500,80.084500,give,I,+,u-32-1
sw2950B-ms98-a-0014,80.084500,80.144500,you,I,+,u-32-1
sw2950B-ms98-a-0014,80.144500,80.324500,some,I,+,u-32-1
sw2950B-ms98-a-0014,80.324500,80.444500,of,I,+,u-32-1
sw2950B-ms98-a-0014,80.444500,80.774500,ours,I,+,u-32-1
sw2950B-ms98-a-0014,80.774500,82.004500,[laughter],O,,
sw2950B-ms98-a-0014,82.004500,82.244500,usually,B,sd,u-34-1
sw2950B-ms98-a-0014,82.244500,82.334500,we,I,sd,u-34-1
sw2950B-ms98-a-0014,82.334500,82.504500,get,I,sd,u-34-1
sw2950B-ms98-a-0014,82.504500,82.694500,it,I,sd,u-34-1
sw2950B-ms98-a-0014,82.694500,82.924500,in,I,sd,u-34-1
sw2950B-ms98-a-0014,82.924500,83.254500,in,I,sd,u-34-1
sw2950B-ms98-a-0014,83.254500,83.594500,great,I,sd,u-34-1
sw2950B-ms98-a-0014,83.594500,84.254500,quantities,I,sd,u-34-1
sw2950B-ms98-a-0014,84.254500,84.364500,in,I,sd,u-34-1
sw2950B-ms98-a-0014,84.364500,84.764500,April,B,+,u-36-1
sw2950B-ms98-a-0014,84.764500,84.924500,and,I,+,u-36-1
sw2950B-ms98-a-0014,84.924500,85.299750,May,I,+,u-36-1
sw2950B-ms98-a-0015,86.332375,86.562375,and,B,sd,u-38-1
sw2950B-ms98-a-0015,86.562375,86.752375,then,I,sd,u-38-1
sw2950B-ms98-a-0015,86.752375,86.992375,it,I,sd,u-38-1
sw2950B-ms98-a-0015,86.992375,87.382375,stops,I,sd,u-38-1
sw2950B-ms98-a-0015,87.382375,87.512375,for,I,sd,u-38-1
sw2950B-ms98-a-0015,87.512375,87.762375,three,I,sd,u-38-1
sw2950B-ms98-a-0015,87.762375,88.247500,months,I,sd,u-38-1
sw2950B-ms98-a-0017,91.055750,91.707750,right,B,b,u-40-1
sw2950B-ms98-a-0019,113.608125,113.827125,um,B,b,u-42-1
sw2950B-ms98-a-0019,113.827125,113.941625,are,B,qy,u-42-2
sw2950B-ms98-a-0019,113.941625,114.101625,you,I,qy,u-42-2
sw2950B-ms98-a-0019,114.101625,114.181625,in,I,qy,u-42-2
sw2950B-ms98-a-0019,114.181625,114.311625,an,I,qy,u-42-2
sw2950B-ms98-a-0019,114.311625,114.961625,agricultural,I,qy,u-42-2
sw2950B-ms98-a-0019,114.961625,115.286000,area,I,qy,u-42-2
sw2950B-ms98-a-0020,117.138125,117.326875,well,B,sv,u-44-1
sw2950B-ms98-a-0020,117.326875,117.386875,i,I,sv,u-44-1
sw2950B-ms98-a-0020,117.386875,117.566875,know,I,sv,u-44-1
sw2950B-ms98-a-0020,117.566875,117.636875,the,I,sv,u-44-1
sw2950B-ms98-a-0020,117.636875,117.826875,wea[ther]-,I,sv,u-44-1
sw2950B-ms98-a-0020,117.826875,117.916875,i,I,sv,u-44-1
sw2950B-ms98-a-0020,117.916875,118.126875,know,I,sv,u-44-1
sw2950B-ms98-a-0020,118.126875,118.206875,the,I,sv,u-44-1
sw2950B-ms98-a-0020,118.206875,118.556875,weather,I,sv,u-44-1
sw2950B-ms98-a-0020,118.556875,118.856500,is,I,sv,u-44-1
sw2950B-ms98-a-0020,118.856500,119.146875,very,I,sv,u-44-1
sw2950B-ms98-a-0020,119.146875,119.606875,important,I,sv,u-44-1
sw2950B-ms98-a-0020,119.606875,119.676875,for,I,sv,u-44-1
sw2950B-ms98-a-0020,119.676875,119.926875,people,I,sv,u-44-1
sw2950B-ms98-a-0020,119.926875,119.986875,who,I,sv,u-44-1
sw2950B-ms98-a-0020,119.986875,120.176875,make,I,sv,u-44-1
sw2950B-ms98-a-0020,120.176875,120.306875,their,I,sv,u-44-1
sw2950B-ms98-a-0020,120.306875,120.606875,living,I,sv,u-44-1
sw2950B-ms98-a-0020,120.606875,120.786875,off,I,sv,u-44-1
sw2950B-ms98-a-0020,120.786875,121.212125,of,I,sv,u-44-1
sw2950B-ms98-a-0020,121.453250,121.646750,off,B,+,u-46-1
sw2950B-ms98-a-0020,121.646750,121.782375,of,I,+,u-46-1
sw2950B-ms98-a-0020,121.782375,121.896875,the,I,+,u-46-1
sw2950B-ms98-a-0020,121.896875,122.423125,land,I,+,u-46-1
sw2950B-ms98-a-0022,128.188250,128.569500,uh-huh,B,b,u-48-1
sw2950B-ms98-a-0024,131.775000,132.144375,uh-huh,B,b,u-50-1
sw2950B-ms98-a-0026,134.435750,134.674500,hum,O,,
sw2950B-ms98-a-0026,134.959375,135.038750,well,B,sv,u-52-2
sw2950B-ms98-a-0026,135.038750,135.098125,you,I,sv,u-52-2
sw2950B-ms98-a-0026,135.098125,135.202000,know,I,sv,u-52-2
sw2950B-ms98-a-0026,135.202000,135.332000,there,I,sv,u-52-2
sw2950B-ms98-a-0026,135.332000,135.472000,are,I,sv,u-52-2
sw2950B-ms98-a-0026,135.472000,135.612000,some,I,sv,u-52-2
sw2950B-ms98-a-0026,135.612000,136.382000,disadvantages,I,sv,u-52-2
sw2950B-ms98-a-0026,136.382000,136.502000,to,I,sv,u-52-2
sw2950B-ms98-a-0026,136.502000,136.772000,being,I,sv,u-52-2
sw2950B-ms98-a-0026,136.772000,137.032000,down,I,sv,u-52-2
sw2950B-ms98-a-0026,137.032000,137.629500,south,I,sv,u-52-2
sw2950B-ms98-a-0026,138.062625,138.162000,and,B,sv,u-54-1
sw2950B-ms98-a-0026,138.162000,138.362000,that,I,sv,u-54-1
sw2950B-ms98-a-0026,138.362000,138.532000,is,I,sv,u-54-1
sw2950B-ms98-a-0026,138.532000,138.622000,it,I,sv,u-54-1
sw2950B-ms98-a-0026,138.622000,138.842000,gets,I,sv,u-54-1
sw2950B-ms98-a-0026,138.842000,139.032000,so,I,sv,u-54-1
sw2950B-ms98-a-0026,139.032000,139.362000,hot,I,sv,u-54-1
sw2950B-ms98-a-0026,139.362000,139.532000,that,I,sv,u-54-1
sw2950B-ms98-a-0026,139.532000,139.872000,you,I,sv,u-54-1
sw2950B-ms98-a-0026,139.872000,140.012000,know,I,sv,u-54-1
sw2950B-ms98-a-0026,140.012000,140.042000,a,I,sv,u-54-1
sw2950B-ms98-a-0026,140.042000,140.232000,lot,I,sv,u-54-1
sw2950B-ms98-a-0026,140.232000,140.322000,of,I,sv,u-54-1
sw2950B-ms98-a-0026,140.322000,140.592000,things,I,sv,u-54-1
sw2950B-ms98-a-0026,140.592000,140.955500,die,I,sv,u-54-1
sw2950B-ms98-a-0026,140.955500,141.162000,during,I,sv,u-54-1
sw2950B-ms98-a-0026,141.162000,141.232000,the,I,sv,u-54-1
sw2950B-ms98-a-0026,141.232000,141.512000,summer,I,sv,u-54-1
sw2950B-ms98-a-0026,141.512000,141.712000,from,I,sv,u-54-1
sw2950B-ms98-a-0026,141.712000,141.857375,the,I,sv,u-54-1
sw2950B-ms98-a-0026,141.857375,142.319750,heat,I,sv,u-54-1
sw2950B-ms98-a-0028,144.372375,144.642375,they,B,aa,u-56-1
sw2950B-ms98-a-0028,144.642375,144.792375,they,I,aa,u-56-1
sw2950B-ms98-a-0028,144.792375,145.022375,really,I,aa,u-56-1
sw2950B-ms98-a-0028,145.022375,145.142375,do,I,aa,u-56-1
sw2950B-ms98-a-0028,145.142375,145.262375,and,B,sv,u-58-1
sw2950B-ms98-a-0028,145.262375,145.332375,you,I,sv,u-58-1
sw2950B-ms98-a-0028,145.332375,145.492375,have,I,sv,u-58-1
sw2950B-ms98-a-0028,145.492375,145.552375,to,I,sv,u-58-1
sw2950B-ms98-a-0028,145.552375,145.642375,be,I,sv,u-58-1
sw2950B-ms98-a-0028,145.642375,146.103125,very,I,sv,u-58-1
sw2950B-ms98-a-0028,146.103125,146.432375,careful,I,sv,u-58-1
sw2950B-ms98-a-0028,146.432375,146.512375,to,I,sv,u-58-1
sw2950B-ms98-a-0028,146.512375,146.692375,make,I,sv,u-58-1
sw2950B-ms98-a-0028,146.692375,146.842375,sure,I,sv,u-58-1
sw2950B-ms98-a-0028,146.842375,146.932375,you,I,sv,u-58-1
sw2950B-ms98-a-0028,146.932375,147.132375,keep,I,sv,u-58-1
sw2950B-ms98-a-0028,147.132375,147.552375,everything,I,sv,u-58-1
sw2950B-ms98-a-0028,147.552375,147.971625,watered,I,sv,u-58-1
sw2950B-ms98-a-0030,167.461250,167.701250,yeah,B,aa,u-60-1
sw2950B-ms98-a-0030,167.701250,167.861250,well,B,sd,u-60-2
sw2950B-ms98-a-0030,167.861250,167.991250,my,I,sd,u-60-2
sw2950B-ms98-a-0030,167.991250,168.411250,parents,I,sd,u-60-2
sw2950B-ms98-a-0030,168.411250,168.471250,are,I,sd,u-60-2
sw2950B-ms98-a-0030,168.471250,168.661250,now,I,sd,u-60-2
sw2950B-ms98-a-0030,168.661250,168.761250,in,I,sd,u-60-2
sw2950B-ms98-a-0030,168.761250,168.961250,San,I,sd,u-60-2
sw2950B-ms98-a-0030,168.961250,169.461250,Diego,I,sd,u-60-2
sw2950B-ms98-a-0030,169.461250,169.651250,and,B,sd,u-60-3
sw2950B-ms98-a-0030,169.651250,169.841250,and,I,sd,u-60-3
sw2950B-ms98-a-0030,169.841250,169.981250,they've,I,sd,u-60-3
sw2950B-ms98-a-0030,169.981250,170.201250,got,I,sd,u-60-3
sw2950B-ms98-a-0030,170.201250,170.571250,pebbles,I,sd,u-60-3
sw2950B-ms98-a-0030,170.571250,170.681250,in,I,sd,u-60-3
sw2950B-ms98-a-0030,170.681250,170.771250,their,I,sd,u-60-3
sw2950B-ms98-a-0030,170.771250,171.031250,yard,I,sd,u-60-3
sw2950B-ms98-a-0030,171.031250,171.445750,because,I,sd,u-60-3
sw2950B-ms98-a-0030,171.445750,171.698500,[laughter-they],I,sd,u-60-3
sw2950B-ms98-a-0030,171.698500,171.999375,can't,I,sd,u-60-3
sw2950B-ms98-a-0030,172.481500,172.921250,almost,B,+,u-62-1
sw2950B-ms98-a-0030,172.921250,173.281250,nobody,I,+,u-62-1
sw2950B-ms98-a-0030,173.281250,173.481250,there,I,+,u-62-1
sw2950B-ms98-a-0030,173.481250,173.761250,has,I,+,u-62-1
sw2950B-ms98-a-0030,173.761250,174.001250,has,I,+,u-62-1
sw2950B-ms98-a-0030,174.001250,174.523375,lawns,I,+,u-62-1
sw2950B-ms98-a-0032,177.685000,178.085875,yeah,B,b,u-64-1
sw2950B-ms98-a-0032,178.941875,179.130625,uh,B,sd,u-66-1
sw2950B-ms98-a-0032,179.130625,179.260625,it,I,sd,u-66-1
sw2950B-ms98-a-0032,179.260625,179.460625,is,I,sd,u-66-1
sw2950B-ms98-a-0032,179.460625,179.730625,very,I,sd,u-66-1
sw2950B-ms98-a-0032,179.730625,179.830625,it,I,sd,u-66-1
sw2950B-ms98-a-0032,179.830625,179.890625,is,I,sd,u-66-1
sw2950B-ms98-a-0032,179.890625,180.100625,very,I,sd,u-66-1
sw2950B-ms98-a-0032,180.100625,180.330625,rough,I,sd,u-66-1
sw2950B-ms98-a-0032,180.330625,180.500625,on,I,sd,u-66-1
sw2950B-ms98-a-0032,180.500625,180.710625,them,I,sd,u-66-1
sw2950B-ms98-a-0032,180.710625,181.037250,so,B,%,u-66-2
sw2950B-ms98-a-0032,181.195375,181.520625,actually,B,sd,u-68-1
sw2950B-ms98-a-0032,181.520625,181.550625,i,I,sd,u-68-1
sw2950B-ms98-a-0032,181.550625,181.760625,think,I,sd,u-68-1
sw2950B-ms98-a-0032,181.760625,181.850625,i,I,sd,u-68-1
sw2950B-ms98-a-0032,181.850625,182.050625,think,I,sd,u-68-1
sw2950B-ms98-a-0032,182.050625,182.160625,it,I,sd,u-68-1
sw2950B-ms98-a-0032,182.160625,182.220625,is,I,sd,u-68-1
sw2950B-ms98-a-0032,182.220625,182.540875,pretty,I,sd,u-68-1
sw2950B-ms98-a-0032,182.763000,183.220625,moderate,I,sd,u-68-1
sw2950B-ms98-a-0032,183.220625,183.440625,here,I,sd,u-68-1
sw2950B-ms98-a-0032,183.440625,183.520625,in,I,sd,u-68-1
sw2950B-ms98-a-0032,183.520625,183.875125,Dallas,I,sd,u-68-1
sw2950B-ms98-a-0032,183.875125,184.020625,because_1,O,,
sw2950B-ms98-a-0032,184.020625,184.170625,the,B,sd,u-68-2
sw2950B-ms98-a-0032,184.170625,184.280625,the,I,sd,u-68-2
sw2950B-ms98-a-0032,184.280625,184.645000,summers,I,sd,u-68-2
sw2950B-ms98-a-0032,184.645000,184.940625,are,I,sd,u-68-2
sw2950B-ms98-a-0032,184.940625,185.680625,extremely,I,sd,u-68-2
sw2950B-ms98-a-0032,185.680625,186.069125,hot,I,sd,u-68-2
sw2950B-ms98-a-0034,194.744500,195.414250,um,B,qw,u-70-1
sw2950B-ms98-a-0034,195.414250,195.524250,what,I,qw,u-70-1
sw2950B-ms98-a-0034,195.524250,195.584250,is,I,qw,u-70-1
sw2950B-ms98-a-0034,195.584250,195.734250,your,I,qw,u-70-1
sw2950B-ms98-a-0034,195.734250,195.874250,hum[idity]-,I,qw,u-70-1
sw2950B-ms98-a-0034,195.874250,196.274250,humidity,I,qw,u-70-1
sw2950B-ms98-a-0034,196.274250,196.619625,like,I,qw,u-70-1
sw2950B-ms98-a-0036,206.344500,206.720875,uh,B,sd,u-72-1
sw2950B-ms98-a-0036,206.720875,206.841500,i,I,sd,u-72-1
sw2950B-ms98-a-0036,206.841500,207.008000,don't,I,sd,u-72-1
sw2950B-ms98-a-0036,207.008000,207.108000,know,I,sd,u-72-1
sw2950B-ms98-a-0036,207.108000,207.358000,what,I,sd,u-72-1
sw2950B-ms98-a-0036,207.358000,207.538000,what,I,sd,u-72-1
sw2950B-ms98-a-0036,207.538000,207.628000,it,I,sd,u-72-1
sw2950B-ms98-a-0036,207.628000,207.842625,is,I,sd,u-72-1
sw2950B-ms98-a-0036,207.842625,208.358000,percentage,I,sd,u-72-1
sw2950B-ms98-a-0036,208.358000,208.778000,wise,I,sd,u-72-1
sw2950B-ms98-a-0036,208.778000,208.968000,but,B,%,u-72-2
sw2950B-ms98-a-0036,208.968000,209.171125,i,I,%,u-72-2
sw2950B-ms98-a-0038,217.416125,217.639375,yeah,B,b,u-74-1
sw2950B-ms98-a-0038,217.639375,217.854875,it's,O,,
sw2950B-ms98-a-0038,217.854875,218.165625,it's,O,,
sw2950B-ms98-a-0038,218.331375,218.914875,drier,B,sd,u-74-2
sw2950B-ms98-a-0038,218.914875,219.084875,in,I,sd,u-74-2
sw2950B-ms98-a-0038,219.084875,219.554875,Dallas,I,sd,u-74-2
sw2950B-ms98-a-0038,219.554875,219.664875,than,I,sd,u-74-2
sw2950B-ms98-a-0038,219.664875,219.744875,it,I,sd,u-74-2
sw2950B-ms98-a-0038,219.744875,219.884875,is,I,sd,u-74-2
sw2950B-ms98-a-0038,219.884875,219.984875,in,I,sd,u-74-2
sw2950B-ms98-a-0038,219.984875,220.324875,Houston,I,sd,u-74-2
sw2950B-ms98-a-0038,220.324875,220.424875,or,I,sd,u-74-2
sw2950B-ms98-a-0038,220.424875,220.644875,San,I,sd,u-74-2
sw2950B-ms98-a-0038,220.644875,221.291500,Antonio,I,sd,u-74-2
sw2950B-ms98-a-0038,221.532500,221.584875,or,B,+,u-76-1
sw2950B-ms98-a-0038,221.584875,221.784875,even,I,+,u-76-1
sw2950B-ms98-a-0038,221.784875,222.212625,Austin,I,+,u-76-1
sw2950B-ms98-a-0038,222.397125,222.514875,which,B,+,u-78-1
sw2950B-ms98-a-0038,222.514875,222.614875,is,I,+,u-78-1
sw2950B-ms98-a-0038,222.614875,222.844875,further,I,+,u-78-1
sw2950B-ms98-a-0038,222.844875,223.384250,south,I,+,u-78-1
sw2950B-ms98-a-0038,224.287500,224.564875,but,B,sd,u-80-1
sw2950B-ms98-a-0038,224.564875,224.684875,it,I,sd,u-80-1
sw2950B-ms98-a-0038,224.684875,224.804875,is,I,sd,u-80-1
sw2950B-ms98-a-0038,224.804875,225.064875,not,I,sd,u-80-1
sw2950B-ms98-a-0038,225.064875,225.364875,dry,I,sd,u-80-1
sw2950B-ms98-a-0038,225.364875,225.574875,and,B,sd,u-80-2
sw2950B-ms98-a-0038,225.574875,225.874875,and,I,sd,u-80-2
sw2950B-ms98-a-0038,225.874875,225.904875,i,I,sd,u-80-2
sw2950B-ms98-a-0038,225.904875,226.024875,have,I,sd,u-80-2
sw2950B-ms98-a-0038,226.024875,226.194875,lived,I,sd,u-80-2
sw2950B-ms98-a-0038,226.194875,226.304875,here,I,sd,u-80-2
sw2950B-ms98-a-0038,226.304875,226.424875,for,I,sd,u-80-2
sw2950B-ms98-a-0038,226.424875,226.654875,many,I,sd,u-80-2
sw2950B-ms98-a-0038,226.654875,226.964875,years,I,sd,u-80-2
sw2950B-ms98-a-0038,226.964875,227.084875,and,B,sd,u-80-3
sw2950B-ms98-a-0038,227.084875,227.134875,i,I,sd,u-80-3
sw2950B-ms98-a-0038,227.134875,227.354875,think,I,sd,u-80-3
sw2950B-ms98-a-0038,227.354875,227.414875,it,I,sd,u-80-3
sw2950B-ms98-a-0038,227.414875,227.504875,has,I,sd,u-80-3
sw2950B-ms98-a-0038,227.504875,227.734875,gotten,I,sd,u-80-3
sw2950B-ms98-a-0038,227.734875,228.008250,more,I,sd,u-80-3
sw2950B-ms98-a-0038,228.008250,228.314875,humid,I,sd,u-80-3
sw2950B-ms98-a-0038,228.314875,228.484875,over,I,sd,u-80-3
sw2950B-ms98-a-0038,228.484875,228.554875,the,I,sd,u-80-3
sw2950B-ms98-a-0038,228.554875,228.794875,years,I,sd,u-80-3
