sw2657A-ms98-a-0002,0.474125,0.660375,huh,B,br,u-1-1
sw2657A-ms98-a-0004,11.360250,11.620250,ones,I,sv,u-7-1
sw2657A-ms98-a-0004,11.620250,11.720250,at,I,sv,u-7-1
sw2657A-ms98-a-0004,11.720250,11.920250,don't,I,sv,u-7-1
sw2657A-ms98-a-0004,11.920250,12.040250,know,I,sv,u-7-1
sw2657A-ms98-a-0004,12.040250,12.522500,anything,I,sv,u-7-1
sw2657A-ms98-a-0005,12.699500,13.522875,[laughter],O,,
sw2657A-ms98-a-0006,14.309125,14.639500,well,B,sd,u-9-1
sw2657A-ms98-a-0006,15.500250,15.954250,uh,I,sd,u-9-1
sw2657A-ms98-a-0006,16.293250,16.468000,i've,I,sd,u-9-1
sw2657A-ms98-a-0006,16.468000,16.658000,had,I,sd,u-9-1
sw2657A-ms98-a-0006,16.658000,17.428000,teenagers,I,sd,u-9-1
sw2657A-ms98-a-0006,17.428000,17.888000,and,B,sd,u-9-2
sw2657A-ms98-a-0006,17.888000,17.978000,i,I,sd,u-9-2
sw2657A-ms98-a-0006,17.978000,18.278000,now,I,sd,u-9-2
sw2657A-ms98-a-0006,18.278000,18.528000,have,I,sd,u-9-2
sw2657A-ms98-a-0006,18.528000,19.158000,grandchildren,I,sd,u-9-2
sw2657A-ms98-a-0006,19.158000,19.288000,that,I,sd,u-9-2
sw2657A-ms98-a-0006,19.288000,19.348000,are,I,sd,u-9-2
sw2657A-ms98-a-0006,19.348000,20.120250,teenagers,I,sd,u-9-2
sw2657A-ms98-a-0006,20.579750,21.208000,and,B,sd,u-9-3
sw2657A-ms98-a-0006,21.208000,21.404500,i,I,sd,u-9-3
sw2657A-ms98-a-0006,21.404500,21.588000,don't,I,sd,u-9-3
sw2657A-ms98-a-0006,21.588000,21.748000,know,I,sd,u-9-3
sw2657A-ms98-a-0006,21.748000,21.878000,that,I,sd,u-9-3
sw2657A-ms98-a-0006,21.878000,22.139375,it,I,sd,u-9-3
sw2657A-ms98-a-0006,22.493375,22.878000,might,I,sd,u-9-3
sw2657A-ms98-a-0006,22.878000,23.028000,do,I,sd,u-9-3
sw2657A-ms98-a-0006,23.028000,23.288000,them,I,sd,u-9-3
sw2657A-ms98-a-0006,23.288000,23.338000,a,I,sd,u-9-3
sw2657A-ms98-a-0006,23.338000,23.608000,little,I,sd,u-9-3
sw2657A-ms98-a-0006,23.608000,23.768000,bit,I,sd,u-9-3
sw2657A-ms98-a-0006,23.768000,23.928000,of,I,sd,u-9-3
sw2657A-ms98-a-0006,23.928000,24.268000,good,I,sd,u-9-3
sw2657A-ms98-a-0006,24.268000,24.678500,to,I,sd,u-9-3
sw2657A-ms98-a-0006,24.678500,25.100250,see,I,sd,u-9-3
sw2657A-ms98-a-0006,25.100250,25.208000,the,I,sd,u-9-3
sw2657A-ms98-a-0006,25.208000,25.678000,world,I,sd,u-9-3
sw2657A-ms98-a-0006,25.678000,25.858000,from,I,sd,u-9-3
sw2657A-ms98-a-0006,25.858000,25.918000,a,I,sd,u-9-3
sw2657A-ms98-a-0006,25.918000,26.298000,different,I,sd,u-9-3
sw2657A-ms98-a-0006,26.298000,27.130625,perspective,I,sd,u-9-3
sw2657A-ms98-a-0007,27.937250,28.239250,uh,B,sv,u-9-4
sw2657A-ms98-a-0007,28.239250,28.486875,i,I,sv,u-9-4
sw2657A-ms98-a-0007,28.486875,28.743000,think,I,sv,u-9-4
sw2657A-ms98-a-0007,28.743000,29.221625,this,I,sv,u-9-4
sw2657A-ms98-a-0007,29.884500,30.107250,me,I,sv,u-9-4
sw2657A-ms98-a-0007,30.107250,30.827250,generation,I,sv,u-9-4
sw2657A-ms98-a-0007,30.827250,31.027250,has,I,sv,u-9-4
sw2657A-ms98-a-0007,31.027250,31.317250,gone,I,sv,u-9-4
sw2657A-ms98-a-0007,31.317250,31.922750,far,I,sv,u-9-4
sw2657A-ms98-a-0007,32.065875,32.217250,too,I,sv,u-9-4
sw2657A-ms98-a-0007,32.217250,32.733125,far,I,sv,u-9-4
sw2657A-ms98-a-0007,33.252875,33.477250,and,B,sv,u-9-5
sw2657A-ms98-a-0007,33.477250,33.547250,the,I,sv,u-9-5
sw2657A-ms98-a-0007,33.547250,33.737250,young,I,sv,u-9-5
sw2657A-ms98-a-0007,33.737250,34.067250,people,I,sv,u-9-5
sw2657A-ms98-a-0007,34.067250,34.307250,are,I,sv,u-9-5
sw2657A-ms98-a-0007,34.307250,34.737250,overly,I,sv,u-9-5
sw2657A-ms98-a-0007,34.737250,35.466125,impressed,I,sv,u-9-5
sw2657A-ms98-a-0008,36.348875,36.471500,and,B,sv,u-9-6
sw2657A-ms98-a-0008,36.471500,36.624875,i,I,sv,u-9-6
sw2657A-ms98-a-0008,36.624875,36.848875,think,I,sv,u-9-6
sw2657A-ms98-a-0008,36.848875,36.998875,it,I,sv,u-9-6
sw2657A-ms98-a-0008,36.998875,37.228875,wouldn't,I,sv,u-9-6
sw2657A-ms98-a-0008,37.228875,37.428875,hurt,I,sv,u-9-6
sw2657A-ms98-a-0008,37.428875,37.568875,them,I,sv,u-9-6
sw2657A-ms98-a-0008,37.568875,37.638875,to,I,sv,u-9-6
sw2657A-ms98-a-0008,37.638875,37.888875,step,I,sv,u-9-6
sw2657A-ms98-a-0008,37.888875,38.168875,back,I,sv,u-9-6
sw2657A-ms98-a-0008,38.168875,38.318875,from,I,sv,u-9-6
sw2657A-ms98-a-0008,38.318875,38.868875,themselves,I,sv,u-9-6
sw2657A-ms98-a-0008,38.868875,39.088875,just,I,sv,u-9-6
sw2657A-ms98-a-0008,39.088875,39.588875,slightly,I,sv,u-9-6
sw2657A-ms98-a-0008,39.588875,39.708875,and,I,sv,u-9-6
sw2657A-ms98-a-0008,39.708875,39.898875,see,I,sv,u-9-6
sw2657A-ms98-a-0008,39.898875,40.379875,things,I,sv,u-9-6
sw2657A-ms98-a-0008,40.820625,41.038875,from,I,sv,u-9-6
sw2657A-ms98-a-0008,41.038875,41.128875,a,I,sv,u-9-6
sw2657A-ms98-a-0008,41.128875,41.378875,m[ore]-,I,sv,u-9-6
sw2657A-ms98-a-0008,41.378875,41.618875,far,I,sv,u-9-6
sw2657A-ms98-a-0008,41.618875,41.798875,more,I,sv,u-9-6
sw2657A-ms98-a-0008,41.798875,42.628875,disadvantaged,I,sv,u-9-6
sw2657A-ms98-a-0008,42.628875,43.281125,viewpoint,I,sv,u-9-6
sw2657A-ms98-a-0010,46.778375,47.148375,uh,B,sd,u-11-1
sw2657A-ms98-a-0012,49.334000,49.500875,i,I,sd,u-11-1
sw2657A-ms98-a-0012,49.500875,49.914000,personally,I,sd,u-11-1
sw2657A-ms98-a-0012,49.914000,50.064000,know,I,sd,u-11-1
sw2657A-ms98-a-0012,50.064000,50.464000,nothing,I,sd,u-11-1
sw2657A-ms98-a-0012,50.464000,50.734000,about,I,sd,u-11-1
sw2657A-ms98-a-0012,50.734000,50.794000,the,I,sd,u-11-1
sw2657A-ms98-a-0012,50.794000,51.074000,Peace,I,sd,u-11-1
sw2657A-ms98-a-0012,51.074000,51.434000,Corps,I,sd,u-11-1
sw2657A-ms98-a-0012,51.434000,51.764000,though,I,sd,u-11-1
sw2657A-ms98-a-0014,59.862375,60.015375,but,B,%,u-13-1
sw2657A-ms98-a-0014,60.015375,60.297500,they,I,%,u-13-1
sw2657A-ms98-a-0014,60.297500,60.767000,have,I,%,u-13-1
sw2657A-ms98-a-0014,60.767000,60.966625,i,B,sd,u-13-2
sw2657A-ms98-a-0014,60.966625,61.202250,read,I,sd,u-13-2
sw2657A-ms98-a-0014,61.202250,61.902250,somewhere,I,sd,u-13-2
sw2657A-ms98-a-0016,63.749250,63.957000,and,B,sd,u-13-3
sw2657A-ms98-a-0016,63.957000,64.157625,i'm,I,sd,u-13-3
sw2657A-ms98-a-0016,64.157625,64.469250,i'm,I,sd,u-13-3
sw2657A-ms98-a-0016,65.467000,65.652000,out,I,sd,u-13-3
sw2657A-ms98-a-0016,65.652000,65.798875,on,I,sd,u-13-3
sw2657A-ms98-a-0016,65.798875,65.922375,a,I,sd,u-13-3
sw2657A-ms98-a-0016,65.922375,66.182375,limb,I,sd,u-13-3
sw2657A-ms98-a-0016,66.182375,66.495625,here,I,sd,u-13-3
sw2657A-ms98-a-0016,67.052375,67.332375,some,I,sd,u-13-3
sw2657A-ms98-a-0016,67.332375,67.862375,type,I,sd,u-13-3
sw2657A-ms98-a-0016,67.862375,68.152625,of,I,sd,u-13-3
sw2657A-ms98-a-0016,68.152625,68.875750,college,I,sd,u-13-3
sw2657A-ms98-a-0016,68.875750,69.282375,uh,I,sd,u-13-3
sw2657A-ms98-a-0017,70.348500,70.980125,volunteer,I,sd,u-13-3
sw2657A-ms98-a-0017,70.980125,71.260000,work,I,sd,u-13-3
sw2657A-ms98-a-0017,71.260000,71.398500,for,I,sd,u-13-3
sw2657A-ms98-a-0017,71.398500,71.997500,teachers,I,sd,u-13-3
sw2657A-ms98-a-0017,72.400500,72.588500,that,I,sd,u-13-3
sw2657A-ms98-a-0017,72.588500,72.768500,they,I,sd,u-13-3
sw2657A-ms98-a-0017,72.768500,72.858500,are,I,sd,u-13-3
sw2657A-ms98-a-0017,72.858500,73.418500,straight,I,sd,u-13-3
sw2657A-ms98-a-0017,73.418500,73.568500,out,I,sd,u-13-3
sw2657A-ms98-a-0017,73.568500,73.658500,of,I,sd,u-13-3
sw2657A-ms98-a-0017,73.658500,74.308500,college,I,sd,u-13-3
sw2657A-ms98-a-0017,74.308500,74.408500,and,B,sd,u-13-4
sw2657A-ms98-a-0017,74.408500,74.528500,they,I,sd,u-13-4
sw2657A-ms98-a-0017,74.528500,74.688500,do,I,sd,u-13-4
sw2657A-ms98-a-0017,74.688500,75.008500,one,I,sd,u-13-4
sw2657A-ms98-a-0017,75.008500,75.278500,year,I,sd,u-13-4
sw2657A-ms98-a-0017,75.278500,75.438500,of,I,sd,u-13-4
sw2657A-ms98-a-0017,75.438500,76.068500,volunteer,I,sd,u-13-4
sw2657A-ms98-a-0017,76.068500,76.288500,work,I,sd,u-13-4
sw2657A-ms98-a-0017,76.348500,76.964125,teaching,I,sd,u-13-4
sw2657A-ms98-a-0017,77.596750,78.027125,in,I,sd,u-13-4
sw2657A-ms98-a-0017,78.027125,78.234250,the,I,sd,u-13-4
sw2657A-ms98-a-0017,78.234250,78.618500,uh,I,sd,u-13-4
sw2657A-ms98-a-0018,79.761875,80.098000,lower,I,sd,u-13-4
sw2657A-ms98-a-0018,80.098000,80.531875,income,I,sd,u-13-4
sw2657A-ms98-a-0018,80.531875,81.131875,brackets,I,sd,u-13-4
sw2657A-ms98-a-0018,81.131875,81.211875,of,I,sd,u-13-4
sw2657A-ms98-a-0018,81.211875,81.281875,the,I,sd,u-13-4
sw2657A-ms98-a-0018,81.281875,81.671875,United,I,sd,u-13-4
sw2657A-ms98-a-0018,81.671875,82.061875,States,I,sd,u-13-4
sw2657A-ms98-a-0018,82.061875,82.161875,have,B,qy,u-13-5
sw2657A-ms98-a-0018,82.161875,82.261875,you,I,qy,u-13-5
sw2657A-ms98-a-0018,82.261875,82.411875,ever,I,qy,u-13-5
sw2657A-ms98-a-0018,82.411875,82.531875,heard,I,qy,u-13-5
sw2657A-ms98-a-0018,82.531875,82.801875,about,I,qy,u-13-5
sw2657A-ms98-a-0018,82.801875,82.971875,that,I,qy,u-13-5
sw2657A-ms98-a-0018,82.971875,83.208250,one,I,qy,u-13-5
sw2657A-ms98-a-0020,102.029125,102.329125,oh,B,bh,u-15-1
sw2657A-ms98-a-0020,102.329125,102.841875,really,I,bh,u-15-1
sw2657A-ms98-a-0022,115.290000,115.460000,and,B,qy^d,u-17-1
sw2657A-ms98-a-0022,115.460000,115.650000,this,I,qy^d,u-17-1
sw2657A-ms98-a-0022,115.650000,115.780000,is,I,qy^d,u-17-1
sw2657A-ms98-a-0022,115.780000,116.130000,money,I,qy^d,u-17-1
sw2657A-ms98-a-0022,116.130000,116.410000,that,I,qy^d,u-17-1
sw2657A-ms98-a-0022,116.410000,116.718375,she's,I,qy^d,u-17-1
sw2657A-ms98-a-0022,116.718375,117.080000,borrowed,I,qy^d,u-17-1
sw2657A-ms98-a-0022,117.080000,117.220000,t[o]-,I,qy^d,u-17-1
sw2657A-ms98-a-0022,117.220000,117.370000,for,I,qy^d,u-17-1
sw2657A-ms98-a-0022,117.370000,117.460000,her,I,qy^d,u-17-1
sw2657A-ms98-a-0022,117.460000,117.860000,college,I,qy^d,u-17-1
sw2657A-ms98-a-0022,117.860000,118.553125,education,I,qy^d,u-17-1
sw2657A-ms98-a-0024,120.721500,120.831500,but,B,qy^d,u-19-1
sw2657A-ms98-a-0024,120.831500,120.931500,she,I,qy^d,u-19-1
sw2657A-ms98-a-0024,120.931500,121.131500,got,I,qy^d,u-19-1
sw2657A-ms98-a-0024,121.131500,121.541500,credits,I,qy^d,u-19-1
sw2657A-ms98-a-0024,121.541500,121.721500,for,I,qy^d,u-19-1
sw2657A-ms98-a-0024,121.721500,121.901500,it,I,qy^d,u-19-1
sw2657A-ms98-a-0025,122.657875,122.877625,that's,B,ba,u-21-1
sw2657A-ms98-a-0025,122.877625,123.237625,very,I,ba,u-21-1
sw2657A-ms98-a-0025,123.237625,123.767625,interesting,I,ba,u-21-1
sw2657A-ms98-a-0027,143.272000,143.672000,hum,O,,
sw2657A-ms98-a-0029,159.313750,159.493750,yeah,B,aa,u-25-1
sw2657A-ms98-a-0029,159.493750,159.603750,i,B,sv,u-25-2
sw2657A-ms98-a-0029,159.603750,159.881125,think,I,sv,u-25-2
sw2657A-ms98-a-0029,159.881125,160.174875,that,I,sv,u-25-2
sw2657A-ms98-a-0029,160.174875,160.313750,is,I,sv,u-25-2
sw2657A-ms98-a-0029,160.313750,160.453750,an,I,sv,u-25-2
sw2657A-ms98-a-0029,160.453750,160.923750,excellent,I,sv,u-25-2
sw2657A-ms98-a-0029,160.923750,161.383750,program,I,sv,u-25-2
sw2657A-ms98-a-0029,161.383750,161.493750,i,B,sv,u-25-3
sw2657A-ms98-a-0029,161.493750,161.883750,really,I,sv,u-25-3
sw2657A-ms98-a-0029,161.883750,162.297375,do,I,sv,u-25-3
sw2657A-ms98-a-0029,162.696625,162.870250,i,B,sd,u-25-4
sw2657A-ms98-a-0029,162.870250,163.193750,like,I,sd,u-25-4
sw2657A-ms98-a-0029,163.193750,163.522500,that,I,sd,u-25-4
sw2657A-ms98-a-0029,163.759750,163.933750,and,B,sv,u-25-5
sw2657A-ms98-a-0029,163.933750,164.133750,it's,I,sv,u-25-5
sw2657A-ms98-a-0029,164.303750,164.543750,it's,I,sv,u-25-5
sw2657A-ms98-a-0029,164.543750,165.113750,beneficial,I,sv,u-25-5
sw2657A-ms98-a-0029,165.113750,165.213750,to,I,sv,u-25-5
sw2657A-ms98-a-0029,165.213750,165.293750,the,I,sv,u-25-5
sw2657A-ms98-a-0029,165.293750,165.673750,small,I,sv,u-25-5
sw2657A-ms98-a-0029,165.673750,166.143750,towns,I,sv,u-25-5
sw2657A-ms98-a-0029,166.143750,166.373750,too,I,sv,u-25-5
sw2657A-ms98-a-0029,166.373750,166.873750,because,I,sv,u-25-5
sw2657A-ms98-a-0029,166.873750,167.143750,they,B,+,u-27-1
sw2657A-ms98-a-0029,167.143750,167.773375,really,I,+,u-27-1
sw2657A-ms98-a-0029,168.010750,168.433750,really,I,+,u-27-1
sw2657A-ms98-a-0030,169.247375,169.691125,have,I,+,u-27-1
sw2657A-ms98-a-0030,169.691125,169.957375,have,I,+,u-27-1
sw2657A-ms98-a-0030,169.957375,170.127375,a,I,+,u-27-1
sw2657A-ms98-a-0030,170.127375,170.857375,disadvantage,I,+,u-27-1
sw2657A-ms98-a-0030,170.857375,170.997375,that,I,+,u-27-1
sw2657A-ms98-a-0030,170.997375,171.087375,we,I,+,u-27-1
sw2657A-ms98-a-0030,171.087375,171.317375,don't,I,+,u-27-1
sw2657A-ms98-a-0030,171.317375,172.106250,understand,I,+,u-27-1
sw2657A-ms98-a-0030,172.417375,172.757375,because,I,+,u-27-1
sw2657A-ms98-a-0030,172.757375,172.987375,we're,I,+,u-27-1
sw2657A-ms98-a-0030,172.987375,173.087375,in,I,+,u-27-1
sw2657A-ms98-a-0030,173.087375,173.167375,the,I,+,u-27-1
sw2657A-ms98-a-0030,173.167375,174.177375,Metroplex,I,+,u-27-1
sw2657A-ms98-a-0032,177.631625,178.001625,right,B,aa,u-29-1
sw2657A-ms98-a-0032,178.001625,178.121625,you,B,sd,u-29-2
sw2657A-ms98-a-0032,178.121625,178.291625,know,I,sd,u-29-2
sw2657A-ms98-a-0032,178.291625,178.531625,if,I,sd,u-29-2
sw2657A-ms98-a-0032,178.531625,178.781625,if,I,sd,u-29-2
sw2657A-ms98-a-0032,178.781625,179.125000,we,I,sd,u-29-2
sw2657A-ms98-a-0032,179.693750,179.981625,had,I,sd,u-29-2
sw2657A-ms98-a-0032,179.981625,180.572875,some,I,sd,u-29-2
sw2657A-ms98-a-0032,180.802625,181.365000,really,I,sd,u-29-2
sw2657A-ms98-a-0032,181.436500,182.001625,major,I,sd,u-29-2
sw2657A-ms98-a-0032,182.001625,182.351625,health,I,sd,u-29-2
sw2657A-ms98-a-0032,182.351625,182.961625,problem,I,sd,u-29-2
sw2657A-ms98-a-0032,183.274250,183.431625,that,I,sd,u-29-2
sw2657A-ms98-a-0032,183.431625,183.901625,required,I,sd,u-29-2
sw2657A-ms98-a-0032,183.901625,183.961625,a,I,sd,u-29-2
sw2657A-ms98-a-0032,183.961625,184.641625,specialist,I,sd,u-29-2
sw2657A-ms98-a-0032,184.641625,184.721625,we,I,sd,u-29-2
sw2657A-ms98-a-0032,184.721625,184.881625,could,I,sd,u-29-2
sw2657A-ms98-a-0032,185.021625,185.511625,find,I,sd,u-29-2
sw2657A-ms98-a-0032,185.511625,185.631625,one,I,sd,u-29-2
sw2657A-ms98-a-0032,185.631625,185.721625,it,I,sd,u-29-2
sw2657A-ms98-a-0032,185.721625,185.911625,wouldn't,I,sd,u-29-2
sw2657A-ms98-a-0032,185.911625,186.021625,be,I,sd,u-29-2
sw2657A-ms98-a-0032,186.021625,186.885625,convenient,I,sd,u-29-2
sw2657A-ms98-a-0033,187.839500,187.999500,but,B,sd,u-31-1
sw2657A-ms98-a-0033,187.999500,188.109500,we,I,sd,u-31-1
sw2657A-ms98-a-0033,188.109500,188.299500,could,I,sd,u-31-1
sw2657A-ms98-a-0033,188.299500,188.939500,find,I,sd,u-31-1
sw2657A-ms98-a-0033,188.939500,189.317375,one,I,sd,u-31-1
sw2657A-ms98-a-0033,189.517000,189.649500,we,B,sd,u-33-1
sw2657A-ms98-a-0033,189.649500,189.879500,wouldn't,I,sd,u-33-1
sw2657A-ms98-a-0033,189.879500,190.019500,have,I,sd,u-33-1
sw2657A-ms98-a-0033,190.019500,190.129500,to,I,sd,u-33-1
sw2657A-ms98-a-0033,190.129500,190.614000,drive,I,sd,u-33-1
sw2657A-ms98-a-0033,191.209500,191.359500,and,I,sd,u-33-1
sw2657A-ms98-a-0033,191.359500,191.779500,spend,I,sd,u-33-1
sw2657A-ms98-a-0033,191.779500,191.839500,the,I,sd,u-33-1
sw2657A-ms98-a-0033,191.839500,192.149500,night,I,sd,u-33-1
sw2657A-ms98-a-0033,192.149500,192.799500,someplace,I,sd,u-33-1
sw2657A-ms98-a-0033,192.799500,192.859500,or,I,sd,u-33-1
sw2657A-ms98-a-0033,192.859500,193.289500,something,I,sd,u-33-1
sw2657A-ms98-a-0033,193.289500,193.579500,like,I,sd,u-33-1
sw2657A-ms98-a-0033,193.579500,194.074875,that,I,sd,u-33-1
sw2657A-ms98-a-0034,195.143375,195.498750,so,B,sd,u-35-1
sw2657A-ms98-a-0034,195.498750,195.663875,i-,I,sd,u-35-1
sw2657A-ms98-a-0034,195.663875,195.784375,i,I,sd,u-35-1
sw2657A-ms98-a-0034,195.784375,195.943375,can,I,sd,u-35-1
sw2657A-ms98-a-0034,195.943375,196.143375,see,I,sd,u-35-1
sw2657A-ms98-a-0034,196.143375,196.253375,the,I,sd,u-35-1
sw2657A-ms98-a-0034,196.253375,196.803375,advantage,I,sd,u-35-1
sw2657A-ms98-a-0034,196.803375,196.933375,to,I,sd,u-35-1
sw2657A-ms98-a-0034,196.933375,197.183375,that,I,sd,u-35-1
sw2657A-ms98-a-0034,197.183375,197.423375,one,I,sd,u-35-1
sw2657A-ms98-a-0035,198.827250,198.936125,the,B,qy^g,u-35-2
sw2657A-ms98-a-0035,198.936125,199.217250,Peace,I,qy^g,u-35-2
sw2657A-ms98-a-0035,199.217250,199.590500,Corps,I,qy^g,u-35-2
sw2657A-ms98-a-0035,199.590500,200.217250,itself,I,qy^g,u-35-2
sw2657A-ms98-a-0035,200.217250,200.387250,is,I,qy^g,u-35-2
sw2657A-ms98-a-0035,200.387250,200.777250,really,I,qy^g,u-35-2
sw2657A-ms98-a-0035,200.777250,201.075750,uh,I,qy^g,u-35-2
sw2657A-ms98-a-0035,201.075750,201.512625,uh,I,qy^g,u-35-2
sw2657A-ms98-a-0035,201.836500,202.437250,dying,I,qy^g,u-35-2
sw2657A-ms98-a-0035,202.437250,202.607250,out,I,qy^g,u-35-2
sw2657A-ms98-a-0035,202.607250,202.937250,isn't,I,qy^g,u-35-2
sw2657A-ms98-a-0035,202.937250,203.158625,it,I,qy^g,u-35-2
sw2657A-ms98-a-0037,211.116250,211.296250,it's,B,sd,u-37-1
sw2657A-ms98-a-0037,211.296250,211.616250,still,I,sd,u-37-1
sw2657A-ms98-a-0037,211.616250,211.746250,in,I,sd,u-37-1
sw2657A-ms98-a-0037,211.746250,212.632750,existence,I,sd,u-37-1
sw2657A-ms98-a-0039,215.869875,216.092125,i,B,na,u-39-1
sw2657A-ms98-a-0039,216.092125,216.274500,want,I,na,u-39-1
sw2657A-ms98-a-0039,216.274500,216.369875,to,I,na,u-39-1
sw2657A-ms98-a-0039,216.369875,216.679875,believe,I,na,u-39-1
sw2657A-ms98-a-0039,216.679875,216.809875,they,I,na,u-39-1
sw2657A-ms98-a-0039,216.809875,216.999875,go,I,na,u-39-1
sw2657A-ms98-a-0039,216.999875,217.279875,into,I,na,u-39-1
sw2657A-ms98-a-0039,217.279875,217.499875,other,I,na,u-39-1
sw2657A-ms98-a-0039,217.499875,218.161750,countries,I,na,u-39-1
sw2657A-ms98-a-0039,218.519875,218.689875,and,I,na,u-39-1
sw2657A-ms98-a-0039,218.689875,219.039875,teach,I,na,u-39-1
sw2657A-ms98-a-0039,219.039875,219.189875,them,I,na,u-39-1
sw2657A-ms98-a-0039,219.189875,219.429875,how,I,na,u-39-1
sw2657A-ms98-a-0039,219.429875,219.539875,to,I,na,u-39-1
sw2657A-ms98-a-0039,219.539875,219.699875,do,I,na,u-39-1
sw2657A-ms98-a-0039,219.699875,220.189875,things,I,na,u-39-1
sw2657A-ms98-a-0039,220.189875,220.559875,like,I,na,u-39-1
sw2657A-ms98-a-0039,220.559875,221.295000,farm,I,na,u-39-1
sw2657A-ms98-a-0040,222.229250,222.411250,uh,B,+,u-41-1
sw2657A-ms98-a-0040,222.411250,222.639250,dig,I,+,u-41-1
sw2657A-ms98-a-0040,222.639250,222.799250,their,I,+,u-41-1
sw2657A-ms98-a-0040,222.799250,223.049250,own,I,+,u-41-1
sw2657A-ms98-a-0040,223.049250,223.949625,wells,I,+,u-41-1
sw2657A-ms98-a-0040,224.544625,224.849250,set,I,+,u-41-1
sw2657A-ms98-a-0040,224.849250,224.979250,up,I,+,u-41-1
sw2657A-ms98-a-0040,224.979250,225.129250,their,B,+,u-43-1
sw2657A-ms98-a-0040,225.129250,226.138625,schools,I,+,u-43-1
sw2657A-ms98-a-0042,228.169250,228.509250,yes,B,ny,u-45-1
sw2657A-ms98-a-0042,228.509250,228.820875,they,B,%,u-45-2
sw2657A-ms98-a-0042,228.967750,229.259250,it's,B,sv,u-47-1
sw2657A-ms98-a-0042,229.259250,229.740125,not,I,sv,u-47-1
sw2657A-ms98-a-0043,230.362625,230.504375,a,I,sv,u-47-1
sw2657A-ms98-a-0043,230.504375,231.094375,program,I,sv,u-47-1
sw2657A-ms98-a-0043,231.094375,231.204375,to,I,sv,u-47-1
sw2657A-ms98-a-0043,231.204375,231.504375,teach,I,sv,u-47-1
sw2657A-ms98-a-0043,231.504375,231.684375,them,I,sv,u-47-1
sw2657A-ms98-a-0043,231.684375,231.754375,to,I,sv,u-47-1
sw2657A-ms98-a-0043,231.754375,232.044375,use,I,sv,u-47-1
sw2657A-ms98-a-0043,232.044375,232.124375,the,I,sv,u-47-1
sw2657A-ms98-a-0043,232.124375,232.554375,American,I,sv,u-47-1
sw2657A-ms98-a-0043,232.554375,232.784375,money,I,sv,u-47-1
sw2657A-ms98-a-0043,232.784375,232.894375,it's,I,sv,u-47-1
sw2657A-ms98-a-0043,232.894375,232.954375,a,I,sv,u-47-1
sw2657A-ms98-a-0043,232.954375,233.354375,program,I,sv,u-47-1
sw2657A-ms98-a-0043,233.354375,233.414375,to,I,sv,u-47-1
sw2657A-ms98-a-0043,233.414375,233.704375,teach,I,sv,u-47-1
sw2657A-ms98-a-0043,233.704375,233.804375,them,I,sv,u-47-1
sw2657A-ms98-a-0043,233.804375,233.904375,to,I,sv,u-47-1
sw2657A-ms98-a-0043,233.904375,234.024375,be,I,sv,u-47-1
sw2657A-ms98-a-0043,234.024375,234.214375,more,I,sv,u-47-1
